osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry
733798038,2,US 276,Pigeon Street,primary,25 mph,False,True,7.06,"LINESTRING (-82.9851183 35.4859043, -82.9850526 35.4858701)"
16585971,,,South Hill Street,residential,,False,False,255.49099999999999,"LINESTRING (-82.9851183 35.4859043, -82.9843955 35.486381, -82.984195 35.4865487, -82.9839936 35.4872209, -82.9838383 35.4878221)"
733798038,2,US 276,Pigeon Street,primary,25 mph,False,False,100.092,"LINESTRING (-82.9851183 35.4859043, -82.9854082 35.4860836, -82.9859987 35.4864487)"
16585971,,,South Hill Street,residential,,False,False,100.386,"LINESTRING (-82.9838383 35.4878221, -82.9838858 35.488043, -82.9839959 35.4882927, -82.9840984 35.4886974)"
16585971,,,South Hill Street,residential,,False,True,255.49099999999999,"LINESTRING (-82.9838383 35.4878221, -82.9839936 35.4872209, -82.984195 35.4865487, -82.9843955 35.486381, -82.9851183 35.4859043)"
16593438,,,Seymour Street,residential,,False,False,122.76599999999999,"LINESTRING (-82.9838383 35.4878221, -82.9836297 35.4873621, -82.9836242 35.48735, -82.9833895 35.4867804)"
16585971,,,South Hill Street,residential,,False,True,100.386,"LINESTRING (-82.9840984 35.4886974, -82.9839959 35.4882927, -82.9838858 35.488043, -82.9838383 35.4878221)"
16595586,,,East Street,residential,,False,True,134.233,"LINESTRING (-82.9840984 35.4886974, -82.9843227 35.4886667, -82.9845448 35.4887296, -82.9847294 35.4887713, -82.9854953 35.4890284)"
16599290,,,North Hill Street,residential,,False,False,387.6330000000001,"LINESTRING (-82.9840984 35.4886974, -82.9846313 35.4904471, -82.9846871 35.4906239, -82.9847435 35.4907709, -82.9847406 35.4908705, -82.9847034 35.4909339, -82.9845988 35.4910167, -82.9842651 35.4912538, -82.9840441 35.4913977, -82.9839527 35.4914186, -82.9838641 35.4914146, -82.9837353 35.4913714, -82.9835349 35.4912487)"
16586016,,,Academy Street,residential,,False,False,158.928,"LINESTRING (-82.989014 35.487907, -82.9906411 35.4884433)"
16607614,2,US 23 Business,South Main Street,primary,,False,False,80.624,"LINESTRING (-82.989014 35.487907, -82.9886736 35.488577)"
16607614,2,US 23 Business,South Main Street,primary,,False,True,268.527,"LINESTRING (-82.989014 35.487907, -82.9892666 35.4874964, -82.9894205 35.4873137, -82.9894942 35.4872365, -82.98959 35.487127, -82.9902675 35.4864555, -82.9906384 35.4860878, -82.990751 35.4859603)"
16586016,,,Academy Street,residential,,False,False,113.146,"LINESTRING (-82.9906411 35.4884433, -82.9917991 35.4888259)"
16586016,,,Academy Street,residential,,False,True,158.928,"LINESTRING (-82.9906411 35.4884433, -82.989014 35.487907)"
16606031,,,South Haywood Street,residential,,False,True,104.161,"LINESTRING (-82.9906411 35.4884433, -82.99111 35.4875879)"
16606031,,,South Haywood Street,residential,,False,False,138.775,"LINESTRING (-82.9906411 35.4884433, -82.9904943 35.4887111, -82.9904269 35.488834, -82.9903425 35.488988, -82.9900886 35.4894722, -82.9900165 35.4895826)"
16586016,,,Academy Street,residential,,False,True,113.146,"LINESTRING (-82.9917991 35.4888259, -82.9906411 35.4884433)"
16606711,,,Tate Street,residential,,False,False,136.614,"LINESTRING (-82.9917991 35.4888259, -82.991225 35.4899621)"
16606711,,,Tate Street,residential,,False,True,105.074,"LINESTRING (-82.9917991 35.4888259, -82.9922406 35.487952)"
16604121,,,Depot Street,residential,,False,True,87.156,"LINESTRING (-82.9877222 35.4925355, -82.9868197 35.4922627)"
16591199,,,Montgomery Street,residential,,False,True,175.571,"LINESTRING (-82.9877222 35.4925355, -82.9882543 35.4914541, -82.9884434 35.4910698)"
16604121,,,Depot Street,residential,,False,False,121.00399999999999,"LINESTRING (-82.9877222 35.4925355, -82.9884084 35.4927322, -82.9889829 35.4928969)"
16591199,,,Montgomery Street,residential,,False,False,125.094,"LINESTRING (-82.9889588 35.490026, -82.9884434 35.4910698)"
16592757,,,Church Street,residential,,False,False,67.495,"LINESTRING (-82.9889588 35.490026, -82.9891549 35.4900848, -82.9896584 35.4902357)"
16592757,,,Church Street,residential,,False,True,87.085,"LINESTRING (-82.9889588 35.490026, -82.9888955 35.4900072, -82.9880554 35.4897571)"
16591199,,,Montgomery Street,residential,,False,True,125.094,"LINESTRING (-82.9884434 35.4910698, -82.9889588 35.490026)"
16602889,,,Miller Street,residential,,False,False,65.804,"LINESTRING (-82.9884434 35.4910698, -82.9891162 35.4912937)"
16591199,,,Montgomery Street,residential,,False,False,175.571,"LINESTRING (-82.9884434 35.4910698, -82.9882543 35.4914541, -82.9877222 35.4925355)"
16604121,,,Depot Street,residential,,False,False,42.382,"LINESTRING (-82.9889829 35.4928969, -82.9893029 35.4931751)"
16597054,,,North Haywood Street,residential,,False,True,179.87099999999998,"LINESTRING (-82.9889829 35.4928969, -82.9889888 35.4925526, -82.9889889 35.4924052, -82.9889892 35.4920488, -82.9889892 35.4920213, -82.9889895 35.4916781, -82.9889895 35.4916563, -82.9891162 35.4912937)"
16604121,,,Depot Street,residential,,False,True,121.00399999999999,"LINESTRING (-82.9889829 35.4928969, -82.9884084 35.4927322, -82.9877222 35.4925355)"
733798038,2,US 276,Pigeon Street,primary,25 mph,False,False,21.387,"LINESTRING (-82.9859987 35.4864487, -82.9861949 35.4865558)"
16591239,,,Short Street,residential,,False,False,225.549,"LINESTRING (-82.9859987 35.4864487, -82.9852874 35.4877223, -82.9859937 35.4879778)"
733798038,2,US 276,Pigeon Street,primary,25 mph,False,True,100.092,"LINESTRING (-82.9859987 35.4864487, -82.9854082 35.4860836, -82.9851183 35.4859043)"
16591239,,,Short Street,residential,,False,False,103.623,"LINESTRING (-82.9859937 35.4879778, -82.9870674 35.4883005)"
16598182,,,Hospital Street,residential,,False,False,125.234,"LINESTRING (-82.9859937 35.4879778, -82.9854953 35.4890284)"
16591239,,,Short Street,residential,,False,True,225.549,"LINESTRING (-82.9859937 35.4879778, -82.9852874 35.4877223, -82.9859987 35.4864487)"
16591239,,,Short Street,residential,,False,True,103.623,"LINESTRING (-82.9870674 35.4883005, -82.9859937 35.4879778)"
16596422,,,Welch Street,residential,,False,True,77.793,"LINESTRING (-82.9870674 35.4883005, -82.9873464 35.4876388)"
16596422,,,Welch Street,residential,,False,False,126.252,"LINESTRING (-82.9870674 35.4883005, -82.9866396 35.4892097, -82.9865716 35.4893617)"
16592603,,,Wall Street,unclassified,,False,False,564.268,"LINESTRING (-82.9834968 35.4929896, -82.9838592 35.4928164, -82.984287 35.4926591, -82.9845841 35.4925836, -82.9851549 35.4924325, -82.9861252 35.4921735, -82.9862521 35.4921294, -82.9866989 35.4912174, -82.9869347 35.490723, -82.9874471 35.489649)"
16592603,,,Wall Street,unclassified,,False,False,156.21,"LINESTRING (-82.9874471 35.489649, -82.9879505 35.4883053)"
16595586,,,East Street,residential,,False,True,56.37,"LINESTRING (-82.9874471 35.489649, -82.9880554 35.4897571)"
16592603,,,Wall Street,unclassified,,False,True,564.268,"LINESTRING (-82.9874471 35.489649, -82.9869347 35.490723, -82.9866989 35.4912174, -82.9862521 35.4921294, -82.9861252 35.4921735, -82.9851549 35.4924325, -82.9845841 35.4925836, -82.984287 35.4926591, -82.9838592 35.4928164, -82.9834968 35.4929896)"
16595586,,,East Street,residential,,False,False,85.461,"LINESTRING (-82.9874471 35.489649, -82.9872639 35.4895889, -82.9865716 35.4893617)"
16592603,,,Wall Street,unclassified,,False,True,156.21,"LINESTRING (-82.9879505 35.4883053, -82.9874471 35.489649)"
733798038,2,US 276,Pigeon Street,primary,25 mph,False,False,72.103,"LINESTRING (-82.9879505 35.4883053, -82.9886736 35.488577)"
733798038,2,US 276,Pigeon Street,primary,25 mph,False,True,92.109,"LINESTRING (-82.9879505 35.4883053, -82.9873464 35.4876388)"
16595586,,,East Street,residential,,False,False,56.37,"LINESTRING (-82.9880554 35.4897571, -82.9874471 35.489649)"
16598605,2,US 276;US 23 Business,North Main Street,primary,,False,False,121.825,"LINESTRING (-82.9880554 35.4897571, -82.9875308 35.490766)"
16592757,,,Church Street,residential,,False,False,87.085,"LINESTRING (-82.9880554 35.4897571, -82.9888955 35.4900072, -82.9889588 35.490026)"
49395327,2,US 276;US 23 Business,South Main Street,primary,,False,True,142.659,"LINESTRING (-82.9880554 35.4897571, -82.9883593 35.489177, -82.9886736 35.488577)"
16592757,,,Church Street,residential,,False,False,119.634,"LINESTRING (-82.9896584 35.4902357, -82.990893 35.4906192)"
16592757,,,Church Street,residential,,False,True,67.495,"LINESTRING (-82.9896584 35.4902357, -82.9891549 35.4900848, -82.9889588 35.490026)"
16597054,,,North Haywood Street,residential,,False,False,127.47500000000002,"LINESTRING (-82.9896584 35.4902357, -82.9894433 35.4906554, -82.9892821 35.49097, -82.9891162 35.4912937)"
16606031,,,South Haywood Street,residential,,False,True,79.53,"LINESTRING (-82.9896584 35.4902357, -82.9898376 35.4899089, -82.9900165 35.4895826)"
16592757,,,Church Street,residential,,False,False,108.934,"LINESTRING (-82.990893 35.4906192, -82.9920251 35.490951)"
16592757,,,Church Street,residential,,False,True,119.634,"LINESTRING (-82.990893 35.4906192, -82.9896584 35.4902357)"
16606711,,,Tate Street,residential,,False,True,79.007,"LINESTRING (-82.990893 35.4906192, -82.991225 35.4899621)"
16592757,,,Church Street,residential,,False,True,108.934,"LINESTRING (-82.9920251 35.490951, -82.990893 35.4906192)"
16599333,,,Meadow Street,residential,,False,True,147.734,"LINESTRING (-82.9920251 35.490951, -82.9926681 35.4897299)"
16592757,,,Church Street,residential,,False,False,151.803,"LINESTRING (-82.9920251 35.490951, -82.9923623 35.4910923, -82.9924512 35.4912183, -82.9924612 35.491359, -82.9924257 35.4915836, -82.9922895 35.491865, -82.9922463 35.4919713, -82.9921981 35.4920945)"
16599119,,,Richland Street,residential,,False,True,232.927,"LINESTRING (-82.9921981 35.4920945, -82.994066 35.490654)"
16592757,,,Church Street,residential,,False,False,23.531,"LINESTRING (-82.9921981 35.4920945, -82.9921021 35.4921934, -82.9920485 35.492267)"
16592757,,,Church Street,residential,,False,True,151.803,"LINESTRING (-82.9921981 35.4920945, -82.9922463 35.4919713, -82.9922895 35.491865, -82.9924257 35.4915836, -82.9924612 35.491359, -82.9924512 35.4912183, -82.9923623 35.4910923, -82.9920251 35.490951)"
16602889,,,Miller Street,residential,,False,True,11.309000000000001,"LINESTRING (-82.9921651 35.4923034, -82.9921144 35.4922885, -82.9921036 35.4922854, -82.9920485 35.492267)"
16596442,,,Boyd Avenue,residential,,False,False,53.297,"LINESTRING (-82.9936991 35.48792, -82.9942869 35.4878941)"
16593267,,,West Street,residential,,False,False,129.105,"LINESTRING (-82.9936991 35.48792, -82.9936807 35.4881772, -82.993652 35.4884206, -82.9936117 35.4886581, -82.9935312 35.4890721)"
16596442,,,Boyd Avenue,residential,,False,True,132.099,"LINESTRING (-82.9936991 35.48792, -82.9924046 35.487949, -82.9922406 35.487952)"
16593267,,,West Street,residential,,False,True,129.105,"LINESTRING (-82.9935312 35.4890721, -82.9936117 35.4886581, -82.993652 35.4884206, -82.9936807 35.4881772, -82.9936991 35.48792)"
16599333,,,Meadow Street,residential,,False,False,141.90800000000002,"LINESTRING (-82.9935312 35.4890721, -82.9930958 35.4889133, -82.9926681 35.4897299)"
16593438,,,Seymour Street,residential,,False,True,122.76599999999999,"LINESTRING (-82.9833895 35.4867804, -82.9836242 35.48735, -82.9836297 35.4873621, -82.9838383 35.4878221)"
16607614,2,US 23 Business,South Main Street,primary,,False,False,7.285,"LINESTRING (-82.9911103 35.4853195, -82.9910761 35.4853788)"
16594141,,,Central Street,residential,,False,False,117.27,"LINESTRING (-82.9900165 35.4895826, -82.991225 35.4899621)"
16606031,,,South Haywood Street,residential,,False,False,79.53,"LINESTRING (-82.9900165 35.4895826, -82.9898376 35.4899089, -82.9896584 35.4902357)"
16606031,,,South Haywood Street,residential,,False,True,138.77499999999998,"LINESTRING (-82.9900165 35.4895826, -82.9900886 35.4894722, -82.9903425 35.488988, -82.9904269 35.488834, -82.9904943 35.4887111, -82.9906411 35.4884433)"
16594141,,,Central Street,residential,,False,True,117.27,"LINESTRING (-82.991225 35.4899621, -82.9900165 35.4895826)"
16606711,,,Tate Street,residential,,False,False,79.007,"LINESTRING (-82.991225 35.4899621, -82.990893 35.4906192)"
16606711,,,Tate Street,residential,,False,True,136.614,"LINESTRING (-82.991225 35.4899621, -82.9917991 35.4888259)"
16599333,,,Meadow Street,residential,,False,False,147.734,"LINESTRING (-82.9926681 35.4897299, -82.9920251 35.490951)"
16594277,,,Goodyear Street,residential,,False,False,165.262,"LINESTRING (-82.9926681 35.4897299, -82.9931835 35.4899305, -82.9932511 35.4899687, -82.9933051 35.4900068, -82.994066 35.490654)"
16599333,,,Meadow Street,residential,,False,True,141.90800000000002,"LINESTRING (-82.9926681 35.4897299, -82.9930958 35.4889133, -82.9935312 35.4890721)"
16599119,,,Richland Street,residential,,False,False,232.927,"LINESTRING (-82.994066 35.490654, -82.9921981 35.4920945)"
16594277,,,Goodyear Street,residential,,False,True,165.262,"LINESTRING (-82.994066 35.490654, -82.9933051 35.4900068, -82.9932511 35.4899687, -82.9931835 35.4899305, -82.9926681 35.4897299)"
16595586,,,East Street,residential,,False,False,104.256,"LINESTRING (-82.9865716 35.4893617, -82.9854953 35.4890284)"
