osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge
174867098,MN 62,6th Street,primary,False,True,96.477,"LINESTRING (-95.1229488 43.862391, -95.1217455 43.8623813)",,,
18053816,CR 17,6th Street,tertiary,False,False,84.807,"LINESTRING (-95.1108807 43.8623676, -95.1116351 43.8623709, -95.1119385 43.8623702)",,,
18053816,CR 17,6th Street,tertiary,False,True,54.517,"LINESTRING (-95.1126185 43.8623703, -95.1119385 43.8623702)",,,
18053816,CR 17,6th Street,tertiary,False,False,122.244,"LINESTRING (-95.1126185 43.8623703, -95.113633 43.862363, -95.1141432 43.862365)",,,
18053463,,8th Street,residential,False,False,107.805,"LINESTRING (-95.1133008 43.8642606, -95.1119561 43.8642626)",,,
18053515,,Hale Place,residential,False,False,130.379,"LINESTRING (-95.1133008 43.8642606, -95.1133246 43.865433)",,,
18053515,,Hale Place,residential,False,True,67.75,"LINESTRING (-95.1133008 43.8642606, -95.1133156 43.8636514)",,,
18053463,,8th Street,residential,False,True,107.805,"LINESTRING (-95.1119561 43.8642626, -95.1133008 43.8642606)",,,
18053924,,Miller Avenue,residential,False,False,129.375,"LINESTRING (-95.1119561 43.8642626, -95.1119569 43.8654261)",,,
18053924,,Miller Avenue,residential,False,True,210.43,"LINESTRING (-95.1119561 43.8642626, -95.1119385 43.8623702)",,,
18053464,,8th Street,residential,False,False,65.379,"LINESTRING (-95.1141392 43.864266, -95.1149547 43.8642647)",,,
18054060,,1st Avenue North,residential,False,False,129.154,"LINESTRING (-95.1141392 43.864266, -95.114134 43.8654275)",,,
18054060,,1st Avenue North,residential,False,True,128.742,"LINESTRING (-95.1141392 43.864266, -95.1141358 43.8631082)",,,
18053464,,8th Street,residential,False,False,111.901,"LINESTRING (-95.1149547 43.8642647, -95.1163505 43.8642621)",,,
18053464,,8th Street,residential,False,True,65.379,"LINESTRING (-95.1149547 43.8642647, -95.1141392 43.864266)",,,
18053805,US 71;MN 60,2nd Avenue North,trunk,False,False,127.988,"LINESTRING (-95.1149547 43.8642647, -95.1149594 43.8648346, -95.1149641 43.8654157)",4,30 mph,
18053805,US 71;MN 60,2nd Avenue North,trunk,False,True,127.22900000000001,"LINESTRING (-95.1149547 43.8642647, -95.1149558 43.8638638, -95.1149567 43.863535, -95.1149578 43.8631205)",4,30 mph,
18053464,,8th Street,residential,False,True,111.901,"LINESTRING (-95.1163505 43.8642621, -95.1149547 43.8642647)",,,
18053464,,8th Street,residential,False,False,112.791,"LINESTRING (-95.1163505 43.8642621, -95.1164525 43.8642622, -95.1177574 43.8642638)",,,
18053767,,3rd Avenue,residential,False,False,128.631,"LINESTRING (-95.1163505 43.8642621, -95.1163518 43.8648384, -95.1163529 43.8653309, -95.1163531 43.8654189)",,,
18053767,,3rd Avenue,residential,False,True,127.83099999999999,"LINESTRING (-95.1163505 43.8642621, -95.1163526 43.863856, -95.1163543 43.8635273, -95.1163564 43.8631125)",,,
"[18053464, 18053775]",,"['8th Street', '5th Avenue']",residential,False,False,236.1,"LINESTRING (-95.1177574 43.8642638, -95.119085 43.8642664, -95.1191737 43.8643188, -95.1191608 43.8654022)",,30 mph,
18053464,,8th Street,residential,False,True,112.791,"LINESTRING (-95.1177574 43.8642638, -95.1164525 43.8642622, -95.1163505 43.8642621)",,,
549079578,,4th Avenue,tertiary,False,False,127.53,"LINESTRING (-95.1177574 43.8642638, -95.1177572 43.8648384, -95.1177571 43.8653349, -95.1177571 43.8654107)",,,
549079578,,4th Avenue,tertiary,False,True,127.076,"LINESTRING (-95.1177574 43.8642638, -95.1177544 43.8638599, -95.1177519 43.8635176, -95.117749 43.863121)",,,
59876732,MN 62,6th Street,primary,False,True,110.464,"LINESTRING (-95.1177308 43.8623831, -95.116353 43.8623758)",,,
"[174867097, 174867098, 59876732]",MN 62,6th Street,primary,False,False,230.10200000000003,"LINESTRING (-95.1177308 43.8623831, -95.1187231 43.862382, -95.1197861 43.862382, -95.1206009 43.8623827)",,,yes
549079578,,4th Avenue,tertiary,False,False,82.064,"LINESTRING (-95.1177308 43.8623831, -95.1177326 43.8624566, -95.117749 43.863121)",,,
18053739,,7th Street,residential,False,False,52.208,"LINESTRING (-95.117749 43.863121, -95.1178587 43.863121, -95.1184002 43.863121)",,,
18053739,,7th Street,residential,False,True,111.651,"LINESTRING (-95.117749 43.863121, -95.1164518 43.8631131, -95.1163564 43.8631125)",,,
549079578,,4th Avenue,tertiary,False,False,127.076,"LINESTRING (-95.117749 43.863121, -95.1177519 43.8635176, -95.1177544 43.8638599, -95.1177574 43.8642638)",,,
549079578,,4th Avenue,tertiary,False,True,82.064,"LINESTRING (-95.117749 43.863121, -95.1177326 43.8624566, -95.1177308 43.8623831)",,,
18053840,,9th Street,residential,False,False,112.536,"LINESTRING (-95.1177571 43.8654107, -95.1178581 43.8654101, -95.1183761 43.865407, -95.1191608 43.8654022)",,,
18053840,,9th Street,residential,False,True,112.55999999999999,"LINESTRING (-95.1177571 43.8654107, -95.1175954 43.8654116, -95.1164665 43.8654182, -95.1163531 43.8654189)",,,
549079578,,4th Avenue,tertiary,False,False,126.662,"LINESTRING (-95.1177571 43.8654107, -95.1177569 43.8655153, -95.1177551 43.866467, -95.1177549 43.8665498)",,,
549079578,,4th Avenue,tertiary,False,True,127.53,"LINESTRING (-95.1177571 43.8654107, -95.1177571 43.8653349, -95.1177572 43.8648384, -95.1177574 43.8642638)",,,
18053498,,10th Street,tertiary,False,False,112.04899999999999,"LINESTRING (-95.1177549 43.8665498, -95.1178504 43.8665506, -95.1183762 43.866555, -95.1190139 43.8665604, -95.1191525 43.8665616)",,,
18053498,,10th Street,tertiary,False,True,111.585,"LINESTRING (-95.1177549 43.8665498, -95.1175893 43.8665499, -95.116363 43.866551)",,,
549079578,,4th Avenue,tertiary,False,False,128.942,"LINESTRING (-95.1177549 43.8665498, -95.1177551 43.8666502, -95.1177562 43.867128, -95.1177575 43.8677094)",,,
549079578,,4th Avenue,tertiary,False,True,126.662,"LINESTRING (-95.1177549 43.8665498, -95.1177551 43.866467, -95.1177569 43.8655153, -95.1177571 43.8654107)",,,
292646917,,11th Street,residential,False,False,115.654,"LINESTRING (-95.1177575 43.8677094, -95.1163148 43.8677089)",,,
292646917,,11th Street,residential,False,True,112.22399999999999,"LINESTRING (-95.1177575 43.8677094, -95.1178487 43.8677097, -95.1190133 43.8677134, -95.1191574 43.8677139)",,,
549079578,,4th Avenue,tertiary,False,False,127.13300000000001,"LINESTRING (-95.1177575 43.8677094, -95.1177532 43.8681143, -95.1177496 43.8684469, -95.1177453 43.8688527)",,,
549079578,,4th Avenue,tertiary,False,True,128.94199999999998,"LINESTRING (-95.1177575 43.8677094, -95.1177562 43.867128, -95.1177551 43.8666502, -95.1177549 43.8665498)",,,
