osmid,ref,name,highway,oneway,reversed,length,geometry
112304622,М-14,Слов’янська вулиця,trunk,False,False,236.342,"LINESTRING (36.3414363 46.7373115, 36.3436752 46.7387823)"
108924640,,Дружби вулиця,tertiary,False,True,198.912,"LINESTRING (36.3436752 46.7387823, 36.3453503 46.7374104)"
112304622,М-14,Слов’янська вулиця,trunk,False,True,236.342,"LINESTRING (36.3436752 46.7387823, 36.3414363 46.7373115)"
112387489,,Соборна вулиця,tertiary,False,True,98.842,"LINESTRING (36.3493255 46.734302, 36.3483403 46.7337239)"
112387490,,Соборна вулиця,tertiary,False,False,210.95,"LINESTRING (36.3493255 46.734302, 36.3514424 46.7355243)"
108924640,,Дружби вулиця,tertiary,False,False,131.067,"LINESTRING (36.3493255 46.734302, 36.348515 46.7349777, 36.3482255 46.735208)"
111681756,,Морська вулиця,tertiary,False,True,283.005,"LINESTRING (36.3483403 46.7337239, 36.350796 46.7318148)"
112387489,,Соборна вулиця,tertiary,False,False,98.842,"LINESTRING (36.3483403 46.7337239, 36.3493255 46.734302)"
112387489,,Соборна вулиця,tertiary,False,True,121.84400000000001,"LINESTRING (36.3483403 46.7337239, 36.3480553 46.7335397, 36.3471516 46.7329913)"
110014061,,Крилова вулиця,residential,False,True,136.939,"LINESTRING (36.3514424 46.7355243, 36.350228 46.736432)"
112260940,,Абрикосова вулиця,residential,False,False,155.88,"LINESTRING (36.3514424 46.7355243, 36.3527505 46.7344466)"
112387490,,Соборна вулиця,tertiary,False,False,37.863,"LINESTRING (36.3514424 46.7355243, 36.3518243 46.7357421)"
112387490,,Соборна вулиця,tertiary,False,True,210.95,"LINESTRING (36.3514424 46.7355243, 36.3493255 46.734302)"
112387492,,Новицького вулиця,tertiary,False,False,135.001,"LINESTRING (36.3431024 46.7306328, 36.3419634 46.7315626)"
112387489,,Соборна вулиця,tertiary,False,False,265.821,"LINESTRING (36.3431024 46.7306328, 36.3433146 46.7307564, 36.3457452 46.7321928)"
110018280,,Чапаєва вулиця,residential,False,False,159.89299999999997,"LINESTRING (36.3457452 46.7321928, 36.3469294 46.7312494, 36.346966 46.7310576)"
