osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,bridge,access
169670279,М-21,Коростенська вулиця,trunk,False,False,115.80100000000002,"LINESTRING (28.6685103 50.4556498, 28.6683986 50.4555534, 28.66826 50.4554502, 28.66809 50.4553564, 28.6677584 50.4551798, 28.6676449 50.455104, 28.6675743 50.4550453, 28.6675103 50.4549647, 28.6674743 50.454869)",,,
169670279,М-21,Коростенська вулиця,trunk,False,True,197.449,"LINESTRING (28.6685103 50.4556498, 28.6687777 50.4559348, 28.6698421 50.4572096)",,,
186130748,,вулиця Шевченка,residential,False,False,236.87199999999999,"LINESTRING (28.6685103 50.4556498, 28.6688094 50.4554649, 28.6691621 50.4551398, 28.6701491 50.4540944, 28.6702937 50.4539224, 28.6703343 50.453874)",,,
144829221,,вулиця Івана Франка,unclassified,False,False,151.524,"LINESTRING (28.6706779 50.4509756, 28.6707693 50.4510507, 28.6719941 50.4520501)",,,
172440131,М-21;О-060510,Володимирська вулиця,trunk,False,False,68.925,"LINESTRING (28.6706779 50.4509756, 28.6709733 50.4507939, 28.6711129 50.4507081, 28.6713256 50.4505163)",2,,
172440131,М-21;О-060510,Володимирська вулиця,trunk,False,True,284.80799999999994,"LINESTRING (28.6706779 50.4509756, 28.6696971 50.4515736, 28.6693518 50.4517841, 28.6685665 50.4522905, 28.6685638 50.4522923, 28.6684506 50.4523653, 28.6682912 50.4524681, 28.6678168 50.4527757)",2,,
1092943814,О-060510,Володимирська вулиця,secondary,True,False,107.827,"LINESTRING (28.6724838 50.449887, 28.6723611 50.4499523, 28.6722216 50.4500325, 28.672094 50.4501075, 28.6719235 50.4502029, 28.6713256 50.4505163)",,,
172440132,М-21,Житомирська вулиця,trunk,False,True,55.52,"LINESTRING (28.6714886 50.4500279, 28.6713256 50.4505163)",,,
169670304,,,secondary_link,True,False,72.338,"LINESTRING (28.6714886 50.4500279, 28.6719795 50.4499367, 28.6724838 50.449887)",,,
172440132,М-21,Житомирська вулиця,trunk,False,False,55.52,"LINESTRING (28.6713256 50.4505163, 28.6714886 50.4500279)",,,
172440131,М-21;О-060510,Володимирська вулиця,trunk,False,True,68.925,"LINESTRING (28.6713256 50.4505163, 28.6711129 50.4507081, 28.6709733 50.4507939, 28.6706779 50.4509756)",2,,
144829218,О-060510,майдан Рад,tertiary,False,False,19.278,"LINESTRING (28.6648213 50.4537582, 28.6650936 50.453758)",,,
"[944843337, 144829218, 944843338]",О-060510,майдан Рад,tertiary,False,True,97.99600000000001,"LINESTRING (28.6648213 50.4537582, 28.6639603 50.4540017, 28.6635778 50.4541125, 28.6635579 50.4541182)",,yes,
304575550,,,residential,False,False,101.928,"LINESTRING (28.6648213 50.4537582, 28.664812 50.4537348, 28.66459 50.4531731, 28.6644761 50.4528683)",,,
543183691,О-060510,Слобідська вулиця,tertiary,False,True,253.58900000000003,"LINESTRING (28.6635579 50.4541182, 28.6633795 50.4541555, 28.6631411 50.4541798, 28.6630696 50.4541871, 28.6623399 50.454203, 28.6602708 50.4542479, 28.6599916 50.4542599)",,,
"[944843337, 944843338, 144829218]",О-060510,майдан Рад,tertiary,False,False,97.99600000000001,"LINESTRING (28.6635579 50.4541182, 28.6635778 50.4541125, 28.6639603 50.4540017, 28.6648213 50.4537582)",,yes,
186130725,,Шкільна вулиця,residential,False,False,244.38,"LINESTRING (28.6599916 50.4542599, 28.6599799 50.4552079, 28.6599513 50.4564575)",,,
543183691,О-060510,Слобідська вулиця,tertiary,False,False,253.58900000000003,"LINESTRING (28.6599916 50.4542599, 28.6602708 50.4542479, 28.6623399 50.454203, 28.6630696 50.4541871, 28.6631411 50.4541798, 28.6633795 50.4541555, 28.6635579 50.4541182)",,,
186130749,,вулиця Юліана Мовчана,residential,False,True,103.84,"LINESTRING (28.6698421 50.4572096, 28.6711203 50.4567515)",,,
169670279,М-21,Коростенська вулиця,trunk,False,False,197.449,"LINESTRING (28.6698421 50.4572096, 28.6687777 50.4559348, 28.6685103 50.4556498)",,,
144829221,,вулиця Івана Франка,unclassified,False,False,26.285,"LINESTRING (28.6719941 50.4520501, 28.6721215 50.4521587, 28.6722181 50.4522386)",,,
144829221,,вулиця Івана Франка,unclassified,False,True,151.524,"LINESTRING (28.6719941 50.4520501, 28.6707693 50.4510507, 28.6706779 50.4509756)",,,
186130748,,вулиця Шевченка,residential,False,True,234.394,"LINESTRING (28.6719941 50.4520501, 28.6704185 50.4537815, 28.6703343 50.453874)",,,
186130725,,Шкільна вулиця,residential,False,True,99.882,"LINESTRING (28.6598369 50.4573528, 28.6599513 50.4564575)",,,
186130725,,Шкільна вулиця,residential,False,False,99.882,"LINESTRING (28.6599513 50.4564575, 28.6598369 50.4573528)",,,
186130725,,Шкільна вулиця,residential,False,True,244.38,"LINESTRING (28.6599513 50.4564575, 28.6599799 50.4552079, 28.6599916 50.4542599)",,,
186130749,,вулиця Юліана Мовчана,residential,False,False,108.433,"LINESTRING (28.6724499 50.4562674, 28.6711203 50.4567515)",,,
186130747,,вулиця Романа Шухевича,residential,False,False,305.386,"LINESTRING (28.6724499 50.4562674, 28.6716191 50.4553275, 28.6703343 50.453874)",,,yes
186130747,,вулиця Романа Шухевича,residential,False,True,305.386,"LINESTRING (28.6703343 50.453874, 28.6716191 50.4553275, 28.6724499 50.4562674)",,,yes
186130748,,вулиця Шевченка,residential,False,False,234.394,"LINESTRING (28.6703343 50.453874, 28.6704185 50.4537815, 28.6719941 50.4520501)",,,
186130748,,вулиця Шевченка,residential,False,True,236.872,"LINESTRING (28.6703343 50.453874, 28.6702937 50.4539224, 28.6701491 50.4540944, 28.6691621 50.4551398, 28.6688094 50.4554649, 28.6685103 50.4556498)",,,
186130749,,вулиця Юліана Мовчана,residential,False,False,103.84,"LINESTRING (28.6711203 50.4567515, 28.6698421 50.4572096)",,,
186130749,,вулиця Юліана Мовчана,residential,False,True,108.433,"LINESTRING (28.6711203 50.4567515, 28.6724499 50.4562674)",,,
186130751,,вулиця Корольова,residential,False,True,115.814,"LINESTRING (28.6711203 50.4567515, 28.6703475 50.4558335)",,,
186130751,,вулиця Корольова,residential,False,False,115.814,"LINESTRING (28.6703475 50.4558335, 28.6711203 50.4567515)",,,
172440131,М-21;О-060510,Володимирська вулиця,trunk,False,False,284.808,"LINESTRING (28.6678168 50.4527757, 28.6682912 50.4524681, 28.6684506 50.4523653, 28.6685638 50.4522923, 28.6685665 50.4522905, 28.6693518 50.4517841, 28.6696971 50.4515736, 28.6706779 50.4509756)",2,,
172440131,М-21;О-060510,Володимирська вулиця,trunk,False,True,83.576,"LINESTRING (28.6678168 50.4527757, 28.6676311 50.4528961, 28.6668979 50.4532451)",2,,
