osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed
125954508,Т-20-13,Вишнівецька вулиця,secondary,False,False,32.157,"LINESTRING (25.3877313 49.8043007, 25.3873935 49.8041107)",
224026760,,вулиця Олени Пчілки,residential,False,False,166.32099999999997,"LINESTRING (25.3877313 49.8043007, 25.3873496 49.804583, 25.3868843 49.8049564, 25.3862656 49.805459)",
125954508,Т-20-13,Вишнівецька вулиця,secondary,False,True,105.008,"LINESTRING (25.3863116 49.8034749, 25.3873935 49.8041107)",
125954508,Т-20-13,Вишнівецька вулиця,secondary,False,False,101.111,"LINESTRING (25.3863116 49.8034749, 25.3858731 49.8031955, 25.3856172 49.803005, 25.3854777 49.8028721, 25.3853984 49.8027874)",
224026768,,вулиця Лесі Українки,residential,False,False,254.68,"LINESTRING (25.3863116 49.8034749, 25.3864083 49.8034104, 25.3865204 49.8033458, 25.3892489 49.8021951)",
125954508,Т-20-13,Вишнівецька вулиця,secondary,False,False,72.918,"LINESTRING (25.3853984 49.8027874, 25.3851619 49.8025228, 25.3850279 49.8024009, 25.3848293 49.8022463)",
125954508,Т-20-13,Вишнівецька вулиця,secondary,False,True,101.11099999999999,"LINESTRING (25.3853984 49.8027874, 25.3854777 49.8028721, 25.3856172 49.803005, 25.3858731 49.8031955, 25.3863116 49.8034749)",
224026773,,вулиця Адама Міцкевича,residential,False,False,252.20899999999997,"LINESTRING (25.3853984 49.8027874, 25.3866627 49.8021158, 25.3872565 49.8018438, 25.388144 49.8014374, 25.3882036 49.8014309)",
224026790,,вулиця Адама Міцкевича,residential,False,True,173.755,"LINESTRING (25.3853984 49.8027874, 25.3853321 49.8028231, 25.3842285 49.8034181, 25.3838095 49.8036439, 25.3837038 49.8037154, 25.3836179 49.8037839, 25.3835793 49.8038146)",
125954509,Р-39,вулиця Тараса Шевченка,primary,False,False,89.488,"LINESTRING (25.3811609 49.8015036, 25.3813303 49.8014127, 25.3816118 49.8013425, 25.3823154 49.8012302)",50
557909233,Т-20-13,Зборівська вулиця,secondary,False,False,475.08299999999997,"LINESTRING (25.3811609 49.8015036, 25.3807777 49.8012293, 25.3793621 49.8000379, 25.3778996 49.798723, 25.3776334 49.7984166, 25.3773499 49.7980255)",
