osmid,ref,name,highway,oneway,reversed,length,maxspeed,geometry,bridge
71761621,Т-13-07,Паркова вулиця,secondary,False,False,3.011,,"LINESTRING (39.5699453 49.5250263, 39.5699054 49.5250342)",
479850757,Т-13-14,Єременка вулиця,secondary,False,True,114.851,50,"LINESTRING (39.5699453 49.5250263, 39.569885 49.5256572, 39.5697729 49.5260513)",
71761621,Т-13-07,Паркова вулиця,secondary,False,True,139.027,,"LINESTRING (39.5680616 49.5253959, 39.5699054 49.5250342)",
353422822,,Вишнева вулиця,residential,False,False,204.436,,"LINESTRING (39.5680616 49.5253959, 39.5680074 49.5249736, 39.5681884 49.5246364, 39.5686335 49.5238072, 39.5687636 49.5236487)",
479850757,Т-13-14,Єременка вулиця,secondary,False,False,114.851,50,"LINESTRING (39.5697729 49.5260513, 39.569885 49.5256572, 39.5699453 49.5250263)",
"[479850756, 479850757, 353416478]",Т-13-14,Єременка вулиця,secondary,False,True,182.078,50,"LINESTRING (39.5697729 49.5260513, 39.5695408 49.5270731, 39.5694836 49.5273249, 39.5694273 49.527573, 39.5693937 49.5276699)",yes
353422810,,Східна вулиця,residential,False,False,44.112,,"LINESTRING (39.5690335 49.5283549, 39.5696421 49.5283914)",
353416478,Т-13-14,Єременка вулиця,secondary,False,False,82.409,50,"LINESTRING (39.5690335 49.5283549, 39.5691938 49.5282459, 39.5693937 49.5276699)",
353422810,,Східна вулиця,residential,False,True,44.112,,"LINESTRING (39.5696421 49.5283914, 39.5690335 49.5283549)",
353422821,,,residential,False,False,272.867,,"LINESTRING (39.5693937 49.5276699, 39.5656251 49.5278658)",
"[479850756, 479850757, 353416478]",Т-13-14,Єременка вулиця,secondary,False,False,182.07799999999997,50,"LINESTRING (39.5693937 49.5276699, 39.5694273 49.527573, 39.5694836 49.5273249, 39.5695408 49.5270731, 39.5697729 49.5260513)",yes
353416478,Т-13-14,Єременка вулиця,secondary,False,True,82.409,50,"LINESTRING (39.5693937 49.5276699, 39.5691938 49.5282459, 39.5690335 49.5283549)",
353422821,,,residential,False,True,272.867,,"LINESTRING (39.5656251 49.5278658, 39.5693937 49.5276699)",
353422822,,Вишнева вулиця,residential,False,False,431.28200000000004,,"LINESTRING (39.5687636 49.5236487, 39.5689495 49.5236102, 39.5690332 49.5235657, 39.569086 49.5235144, 39.5691011 49.5234479, 39.5691458 49.5232477, 39.5690812 49.521503, 39.5690731 49.5198977)",
353422822,,Вишнева вулиця,residential,False,True,204.436,,"LINESTRING (39.5687636 49.5236487, 39.5686335 49.5238072, 39.5681884 49.5246364, 39.5680074 49.5249736, 39.5680616 49.5253959)",
353424163,,,residential,False,False,495.567,,"LINESTRING (39.5687636 49.5236487, 39.5683679 49.5235136, 39.5674979 49.5234291, 39.5673841 49.5231863, 39.5673353 49.5207742, 39.5672946 49.5198452)",
353424164,,Поштовий провулок,residential,False,True,197.803,,"LINESTRING (39.5690731 49.5198977, 39.5717916 49.5201211)",
353422822,,Вишнева вулиця,residential,False,True,431.282,,"LINESTRING (39.5690731 49.5198977, 39.5690812 49.521503, 39.5691458 49.5232477, 39.5691011 49.5234479, 39.569086 49.5235144, 39.5690332 49.5235657, 39.5689495 49.5236102, 39.5687636 49.5236487)",
353424164,,Поштовий провулок,residential,False,False,128.553,,"LINESTRING (39.5690731 49.5198977, 39.5689337 49.519886, 39.5672946 49.5198452)",
353424163,,,residential,False,True,495.56699999999995,,"LINESTRING (39.5672946 49.5198452, 39.5673353 49.5207742, 39.5673841 49.5231863, 39.5674979 49.5234291, 39.5683679 49.5235136, 39.5687636 49.5236487)",
353424164,,Поштовий провулок,residential,False,False,159.666,,"LINESTRING (39.5672946 49.5198452, 39.5662539 49.5197871, 39.5651074 49.5196446)",
353424164,,Поштовий провулок,residential,False,True,128.553,,"LINESTRING (39.5672946 49.5198452, 39.5689337 49.519886, 39.5690731 49.5198977)",
140488202,,Центральна вулиця,residential,False,False,41.062,,"LINESTRING (39.5717916 49.5201211, 39.571919 49.5197612)",
353424164,,Поштовий провулок,residential,False,False,197.803,,"LINESTRING (39.5717916 49.5201211, 39.5690731 49.5198977)",
140488202,,Центральна вулиця,residential,False,True,563.4390000000001,,"LINESTRING (39.5717916 49.5201211, 39.5714277 49.5210609, 39.570605 49.5231852, 39.5701764 49.5241552, 39.5699331 49.5248177, 39.5699111 49.5249254, 39.5699054 49.5250342)",
353424164,,Поштовий провулок,residential,False,True,159.666,,"LINESTRING (39.5651074 49.5196446, 39.5662539 49.5197871, 39.5672946 49.5198452)",
140488202,,Центральна вулиця,residential,False,True,41.062,,"LINESTRING (39.571919 49.5197612, 39.5717916 49.5201211)",
71761621,Т-13-07,Паркова вулиця,secondary,False,False,139.027,,"LINESTRING (39.5699054 49.5250342, 39.5680616 49.5253959)",
71761621,Т-13-07,Паркова вулиця,secondary,False,True,3.011,,"LINESTRING (39.5699054 49.5250342, 39.5699453 49.5250263)",
140488202,,Центральна вулиця,residential,False,False,563.439,,"LINESTRING (39.5699054 49.5250342, 39.5699111 49.5249254, 39.5699331 49.5248177, 39.5701764 49.5241552, 39.570605 49.5231852, 39.5714277 49.5210609, 39.5717916 49.5201211)",
