osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed
154523572,Семінарська вулиця,residential,False,True,8.546,"LINESTRING (26.51453 50.3304357, 26.5145695 50.3305083)",,,
154523572,Семінарська вулиця,residential,False,False,134.296,"LINESTRING (26.51453 50.3304357, 26.5139479 50.3294074, 26.5139148 50.3293516, 26.5138855 50.3293002)",,,
225685917,проспект Незалежності,primary,True,False,71.38499999999999,"LINESTRING (26.51453 50.3304357, 26.5147889 50.3303933, 26.5155217 50.3303354)",2,Н-25,50
209338502,Татарська вулиця,primary,False,False,136.92000000000002,"LINESTRING (26.5249527 50.3290529, 26.5242577 50.3283397, 26.5239137 50.3280157)",,Н-25,50
210285603,Східна вулиця,primary,False,True,74.497,"LINESTRING (26.5249527 50.3290529, 26.5251999 50.3289616, 26.5254195 50.3288805, 26.5258611 50.3287174)",2,Н-25,50
896311090,Татарська вулиця,secondary,False,False,208.775,"LINESTRING (26.5249527 50.3290529, 26.5251299 50.329237, 26.5252505 50.3293622, 26.5254769 50.3295974, 26.5257378 50.3298722, 26.5257664 50.329918, 26.5257786 50.329977, 26.5257773 50.3300955, 26.5257514 50.3307851)",,Т-18-31,
892985092,проспект Незалежності,primary,True,False,70.271,"LINESTRING (26.5155217 50.3303354, 26.5148176 50.3304629, 26.5145695 50.3305083)",2,Н-25,50
892985093,проспект Незалежності,primary,False,True,112.197,"LINESTRING (26.5155217 50.3303354, 26.5160367 50.3302737, 26.5161693 50.3302527, 26.5165114 50.3301984, 26.5169654 50.3301145, 26.5170563 50.3300972)",2,Н-25,50
115602807,,unclassified,False,False,95.533,"LINESTRING (26.5234332 50.3253682, 26.5235898 50.325362, 26.5238058 50.3253072, 26.5241749 50.3252018, 26.5246864 50.3250692)",,,
252962311,вулиця Гальшки Острозької,tertiary,False,False,107.59500000000001,"LINESTRING (26.5234332 50.3253682, 26.5234555 50.3254569, 26.52365 50.3262316, 26.523699 50.3263194)",,,
899981823,,residential,False,False,74.586,"LINESTRING (26.516236 50.3267132, 26.5167996 50.3261471)",,,
154523565,вулиця Князів Острозьких,primary,False,False,156.978,"LINESTRING (26.516236 50.3267132, 26.5157879 50.3264823, 26.5156404 50.3264254, 26.5147687 50.3261129, 26.5143616 50.3259716)",,Р-26,50
154523565,вулиця Князів Острозьких,primary,False,True,163.793,"LINESTRING (26.516236 50.3267132, 26.5175267 50.3274228, 26.5180367 50.3276294)",,Р-26,50
896311090,Татарська вулиця,secondary,False,False,59.262,"LINESTRING (26.5257514 50.3307851, 26.5257421 50.3311982, 26.5257394 50.331318)",,Т-18-31,
896311090,Татарська вулиця,secondary,False,True,208.77499999999998,"LINESTRING (26.5257514 50.3307851, 26.5257773 50.3300955, 26.5257786 50.329977, 26.5257664 50.329918, 26.5257378 50.3298722, 26.5254769 50.3295974, 26.5252505 50.3293622, 26.5251299 50.329237, 26.5249527 50.3290529)",,Т-18-31,
115602756,вулиця Просвіти,residential,False,False,78.873,"LINESTRING (26.5151112 50.3332426, 26.5147357 50.332575)",,,
209338496,Луцька вулиця,tertiary,False,False,133.563,"LINESTRING (26.5151112 50.3332426, 26.5154372 50.3331998, 26.516888 50.3328535)",,,
899526514,Красногірська вулиця,residential,False,True,44.798,"LINESTRING (26.5233748 50.3300717, 26.5239103 50.3298585)",,,
115602801,Красногірська вулиця,residential,False,False,79.45500000000001,"LINESTRING (26.5233748 50.3300717, 26.5233055 50.3300238, 26.523231 50.3299904, 26.523136 50.3299879, 26.5230691 50.3299709, 26.5229287 50.3298322, 26.5228622 50.3297594, 26.5226765 50.3295563)",,,
115602801,Красногірська вулиця,residential,False,True,117.787,"LINESTRING (26.5233748 50.3300717, 26.5236736 50.3305109, 26.5240023 50.3309335, 26.5240645 50.3310346)",,,
115602756,вулиця Просвіти,residential,False,True,9.629,"LINESTRING (26.513704 50.3306198, 26.5137494 50.3307014)",,,
225685917,проспект Незалежності,primary,True,False,62.120000000000005,"LINESTRING (26.513704 50.3306198, 26.5140666 50.3305318, 26.51453 50.3304357)",2,Н-25,50
209338496,Луцька вулиця,tertiary,False,False,75.241,"LINESTRING (26.5179682 50.3323606, 26.5184802 50.3320855, 26.5186036 50.3320236, 26.5187054 50.3319914, 26.5188236 50.3319773)",,,
209338496,Луцька вулиця,tertiary,False,True,94.955,"LINESTRING (26.5179682 50.3323606, 26.5177523 50.3324814, 26.5172531 50.3327453, 26.516888 50.3328535)",,,
154523565,вулиця Князів Острозьких,primary,False,False,163.793,"LINESTRING (26.5180367 50.3276294, 26.5175267 50.3274228, 26.516236 50.3267132)",,Р-26,50
225685915,вулиця Князів Острозьких,primary,False,True,46.516,"LINESTRING (26.5180367 50.3276294, 26.5183303 50.3277582, 26.5184728 50.3278188, 26.5185764 50.3278666)",,Р-26,50
209338503,вулиця Вʼячеслава Чорновола,tertiary,False,False,186.38599999999997,"LINESTRING (26.5226788 50.3313758, 26.522727 50.3312035, 26.5227275 50.331111, 26.5225275 50.3307961, 26.522154 50.3302619, 26.5220927 50.3301775, 26.5218554 50.3298172)",2,,
209338503,вулиця Вʼячеслава Чорновола,tertiary,False,True,204.16199999999998,"LINESTRING (26.5226788 50.3313758, 26.5225638 50.3313901, 26.5224512 50.3314235, 26.5223075 50.3315177, 26.5210024 50.3324191, 26.5208611 50.3325167, 26.520579 50.332578)",2,,
252962308,Козацька вулиця,tertiary,False,True,140.389,"LINESTRING (26.5226788 50.3313758, 26.5228601 50.3313786, 26.5231083 50.3313807, 26.5232924 50.3313735, 26.5234691 50.3313541, 26.5236958 50.3313096, 26.5238922 50.3312741, 26.524092 50.3312598, 26.5246339 50.3312707)",2,,
115602749,вулиця Дмитра Яворницького,residential,False,False,104.95599999999999,"LINESTRING (26.52453 50.3270085, 26.5245951 50.3269753, 26.5253158 50.3266074, 26.5254701 50.326562, 26.5256284 50.3265381, 26.5257666 50.3265244)",,,
225685920,вулиця Гальшки Острозької,tertiary,False,False,64.359,"LINESTRING (26.52453 50.3270085, 26.524915 50.3273401, 26.5249843 50.3273992, 26.5250709 50.327473)",2,,
225685920,вулиця Гальшки Острозької,tertiary,False,True,96.772,"LINESTRING (26.52453 50.3270085, 26.5243338 50.3268528, 26.5242876 50.326816, 26.5237775 50.3264014, 26.5237577 50.3263807, 26.523699 50.3263194)",2,,
892985093,проспект Незалежності,primary,False,True,47.818,"LINESTRING (26.5170563 50.3300972, 26.5177012 50.3299729)",2,Н-25,50
363715240,Валова вулиця,residential,False,True,168.996,"LINESTRING (26.5170563 50.3300972, 26.5172317 50.3304305, 26.5173671 50.3305811, 26.5175441 50.3306975, 26.5178418 50.3308799, 26.518047 50.3310382, 26.5182367 50.3312194, 26.5183845 50.3313302)",,,
892985093,проспект Незалежності,primary,False,False,112.19699999999999,"LINESTRING (26.5170563 50.3300972, 26.5169654 50.3301145, 26.5165114 50.3301984, 26.5161693 50.3302527, 26.5160367 50.3302737, 26.5155217 50.3303354)",2,Н-25,50
115602778,Садовий провулок,residential,False,True,188.101,"LINESTRING (26.5246864 50.3250692, 26.5247861 50.3256606, 26.5248343 50.3257961, 26.5249176 50.325904, 26.5250503 50.3260178, 26.5252342 50.3261238, 26.5254418 50.3262403, 26.5256792 50.3263903, 26.525741 50.3264493, 26.5257666 50.3265244)",,,
115602807,,unclassified,False,True,95.53300000000002,"LINESTRING (26.5246864 50.3250692, 26.5241749 50.3252018, 26.5238058 50.3253072, 26.5235898 50.325362, 26.5234332 50.3253682)",,,
209338503,вулиця Вʼячеслава Чорновола,tertiary,False,False,204.162,"LINESTRING (26.520579 50.332578, 26.5208611 50.3325167, 26.5210024 50.3324191, 26.5223075 50.3315177, 26.5224512 50.3314235, 26.5225638 50.3313901, 26.5226788 50.3313758)",2,,
899156233,Валова вулиця,tertiary,False,True,143.496,"LINESTRING (26.520579 50.332578, 26.5204543 50.3325715, 26.520321 50.3325418, 26.519639 50.332248, 26.519584 50.3322247, 26.5192588 50.332086, 26.5191092 50.332027, 26.5190201 50.331999, 26.5189275 50.3319827, 26.5188236 50.3319773)",2,,
"[210192408, 115602865]",Академічна вулиця,residential,False,"[False, True]",359.639,"LINESTRING (26.52308 50.3278466, 26.5229782 50.3277884, 26.5228747 50.3277308, 26.522703 50.3277195, 26.5224834 50.3277011, 26.5219006 50.3276157, 26.521238 50.3274156, 26.5209841 50.3273421, 26.5208151 50.3272908, 26.5206069 50.3272281, 26.5204897 50.3271984, 26.5203405 50.3271962, 26.5199838 50.3272556, 26.5195968 50.3273411, 26.519478 50.3273732, 26.5193192 50.3274476, 26.5190737 50.3275812, 26.5188391 50.3277062, 26.518643 50.3278255, 26.5185764 50.3278666)",,,
115602865,Академічна вулиця,residential,False,True,48.205000000000005,"LINESTRING (26.52308 50.3278466, 26.5234424 50.3281295, 26.5234728 50.3281543, 26.5235081 50.3281831)",,,
210781808,Замкова вулиця,residential,False,True,184.58299999999997,"LINESTRING (26.52308 50.3278466, 26.5232373 50.3277034, 26.5233645 50.3275838, 26.5234529 50.3274716, 26.5234409 50.3273757, 26.5233603 50.3272307, 26.5230949 50.3269468, 26.5229501 50.3268047, 26.522808 50.3266543, 26.5230521 50.3264108)",,,
