osmid,name,highway,oneway,reversed,length,geometry,ref
231969418,вулиця Чубинського,residential,False,True,172.264,"LINESTRING (25.9774698 49.4232854, 25.9762073 49.424047, 25.9759328 49.4241462, 25.9756021 49.4240804)",
287834556,вулиця Михайла Грушевського,secondary,False,False,84.6,"LINESTRING (25.9774698 49.4232854, 25.9776205 49.4229782, 25.9777344 49.4226368, 25.9777673 49.4225504)",Т-20-02
287834556,вулиця Михайла Грушевського,secondary,False,True,112.249,"LINESTRING (25.9774698 49.4232854, 25.9773351 49.423818, 25.9773191 49.4242876)",Т-20-02
287834556,вулиця Михайла Грушевського,secondary,False,True,84.58,"LINESTRING (25.9773191 49.4242876, 25.9772965 49.4250481)",Т-20-02
172317727,вулиця Незалежності,tertiary,False,False,208.277,"LINESTRING (25.9773191 49.4242876, 25.9787098 49.4240616, 25.9800845 49.4238675, 25.9801235 49.4238635)",О201215
287834556,вулиця Михайла Грушевського,secondary,False,False,112.249,"LINESTRING (25.9773191 49.4242876, 25.9773351 49.423818, 25.9774698 49.4232854)",Т-20-02
287834556,вулиця Михайла Грушевського,secondary,False,False,84.58,"LINESTRING (25.9772965 49.4250481, 25.9773191 49.4242876)",Т-20-02
287795046,вулиця Чорновола,residential,False,False,322.941,"LINESTRING (25.9772965 49.4250481, 25.9774847 49.4249734, 25.9783184 49.4248427, 25.9784312 49.4248279, 25.9789012 49.4248005, 25.979906 49.4247173, 25.9811191 49.4246241, 25.9813961 49.4246067, 25.9815661 49.4246328, 25.9816529 49.4246795)",
287834556,вулиця Михайла Грушевського,secondary,False,True,30.957,"LINESTRING (25.9772965 49.4250481, 25.9772228 49.4251723, 25.9771228 49.4253022)",Т-20-02
231969418,вулиця Чубинського,residential,False,False,122.899,"LINESTRING (25.9719493 49.4271672, 25.9719423 49.4270723, 25.9719278 49.4268745, 25.9718683 49.4260632)",
287834562,Тернопільська вулиця,secondary,False,False,336.179,"LINESTRING (25.9719493 49.4271672, 25.9724769 49.4268113, 25.9725975 49.4267299, 25.9731201 49.4265317, 25.9731838 49.4265144, 25.9738695 49.4263195, 25.9743371 49.4261871, 25.974544 49.4261285, 25.9747495 49.4260675, 25.9754547 49.4258584, 25.9759601 49.4257085)",Т-20-02
287834562,Тернопільська вулиця,secondary,False,True,135.822,"LINESTRING (25.9719493 49.4271672, 25.9710161 49.4280025, 25.9708489 49.428157)",Т-20-02
172554546,проспект Тараса Шевченка,secondary,False,False,214.893,"LINESTRING (25.9759601 49.4257085, 25.976074 49.4257963, 25.9764286 49.4261019, 25.976568 49.4262246, 25.9767886 49.4263678, 25.977483 49.426785, 25.9778077 49.4269605, 25.978034 49.4270808)",
287834556,вулиця Михайла Грушевського,secondary,False,False,95.981,"LINESTRING (25.9759601 49.4257085, 25.9768387 49.4254465, 25.9769448 49.4253955, 25.9771228 49.4253022)",Т-20-02
287834562,Тернопільська вулиця,secondary,False,True,336.179,"LINESTRING (25.9759601 49.4257085, 25.9754547 49.4258584, 25.9747495 49.4260675, 25.974544 49.4261285, 25.9743371 49.4261871, 25.9738695 49.4263195, 25.9731838 49.4265144, 25.9731201 49.4265317, 25.9725975 49.4267299, 25.9724769 49.4268113, 25.9719493 49.4271672)",Т-20-02
172554546,проспект Тараса Шевченка,secondary,False,True,34.002,"LINESTRING (25.9784055 49.427268, 25.9782277 49.4271839, 25.978034 49.4270808)",
287795044,проспект Тараса Шевченка,residential,False,False,166.487,"LINESTRING (25.9784055 49.427268, 25.9786347 49.4273369, 25.9788785 49.4274289, 25.9798198 49.4278136, 25.9803567 49.4280587)",
287826487,вулиця Данила Галицького,secondary,False,False,118.848,"LINESTRING (25.9784055 49.427268, 25.9787419 49.4277549, 25.9790005 49.4282628)",
287795042,вулиця Шашкевича,secondary,False,True,93.682,"LINESTRING (25.9810229 49.4283807, 25.9799819 49.4288821)",
287795044,проспект Тараса Шевченка,residential,False,True,60.028,"LINESTRING (25.9810229 49.4283807, 25.9803567 49.4280587)",
287776880,вулиця Коновальця,residential,False,False,160.235,"LINESTRING (25.9810229 49.4283807, 25.9811401 49.4282093, 25.9814313 49.4279431, 25.9819541 49.4274285, 25.9820669 49.4273037, 25.9822019 49.4271638)",
287795042,вулиця Шашкевича,secondary,False,False,44.479,"LINESTRING (25.9794486 49.4290594, 25.9796619 49.4290371, 25.9799819 49.4288821)",
287826487,вулиця Данила Галицького,secondary,False,True,94.826,"LINESTRING (25.9794486 49.4290594, 25.9792462 49.4288191, 25.9790005 49.4282628)",
"[231969432, 231969466]",вулиця Богдана Хмельницького,residential,False,"[False, True]",292.219,"LINESTRING (25.9777673 49.4225504, 25.9770951 49.4228055, 25.9763861 49.423027, 25.9751698 49.4234015, 25.9756021 49.4240804)",
287795043,вулиця Тараса Шевченка,residential,False,False,108.217,"LINESTRING (25.9777673 49.4225504, 25.9779874 49.4224607, 25.9785574 49.4223394, 25.9789573 49.4222586, 25.979168 49.4222949)",
287834556,вулиця Михайла Грушевського,secondary,False,False,169.85100000000003,"LINESTRING (25.9777673 49.4225504, 25.977778 49.4224298, 25.9777143 49.4222005, 25.97752 49.4219133, 25.9768785 49.4212781, 25.9767837 49.4211995)",Т-20-02
287834556,вулиця Михайла Грушевського,secondary,False,True,84.6,"LINESTRING (25.9777673 49.4225504, 25.9777344 49.4226368, 25.9776205 49.4229782, 25.9774698 49.4232854)",Т-20-02
