osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,junction,bridge
80307864,Unity Street,residential,False,False,53.242,,,,"LINESTRING (-3.4489823 51.7102243, -3.4496518 51.7104634)",,
990082978,Monk Street,primary,False,True,22.72,2,A4233,20 mph,"LINESTRING (-3.4489823 51.7102243, -3.4490977 51.7100329)",,
129848840,Monk Street,primary,False,False,65.215,2,A4233,20 mph,"LINESTRING (-3.4489823 51.7102243, -3.4488072 51.7104112, -3.4484735 51.7107185)",,
13253848,High Street,primary,True,False,35.873,1,,20 mph,"LINESTRING (-3.4451594 51.7127406, -3.4453937 51.7127449, -3.4455087 51.7127532, -3.4456765 51.7127719)",,
839401134,Monk Street,primary,True,False,33.798,,A4233,20 mph,"LINESTRING (-3.4451594 51.7127406, -3.4453953 51.7127146, -3.4454615 51.7127005, -3.445519 51.7126756, -3.4456014 51.7126297)",,
26337099,High Street,primary,False,False,54.123000000000005,2,A4233,20 mph,"LINESTRING (-3.44828 51.7142319, -3.4484132 51.714291, -3.4485459 51.7143316, -3.448993 51.7144287)",,
26337099,High Street,primary,False,True,77.725,2,A4233,20 mph,"LINESTRING (-3.44828 51.7142319, -3.4481842 51.7141589, -3.4481018 51.7140549, -3.4479371 51.7137935, -3.4478355 51.7135948)",,
70725159,Seymour Street,residential,False,False,83.503,,,,"LINESTRING (-3.44828 51.7142319, -3.4481482 51.7142959, -3.4477717 51.7143871, -3.4476322 51.7144248, -3.4475028 51.7144437, -3.4471517 51.714477)",,
25165226,Gadlys Road,secondary,False,False,77.298,2,B4275,20 mph,"LINESTRING (-3.4507902 51.7151956, -3.4513943 51.7157814)",,
25165226,Gadlys Road,secondary,False,True,37.481,2,B4275,20 mph,"LINESTRING (-3.4507902 51.7151956, -3.4504765 51.7149202)",,
80307892,Elm Grove,residential,False,False,132.176,,,,"LINESTRING (-3.4507902 51.7151956, -3.4506497 51.7152774, -3.4505855 51.7153365, -3.4501813 51.7157388, -3.4499342 51.7159187, -3.4495978 51.7161173)",,
24812532,Canon Street,primary,True,False,79.394,1,A4233,20 mph,"LINESTRING (-3.4478355 51.7135948, -3.4477571 51.7135234, -3.4476872 51.7134637, -3.4476252 51.713433, -3.4475686 51.7134215, -3.4474893 51.713417, -3.4474265 51.7134241, -3.4471797 51.7134737, -3.4468386 51.7135278)",,
26337099,High Street,primary,False,False,77.725,2,A4233,20 mph,"LINESTRING (-3.4478355 51.7135948, -3.4479371 51.7137935, -3.4481018 51.7140549, -3.4481842 51.7141589, -3.44828 51.7142319)",,
26337096,Victoria Square,primary,True,False,49.15,1,,20 mph,"LINESTRING (-3.4442328 51.7132016, -3.4442246 51.7131525, -3.4442404 51.7131242, -3.4442774 51.7130919, -3.4443601 51.7130207, -3.4444626 51.7129455, -3.4446207 51.7128498)",,
26337098,Cardiff Street,secondary,False,False,36.033,,B4275,20 mph,"LINESTRING (-3.4442328 51.7132016, -3.444003 51.7130362, -3.4438975 51.712953)",,
24812535,,primary,True,False,5.079,2,A4059,40 mph,"LINESTRING (-3.4404563 51.7109152, -3.4404133 51.7109523)",roundabout,
24812535,,primary,True,False,9.862,2,A4059,40 mph,"LINESTRING (-3.4401642 51.7110258, -3.4401165 51.7110252, -3.4400693 51.7110205, -3.4400237 51.711012)",roundabout,
24812535,,primary,True,False,20.523,2,A4059,40 mph,"LINESTRING (-3.4397988 51.7107712, -3.4398284 51.7107124, -3.4398831 51.7106611, -3.4399586 51.7106212)",roundabout,
1082500096,,primary,True,False,51.745000000000005,2,A4059,40 mph,"LINESTRING (-3.4397988 51.7107712, -3.4397227 51.7106721, -3.4394987 51.7103447)",,
24812535,,primary,True,False,19.200000000000003,2,A4059,40 mph,"LINESTRING (-3.4400672 51.7105929, -3.4401596 51.7105871, -3.4402513 51.7105965, -3.4403359 51.7106202)",roundabout,
