osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes
99095048,Cawston Road,tertiary,20 mph,False,False,6.259,"LINESTRING (1.2462097 52.7935366, 1.2462911 52.7935639)",
99095157,Yaxley's Lane,tertiary,20 mph,False,False,432.1590000000001,"LINESTRING (1.2462097 52.7935366, 1.2462816 52.7933753, 1.2463922 52.7931829, 1.2465664 52.7929108, 1.246715 52.7926933, 1.2467766 52.7926032, 1.247152 52.7921, 1.2472696 52.7919619, 1.2476472 52.7915284, 1.2480135 52.7911729, 1.2480469 52.7911433, 1.2484115 52.7908201, 1.2487891 52.7905056, 1.2488999 52.7904604, 1.2490582 52.7904687, 1.2492211 52.7905033, 1.2495062 52.7905471)",
5183983,Penfold Street,tertiary,20 mph,False,False,5.773,"LINESTRING (1.2494484 52.7954726, 1.2495047 52.7954334)",
"[99095021, 474193022]","['Church Terrace', 'Schoolhouse Lane']","['residential', 'unclassified']",20 mph,False,"[False, True]",254.66700000000003,"LINESTRING (1.2494484 52.7954726, 1.2495567 52.7955562, 1.2496543 52.795664, 1.2497785 52.7958124, 1.2498758 52.7959332, 1.2499514 52.796035, 1.2500115 52.796167, 1.2499413 52.7961867, 1.2480275 52.7965115, 1.2476142 52.7965944)",
"[235266712, 474193024, 474193023]",Blickling Road,tertiary,20 mph,False,True,206.54800000000003,"LINESTRING (1.2494484 52.7954726, 1.2491448 52.7956354, 1.2483527 52.7960207, 1.247582 52.7964884, 1.2474229 52.7966121, 1.24732 52.7966784, 1.2472185 52.7967437)",2
5183983,Penfold Street,tertiary,20 mph,False,True,27.13,"LINESTRING (1.2498155 52.7952778, 1.2495047 52.7954334)",
99095048,Cawston Road,tertiary,20 mph,False,True,33.665,"LINESTRING (1.2498155 52.7952778, 1.2497515 52.7952689, 1.249581 52.7952478, 1.249323 52.7952239)",
202952534,Penfold Street,tertiary,20 mph,False,False,80.869,"LINESTRING (1.2498155 52.7952778, 1.2501179 52.7951528, 1.2502558 52.7951045, 1.2503896 52.7950576, 1.250516 52.7950134, 1.2506323 52.7949805, 1.2507576 52.7949545, 1.2508727 52.7949483)",
86110265,Market Place,unclassified,20 mph,False,True,5.004,"LINESTRING (1.2510793 52.7949951, 1.2511073 52.7950368)",
86110248,Penfold Street,tertiary,20 mph,False,False,51.550999999999995,"LINESTRING (1.2510793 52.7949951, 1.2513121 52.7949724, 1.2516455 52.7949236, 1.2517286 52.7949002, 1.2518052 52.794865)",2
202952534,Penfold Street,tertiary,20 mph,False,True,14.927,"LINESTRING (1.2510793 52.7949951, 1.2509903 52.7949821, 1.2509072 52.7949558, 1.2508727 52.7949483)",
36823208,Red Lion Street,tertiary,20 mph,False,False,18.322,"LINESTRING (1.2519158 52.7947158, 1.2518614 52.7948134, 1.2518052 52.794865)",2
"[320026104, 37719093]",Norwich Road,tertiary,20 mph,False,False,227.53,"LINESTRING (1.2519158 52.7947158, 1.2519525 52.7946137, 1.2521571 52.7942517, 1.2522905 52.7940276, 1.252356 52.7939176, 1.2529815 52.792866, 1.2530462 52.7927888)",
261723743,Burgh Road,tertiary,20 mph,False,True,131.216,"LINESTRING (1.2519158 52.7947158, 1.2519578 52.79472, 1.2520518 52.7947295, 1.2524345 52.7946803, 1.2526935 52.7946488, 1.252968 52.7946032, 1.2534407 52.7945014, 1.2537924 52.7944285)",
"[320026104, 159328562]",Norwich Road,tertiary,20 mph,False,False,67.77199999999999,"LINESTRING (1.254154 52.7914702, 1.2541729 52.791333, 1.2541875 52.791209, 1.2542303 52.7910863, 1.2542446 52.7909886, 1.2542324 52.7908648)",2
320026104,Norwich Road,tertiary,20 mph,False,True,27.42,"LINESTRING (1.254154 52.7914702, 1.2541277 52.7915153, 1.2540793 52.7915985, 1.2540027 52.7916989)",
75641781,Gashouse Hill,tertiary,20 mph,False,False,136.598,"LINESTRING (1.2559703 52.7967426, 1.2560981 52.7969511, 1.256378 52.7976667, 1.2564175 52.7979364)",
120211181,Gashouse Hill,tertiary,20 mph,False,True,134.535,"LINESTRING (1.2559703 52.7967426, 1.2558256 52.7965572, 1.2556623 52.796393, 1.2555459 52.7962855, 1.2554121 52.7961832, 1.2551613 52.79606, 1.2548952 52.7959747, 1.2546031 52.7959843)",
99095048,Cawston Road,tertiary,20 mph,False,True,23.258,"LINESTRING (1.2466031 52.7936542, 1.2462911 52.7935639)",
26414295,Mill Road,residential,20 mph,False,False,147.36599999999999,"LINESTRING (1.2466031 52.7936542, 1.2467085 52.7936181, 1.2469748 52.7935921, 1.2470867 52.7935812, 1.2475785 52.7935262, 1.2479838 52.793456, 1.2483544 52.7933795, 1.2484361 52.7933618, 1.2487066 52.7933032)",
99095048,Cawston Road,tertiary,20 mph,False,False,115.67,"LINESTRING (1.2466031 52.7936542, 1.2468541 52.7937813, 1.2470644 52.7939071, 1.2472894 52.7940619, 1.2477824 52.7944087)",
26414296,Swan Close,residential,20 mph,False,False,79.708,"LINESTRING (1.2487066 52.7933032, 1.2484667 52.7926012)",
26414295,Mill Road,residential,20 mph,False,False,94.92299999999999,"LINESTRING (1.2487066 52.7933032, 1.2488726 52.7932656, 1.2489514 52.7932507, 1.2491392 52.793201, 1.24946 52.7931236, 1.249884 52.79308, 1.2500337 52.7930295)",
26414295,Mill Road,residential,20 mph,False,True,147.366,"LINESTRING (1.2487066 52.7933032, 1.2484361 52.7933618, 1.2483544 52.7933795, 1.2479838 52.793456, 1.2475785 52.7935262, 1.2470867 52.7935812, 1.2469748 52.7935921, 1.2467085 52.7936181, 1.2466031 52.7936542)",
356921414,Red Lion Street,tertiary,20 mph,False,True,15.72,"LINESTRING (1.2520234 52.795426, 1.2519757 52.7952876)",
86110244,Red Lion Street,tertiary,20 mph,False,False,108.308,"LINESTRING (1.2520234 52.795426, 1.2520435 52.7954848, 1.2520788 52.7955897, 1.2521283 52.7957562, 1.252137 52.7958928, 1.2521321 52.7960143, 1.2521262 52.7962769, 1.2521088 52.796342, 1.2520743 52.7963885)",
86110245,Market Place,unclassified,20 mph,False,True,47.976,"LINESTRING (1.2520234 52.795426, 1.2518911 52.7953799, 1.2517506 52.7953536, 1.2515365 52.7952525, 1.2514441 52.7952115, 1.2514212 52.7952023)",
5184045,White Hart Street,tertiary,20 mph,False,True,87.46199999999999,"LINESTRING (1.2546031 52.7959843, 1.2542927 52.7960283, 1.2542102 52.7960527, 1.2534107 52.7962894)",
99095158,Oakfield Road,residential,20 mph,False,True,138.694,"LINESTRING (1.2546031 52.7959843, 1.2543265 52.7954142, 1.2540187 52.7947881)",
120211181,Gashouse Hill,tertiary,20 mph,False,False,134.535,"LINESTRING (1.2546031 52.7959843, 1.2548952 52.7959747, 1.2551613 52.79606, 1.2554121 52.7961832, 1.2555459 52.7962855, 1.2556623 52.796393, 1.2558256 52.7965572, 1.2559703 52.7967426)",
5184045,White Hart Street,tertiary,20 mph,False,False,93.83000000000001,"LINESTRING (1.2520743 52.7963885, 1.2521316 52.7964093, 1.2522373 52.7964267, 1.2526402 52.7964421, 1.2529829 52.7964016, 1.2531994 52.7963448, 1.2534107 52.7962894)",
"[30112632, 261723747]",Cromer Road,tertiary,"['20 mph', '30 mph']",False,False,252.358,"LINESTRING (1.2520743 52.7963885, 1.2519481 52.7964616, 1.2517671 52.7965531, 1.2516686 52.7966316, 1.2516185 52.7966972, 1.2515888 52.796776, 1.2515925 52.7968683, 1.2516491 52.7970042, 1.2517448 52.7971508, 1.2518004 52.7972434, 1.2518752 52.7974273, 1.2518993 52.7976076, 1.25196 52.7978527, 1.2519753 52.7980198, 1.2519739 52.7981892, 1.2519672 52.7982663, 1.2519546 52.7985151)",
86110244,Red Lion Street,tertiary,20 mph,False,True,108.30800000000002,"LINESTRING (1.2520743 52.7963885, 1.2521088 52.796342, 1.2521262 52.7962769, 1.2521321 52.7960143, 1.252137 52.7958928, 1.2521283 52.7957562, 1.2520788 52.7955897, 1.2520435 52.7954848, 1.2520234 52.795426)",
99095004,Abbot's Close,residential,20 mph,False,False,60.106,"LINESTRING (1.2554081 52.7978201, 1.2553919 52.7977155, 1.255399 52.7976044, 1.255384 52.7974684, 1.2552747 52.7972924)",
120211179,Town Lane,residential,20 mph,False,False,232.28799999999998,"LINESTRING (1.2554081 52.7978201, 1.2551861 52.7978487, 1.2550794 52.7978429, 1.2545889 52.7975907, 1.2544703 52.7975297, 1.2540061 52.7971367, 1.2538865 52.7969665, 1.2534107 52.7962894)",
120211184,Abbot's Close,residential,20 mph,False,True,32.019,"LINESTRING (1.2554081 52.7978201, 1.2554368 52.7978794, 1.2555544 52.7980941)",
120211176,Millgate,tertiary,20 mph,False,True,63.65,"LINESTRING (1.2564988 52.7985067, 1.2564175 52.7979364)",
75641666,New Road,tertiary,20 mph,False,False,69.718,"LINESTRING (1.2564988 52.7985067, 1.2564473 52.7985022, 1.2563695 52.7984689, 1.2561549 52.79834, 1.2558254 52.798101, 1.2557606 52.7980813)",
5184045,White Hart Street,tertiary,20 mph,False,False,87.462,"LINESTRING (1.2534107 52.7962894, 1.2542102 52.7960527, 1.2542927 52.7960283, 1.2546031 52.7959843)",
5184045,White Hart Street,tertiary,20 mph,False,True,93.83,"LINESTRING (1.2534107 52.7962894, 1.2531994 52.7963448, 1.2529829 52.7964016, 1.2526402 52.7964421, 1.2522373 52.7964267, 1.2521316 52.7964093, 1.2520743 52.7963885)",
120211179,Town Lane,residential,20 mph,False,True,232.288,"LINESTRING (1.2534107 52.7962894, 1.2538865 52.7969665, 1.2540061 52.7971367, 1.2544703 52.7975297, 1.2545889 52.7975907, 1.2550794 52.7978429, 1.2551861 52.7978487, 1.2554081 52.7978201)",
"[320026104, 159328562]",Norwich Road,tertiary,20 mph,False,True,67.772,"LINESTRING (1.2542324 52.7908648, 1.2542446 52.7909886, 1.2542303 52.7910863, 1.2541875 52.791209, 1.2541729 52.791333, 1.254154 52.7914702)",2
8181245,Cawston Road,tertiary,20 mph,False,True,26.307000000000002,"LINESTRING (1.249323 52.7952239, 1.2493717 52.7952781, 1.249482 52.7954081, 1.2495047 52.7954334)",2
99095048,Cawston Road,tertiary,20 mph,False,False,33.665,"LINESTRING (1.249323 52.7952239, 1.249581 52.7952478, 1.2497515 52.7952689, 1.2498155 52.7952778)",
99095048,Cawston Road,tertiary,20 mph,False,True,138.813,"LINESTRING (1.249323 52.7952239, 1.2492058 52.7951838, 1.2487816 52.7950205, 1.2485354 52.7949081, 1.2482532 52.7947348, 1.2480901 52.7946322, 1.2477824 52.7944087)",
"[728197884, 358495429]",Holman Road,residential,20 mph,False,True,208.371,"LINESTRING (1.249323 52.7952239, 1.2492132 52.7952544, 1.249044 52.7952829, 1.2482553 52.7953641, 1.2474339 52.7954485, 1.2470761 52.795453, 1.246596 52.7954317, 1.2462772 52.7953798)",
86110252,Market Place,unclassified,20 mph,False,True,51.425000000000004,"LINESTRING (1.2509637 52.7957422, 1.2509619 52.7956539, 1.2509984 52.7955992, 1.2510064 52.7954636, 1.251005 52.7954367, 1.2509969 52.7952842)",
86110245,Market Place,unclassified,20 mph,False,False,47.976,"LINESTRING (1.2514212 52.7952023, 1.2514441 52.7952115, 1.2515365 52.7952525, 1.2517506 52.7953536, 1.2518911 52.7953799, 1.2520234 52.795426)",
86110265,Market Place,unclassified,20 mph,False,False,28.005,"LINESTRING (1.2514212 52.7952023, 1.251245 52.795111, 1.2511903 52.7950827, 1.2511073 52.7950368)",
202952534,Penfold Street,tertiary,20 mph,False,False,14.927,"LINESTRING (1.2508727 52.7949483, 1.2509072 52.7949558, 1.2509903 52.7949821, 1.2510793 52.7949951)",
202952534,Penfold Street,tertiary,20 mph,False,True,80.869,"LINESTRING (1.2508727 52.7949483, 1.2507576 52.7949545, 1.2506323 52.7949805, 1.250516 52.7950134, 1.2503896 52.7950576, 1.2502558 52.7951045, 1.2501179 52.7951528, 1.2498155 52.7952778)",
320026057,Hungate Street,residential,20 mph,False,True,57.105,"LINESTRING (1.2508727 52.7949483, 1.250814 52.7948163, 1.2507798 52.794706, 1.2507205 52.7944438)",
86110252,Market Place,unclassified,20 mph,False,False,51.425,"LINESTRING (1.2509969 52.7952842, 1.251005 52.7954367, 1.2510064 52.7954636, 1.2509984 52.7955992, 1.2509619 52.7956539, 1.2509637 52.7957422)",
86110263,Market Place,unclassified,20 mph,True,False,30.954,"LINESTRING (1.2509969 52.7952842, 1.2511694 52.7952793, 1.2513034 52.7952573, 1.2514212 52.7952023)",
159328574,Blickling Road,tertiary,20 mph,False,True,16.842,"LINESTRING (1.247161 52.7967927, 1.2470054 52.7969114)",2
474193024,Blickling Road,tertiary,20 mph,False,False,6.681,"LINESTRING (1.247161 52.7967927, 1.2472185 52.7967437)",2
235428305,Heydon Road,tertiary,20 mph,False,True,20.733,"LINESTRING (1.247161 52.7967927, 1.24712 52.796785, 1.2468567 52.7968054)",2
120211173,Bure Way,tertiary,20 mph,False,False,26.068,"LINESTRING (1.2551997 52.7981888, 1.2555544 52.7980941)",
120211173,Bure Way,tertiary,20 mph,False,True,47.991,"LINESTRING (1.2551997 52.7981888, 1.2545328 52.7983427)",
99095218,Stuart Road,residential,20 mph,False,False,143.123,"LINESTRING (1.2551997 52.7981888, 1.2552989 52.7983423, 1.2553435 52.7984041, 1.2554031 52.7984496, 1.2556986 52.7985762, 1.2557868 52.7986399, 1.255822 52.7987887, 1.2557927 52.7989375, 1.2556169 52.7991288, 1.2554613 52.7992773)",
26414295,Mill Road,residential,20 mph,False,True,94.923,"LINESTRING (1.2500337 52.7930295, 1.249884 52.79308, 1.24946 52.7931236, 1.2491392 52.793201, 1.2489514 52.7932507, 1.2488726 52.7932656, 1.2487066 52.7933032)",
99095139,Palmer's Lane,residential,20 mph,False,True,154.176,"LINESTRING (1.2500337 52.7930295, 1.2505085 52.7930049, 1.2519653 52.7928532, 1.2523013 52.7928301)",
183974685,Hungate Street,residential,20 mph,False,True,158.787,"LINESTRING (1.2500337 52.7930295, 1.250065 52.792971, 1.249961 52.7921867, 1.2499432 52.791983, 1.2499105 52.7916078)",
320026057,Hungate Street,residential,20 mph,False,False,66.384,"LINESTRING (1.2500337 52.7930295, 1.2501265 52.7930873, 1.2502045 52.7933455, 1.2502833 52.7935468, 1.2503079 52.7935915)",
99095076,Abbot's Close,residential,20 mph,False,True,19.168,"LINESTRING (1.2556391 52.7970012, 1.2556677 52.7971111, 1.255659 52.797172)",
99095209,Holman Close,residential,30 mph,False,True,26.732,"LINESTRING (1.2451265 52.796186, 1.2447298 52.7962021)",
99094973,Trafalgar Yard,residential,20 mph,False,False,37.039,"LINESTRING (1.2499105 52.7916078, 1.2493604 52.7916251)",
183974685,Hungate Street,residential,20 mph,False,False,158.78699999999998,"LINESTRING (1.2499105 52.7916078, 1.2499432 52.791983, 1.249961 52.7921867, 1.250065 52.792971, 1.2500337 52.7930295)",
183974685,Hungate Street,residential,20 mph,False,True,121.368,"LINESTRING (1.2499105 52.7916078, 1.2498708 52.7913974, 1.249823 52.7912156, 1.2496765 52.7909295, 1.2495342 52.7906249, 1.2495062 52.7905471)",
99095208,Unicorn Yard,residential,20 mph,False,False,57.118,"LINESTRING (1.2507205 52.7944438, 1.2506403 52.7944518, 1.2504568 52.7945082, 1.2502045 52.7945781, 1.2499272 52.7946175)",
320026057,Hungate Street,residential,20 mph,False,False,57.105,"LINESTRING (1.2507205 52.7944438, 1.2507798 52.794706, 1.250814 52.7948163, 1.2508727 52.7949483)",
320026057,Hungate Street,residential,20 mph,False,True,62.57900000000001,"LINESTRING (1.2507205 52.7944438, 1.2506783 52.7942737, 1.2504958 52.7939319, 1.2504793 52.7939019)",
474193024,Blickling Road,tertiary,20 mph,False,True,6.681,"LINESTRING (1.2472185 52.7967437, 1.247161 52.7967927)",2
"[99095176, 261723772]",Rawlinsons Lane,tertiary,"['20 mph', '30 mph']",False,True,132.027,"LINESTRING (1.2472185 52.7967437, 1.2472693 52.7967886, 1.2475394 52.7971165, 1.2477534 52.7973691, 1.2481673 52.797782)",
"[474193024, 235266712, 474193023]",Blickling Road,tertiary,20 mph,False,False,206.548,"LINESTRING (1.2472185 52.7967437, 1.24732 52.7966784, 1.2474229 52.7966121, 1.247582 52.7964884, 1.2483527 52.7960207, 1.2491448 52.7956354, 1.2494484 52.7954726)",2
120211173,Bure Way,tertiary,20 mph,False,False,173.932,"LINESTRING (1.2520855 52.7988325, 1.2521344 52.7988307, 1.2522858 52.7988241, 1.252513 52.7987958, 1.2540481 52.7984514, 1.2545328 52.7983427)",
847183908,Cromer Road,tertiary,30 mph,False,True,36.568,"LINESTRING (1.2520855 52.7988325, 1.2520661 52.7987318, 1.2519744 52.7985773, 1.2519546 52.7985151)",
233114584,Abbot's Close,residential,20 mph,False,False,6.428,"LINESTRING (1.255659 52.797172, 1.2557338 52.797208)",
99095076,Abbot's Close,residential,20 mph,False,False,19.168,"LINESTRING (1.255659 52.797172, 1.2556677 52.7971111, 1.2556391 52.7970012)",
99095076,Abbot's Close,residential,20 mph,False,True,29.237,"LINESTRING (1.255659 52.797172, 1.2555565 52.7972171, 1.2552747 52.7972924)",
99094983,Wrights Close,residential,20 mph,False,False,73.557,"LINESTRING (1.2545328 52.7983427, 1.254187 52.7977151)",
120211173,Bure Way,tertiary,20 mph,False,False,47.991,"LINESTRING (1.2545328 52.7983427, 1.2551997 52.7981888)",
120211173,Bure Way,tertiary,20 mph,False,True,173.93200000000002,"LINESTRING (1.2545328 52.7983427, 1.2540481 52.7984514, 1.252513 52.7987958, 1.2522858 52.7988241, 1.2521344 52.7988307, 1.2520855 52.7988325)",
99095171,Holman Close,residential,30 mph,False,True,10.399,"LINESTRING (1.2456127 52.7958761, 1.2454584 52.7958696)",
99095158,Oakfield Road,residential,20 mph,False,False,42.783,"LINESTRING (1.2537924 52.7944285, 1.2540187 52.7947881)",
261723743,Burgh Road,tertiary,20 mph,False,False,131.216,"LINESTRING (1.2537924 52.7944285, 1.2534407 52.7945014, 1.252968 52.7946032, 1.2526935 52.7946488, 1.2524345 52.7946803, 1.2520518 52.7947295, 1.2519578 52.79472, 1.2519158 52.7947158)",
99095139,Palmer's Lane,residential,20 mph,False,False,50.304,"LINESTRING (1.2530462 52.7927888, 1.2528338 52.7927976, 1.2524884 52.7928173, 1.2523013 52.7928301)",
320026104,Norwich Road,tertiary,20 mph,False,False,137.251,"LINESTRING (1.2530462 52.7927888, 1.253253 52.7925387, 1.2535545 52.7921741, 1.2540027 52.7916989)",
"[320026104, 37719093]",Norwich Road,tertiary,20 mph,False,True,227.53000000000003,"LINESTRING (1.2530462 52.7927888, 1.2529815 52.792866, 1.252356 52.7939176, 1.2522905 52.7940276, 1.2521571 52.7942517, 1.2519525 52.7946137, 1.2519158 52.7947158)",
356921414,Red Lion Street,tertiary,20 mph,False,False,15.72,"LINESTRING (1.2519757 52.7952876, 1.2520234 52.795426)",
99095009,Blofields Loke,residential,20 mph,False,True,148.754,"LINESTRING (1.2519757 52.7952876, 1.2525702 52.7951808, 1.2529527 52.7951083, 1.253068 52.7950787, 1.2531724 52.7950435, 1.2535183 52.7949318, 1.2538866 52.7948193, 1.2540187 52.7947881)",
320026124,Red Lion Street,tertiary,20 mph,False,True,48.669999999999995,"LINESTRING (1.2519757 52.7952876, 1.2518936 52.7951285, 1.2518433 52.7949676, 1.2518291 52.7948876, 1.2518052 52.794865)",
99095020,Saint Michael's Close,residential,30 mph,False,True,120.162,"LINESTRING (1.2497481 52.7972778, 1.2481673 52.797782)",
99095054,Pound Lane,tertiary,20 mph,False,True,214.68699999999998,"LINESTRING (1.2462772 52.7953798, 1.2461134 52.7950258, 1.2458156 52.7944477, 1.2457636 52.7942699, 1.2458269 52.7941496, 1.2460237 52.7939199, 1.2462294 52.7936793, 1.2462911 52.7935639)",
99095119,Sandy Lane,tertiary,20 mph,False,False,163.488,"LINESTRING (1.2462772 52.7953798, 1.2462806 52.7954424, 1.2463684 52.7957279, 1.2467074 52.7964779, 1.2468412 52.7967661, 1.2468567 52.7968054)",1
