osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,bridge
100448209,Leven Street,residential,False,True,110.328,"LINESTRING (-4.5763925 55.9823611, -4.576538 55.9823658, -4.5767341 55.9824313, -4.5767753 55.982445, -4.5770413 55.9827068, -4.5771494 55.9831577)",,,,
31094176,,secondary,True,False,47.426,"LINESTRING (-4.5763651 55.9849373, -4.5766181 55.9847568, -4.5768586 55.9846127)",B857,30 mph,,
50491527,Bridge Street,tertiary,True,False,38.961,"LINESTRING (-4.5763651 55.9849373, -4.5762668 55.9847695, -4.5762229 55.9847229, -4.5761859 55.9846835, -4.5760875 55.9846302)",,30 mph,,
31094176,,secondary,True,False,37.084,"LINESTRING (-4.5775153 55.9842792, -4.5776526 55.9842768, -4.5778349 55.9842737, -4.5780937 55.984328)",B857,30 mph,,
100448073,Leven Street,residential,False,False,75.59,"LINESTRING (-4.5775153 55.9842792, -4.5773706 55.9840737, -4.5772985 55.9839169, -4.5772229 55.9836229)",,,,
31094176,,secondary,True,False,23.593,"LINESTRING (-4.5780937 55.984328, -4.5782596 55.9843726, -4.5784025 55.984447)",B857,30 mph,,
31094177,,secondary,True,False,30.313,"LINESTRING (-4.5780937 55.984328, -4.5782639 55.9843126, -4.5784184 55.9842883, -4.5785429 55.9842372)",B857,30 mph,2,
120003881,,secondary,True,False,25.049999999999997,"LINESTRING (-4.5785429 55.9842372, -4.5784476 55.9843498, -4.5784204 55.9843935, -4.5784025 55.984447)",B857,30 mph,,
31094176,,secondary,True,False,56.405,"LINESTRING (-4.5782283 55.9853534, -4.5782193 55.9855367, -4.5782286 55.9856712, -4.5782377 55.9857853, -4.5782286 55.9858602)",B857,30 mph,,
"[124345864, 124345861]",Church Street,unclassified,False,True,129.739,"LINESTRING (-4.5782283 55.9853534, -4.5785147 55.9853863, -4.5785645 55.9854141, -4.5785851 55.9854466, -4.5786185 55.9855807, -4.5786724 55.9858547, -4.5788398 55.985885, -4.579297 55.9858665, -4.5795174 55.9858576, -4.5795885 55.9858547)",,,,
100448136,Main Street,residential,False,True,87.715,"LINESTRING (-4.5721647 55.9837422, -4.5724613 55.9837066, -4.5726488 55.9836087, -4.5726693 55.9835166, -4.5725607 55.9831386)",,,,
232828217,,primary,False,False,175.483,"LINESTRING (-4.5721647 55.9837422, -4.5720612 55.9835523, -4.5718461 55.983351, -4.5715166 55.98314, -4.5714849 55.9831197, -4.5711731 55.9829945, -4.570899 55.9828845, -4.5702245 55.982669)",A813,30 mph,2,
