osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,name,bridge,junction
"[238812587, 6131278]",True,1,trunk_link,"['40 mph', '70 mph']",False,246.602,"LINESTRING (1.3231894 51.9667315, 1.3230714 51.9664342, 1.3229398 51.9662229, 1.3228644 51.9660778, 1.3228146 51.9659383, 1.3227846 51.9658098, 1.3227814 51.9656827, 1.3227951 51.9655312, 1.3228299 51.9654153, 1.3228779 51.9653049, 1.3229172 51.9652291, 1.3232302 51.9648055, 1.3233075 51.9647009, 1.3233553 51.9646165)",,,
4273060,False,,residential,,False,71.85499999999999,"LINESTRING (1.3325475 51.9652958, 1.3326328 51.9652623, 1.3327756 51.9652184, 1.3328962 51.9651787, 1.3330246 51.9651266, 1.3331039 51.9650903, 1.3331579 51.9650632, 1.3332602 51.9650116, 1.3333207 51.9649739, 1.3333978 51.9649248)",Wadgate Road,,
4730293,False,,tertiary,30 mph,False,230.04500000000002,"LINESTRING (1.3325475 51.9652958, 1.3324777 51.9652495, 1.3324115 51.9651759, 1.3322339 51.9649625, 1.3321583 51.9648716, 1.3313792 51.9640011, 1.3313013 51.9639116, 1.3312723 51.9638783, 1.3312075 51.9638144, 1.3308968 51.9634969)",Grange Road,,
4742489,False,,tertiary,30 mph,True,196.612,"LINESTRING (1.3325475 51.9652958, 1.3328325 51.9656033, 1.3329004 51.9656712, 1.333211 51.9659938, 1.3334066 51.9661969, 1.333805 51.9665904, 1.3340277 51.9668104)",Grange Road,,
4273060,False,,residential,,False,21.635,"LINESTRING (1.3333978 51.9649248, 1.3334619 51.9648681, 1.3335685 51.9647612)",Wadgate Road,,
4273060,False,,residential,,True,71.85500000000002,"LINESTRING (1.3333978 51.9649248, 1.3333207 51.9649739, 1.3332602 51.9650116, 1.3331579 51.9650632, 1.3331039 51.9650903, 1.3330246 51.9651266, 1.3328962 51.9651787, 1.3327756 51.9652184, 1.3326328 51.9652623, 1.3325475 51.9652958)",Wadgate Road,,
6131258,False,,residential,,False,65.028,"LINESTRING (1.3333978 51.9649248, 1.3335554 51.9650197, 1.3340394 51.9653554)",Selvale Way,,
4273060,False,,residential,,True,64.86200000000001,"LINESTRING (1.3355084 51.9619808, 1.335466 51.9620501, 1.3354153 51.9621292, 1.335384 51.962185, 1.3353443 51.9622516, 1.3352898 51.9623355, 1.3352465 51.9624015, 1.3351631 51.9625238)",Wadgate Road,,
"[154835557, 877891469]",False,,tertiary,30 mph,True,303.84499999999997,"LINESTRING (1.3355084 51.9619808, 1.3351854 51.9619594, 1.3348914 51.9619262, 1.3345197 51.9619119, 1.3341918 51.9619382, 1.333637 51.9620197, 1.3334058 51.9620583, 1.332983 51.9621337, 1.3324103 51.9622544, 1.3320567 51.9623048, 1.3317246 51.9623117, 1.331431 51.9623191, 1.3311715 51.962347)",Mill Lane,,
"[4718923, 4273059, 4718924]",False,2,tertiary,30 mph,False,179.334,"LINESTRING (1.3357119 51.9687202, 1.3354918 51.968249, 1.3354435 51.9681623, 1.3353862 51.9680957, 1.3352836 51.9679737, 1.3351045 51.967774, 1.3350777 51.9677298, 1.3348851 51.9675108, 1.3346059 51.9672729)",Maidstone Road,yes,
4730293,False,,tertiary,30 mph,True,34.492000000000004,"LINESTRING (1.33021 51.9626075, 1.3302483 51.9627236, 1.3303844 51.962896)",Grange Road,,
39810048,False,,tertiary,30 mph,False,119.53399999999999,"LINESTRING (1.33021 51.9626075, 1.330107 51.9625485, 1.3294156 51.9616567)",Grange Road,,
877891469,False,,tertiary,30 mph,False,71.995,"LINESTRING (1.33021 51.9626075, 1.3307929 51.9624396, 1.3311715 51.962347)",Mill Lane,,
4718923,False,2,tertiary,30 mph,True,64.917,"LINESTRING (1.3340277 51.9668104, 1.3343746 51.9670839, 1.3346059 51.9672729)",Maidstone Road,,
4730270,False,,tertiary,30 mph,True,68.578,"LINESTRING (1.3340277 51.9668104, 1.3335074 51.9670976, 1.3332821 51.9672219)",Grange Farm Avenue,,
4742489,False,,tertiary,30 mph,False,196.612,"LINESTRING (1.3340277 51.9668104, 1.333805 51.9665904, 1.3334066 51.9661969, 1.333211 51.9659938, 1.3329004 51.9656712, 1.3328325 51.9656033, 1.3325475 51.9652958)",Grange Road,,
4742493,False,,residential,,True,36.792,"LINESTRING (1.3301696 51.9672621, 1.3306679 51.9671387)",Shotley Close,,
4747272,False,,residential,,True,76.18199999999999,"LINESTRING (1.3295384 51.9675655, 1.3299745 51.9678846, 1.3298304 51.9679807, 1.3297721 51.9680118, 1.3297222 51.9680345, 1.3296474 51.9680573)",Reynolds Court,,
4747274,False,,residential,,False,43.87,"LINESTRING (1.3291874 51.9677282, 1.3293874 51.968103)",Reynolds Court,,
4742493,False,,residential,,False,36.792,"LINESTRING (1.3306679 51.9671387, 1.3301696 51.9672621)",Shotley Close,,
