osmid,name,highway,oneway,reversed,length,geometry,maxspeed,width,lanes
30440868,St Peters Road,residential,False,True,55.817,"LINESTRING (-2.7712064 51.4790796, -2.7710939 51.4791037, -2.7710183 51.4791197, -2.7709418 51.4791333, -2.7709127 51.4791378, -2.7708674 51.4791426, -2.7708438 51.4791444, -2.7708189 51.4791457, -2.770416 51.4791492)",,,
158608633,St Peters Road,residential,False,False,116.749,"LINESTRING (-2.7712064 51.4790796, -2.7713285 51.4792941, -2.7714296 51.4795152, -2.7714929 51.4797228, -2.771496 51.4797331, -2.7715238 51.4798501, -2.7715304 51.479995, -2.7715373 51.4800486, -2.7715475 51.4801019)",,,
158608633,St Peters Road,residential,False,True,40.894,"LINESTRING (-2.7712064 51.4790796, -2.7710926 51.4789419, -2.7709295 51.4787548)",,,
30440953,Church Close,residential,False,True,82.68100000000001,"LINESTRING (-2.7715431 51.4810257, -2.7714879 51.4810482, -2.771433 51.4810672, -2.7713871 51.4810797, -2.7713377 51.4810899, -2.7712845 51.4810962, -2.7712259 51.4810998, -2.7709013 51.4811007, -2.7708557 51.4811008, -2.7708 51.4811029, -2.7707543 51.4811062, -2.7706081 51.4811276, -2.7705641 51.4811324, -2.7705171 51.4811365, -2.7704588 51.4811403, -2.7703819 51.4811435)",,,
47418699,Slade Road,residential,False,False,70.69800000000001,"LINESTRING (-2.7715431 51.4810257, -2.7715779 51.4810709, -2.7716158 51.4811152, -2.7716413 51.4811415, -2.7716831 51.4811762, -2.7717044 51.4811932, -2.7717277 51.4812102, -2.7717544 51.4812275, -2.7717834 51.4812448, -2.771895 51.4813036, -2.7720238 51.4813677, -2.7720432 51.4813793, -2.7720563 51.481389, -2.7720741 51.4814086, -2.7720924 51.4814372, -2.7721024 51.4814639, -2.7721096 51.4814907, -2.7721106 51.4815094, -2.7721096 51.4815281)",,,
47418699,Slade Road,residential,False,True,26.892999999999997,"LINESTRING (-2.7715431 51.4810257, -2.7714848 51.4808258, -2.7714823 51.4808066, -2.7714812 51.4807872)",,,
47418699,Slade Road,residential,False,False,203.68200000000002,"LINESTRING (-2.7721096 51.4815281, -2.7721073 51.4815462, -2.7721019 51.481562, -2.7720942 51.4815802, -2.7720839 51.4815976, -2.7720573 51.4816324, -2.7720238 51.4816671, -2.7719913 51.4816923, -2.7717774 51.4818534, -2.7716902 51.4819191, -2.7714847 51.4820755, -2.7713088 51.4822464, -2.7712711 51.4822928, -2.7712286 51.4823557, -2.7711739 51.4824465, -2.7711226 51.4825437, -2.7710921 51.4826148, -2.7710693 51.4826772, -2.7710498 51.4827438, -2.7710215 51.4828398, -2.7710152 51.4828618, -2.7709297 51.4831617)",,,
47418699,Slade Road,residential,False,True,70.698,"LINESTRING (-2.7721096 51.4815281, -2.7721106 51.4815094, -2.7721096 51.4814907, -2.7721024 51.4814639, -2.7720924 51.4814372, -2.7720741 51.4814086, -2.7720563 51.481389, -2.7720432 51.4813793, -2.7720238 51.4813677, -2.771895 51.4813036, -2.7717834 51.4812448, -2.7717544 51.4812275, -2.7717277 51.4812102, -2.7717044 51.4811932, -2.7716831 51.4811762, -2.7716413 51.4811415, -2.7716158 51.4811152, -2.7715779 51.4810709, -2.7715431 51.4810257)",,,
27174544,West Hill,tertiary,True,False,65.319,"LINESTRING (-2.783239 51.4809426, -2.7831543 51.4810547, -2.7829006 51.4813562, -2.7828033 51.4814634)",30 mph,8,
203290571,West Hill,tertiary,False,True,25.613000000000003,"LINESTRING (-2.782084 51.4818856, -2.7821747 51.4818673, -2.7822514 51.4818452, -2.7823206 51.4818192, -2.7823978 51.4817711)",30 mph,,2
368008604,Avon Way,tertiary,False,True,118.297,"LINESTRING (-2.782084 51.4818856, -2.7820139 51.4818152, -2.7819773 51.4817775, -2.7819482 51.4817538, -2.7819115 51.4817269, -2.7818722 51.4817065, -2.7818484 51.4816984, -2.781831 51.4816923, -2.7817999 51.4816841, -2.7817052 51.4816704, -2.7815381 51.4816547, -2.7811675 51.4816196, -2.7811156 51.4816143, -2.7810475 51.4816122, -2.780969 51.4816124, -2.780915 51.4816154, -2.7805518 51.4816693)",30 mph,,2
1138124476,West Hill,tertiary,False,False,118.47899999999998,"LINESTRING (-2.782084 51.4818856, -2.7819344 51.4819208, -2.7817369 51.4819796, -2.7816816 51.481998, -2.7816452 51.4820101, -2.7815983 51.482031, -2.7815567 51.4820544, -2.7815171 51.4820832, -2.7814867 51.4821142, -2.7813398 51.4822978, -2.7812391 51.4824339, -2.7812013 51.4824803, -2.7811619 51.4825248, -2.7811074 51.4825747, -2.781004 51.4826533)",30 mph,,2
158477231,Avon Way,tertiary,False,False,1.669,"LINESTRING (-2.7704108 51.4843182, -2.7704348 51.4843196)",,,2
27466092,Link Road,residential,False,True,85.19,"LINESTRING (-2.7786426 51.4820947, -2.7785212 51.4820466, -2.778497 51.48204, -2.7784745 51.4820375, -2.7784517 51.4820375, -2.7784302 51.4820396, -2.7784108 51.4820417, -2.7783344 51.4820599, -2.7783028 51.4820667, -2.778275 51.4820705, -2.7782418 51.4820719, -2.778202 51.4820707, -2.7781677 51.4820673, -2.7781337 51.4820622, -2.7778577 51.4819671, -2.7775331 51.4818554)",,,
368008604,Avon Way,tertiary,False,False,143.387,"LINESTRING (-2.7786426 51.4820947, -2.7786914 51.4820552, -2.7787452 51.4820151, -2.7788245 51.4819703, -2.7788933 51.4819416, -2.7789675 51.4819193, -2.7791335 51.4818901, -2.7805518 51.4816693)",30 mph,,2
368008604,Avon Way,tertiary,False,True,34.709,"LINESTRING (-2.7786426 51.4820947, -2.778567 51.4821627, -2.7783787 51.4823599)",30 mph,,2
30440901,The Paddock,residential,False,True,102.75300000000001,"LINESTRING (-2.7696402 51.4779187, -2.7698668 51.4775761, -2.7701583 51.4771356, -2.7702054 51.4770643)",,,
158608633,St Peters Road,residential,False,False,19.167,"LINESTRING (-2.7696402 51.4779187, -2.7697765 51.4779646, -2.7698798 51.4780048)",,,
639572819,St Mary's Road,residential,False,True,104.05600000000001,"LINESTRING (-2.7746632 51.4767137, -2.7746663 51.476749, -2.7746754 51.4767884, -2.7747017 51.4768526, -2.7747547 51.4769436, -2.7748335 51.4770189, -2.7749347 51.4771037, -2.7750182 51.4771442, -2.7751302 51.477183, -2.7753149 51.4772241, -2.7755327 51.4772645, -2.775626 51.4772874, -2.775671 51.4772985)",,,
203290571,West Hill,tertiary,False,True,2.493,"LINESTRING (-2.7823978 51.4817711, -2.782422 51.4817545)",30 mph,,2
27174752,Mendip Road,residential,False,False,69.611,"LINESTRING (-2.7823978 51.4817711, -2.7824566 51.4817959, -2.7824807 51.4818084, -2.7825082 51.4818239, -2.7825953 51.4818887, -2.7827669 51.4820277, -2.7827942 51.4820485, -2.7828277 51.4820698, -2.7828532 51.482083, -2.7828864 51.4820957, -2.7829199 51.4821062, -2.7829859 51.4821226, -2.7830198 51.4821273, -2.7830381 51.4821289, -2.7830567 51.4821296, -2.7831617 51.4821292)",,,
203290571,West Hill,tertiary,False,False,25.613000000000003,"LINESTRING (-2.7823978 51.4817711, -2.7823206 51.4818192, -2.7822514 51.4818452, -2.7821747 51.4818673, -2.782084 51.4818856)",30 mph,,2
27174869,Oak Rise,residential,False,False,6.132,"LINESTRING (-2.7797013 51.4789279, -2.7796747 51.4789805)",,,
27174957,St Mary's Park Road,residential,False,False,33.215,"LINESTRING (-2.7782219 51.4795967, -2.7782596 51.4795625, -2.7782958 51.4795285, -2.7783287 51.479489, -2.7783596 51.4794486, -2.778435 51.4793304)",,,
27174957,St Mary's Park Road,residential,False,True,72.50399999999999,"LINESTRING (-2.7782219 51.4795967, -2.7781469 51.4796452, -2.7780642 51.4796932, -2.777971 51.479736, -2.7778557 51.4797816, -2.777757 51.4798102, -2.777655 51.4798327, -2.7775959 51.4798428, -2.7775321 51.4798522, -2.7773062 51.4798774)",,,
30299947,The Rowans,residential,False,True,94.22200000000001,"LINESTRING (-2.7782219 51.4795967, -2.7783414 51.4796576, -2.7783725 51.4796704, -2.7784051 51.4796809, -2.7784383 51.4796901, -2.7784811 51.4796992, -2.7785281 51.4797062, -2.7785685 51.4797101, -2.7785942 51.4797114, -2.778618 51.4797104, -2.7786425 51.4797068, -2.7786713 51.4797001, -2.7787003 51.4796918, -2.7789099 51.4796292, -2.7791544 51.4795643, -2.7792322 51.4795477, -2.779291 51.4795376, -2.7793509 51.4795287, -2.7794049 51.4795237, -2.779471 51.4795207)",,,
27174869,Oak Rise,residential,False,True,62.352999999999994,"LINESTRING (-2.779471 51.4795207, -2.7794606 51.4794406, -2.7794597 51.479426, -2.7794609 51.4794115, -2.7794634 51.4794004, -2.7794691 51.4793867, -2.7796747 51.4789805)",,,
30299947,The Rowans,residential,False,False,94.222,"LINESTRING (-2.779471 51.4795207, -2.7794049 51.4795237, -2.7793509 51.4795287, -2.779291 51.4795376, -2.7792322 51.4795477, -2.7791544 51.4795643, -2.7789099 51.4796292, -2.7787003 51.4796918, -2.7786713 51.4797001, -2.7786425 51.4797068, -2.778618 51.4797104, -2.7785942 51.4797114, -2.7785685 51.4797101, -2.7785281 51.4797062, -2.7784811 51.4796992, -2.7784383 51.4796901, -2.7784051 51.4796809, -2.7783725 51.4796704, -2.7783414 51.4796576, -2.7782219 51.4795967)",,,
30299947,The Rowans,residential,False,True,21.573,"LINESTRING (-2.779471 51.4795207, -2.779565 51.4795213, -2.7796138 51.4795232, -2.7796622 51.479526, -2.7797812 51.4795357)",,,
27174957,St Mary's Park Road,residential,False,False,31.231999999999996,"LINESTRING (-2.7764301 51.4804656, -2.7764309 51.4804259, -2.7764362 51.4802851, -2.7764377 51.4802556, -2.7764412 51.4802338, -2.7764452 51.4802192, -2.7764518 51.4802065, -2.7764571 51.4801967, -2.7764649 51.4801875)",,,
27197218,Rippleside,residential,False,False,103.67899999999999,"LINESTRING (-2.7764301 51.4804656, -2.7763561 51.4804679, -2.7763177 51.4804683, -2.7762656 51.4804724, -2.7762171 51.4804796, -2.7761726 51.4804879, -2.7761043 51.4805049, -2.7760602 51.4805185, -2.7760215 51.4805332, -2.7759918 51.4805471, -2.7759656 51.4805623, -2.7758841 51.4806114, -2.7758609 51.4806291, -2.7758378 51.4806593, -2.7757949 51.4807045, -2.7755095 51.4811071)",,,
