osmid,oneway,ref,highway,maxspeed,junction,reversed,length,geometry,lanes,name,tunnel
4526557,True,A4010,trunk,30 mph,roundabout,False,16.657,"LINESTRING (-0.8322365 51.7255627, -0.832314 51.7255267, -0.832391 51.725515, -0.8324564 51.7255188)",,,
4586588,False,A4010,trunk,30 mph,,False,168.572,"LINESTRING (-0.8322365 51.7255627, -0.8320948 51.7255235, -0.8320127 51.7254619, -0.8315529 51.724985, -0.8314045 51.7248452, -0.8312572 51.7247316, -0.8311912 51.7246807, -0.8310715 51.7246023, -0.8310621 51.7245961, -0.8310472 51.7245891, -0.830995 51.7245645, -0.8308627 51.7245022, -0.8306897 51.7244207)",2,New Road,
28659880,False,A4010,trunk,30 mph,,False,75.194,"LINESTRING (-0.8362023 51.7199966, -0.8363418 51.7198505, -0.8364782 51.7196621, -0.8366403 51.7193794)",2,Wycombe Road,
28659880,False,A4010,trunk,30 mph,,True,71.78,"LINESTRING (-0.8362023 51.7199966, -0.8358477 51.7202279, -0.8354493 51.7204417)",2,Wycombe Road,
236134465,False,B4444,secondary,,,True,167.564,"LINESTRING (-0.8362023 51.7199966, -0.8363611 51.7199569, -0.8368415 51.7197208, -0.8381372 51.7190899)",,Station Road,
236134465,False,B4444,secondary,,,False,104.595,"LINESTRING (-0.8393428 51.7185181, -0.8381372 51.7190899)",,Station Road,
28657882,False,,residential,,,True,136.417,"LINESTRING (-0.8393428 51.7185181, -0.839676 51.718899, -0.840234 51.7195424, -0.84032 51.7195084)",1,Manor Road,
157681471,False,B4444,secondary,,,True,96.863,"LINESTRING (-0.8393428 51.7185181, -0.8401944 51.7181068, -0.8403732 51.7180497, -0.8404955 51.7180333)",,Station Road,
236134465,False,B4444,secondary,,,True,104.595,"LINESTRING (-0.8381372 51.7190899, -0.8393428 51.7185181)",,Station Road,
23422985,False,,residential,,,False,138.43800000000002,"LINESTRING (-0.8381372 51.7190899, -0.8385437 51.7194109, -0.8387639 51.7195837, -0.8388037 51.7196536, -0.8387783 51.7197332, -0.8387263 51.7197761, -0.8383076 51.719982, -0.8382536 51.7200511)",,Fairway,
236134465,False,B4444,secondary,,,False,167.564,"LINESTRING (-0.8381372 51.7190899, -0.8368415 51.7197208, -0.8363611 51.7199569, -0.8362023 51.7199966)",,Station Road,
157681471,False,B4444,secondary,,,False,96.863,"LINESTRING (-0.8404955 51.7180333, -0.8403732 51.7180497, -0.8401944 51.7181068, -0.8393428 51.7185181)",,Station Road,
4526557,True,A4010,trunk,30 mph,roundabout,False,23.767,"LINESTRING (-0.8322616 51.7257555, -0.8322296 51.7257342, -0.832194 51.7256917, -0.8321843 51.7256433, -0.8322011 51.7255983, -0.8322365 51.7255627)",,,
"[1118112230, 1118112231]",True,A4010,trunk,30 mph,roundabout,False,16.395,"LINESTRING (-0.8324869 51.7257773, -0.8324172 51.7257871, -0.8323473 51.7257827, -0.8322616 51.7257555)",,,
893730396,False,,tertiary,,,False,10.762,"LINESTRING (-0.8324564 51.7255188, -0.8324837 51.7254235)",,Duke Street,
1118112230,True,A4010,trunk,30 mph,roundabout,False,38.014,"LINESTRING (-0.8324564 51.7255188, -0.8325241 51.7255368, -0.83257 51.7255615, -0.8326049 51.7255953, -0.8326234 51.7256396, -0.8326192 51.7256796, -0.8325938 51.7257201, -0.832575 51.7257392, -0.8325448 51.7257552, -0.83252 51.7257659, -0.8324869 51.7257773)",,,
893730396,False,,tertiary,,,True,10.762,"LINESTRING (-0.8324837 51.7254235, -0.8324564 51.7255188)",,Duke Street,
4899136,True,,tertiary,,,False,100.472,"LINESTRING (-0.8324837 51.7254235, -0.8324923 51.7252283, -0.8323556 51.7248636, -0.8323378 51.7247997, -0.8323074 51.7246621, -0.8323007 51.724532)",,Duke Street,
"[8118482, 893730395]",True,,tertiary,20 mph,,False,212.115,"LINESTRING (-0.8322339 51.724354, -0.8321686 51.7242707, -0.8318218 51.7240269, -0.8317304 51.7239667, -0.8314638 51.7237971, -0.8312087 51.7236642, -0.8310565 51.7235793, -0.8310243 51.7235589, -0.830921 51.7234937, -0.8308225 51.7234249, -0.8306412 51.7233085, -0.8304892 51.7232075, -0.8303857 51.7231388, -0.8302212 51.7230503, -0.8301455 51.7230328, -0.8300702 51.7230345)",,High Street,
28657710,False,,residential,,,True,23.928,"LINESTRING (-0.8322339 51.724354, -0.8323433 51.7243345, -0.8325744 51.7243136)",,Church Street,
8118484,False,A4010,trunk,30 mph,,False,61.189,"LINESTRING (-0.8300702 51.7230345, -0.830225 51.7229445, -0.830302 51.7228957, -0.8303765 51.7228486, -0.8306307 51.7226616, -0.8306724 51.7226309)",2,Bell Street,
8118491,False,A4010,trunk,30 mph,,True,38.899,"LINESTRING (-0.8300702 51.7230345, -0.8297884 51.7231535, -0.829629 51.7232507)",2,Horns Lane,
28657711,False,,residential,,,False,60.564,"LINESTRING (-0.8384304 51.7230869, -0.8378514 51.7234968)",,Stratton Road,
28657711,False,,residential,,,True,100.624,"LINESTRING (-0.8384304 51.7230869, -0.8387877 51.7228284, -0.8389598 51.7227328, -0.8391776 51.7226538, -0.8395828 51.7225686)",,Stratton Road,
93265974,False,,residential,,,False,93.017,"LINESTRING (-0.8384304 51.7230869, -0.839251 51.7235378, -0.8394858 51.723597)",,Mount Way,
28657710,False,,residential,,,False,23.928,"LINESTRING (-0.8325744 51.7243136, -0.8323433 51.7243345, -0.8322339 51.724354)",,Church Street,
"[589692178, 28657710, 28657711]",False,,residential,,,True,410.88500000000005,"LINESTRING (-0.8325744 51.7243136, -0.832661 51.724282, -0.8328186 51.7242284, -0.8329289 51.724207, -0.8330288 51.7241892, -0.8331353 51.7241725, -0.8331882 51.7241713, -0.8332649 51.7241795, -0.8333284 51.7241862, -0.8334199 51.724193, -0.833578 51.7242015, -0.8336428 51.724205, -0.8336849 51.7242021, -0.8338068 51.7241938, -0.8340321 51.7241464, -0.8345837 51.7240249, -0.8347662 51.7239847, -0.8348402 51.7239762, -0.8348941 51.7239757, -0.8349555 51.7239921, -0.8350028 51.7240136, -0.83518 51.7241105, -0.8353944 51.7242278, -0.8354847 51.7242572, -0.8355759 51.7242797, -0.8356943 51.7242949, -0.8357963 51.7242985, -0.8358849 51.7242951, -0.8359376 51.724288, -0.8359643 51.7242844, -0.8361922 51.7242174, -0.8364452 51.724131, -0.8367011 51.7240262, -0.8373306 51.7237974, -0.8375817 51.7236768, -0.8378514 51.7234968)",,"['Church Street', 'Stratton Road']",
98870901,False,,unclassified,,,False,15.628,"LINESTRING (-0.8325744 51.7243136, -0.8325877 51.7244336, -0.8325699 51.7244506)",,Market Square,
14318278,True,A4010,trunk,30 mph,roundabout,False,3.5309999999999997,"LINESTRING (-0.8292599 51.7235523, -0.8292394 51.7235428, -0.8292222 51.723531)",,,
172714924,False,,residential,,,True,63.578,"LINESTRING (-0.8335004 51.7213657, -0.8341946 51.7217425)",,Elmdale Gardens,
28659880,False,A4010,trunk,30 mph,,False,52.123999999999995,"LINESTRING (-0.8335004 51.7213657, -0.8335657 51.7213338, -0.8338721 51.7211863, -0.8339718 51.7211387, -0.8340978 51.721078)",2,Wycombe Road,
28659880,False,A4010,trunk,30 mph,,True,88.718,"LINESTRING (-0.8335004 51.7213657, -0.832575 51.7218014, -0.832536 51.7218196, -0.8324699 51.7218438)",2,Wycombe Road,
172714924,False,,residential,,,False,63.578,"LINESTRING (-0.8341946 51.7217425, -0.8335004 51.7213657)",,Elmdale Gardens,
1124800507,False,,residential,,,False,24.493,"LINESTRING (-0.8341946 51.7217425, -0.8342396 51.721961)",,Elmdale Gardens,
172714924,False,,residential,,,True,43.942,"LINESTRING (-0.8341946 51.7217425, -0.8343149 51.7217574, -0.8344471 51.7218478, -0.8344467 51.7218991, -0.8343544 51.7219442, -0.8342396 51.721961)",,Elmdale Gardens,
28659880,False,A4010,trunk,30 mph,,False,5.563,"LINESTRING (-0.8324018 51.7218707, -0.8324699 51.7218438)",2,Wycombe Road,
23422989,False,,residential,,,False,58.84100000000001,"LINESTRING (-0.8324018 51.7218707, -0.8324732 51.7219444, -0.8325589 51.7220141, -0.8325767 51.7220261, -0.8326395 51.7220682, -0.8328585 51.7222012, -0.8329715 51.7222609)",,Park Street,
28659880,False,A4010,trunk,30 mph,,True,32.752,"LINESTRING (-0.8324018 51.7218707, -0.832102 51.7219912, -0.8320029 51.722031)",2,Wycombe Road,
23422989,False,,residential,,,False,166.9,"LINESTRING (-0.8329715 51.7222609, -0.8343953 51.7230467, -0.8345859 51.7231433, -0.8347966 51.7232477)",,Park Street,
23422989,False,,residential,,,True,58.841,"LINESTRING (-0.8329715 51.7222609, -0.8328585 51.7222012, -0.8326395 51.7220682, -0.8325767 51.7220261, -0.8325589 51.7220141, -0.8324732 51.7219444, -0.8324018 51.7218707)",,Park Street,
28657448,False,,residential,,,False,58.022999999999996,"LINESTRING (-0.8329715 51.7222609, -0.8326312 51.7224638, -0.8323819 51.7226332)",1,Park Street,
8118484,False,A4010,trunk,30 mph,,True,6.734,"LINESTRING (-0.8307387 51.7225864, -0.8306724 51.7226309)",2,Bell Street,
8118484,False,A4010,trunk,30 mph,,False,57.203,"LINESTRING (-0.8307387 51.7225864, -0.8308982 51.7224988, -0.8310353 51.7224253, -0.8313921 51.7222701)",2,Bell Street,
23422990,False,,residential,,,False,127.17499999999998,"LINESTRING (-0.8307387 51.7225864, -0.8309992 51.7227162, -0.8311722 51.7228035, -0.8313434 51.7228091, -0.8316573 51.7228877, -0.8318959 51.7229899, -0.8321202 51.7230454, -0.8323616 51.7230784)",,Jasmine Crescent,
4586588,False,A4010,trunk,30 mph,,False,112.102,"LINESTRING (-0.8306897 51.7244207, -0.8305794 51.7243688, -0.8302377 51.724208, -0.8299663 51.7240667, -0.8299011 51.7240238, -0.8296699 51.7238733, -0.8295697 51.723808, -0.8294963 51.723742)",2,New Road,
4586588,False,A4010,trunk,30 mph,,True,168.572,"LINESTRING (-0.8306897 51.7244207, -0.8308627 51.7245022, -0.830995 51.7245645, -0.8310472 51.7245891, -0.8310621 51.7245961, -0.8310715 51.7246023, -0.8311912 51.7246807, -0.8312572 51.7247316, -0.8314045 51.7248452, -0.8315529 51.724985, -0.8320127 51.7254619, -0.8320948 51.7255235, -0.8322365 51.7255627)",2,New Road,
