osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge
883438204,4,QL.1,Đường Lê Đại Hành,primary,False,False,13.591,"LINESTRING (106.2994022 18.0665279, 106.2992896 18.0665869)",
883438204,4,QL.1,Đường Lê Đại Hành,primary,False,True,17.494,"LINESTRING (106.2994022 18.0665279, 106.2995471 18.0664519)",
630782198,,,Đường 3/2,residential,False,False,90.597,"LINESTRING (106.298315 18.0640653, 106.2979205 18.063342)",
630782205,,,Xuân Diệu,residential,False,False,110.435,"LINESTRING (106.298315 18.0640653, 106.297477 18.0646583)",
630782205,,,Xuân Diệu,residential,False,True,78.231,"LINESTRING (106.298315 18.0640653, 106.2989561 18.0637139)",
630782196,,,Đường 3/2,residential,True,False,93.928,"LINESTRING (106.298315 18.0640653, 106.2984875 18.0642734, 106.2987137 18.0648118)",
883438204,4,QL.1,Đường Lê Đại Hành,primary,False,False,62.498,"LINESTRING (106.2992896 18.0665869, 106.298772 18.0668585)",
883438204,4,QL.1,Đường Lê Đại Hành,primary,False,True,13.591,"LINESTRING (106.2992896 18.0665869, 106.2994022 18.0665279)",
630782197,,,Đường 3/2,residential,True,False,204.44,"LINESTRING (106.2992896 18.0665869, 106.2991853 18.0664182, 106.2986021 18.0648717)",
630782198,,,Đường 3/2,residential,False,True,90.597,"LINESTRING (106.2979205 18.063342, 106.298315 18.0640653)",
630782204,,,Nguyễn Trung Thiên,residential,False,True,55.982,"LINESTRING (106.2979205 18.063342, 106.2974676 18.0636029)",
630782204,,,Nguyễn Trung Thiên,residential,False,False,85.879,"LINESTRING (106.2979205 18.063342, 106.2981902 18.0632337, 106.2986997 18.0631368)",
630782199,,,Huy Cận,residential,False,True,69.66,"LINESTRING (106.2986997 18.0631368, 106.2989561 18.0637139)",
630782204,,,Nguyễn Trung Thiên,residential,False,False,35.329,"LINESTRING (106.2986997 18.0631368, 106.2990278 18.0630764)",
630782204,,,Nguyễn Trung Thiên,residential,False,True,85.879,"LINESTRING (106.2986997 18.0631368, 106.2981902 18.0632337, 106.2979205 18.063342)",
630782204,,,Nguyễn Trung Thiên,residential,False,False,51.982,"LINESTRING (106.2996586 18.0629602, 106.3001441 18.0628861)",
630782204,,,Nguyễn Trung Thiên,residential,False,True,67.925,"LINESTRING (106.2996586 18.0629602, 106.2990278 18.0630764)",
630782200,,,,residential,False,False,136.567,"LINESTRING (106.2996586 18.0629602, 106.2999583 18.06353, 106.3003059 18.0640201)",
630782201,,,,residential,False,False,106.152,"LINESTRING (106.3003059 18.0640201, 106.299428 18.0644835)",
"[630782200, 843322459]",,,,residential,False,False,198.518,"LINESTRING (106.3003059 18.0640201, 106.3012649 18.0652907, 106.3013953 18.0654742)",
630782200,,,,residential,False,True,136.567,"LINESTRING (106.3003059 18.0640201, 106.2999583 18.06353, 106.2996586 18.0629602)",
630782199,,,Huy Cận,residential,False,False,99.055,"LINESTRING (106.299428 18.0644835, 106.2989561 18.0637139)",
630782199,,,Huy Cận,residential,False,True,198.368,"LINESTRING (106.299428 18.0644835, 106.3003636 18.0660299)",
630782201,,,,residential,False,False,83.873,"LINESTRING (106.299428 18.0644835, 106.2987137 18.0648118)",
630782201,,,,residential,False,True,106.152,"LINESTRING (106.299428 18.0644835, 106.3003059 18.0640201)",
630782201,,,,residential,False,False,13.548,"LINESTRING (106.2987137 18.0648118, 106.2986021 18.0648717)",
630782201,,,,residential,False,True,83.873,"LINESTRING (106.2987137 18.0648118, 106.299428 18.0644835)",
630782196,,,Đường 3/2,residential,True,False,204.775,"LINESTRING (106.2987137 18.0648118, 106.2992928 18.0663691, 106.2994022 18.0665279)",
630782201,,,,residential,False,False,88.517,"LINESTRING (106.2986021 18.0648717, 106.2978725 18.0652623)",
630782201,,,,residential,False,True,13.548,"LINESTRING (106.2986021 18.0648717, 106.2987137 18.0648118)",
630782197,,,Đường 3/2,residential,True,False,94.79299999999999,"LINESTRING (106.2986021 18.0648717, 106.2983777 18.0643041, 106.298315 18.0640653)",
630782201,,,,residential,False,True,88.517,"LINESTRING (106.2978725 18.0652623, 106.2986021 18.0648717)",
630782203,,,Tố Hữu,residential,False,False,48.933,"LINESTRING (106.2978725 18.0652623, 106.2976279 18.0648887)",
630782203,,,Tố Hữu,residential,False,True,34.947,"LINESTRING (106.2978725 18.0652623, 106.2979984 18.0655529)",
630782202,,,,residential,False,False,130.751,"LINESTRING (106.2969795 18.0662195, 106.2979984 18.0655529)",
