osmid,ref,name,highway,oneway,reversed,length,geometry
235213241,R215,طريق عدن - الضالع - يريم,trunk,False,False,521.515,"LINESTRING (44.587922 14.2219293, 44.587917 14.2217073, 44.5878893 14.2215634, 44.5874589 14.2200313, 44.5874312 14.2198459, 44.5874614 14.2196556, 44.5875193 14.2194946, 44.587771 14.2191774, 44.5880227 14.2189578, 44.5883398 14.2187505, 44.5885537 14.2186431, 44.5887727 14.2185797, 44.5894068 14.2184456)"
235213241,R215,طريق عدن - الضالع - يريم,trunk,False,True,273.089,"LINESTRING (44.587922 14.2219293, 44.5878968 14.2221221, 44.5878465 14.2222879, 44.5877685 14.2224514, 44.5874111 14.2229662, 44.5871217 14.2234102, 44.5870084 14.2236419, 44.5868619 14.2241281)"
379671818,,,residential,False,False,121.717,"LINESTRING (44.587922 14.2219293, 44.5881134 14.2219679, 44.5884333 14.221913, 44.5885965 14.2218129, 44.5886398 14.2216385, 44.5885699 14.2214254)"
235213241,R215,طريق عدن - الضالع - يريم,trunk,False,False,98.918,"LINESTRING (44.5862811 14.224691, 44.5864371 14.2246861, 44.5866183 14.224608, 44.5867366 14.2244885, 44.5868297 14.2242348, 44.5868619 14.2241281)"
235213241,R215,طريق عدن - الضالع - يريم,trunk,False,True,521.515,"LINESTRING (44.5894068 14.2184456, 44.5887727 14.2185797, 44.5885537 14.2186431, 44.5883398 14.2187505, 44.5880227 14.2189578, 44.587771 14.2191774, 44.5875193 14.2194946, 44.5874614 14.2196556, 44.5874312 14.2198459, 44.5874589 14.2200313, 44.5878893 14.2215634, 44.587917 14.2217073, 44.587922 14.2219293)"
379671818,,,residential,False,True,89.676,"LINESTRING (44.5894068 14.2184456, 44.5894261 14.2185802, 44.5894194 14.2187287, 44.5892595 14.2188902, 44.5891396 14.2191647)"
379671816,,,residential,False,False,400.101,"LINESTRING (44.5891396 14.2191647, 44.5893595 14.2191938, 44.5897826 14.2191066, 44.5900791 14.2189968, 44.5901724 14.2190323, 44.590219 14.219126, 44.590229 14.2192229, 44.5901824 14.2193714, 44.5898858 14.2200012, 44.5898192 14.2203015, 44.5897359 14.2207149, 44.5896293 14.2209894, 44.5894294 14.2212155, 44.5893928 14.2213253, 44.5893595 14.2213931)"
379671818,,,residential,False,False,89.676,"LINESTRING (44.5891396 14.2191647, 44.5892595 14.2188902, 44.5894194 14.2187287, 44.5894261 14.2185802, 44.5894068 14.2184456)"
379671818,,,residential,False,True,294.238,"LINESTRING (44.5891396 14.2191647, 44.5888464 14.2194425, 44.5885099 14.2199075, 44.5883333 14.2201142, 44.5882467 14.2206115, 44.5882967 14.2210508, 44.5883933 14.2212542, 44.5885699 14.2214254)"
379671822,,,residential,False,False,14.074,"LINESTRING (44.5893595 14.2213931, 44.5894858 14.2214252)"
379671816,,,residential,False,True,400.101,"LINESTRING (44.5893595 14.2213931, 44.5893928 14.2213253, 44.5894294 14.2212155, 44.5896293 14.2209894, 44.5897359 14.2207149, 44.5898192 14.2203015, 44.5898858 14.2200012, 44.5901824 14.2193714, 44.590229 14.2192229, 44.590219 14.219126, 44.5901724 14.2190323, 44.5900791 14.2189968, 44.5897826 14.2191066, 44.5893595 14.2191938, 44.5891396 14.2191647)"
379671822,,,residential,False,True,85.192,"LINESTRING (44.5893595 14.2213931, 44.5892828 14.2213931, 44.5885699 14.2214254)"
379671822,,,residential,False,True,14.074,"LINESTRING (44.5894858 14.2214252, 44.5893595 14.2213931)"
379671818,,,residential,False,False,294.23799999999994,"LINESTRING (44.5885699 14.2214254, 44.5883933 14.2212542, 44.5882967 14.2210508, 44.5882467 14.2206115, 44.5883333 14.2201142, 44.5885099 14.2199075, 44.5888464 14.2194425, 44.5891396 14.2191647)"
379671818,,,residential,False,True,121.71700000000001,"LINESTRING (44.5885699 14.2214254, 44.5886398 14.2216385, 44.5885965 14.2218129, 44.5884333 14.221913, 44.5881134 14.2219679, 44.587922 14.2219293)"
379671822,,,residential,False,False,85.192,"LINESTRING (44.5885699 14.2214254, 44.5892828 14.2213931, 44.5893595 14.2213931)"
235213241,R215,طريق عدن - الضالع - يريم,trunk,False,False,273.089,"LINESTRING (44.5868619 14.2241281, 44.5870084 14.2236419, 44.5871217 14.2234102, 44.5874111 14.2229662, 44.5877685 14.2224514, 44.5878465 14.2222879, 44.5878968 14.2221221, 44.587922 14.2219293)"
235213241,R215,طريق عدن - الضالع - يريم,trunk,False,True,98.918,"LINESTRING (44.5868619 14.2241281, 44.5868297 14.2242348, 44.5867366 14.2244885, 44.5866183 14.224608, 44.5864371 14.2246861, 44.5862811 14.224691)"
