osmid,highway,oneway,reversed,length,geometry
249995129,tertiary,False,True,145.084,"LINESTRING (28.2444763 -12.5526536, 28.2444636 -12.5522141, 28.2444821 -12.5513492)"
541183856,residential,False,False,431.37000000000006,"LINESTRING (28.2444763 -12.5526536, 28.2438128 -12.5526526, 28.2436797 -12.5526471, 28.2435013 -12.5526078, 28.2433203 -12.5525096, 28.2425136 -12.5520063, 28.2424526 -12.5519546, 28.2424251 -12.5519055, 28.2424191 -12.5518643, 28.2424291 -12.5518165, 28.2424499 -12.5517753, 28.2425961 -12.5515514, 28.2431205 -12.550728, 28.243272 -12.5504898)"
249995129,tertiary,False,False,129.253,"LINESTRING (28.2445038 -12.5481099, 28.2445031 -12.5492723)"
541183853,residential,False,True,123.734,"LINESTRING (28.2445038 -12.5481099, 28.2444911 -12.5469972)"
249995124,tertiary,False,False,58.095,"LINESTRING (28.2445038 -12.5481099, 28.2442021 -12.5481086, 28.2440941 -12.5481053, 28.2439694 -12.5480916)"
249995129,tertiary,False,False,200.231,"LINESTRING (28.2445031 -12.5492723, 28.2444686 -12.5510727)"
249995129,tertiary,False,True,129.253,"LINESTRING (28.2445031 -12.5492723, 28.2445038 -12.5481099)"
541183853,residential,False,False,123.734,"LINESTRING (28.2444911 -12.5469972, 28.2445038 -12.5481099)"
250002889,tertiary,False,False,147.559,"LINESTRING (28.243272 -12.5504898, 28.2438668 -12.5508714, 28.2440411 -12.550978, 28.2441746 -12.5510343, 28.2444686 -12.5510727)"
250002889,tertiary,False,True,119.005,"LINESTRING (28.243272 -12.5504898, 28.2428328 -12.5501808, 28.2423713 -12.5498798)"
541183856,residential,False,True,431.37000000000006,"LINESTRING (28.243272 -12.5504898, 28.2431205 -12.550728, 28.2425961 -12.5515514, 28.2424499 -12.5517753, 28.2424291 -12.5518165, 28.2424191 -12.5518643, 28.2424251 -12.5519055, 28.2424526 -12.5519546, 28.2425136 -12.5520063, 28.2433203 -12.5525096, 28.2435013 -12.5526078, 28.2436797 -12.5526471, 28.2438128 -12.5526526, 28.2444763 -12.5526536)"
250002889,tertiary,False,False,22.495,"LINESTRING (28.2397717 -12.5482827, 28.2399474 -12.54839)"
250002889,tertiary,False,True,42.048,"LINESTRING (28.2397717 -12.5482827, 28.2394351 -12.5480955)"
250002898,residential,False,True,135.186,"LINESTRING (28.2397717 -12.5482827, 28.2404329 -12.5472524)"
250002903,residential,False,False,73.847,"LINESTRING (28.2384949 -12.5506756, 28.2381383 -12.5512412)"
266142170,residential,False,False,37.938,"LINESTRING (28.2384949 -12.5506756, 28.2387924 -12.5508547)"
266142170,residential,False,True,66.248,"LINESTRING (28.2384949 -12.5506756, 28.2379753 -12.550363)"
266142175,residential,False,True,53.191,"LINESTRING (28.2384949 -12.5506756, 28.2389751 -12.5505801)"
250002903,residential,False,True,293.26099999999997,"LINESTRING (28.2384949 -12.5506756, 28.2390663 -12.5498077, 28.2394485 -12.549199, 28.2397516 -12.5487134, 28.23992 -12.5484352)"
250002889,tertiary,False,False,48.716,"LINESTRING (28.2374912 -12.5468905, 28.2378734 -12.5471202)"
250002889,tertiary,False,True,11.698,"LINESTRING (28.2374912 -12.5468905, 28.2373966 -12.5468401)"
249995129,tertiary,False,False,30.78,"LINESTRING (28.2444686 -12.5510727, 28.2444821 -12.5513492)"
249995129,tertiary,False,True,200.231,"LINESTRING (28.2444686 -12.5510727, 28.2445031 -12.5492723)"
250002889,tertiary,False,True,147.559,"LINESTRING (28.2444686 -12.5510727, 28.2441746 -12.5510343, 28.2440411 -12.550978, 28.2438668 -12.5508714, 28.243272 -12.5504898)"
250002905,tertiary,False,False,20.665,"LINESTRING (28.238332 -12.5555171, 28.2384957 -12.555612)"
250002905,tertiary,False,True,31.668,"LINESTRING (28.238332 -12.5555171, 28.23809 -12.555358)"
250002905,tertiary,False,False,35.731,"LINESTRING (28.2378261 -12.5551659, 28.23809 -12.555358)"
250002905,tertiary,False,True,38.086,"LINESTRING (28.2378261 -12.5551659, 28.237525 -12.55499)"
266142187,residential,False,False,175.49200000000002,"LINESTRING (28.2378261 -12.5551659, 28.2380218 -12.5548022, 28.2382426 -12.5544629, 28.2386523 -12.5538102)"
250002889,tertiary,False,False,39.948,"LINESTRING (28.2399474 -12.54839, 28.2402599 -12.5485798)"
250002889,tertiary,False,True,22.495,"LINESTRING (28.2399474 -12.54839, 28.2397717 -12.5482827)"
250002903,residential,False,False,5.84,"LINESTRING (28.2399474 -12.54839, 28.23992 -12.5484352)"
249995129,tertiary,False,True,30.78,"LINESTRING (28.2444821 -12.5513492, 28.2444686 -12.5510727)"
249995129,tertiary,False,False,145.084,"LINESTRING (28.2444821 -12.5513492, 28.2444636 -12.5522141, 28.2444763 -12.5526536)"
250002898,residential,False,False,135.186,"LINESTRING (28.2404329 -12.5472524, 28.2397717 -12.5482827)"
266035569,residential,False,False,123.984,"LINESTRING (28.2404329 -12.5472524, 28.2392929 -12.5471818)"
250002889,tertiary,False,False,42.157,"LINESTRING (28.2378734 -12.5471202, 28.238204 -12.5473192)"
250002889,tertiary,False,True,48.716,"LINESTRING (28.2378734 -12.5471202, 28.2374912 -12.5468905)"
266035569,residential,False,True,154.224,"LINESTRING (28.2378734 -12.5471202, 28.2392929 -12.5471818)"
266142202,residential,False,False,301.164,"LINESTRING (28.2378734 -12.5471202, 28.2364435 -12.5494413)"
266035569,residential,False,False,154.224,"LINESTRING (28.2392929 -12.5471818, 28.2378734 -12.5471202)"
266035569,residential,False,True,123.984,"LINESTRING (28.2392929 -12.5471818, 28.2404329 -12.5472524)"
266142170,residential,False,True,49.419,"LINESTRING (28.2407588 -12.5520379, 28.2403712 -12.5518047)"
266142173,tertiary,False,False,25.733,"LINESTRING (28.2407588 -12.5520379, 28.2408717 -12.5518344)"
266142173,tertiary,False,True,76.513,"LINESTRING (28.2407588 -12.5520379, 28.2403752 -12.5526152)"
250002903,residential,False,False,181.341,"LINESTRING (28.2372484 -12.5526553, 28.2363828 -12.5540502)"
250002903,residential,False,True,184.537,"LINESTRING (28.2372484 -12.5526553, 28.2381383 -12.5512412)"
266142171,residential,False,False,65.761,"LINESTRING (28.2372484 -12.5526553, 28.2367422 -12.5523303)"
250002905,tertiary,False,True,20.665,"LINESTRING (28.2384957 -12.555612, 28.238332 -12.5555171)"
266142173,tertiary,False,False,62.55,"LINESTRING (28.2384957 -12.555612, 28.238782 -12.5551238)"
