osmid,oneway,name,highway,reversed,length,lanes,geometry,ref,maxspeed
40550581,True,Libres del Sur,secondary,False,100.394,,"LINESTRING (-58.013656 -35.5775345, -58.013804 -35.5766397)",,
208418333,True,Avenida Lastra,secondary,False,70.225,1,"LINESTRING (-58.013656 -35.5775345, -58.0144255 -35.5776191)",,
422468482,True,,secondary,False,23.029999999999998,,"LINESTRING (-58.013656 -35.5775345, -58.0136947 -35.5775653, -58.0137072 -35.5775991, -58.0137077 -35.5776241, -58.0136989 -35.5776491, -58.0136759 -35.5776741, -58.0136229 -35.5776888)",,
40550523,True,Quintana,residential,False,16.535,,"LINESTRING (-58.0112975 -35.5772744, -58.0112707 -35.5774215)",,
208418333,True,Avenida Lastra,secondary,False,48.579,1,"LINESTRING (-58.0112975 -35.5772744, -58.0118297 -35.5773336)",,
208418333,True,Avenida Lastra,secondary,False,103.044,1,"LINESTRING (-58.0088994 -35.5770113, -58.0089565 -35.5770176, -58.0100285 -35.5771355)",,
"[648543323, 322133692]",True,"['Avenida Presidente Perón', 'Avenida Hipólito Yrigoyen']",secondary,False,15.45,,"LINESTRING (-58.0088994 -35.5770113, -58.008884 -35.5771032, -58.0088776 -35.5771491)",,
648543325,True,Avenida Hipólito Yrigoyen,secondary,False,110.411,,"LINESTRING (-58.0084345 -35.5759248, -58.0086272 -35.5749443)",,
379853423,False,Arenales,residential,True,56.928,,"LINESTRING (-58.0084345 -35.5759248, -58.0088232 -35.5759656, -58.0090582 -35.5759937)",,
179136384,False,Dolores,residential,True,68.895,,"LINESTRING (-58.0143445 -35.5825469, -58.01359 -35.5824611)",,
322023539,False,Avenida Costanera España,secondary,True,14.832,2,"LINESTRING (-58.0143445 -35.5825469, -58.0144989 -35.5825019)",027-14,40
322023539,False,Avenida Costanera España,secondary,False,81.564,2,"LINESTRING (-58.0143445 -35.5825469, -58.0140708 -35.5826396, -58.0137784 -35.5827398, -58.0135188 -35.5828415)",027-14,40
40550581,True,Libres del Sur,secondary,False,98.809,,"LINESTRING (-58.0139972 -35.5755696, -58.0141558 -35.5746904)",,
322182745,True,Soler,residential,False,69.911,,"LINESTRING (-58.0139972 -35.5755696, -58.0147638 -35.5756504)",,
322182745,True,Soler,residential,False,105.444,,"LINESTRING (-58.0128429 -35.5754362, -58.0139972 -35.5755696)",,
322289652,True,Alvear,residential,False,99.787,,"LINESTRING (-58.0128429 -35.5754362, -58.0129988 -35.5745478)",,
40550523,True,Quintana,residential,False,10.428,,"LINESTRING (-58.0116346 -35.5752966, -58.011618 -35.5753894)",,
322182745,True,Soler,residential,False,110.376,,"LINESTRING (-58.0116346 -35.5752966, -58.0128429 -35.5754362)",,
322182745,True,Soler,residential,False,111.445,,"LINESTRING (-58.0104287 -35.5751877, -58.0105078 -35.5751507, -58.0116346 -35.5752966)",,
322023544,True,Avenida Hipólito Yrigoyen,secondary,False,108.294,,"LINESTRING (-58.0092353 -35.5750305, -58.0090582 -35.5759937)",,
379853433,True,Soler,residential,False,109.338,,"LINESTRING (-58.0092353 -35.5750305, -58.0104287 -35.5751877)",,
191288821,False,Soler,residential,True,55.827,,"LINESTRING (-58.0092353 -35.5750305, -58.0090118 -35.5749988, -58.0086272 -35.5749443)",,
191288821,False,Soler,residential,False,55.827,,"LINESTRING (-58.0086272 -35.5749443, -58.0090118 -35.5749988, -58.0092353 -35.5750305)",,
322023544,True,Avenida Hipólito Yrigoyen,secondary,False,95.09500000000001,,"LINESTRING (-58.0090582 -35.5759937, -58.008941 -35.5766618, -58.008937 -35.5766846, -58.0089094 -35.5768403)",,
379853423,False,Arenales,residential,False,56.928,,"LINESTRING (-58.0090582 -35.5759937, -58.0088232 -35.5759656, -58.0084345 -35.5759248)",,
191288823,True,Arenales,residential,False,107.121,,"LINESTRING (-58.0102311 -35.5761279, -58.0090582 -35.5759937)",,
379853425,True,Casalins,residential,False,106.062,,"LINESTRING (-58.0102311 -35.5761279, -58.0104287 -35.5751877)",,
208418328,True,Arenales,residential,False,115.159,,"LINESTRING (-58.0102311 -35.5761279, -58.0103453 -35.5761038, -58.0114876 -35.5762446)",,
648543323,True,Avenida Hipólito Yrigoyen,secondary,False,19.036,,"LINESTRING (-58.0089094 -35.5768403, -58.0088994 -35.5770113)",,
208418333,True,Avenida Lastra,secondary,False,82.665,1,"LINESTRING (-58.0100285 -35.5771355, -58.0109343 -35.5772351)",,
379853425,True,Casalins,residential,False,113.529,,"LINESTRING (-58.0100285 -35.5771355, -58.0102311 -35.5761279)",,
208418333,True,Avenida Lastra,secondary,False,23.262,1,"LINESTRING (-58.012493 -35.5774066, -58.0127479 -35.5774346)",,
322289652,True,Alvear,residential,False,103.82900000000001,,"LINESTRING (-58.012493 -35.5774066, -58.0125797 -35.5769265, -58.012655 -35.5764822)",,
179136384,False,Dolores,residential,False,86.033,,"LINESTRING (-58.0118173 -35.5822983, -58.0127624 -35.5823868)",,
179136384,False,Dolores,residential,True,75.395,,"LINESTRING (-58.0118173 -35.5822983, -58.0109898 -35.5822157)",,
322133691,True,Alsina,residential,False,63.373,,"LINESTRING (-58.0118173 -35.5822983, -58.0117148 -35.5828621)",,
322023539,False,Avenida Costanera España,secondary,False,14.832,2,"LINESTRING (-58.0144989 -35.5825019, -58.0143445 -35.5825469)",027-14,40
322133694,True,Corrientes,residential,False,75.998,,"LINESTRING (-58.0144989 -35.5825019, -58.0146151 -35.581825)",,
322023539,False,Avenida Costanera España,secondary,True,86.301,2,"LINESTRING (-58.0144989 -35.5825019, -58.0146718 -35.5824634, -58.0148239 -35.5824363, -58.0149943 -35.5824102, -58.0152512 -35.5823787, -58.0154361 -35.5823613)",027-14,40
191286704,True,,secondary,False,16.85,,"LINESTRING (-58.0144255 -35.5776191, -58.0144008 -35.5777693)",,
208418333,True,Avenida Lastra,secondary,False,82.089,1,"LINESTRING (-58.0144255 -35.5776191, -58.015325 -35.577718)",,
179135508,True,Mendoza,residential,False,77.222,,"LINESTRING (-58.0164778 -35.5813574, -58.0156316 -35.5812643)",,
322133700,True,Muñiz,residential,False,81.291,,"LINESTRING (-58.0164778 -35.5813574, -58.0166235 -35.580636)",,
191286705,False,,residential,False,15.648,,"LINESTRING (-58.0162447 -35.5778192, -58.0162193 -35.5779584)",,
208418333,True,Avenida Lastra,secondary,False,83.512,1,"LINESTRING (-58.0162447 -35.5778192, -58.0171598 -35.5779198)",,
322023539,False,Avenida Costanera España,secondary,False,86.301,2,"LINESTRING (-58.0154361 -35.5823613, -58.0152512 -35.5823787, -58.0149943 -35.5824102, -58.0148239 -35.5824363, -58.0146718 -35.5824634, -58.0144989 -35.5825019)",027-14,40
322023539,False,Avenida Costanera España,secondary,True,78.507,2,"LINESTRING (-58.0154361 -35.5823613, -58.0158488 -35.5823321, -58.0160809 -35.5823202, -58.0163022 -35.5823189)",027-14,40
322023546,False,Mitre,secondary,False,34.062,,"LINESTRING (-58.0133286 -35.5792215, -58.0132716 -35.5795243)",,
322023546,False,Mitre,secondary,True,80.176,,"LINESTRING (-58.0133286 -35.5792215, -58.0134343 -35.5786487, -58.0134562 -35.578508)",,
648543322,True,Avenida Presidente Perón,secondary,False,34.451,,"LINESTRING (-58.008731 -35.5778121, -58.0086676 -35.5781176)",,
642010276,False,Orzali,residential,True,96.339,,"LINESTRING (-58.0191487 -35.5752509, -58.0188987 -35.5760931)",,
776674763,False,Remedios de Escalada,residential,False,55.077,,"LINESTRING (-58.0191487 -35.5752509, -58.0185459 -35.5751805)",,
179135500,True,Newbery,residential,False,112.567,,"LINESTRING (-58.0083697 -35.5797082, -58.0096011 -35.5798559)",,
