osmid,ref,name,highway,oneway,reversed,length,maxspeed,geometry,lanes
83045357,Р25,Кастрычніцкая вуліца,primary,False,False,14.294,,"LINESTRING (29.706394 54.8132438, 29.7066081 54.8132799)",
"[1096264554, 1096264555]",Р86,Кастрычніцкая вуліца,primary,False,True,177.345,40,"LINESTRING (29.706394 54.8132438, 29.7057297 54.813145, 29.7047517 54.8129415, 29.7040622 54.812798, 29.7037694 54.8127415)",
"[25249224, 1102866031]",Р25,вуліца Карла Маркса,primary,False,False,243.58299999999997,60,"LINESTRING (29.706394 54.8132438, 29.7064322 54.8131493, 29.7064601 54.8130261, 29.7065388 54.8124702, 29.7065689 54.8123253, 29.7066374 54.8119988, 29.7067347 54.8114868, 29.7068143 54.8110676)",3
30165306,,вуліца Заслонава,residential,False,True,84.414,,"LINESTRING (29.7037694 54.8127415, 29.7038257 54.8126552, 29.7042348 54.8120313)",
30386424,,вуліца Назарэнкі,residential,False,False,67.063,,"LINESTRING (29.7037694 54.8127415, 29.7037272 54.812789, 29.7036861 54.8128353, 29.7033263 54.8132878)",
"[1096264554, 1096264555]",Р86,Кастрычніцкая вуліца,primary,False,False,177.345,40,"LINESTRING (29.7037694 54.8127415, 29.7040622 54.812798, 29.7047517 54.8129415, 29.7057297 54.813145, 29.706394 54.8132438)",
"[30411944, 1102866020, 291666117]",Р25,"['Кастрычніцкая вуліца', 'Віцебская вуліца']",primary,False,False,303.9940000000001,40,"LINESTRING (29.7095721 54.8139375, 29.7098103 54.8139905, 29.7101073 54.8140509, 29.7110371 54.8142399, 29.7121478 54.8144968, 29.713016 54.8146901, 29.7133704 54.8147614, 29.7136123 54.8147811, 29.7138498 54.8147803, 29.7140495 54.814758)",
"[1096264560, 83045357, 1096264556, 1096264557]",Р25,Кастрычніцкая вуліца,primary,False,True,203.547,,"LINESTRING (29.7095721 54.8139375, 29.709299 54.813878, 29.708532 54.8136972, 29.7082718 54.8136359, 29.7078301 54.8135335, 29.7076064 54.8134871, 29.7075087 54.8134669, 29.706732 54.8133051, 29.7066081 54.8132799)",
1096264562,,Пралетарская вуліца,residential,False,True,35.307,,"LINESTRING (29.7095721 54.8139375, 29.7095286 54.8140074, 29.709477 54.8140975, 29.709404 54.8142398)",
"[25249224, 1102866031]",Р25,вуліца Карла Маркса,primary,False,True,243.583,60,"LINESTRING (29.7068143 54.8110676, 29.7067347 54.8114868, 29.7066374 54.8119988, 29.7065689 54.8123253, 29.7065388 54.8124702, 29.7064601 54.8130261, 29.7064322 54.8131493, 29.706394 54.8132438)",3
30165306,,вуліца Заслонава,residential,False,False,181.442,,"LINESTRING (29.7068143 54.8110676, 29.7067179 54.8110626, 29.7057738 54.8110137, 29.7051122 54.8110035, 29.7048757 54.8110766, 29.7045666 54.811537)",
30386424,,вуліца Назарэнкі,residential,False,False,79.702,,"LINESTRING (29.7033263 54.8132878, 29.7029746 54.8137546, 29.702831 54.8139453)",
30386424,,вуліца Назарэнкі,residential,False,True,67.063,,"LINESTRING (29.7033263 54.8132878, 29.7036861 54.8128353, 29.7037272 54.812789, 29.7037694 54.8127415)",
30311516,,Авіяцыйны завулак,residential,False,False,69.625,,"LINESTRING (29.7008472 54.8173885, 29.7016199 54.8176102, 29.701839 54.8176357)",
30386424,,вуліца Назарэнкі,residential,False,True,208.392,,"LINESTRING (29.7008472 54.8173885, 29.701 54.8166913, 29.7011904 54.8160513, 29.7015185 54.8155647)",
30386424,,вуліца Назарэнкі,residential,False,False,198.78099999999998,,"LINESTRING (29.702831 54.8139453, 29.7023971 54.8144899, 29.7020706 54.8148997, 29.7017551 54.8153037, 29.7017152 54.8153479, 29.7016639 54.8154017, 29.7015185 54.8155647)",
30386424,,вуліца Назарэнкі,residential,False,True,79.702,,"LINESTRING (29.702831 54.8139453, 29.7029746 54.8137546, 29.7033263 54.8132878)",
30386424,,вуліца Назарэнкі,residential,False,False,208.392,,"LINESTRING (29.7015185 54.8155647, 29.7011904 54.8160513, 29.701 54.8166913, 29.7008472 54.8173885)",
30386424,,вуліца Назарэнкі,residential,False,True,198.781,,"LINESTRING (29.7015185 54.8155647, 29.7016639 54.8154017, 29.7017152 54.8153479, 29.7017551 54.8153037, 29.7020706 54.8148997, 29.7023971 54.8144899, 29.702831 54.8139453)",
78137138,,Авіяцыйная вуліца,residential,False,True,216.80900000000003,,"LINESTRING (29.7035481 54.815954, 29.7034484 54.8160799, 29.7031273 54.8164094, 29.7027022 54.8168197, 29.7022663 54.8172231, 29.701839 54.8176357)",
193052386,Р113,вуліца Машэрава,primary,False,False,17.757,60,"LINESTRING (29.7031679 54.8179703, 29.7030119 54.8181023)",
30311516,,Авіяцыйны завулак,residential,False,True,92.918,,"LINESTRING (29.7031679 54.8179703, 29.7025131 54.8178011, 29.701839 54.8176357)",
193052386,Р113,вуліца Машэрава,primary,False,True,399.465,60,"LINESTRING (29.7031679 54.8179703, 29.7047142 54.8168439, 29.7050602 54.8162913, 29.7053897 54.8157302, 29.7056597 54.8151514, 29.7058277 54.8147869)",
78137138,,Авіяцыйная вуліца,residential,False,False,109.733,,"LINESTRING (29.7008814 54.8184539, 29.701839 54.8176357)",
78137138,,Авіяцыйная вуліца,residential,False,True,109.733,,"LINESTRING (29.701839 54.8176357, 29.7008814 54.8184539)",
30311516,,Авіяцыйны завулак,residential,False,False,92.918,,"LINESTRING (29.701839 54.8176357, 29.7025131 54.8178011, 29.7031679 54.8179703)",
30311516,,Авіяцыйны завулак,residential,False,True,69.625,,"LINESTRING (29.701839 54.8176357, 29.7016199 54.8176102, 29.7008472 54.8173885)",
78137138,,Авіяцыйная вуліца,residential,False,False,216.80900000000003,,"LINESTRING (29.701839 54.8176357, 29.7022663 54.8172231, 29.7027022 54.8168197, 29.7031273 54.8164094, 29.7034484 54.8160799, 29.7035481 54.815954)",
30311575,,Садовы завулак,residential,False,True,117.044,,"LINESTRING (29.7030119 54.8181023, 29.7045566 54.8186643)",
193052386,Р113,вуліца Машэрава,primary,False,True,17.757,60,"LINESTRING (29.7030119 54.8181023, 29.7031679 54.8179703)",
30311575,,Садовы завулак,residential,False,False,117.044,,"LINESTRING (29.7045566 54.8186643, 29.7030119 54.8181023)",
