osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,junction
962790866,False,Rua República Argentina,trunk,40,False,58.469,"LINESTRING (-53.6361672 -26.2566292, -53.6367354 -26.2564995)",,
962790866,False,Rua República Argentina,trunk,40,True,16.073,"LINESTRING (-53.6361672 -26.2566292, -53.6360061 -26.2566337)",,
530821418,False,Rua Henrique Brasil de Quadros,residential,,True,178.948,"LINESTRING (-53.6361672 -26.2566292, -53.6378967 -26.2569207, -53.6379308 -26.2569264)",,
117020441,False,Rua Santos Dumont,residential,,False,78.114,"LINESTRING (-53.6324307 -26.2640411, -53.6316828 -26.2642501)",,
117020441,False,Rua Santos Dumont,residential,,True,118.978,"LINESTRING (-53.6324307 -26.2640411, -53.633559 -26.2636931)",,
117020445,False,Rua Borges de Medeiros,residential,,False,120.227,"LINESTRING (-53.6324307 -26.2640411, -53.6320381 -26.2630188)",,
117020465,False,Rua Saldanha da Gama,residential,,False,118.195,"LINESTRING (-53.6363897 -26.2616672, -53.6352693 -26.2620141)",,
117020465,False,Rua Saldanha da Gama,residential,,True,116.004,"LINESTRING (-53.6363897 -26.2616672, -53.6374922 -26.2613343)",,
117020557,False,Rua Adolfo Konder,residential,,False,120.363,"LINESTRING (-53.6363897 -26.2616672, -53.6367724 -26.2626938)",,
117020557,False,Rua Adolfo Konder,residential,,True,114.905,"LINESTRING (-53.6363897 -26.2616672, -53.636034 -26.2606843)",,
117020454,True,Avenida Washington Luiz,trunk,,False,59.085,"LINESTRING (-53.6327688 -26.2595934, -53.6331878 -26.2592177)",,
117020547,False,Rua Rio Grande do Sul,residential,,False,163.442,"LINESTRING (-53.6327688 -26.2595934, -53.6322695 -26.2581934)",,
933230014,True,Rua Rio Grande do Sul,residential,,False,19.098,"LINESTRING (-53.6327688 -26.2595934, -53.6328027 -26.2596033, -53.6328365 -26.2596189, -53.632852 -26.2596424, -53.6328527 -26.2596754, -53.6328403 -26.2597194)",,
117020441,False,Rua Santos Dumont,residential,,True,78.114,"LINESTRING (-53.6316828 -26.2642501, -53.6324307 -26.2640411)",,
379797045,False,Rua Eurileno Lúcio Zanette,residential,40,True,125.88900000000001,"LINESTRING (-53.6316828 -26.2642501, -53.6316061 -26.2641346, -53.6314995 -26.2640452, -53.6314074 -26.2639293, -53.6313471 -26.2638134, -53.6313209 -26.2637138, -53.6313105 -26.2636, -53.6313135 -26.2632199)",,
117020532,False,Rua Velci Libardoni,residential,,False,63.162,"LINESTRING (-53.6343594 -26.2561409, -53.6347408 -26.2565944)",,
117020532,False,Rua Velci Libardoni,residential,,True,8.88,"LINESTRING (-53.6343594 -26.2561409, -53.6343057 -26.2560772)",,
530820534,True,Rua Presidente Vargas,tertiary,40,False,85.69,"LINESTRING (-53.6343594 -26.2561409, -53.6339571 -26.2562661, -53.633554 -26.256409)",,
117020435,False,Rua Felipe Schimidt,residential,,False,14.983,"LINESTRING (-53.6315844 -26.2608857, -53.6314352 -26.2609016)",,
117020435,False,Rua Felipe Schimidt,residential,,True,87.511,"LINESTRING (-53.6315844 -26.2608857, -53.6324267 -26.2606648)",,
117020523,True,Avenida Washington Luiz,trunk,,False,38.946,"LINESTRING (-53.6315844 -26.2608857, -53.6313232 -26.2611461)",,
117020523,True,Avenida Washington Luiz,trunk,,False,142.931,"LINESTRING (-53.6349576 -26.2576179, -53.6340057 -26.2585789)",,
117020557,False,Rua Adolfo Konder,residential,,False,115.649,"LINESTRING (-53.6349576 -26.2576179, -53.6353025 -26.2586109)",,
117020557,False,Rua Adolfo Konder,residential,,True,11.788,"LINESTRING (-53.6349576 -26.2576179, -53.6349347 -26.2575139)",,
117020504,False,Rua Augusto Guedes Martins,residential,,False,137.96,"LINESTRING (-53.6322695 -26.2581934, -53.6309973 -26.2586809)",,
117020547,False,Rua Rio Grande do Sul,residential,,False,137.437,"LINESTRING (-53.6322695 -26.2581934, -53.6318467 -26.257017)",,
117020547,False,Rua Rio Grande do Sul,residential,,True,163.442,"LINESTRING (-53.6322695 -26.2581934, -53.6327688 -26.2595934)",,
117020509,False,Rua Dom Pedro II,residential,,False,11.324,"LINESTRING (-53.6298447 -26.2625776, -53.6297449 -26.262529)",,
117020509,False,Rua Dom Pedro II,residential,,True,154.97299999999998,"LINESTRING (-53.6298447 -26.2625776, -53.6300164 -26.2625579, -53.631322 -26.2621542)",,
117020493,True,Avenida Prefeito Adelino Mangini,tertiary,,False,119.594,"LINESTRING (-53.6341529 -26.2589923, -53.6345366 -26.2600113)",,
117020498,False,Rua Nilson Verona,residential,40,False,9.436,"LINESTRING (-53.6341529 -26.2589923, -53.6340654 -26.2590246)",,
117020498,False,Rua Nilson Verona,residential,40,True,122.232,"LINESTRING (-53.6341529 -26.2589923, -53.6353025 -26.2586109)",,
117020398,False,Rua Visconde de Taunay,residential,,False,120.882,"LINESTRING (-53.6390023 -26.2620078, -53.6386367 -26.2609713)",,
117020398,False,Rua Visconde de Taunay,residential,,True,119.65,"LINESTRING (-53.6390023 -26.2620078, -53.6393604 -26.2630348)",,
117020441,False,Rua Santos Dumont,residential,,False,117.425,"LINESTRING (-53.6390023 -26.2620078, -53.6378927 -26.2623614)",,
117020445,False,Rua Borges de Medeiros,residential,,False,115.517,"LINESTRING (-53.6320381 -26.2630188, -53.6316559 -26.2620381)",,
117020445,False,Rua Borges de Medeiros,residential,,True,120.227,"LINESTRING (-53.6320381 -26.2630188, -53.6324307 -26.2640411)",,
117020465,False,Rua Saldanha da Gama,residential,,False,75.636,"LINESTRING (-53.6320381 -26.2630188, -53.6313135 -26.2632199)",,
117020465,False,Rua Saldanha da Gama,residential,,True,118.512,"LINESTRING (-53.6320381 -26.2630188, -53.6331643 -26.2626783)",,
117020498,False,Rua Nilson Verona,residential,40,False,13.157,"LINESTRING (-53.6333186 -26.2592332, -53.6331878 -26.2592177)",,
117020498,False,Rua Nilson Verona,residential,40,True,78.0,"LINESTRING (-53.6333186 -26.2592332, -53.6340654 -26.2590246)",,
117020523,True,Avenida Washington Luiz,trunk,,False,72.095,"LINESTRING (-53.6333186 -26.2592332, -53.6328403 -26.2597194)",,
117020523,True,Avenida Washington Luiz,trunk,,False,22.498,"LINESTRING (-53.6360061 -26.2566337, -53.6358465 -26.2567767)",,
962790866,False,Rua República Argentina,trunk,40,False,16.073,"LINESTRING (-53.6360061 -26.2566337, -53.6361672 -26.2566292)",,
962790866,False,Rua República Argentina,trunk,40,True,11.97,"LINESTRING (-53.6360061 -26.2566337, -53.6358862 -26.2566287)",,
117020419,False,Rua Almirante Barroso,residential,40,True,118.504,"LINESTRING (-53.6313135 -26.2632199, -53.631322 -26.2621542)",,
