osmid,lanes,ref,highway,oneway,reversed,length,geometry,name,maxspeed
242770393,2,BR-407;BA-131,secondary,False,False,239.099,"LINESTRING (-40.9572257 -13.28987, -40.9582279 -13.2914738, -40.9583627 -13.2917134)",,
251518087,,,residential,False,True,53.525,"LINESTRING (-40.9603358 -13.2933788, -40.9608132 -13.2935047)",,
299749502,2,,secondary,False,False,77.032,"LINESTRING (-40.9603358 -13.2933788, -40.9608785 -13.2938271)",,
299749502,2,,secondary,False,True,74.21600000000001,"LINESTRING (-40.9603358 -13.2933788, -40.9601068 -13.2932237, -40.9599656 -13.2931214, -40.9597848 -13.2929818)",,
242770394,,,residential,False,False,78.257,"LINESTRING (-40.953192 -13.2947488, -40.9537105 -13.2952394)",Rua Artur Magalhães,
"[298257162, 838436271]",2,BR-330,secondary,False,"[False, True]",240.792,"LINESTRING (-40.953192 -13.2947488, -40.9536812 -13.29429, -40.9538609 -13.2941394, -40.9539709 -13.2940716, -40.9541184 -13.2940128, -40.9548412 -13.293757, -40.954864 -13.2937557, -40.9549016 -13.2937596, -40.9549284 -13.2937714, -40.9549462 -13.2937996, -40.9549701 -13.2939198)","['Rua do Triângulo', 'Rua das Flores']",
242770394,,,residential,False,False,46.265,"LINESTRING (-40.9575979 -13.2941108, -40.9580144 -13.2940169)",Rua Artur Magalhães,
957555217,,,residential,False,False,94.55,"LINESTRING (-40.9575979 -13.2941108, -40.9578053 -13.2949368)",Rua Bela Vista de Cima,
242770394,,,residential,False,True,232.98700000000002,"LINESTRING (-40.9575979 -13.2941108, -40.9564519 -13.2943884, -40.9562214 -13.2944442, -40.9558709 -13.2945291, -40.9556835 -13.2945745, -40.9555131 -13.2946315)",Rua Artur Magalhães,
242770394,,,residential,False,True,41.943,"LINESTRING (-40.958392 -13.2939318, -40.9580144 -13.2940169)",Rua Artur Magalhães,
271946482,,,residential,False,True,37.8,"LINESTRING (-40.958392 -13.2939318, -40.9587403 -13.2939576)",Rua Artur Magalhães,
957555216,,,residential,False,False,38.953,"LINESTRING (-40.958392 -13.2939318, -40.9584903 -13.2942688)",,
