osmid,lanes,highway,maxspeed,oneway,reversed,length,geometry,ref
24035124,2,residential,50,False,True,25.131,"LINESTRING (25.8734611 43.5939841, 25.8737561 43.5939104)",
221216900,2,residential,50,False,True,20.341,"LINESTRING (25.8734611 43.5939841, 25.8733747 43.5938122)",
24035124,2,residential,50,False,False,71.994,"LINESTRING (25.8734611 43.5939841, 25.8729059 43.5943065, 25.872786 43.594406)",
221216900,2,residential,50,False,False,96.312,"LINESTRING (25.8734611 43.5939841, 25.8737561 43.5946721, 25.8736413 43.5947918)",
24035124,2,residential,50,False,True,123.448,"LINESTRING (25.8718788 43.5953009, 25.872786 43.594406)",
221216898,2,residential,50,False,True,162.457,"LINESTRING (25.8718788 43.5953009, 25.8702488 43.5944401)",
24035124,2,residential,50,False,False,389.49800000000005,"LINESTRING (25.8718788 43.5953009, 25.8717761 43.5953662, 25.8715776 43.5954944, 25.8714757 43.5955061, 25.8705799 43.5954594, 25.8704028 43.5954361, 25.8703063 43.5954051, 25.8687506 43.5945775, 25.8686379 43.5944921, 25.8685682 43.594391, 25.8682561 43.5937814)",
34830318,,residential,,False,False,136.481,"LINESTRING (25.875039 43.5937018, 25.8747482 43.594911)",
24035124,2,residential,50,False,False,105.911,"LINESTRING (25.875039 43.5937018, 25.8738012 43.5938992, 25.8737561 43.5939104)",
34830318,,residential,,False,True,34.189,"LINESTRING (25.8746753 43.5952139, 25.8747482 43.594911)",
221216897,2,residential,50,False,False,95.586,"LINESTRING (25.8746753 43.5952139, 25.8745817 43.5951758, 25.8736413 43.5947918)",
41078426,2,residential,50,False,False,108.06899999999999,"LINESTRING (25.8651395 43.5931084, 25.8654134 43.5928879, 25.8661727 43.592496)",
221216903,2,residential,50,False,True,190.788,"LINESTRING (25.8651395 43.5931084, 25.8655628 43.5935208, 25.8657822 43.5937348, 25.8661668 43.5939924, 25.8662835 43.5940346, 25.8664318 43.594026, 25.8669121 43.5939616)",
41078426,2,residential,50,False,False,52.224,"LINESTRING (25.8703186 43.5910216, 25.8709659 43.5909936)",
41078426,2,residential,50,False,True,28.179,"LINESTRING (25.8703186 43.5910216, 25.870005 43.591134)",
221221658,2,residential,50,False,True,17.159,"LINESTRING (25.8703186 43.5910216, 25.8701078 43.5909992)",
41078426,2,residential,50,False,True,53.04,"LINESTRING (25.8741332 43.5908568, 25.8734758 43.5908854)",
175753430,,tertiary,,True,False,48.679,"LINESTRING (25.8741332 43.5908568, 25.8740348 43.5907169, 25.8738994 43.5905258, 25.8738366 43.590478)",501
175753431,,tertiary,,True,False,44.431,"LINESTRING (25.8693236 43.5868644, 25.8694062 43.5869332, 25.8696321 43.5870838, 25.8697147 43.5871456)",501
24026217,2,residential,50,False,False,101.001,"LINESTRING (25.8697147 43.5871456, 25.8699797 43.5872419, 25.870316 43.5873777, 25.8707986 43.5876008)",
175753431,,tertiary,,True,False,104.592,"LINESTRING (25.8697147 43.5871456, 25.8697913 43.5872028, 25.8706045 43.5878307)",501
24026217,2,residential,50,False,False,176.447,"LINESTRING (25.8707986 43.5876008, 25.8714096 43.5879504, 25.8724933 43.5886062)",
24026217,2,residential,50,False,True,101.001,"LINESTRING (25.8707986 43.5876008, 25.870316 43.5873777, 25.8699797 43.5872419, 25.8697147 43.5871456)",
221223004,2,residential,50,False,True,30.524,"LINESTRING (25.8707986 43.5876008, 25.8707086 43.5876733, 25.87063 43.5877584, 25.8706045 43.5878307)",
24026217,2,residential,50,False,False,130.37,"LINESTRING (25.8724933 43.5886062, 25.8738076 43.5892906)",
221221295,2,residential,50,True,False,53.717,"LINESTRING (25.8724933 43.5886062, 25.8721388 43.5890154)",
24026217,2,residential,50,False,True,176.447,"LINESTRING (25.8724933 43.5886062, 25.8714096 43.5879504, 25.8707986 43.5876008)",
24026217,2,residential,50,False,False,91.491,"LINESTRING (25.8738076 43.5892906, 25.8747338 43.589767)",
24026217,2,residential,50,False,True,130.37,"LINESTRING (25.8738076 43.5892906, 25.8724933 43.5886062)",
221221311,2,residential,50,False,True,77.466,"LINESTRING (25.8738076 43.5892906, 25.8731747 43.5898152)",
221221321,2,residential,50,False,False,95.529,"LINESTRING (25.8739332 43.5904009, 25.8747338 43.589767)",
221221321,2,residential,50,False,True,11.577,"LINESTRING (25.8739332 43.5904009, 25.8738366 43.590478)",
175753431,,tertiary,,True,False,86.165,"LINESTRING (25.8739332 43.5904009, 25.8745765 43.5909194, 25.8746309 43.5909865)",501
221221292,2,residential,50,False,True,29.36,"LINESTRING (25.8746309 43.5909865, 25.8743167 43.5911204)",
175753431,,tertiary,,True,False,96.142,"LINESTRING (25.8746309 43.5909865, 25.8746836 43.5911337, 25.8748433 43.5917596, 25.8748608 43.5918346)",501
175753430,,tertiary,,True,False,120.83600000000001,"LINESTRING (25.8750929 43.5928894, 25.8749683 43.5928238, 25.8747523 43.5918613)",501
221216894,2,residential,50,False,True,74.012,"LINESTRING (25.8750929 43.5928894, 25.8748982 43.5928486, 25.8742384 43.5926466)",
34830318,,residential,,False,False,34.189,"LINESTRING (25.8747482 43.594911, 25.8746753 43.5952139)",
34830318,,residential,,False,True,136.481,"LINESTRING (25.8747482 43.594911, 25.875039 43.5937018)",
221205681,2,residential,50,False,False,15.316,"LINESTRING (25.8747482 43.594911, 25.8749304 43.5949505)",
221205681,2,residential,50,False,True,15.316,"LINESTRING (25.8749304 43.5949505, 25.8747482 43.594911)",
221216896,2,residential,50,False,False,116.495,"LINESTRING (25.8685467 43.5929691, 25.8677594 43.593848)",
221216890,2,residential,50,False,False,140.776,"LINESTRING (25.8685467 43.5929691, 25.8677367 43.592565, 25.867397 43.592069)",
221216896,2,residential,50,False,True,129.76,"LINESTRING (25.8685467 43.5929691, 25.868772 43.5927282, 25.8688901 43.5926427, 25.8689813 43.5925805, 25.8690778 43.5925456, 25.8698503 43.5923707)",
221216903,2,residential,50,False,False,53.235,"LINESTRING (25.8675621 43.5938745, 25.8669121 43.5939616)",
221216903,2,residential,50,False,True,16.16,"LINESTRING (25.8675621 43.5938745, 25.8677594 43.593848)",
221216901,2,residential,50,False,True,187.957,"LINESTRING (25.8675621 43.5938745, 25.8674524 43.5937034, 25.8665458 43.5928137, 25.8662553 43.5924783)",
41078426,2,residential,50,False,False,72.259,"LINESTRING (25.8692009 43.5914223, 25.870005 43.591134)",
41078426,2,residential,50,False,True,162.101,"LINESTRING (25.8692009 43.5914223, 25.867397 43.592069)",
221216905,2,residential,50,False,True,117.758,"LINESTRING (25.8692009 43.5914223, 25.869802 43.5922814, 25.8698503 43.5923707)",
221216906,2,residential,50,False,False,148.372,"LINESTRING (25.8638046 43.5914344, 25.864856 43.5903387)",
221216906,2,residential,50,False,True,113.074,"LINESTRING (25.8638046 43.5914344, 25.8639655 43.5924446)",
221221657,2,residential,50,False,False,73.046,"LINESTRING (25.8638046 43.5914344, 25.8647112 43.591415)",
221216894,2,residential,50,False,False,23.15,"LINESTRING (25.8726881 43.5920444, 25.8729187 43.5921687)",
221216903,2,residential,50,False,True,163.628,"LINESTRING (25.8726881 43.5920444, 25.8744485 43.5913097)",
221216903,2,residential,50,False,False,33.812,"LINESTRING (25.8726881 43.5920444, 25.872511 43.5921065, 25.8722911 43.5921337)",
24026215,2,residential,50,False,False,9.229,"LINESTRING (25.8747523 43.5918613, 25.8748608 43.5918346)",
175753430,,tertiary,,True,False,66.508,"LINESTRING (25.8747523 43.5918613, 25.8747355 43.5917865, 25.8746849 43.5916493, 25.8744485 43.5913097)",501
221216902,2,residential,50,False,True,60.5,"LINESTRING (25.870612 43.5939714, 25.8713577 43.5939054)",
221216891,2,residential,50,False,False,97.262,"LINESTRING (25.870612 43.5939714, 25.8704779 43.5937383, 25.8703706 43.5935946, 25.8699254 43.5932682)",
221216891,2,residential,50,False,True,60.168000000000006,"LINESTRING (25.870612 43.5939714, 25.8705477 43.5941113, 25.8702488 43.5944401)",
41078426,2,residential,50,False,False,69.643,"LINESTRING (25.8709659 43.5909936, 25.8718291 43.5909563)",
41078426,2,residential,50,False,True,52.224,"LINESTRING (25.8709659 43.5909936, 25.8703186 43.5910216)",
221216896,2,residential,50,False,False,184.54399999999998,"LINESTRING (25.8709659 43.5909936, 25.8708856 43.5914305, 25.8708534 43.5915276, 25.8707998 43.591617, 25.870714 43.5917025, 25.8699415 43.5922853, 25.8698503 43.5923707)",
221216896,2,residential,50,False,True,116.495,"LINESTRING (25.8677594 43.593848, 25.8685467 43.5929691)",
221216903,2,residential,50,False,False,16.16,"LINESTRING (25.8677594 43.593848, 25.8675621 43.5938745)",
221216903,2,residential,50,False,True,40.68,"LINESTRING (25.8677594 43.593848, 25.8682561 43.5937814)",
221216899,2,residential,50,False,True,137.666,"LINESTRING (25.8711163 43.5926855, 25.8711753 43.592767, 25.8713577 43.5939054)",
221216903,2,residential,50,False,False,102.209,"LINESTRING (25.8711163 43.5926855, 25.8709715 43.5927593, 25.8700595 43.5931944)",
221216903,2,residential,50,False,True,112.866,"LINESTRING (25.8711163 43.5926855, 25.8720765 43.5922153, 25.8722911 43.5921337)",
175753430,,tertiary,,True,False,23.574,"LINESTRING (25.8744485 43.5913097, 25.8743167 43.5911204)",501
221216903,2,residential,50,False,False,163.628,"LINESTRING (25.8744485 43.5913097, 25.8726881 43.5920444)",
221216895,2,residential,50,False,True,33.624,"LINESTRING (25.8721838 43.5940997, 25.8719907 43.5938316)",
221216900,2,residential,50,False,False,20.341,"LINESTRING (25.8733747 43.5938122, 25.8734611 43.5939841)",
221216902,2,residential,50,False,False,56.031000000000006,"LINESTRING (25.8733747 43.5938122, 25.872967 43.59375, 25.8726881 43.5937578)",
221216902,2,residential,50,False,True,32.896,"LINESTRING (25.8733747 43.5938122, 25.873659 43.5938665, 25.8737561 43.5939104)",
221216898,2,residential,50,False,False,131.227,"LINESTRING (25.8690424 43.5936783, 25.8690813 43.5937786, 25.8692937 43.5939357, 25.8702488 43.5944401)",
221216903,2,residential,50,False,False,64.355,"LINESTRING (25.8690424 43.5936783, 25.8689134 43.5936933, 25.8682561 43.5937814)",
221216903,2,residential,50,False,True,84.488,"LINESTRING (25.8690424 43.5936783, 25.8691583 43.5936296, 25.8699254 43.5932682)",
24026215,2,residential,50,False,True,9.229,"LINESTRING (25.8748608 43.5918346, 25.8747523 43.5918613)",
175753431,,tertiary,,True,False,118.984,"LINESTRING (25.8748608 43.5918346, 25.8750212 43.5925194, 25.8750992 43.5928164, 25.8750929 43.5928894)",501
221221657,2,residential,50,False,True,73.046,"LINESTRING (25.8647112 43.591415, 25.8638046 43.5914344)",
