osmid,lanes,ref,name,highway,oneway,reversed,length,geometry
24924149,2,10,Southern Shore Highway,primary,False,False,39.595,"LINESTRING (-52.8311267 47.2757706, -52.8311541 47.275415)"
129753676,2,,Dunn's Lane,residential,False,False,344.827,"LINESTRING (-52.8311267 47.2757706, -52.8317279 47.2759452, -52.8327158 47.2761116, -52.832957 47.2762068, -52.8333484 47.2764345, -52.8337089 47.2765367, -52.8349373 47.276499, -52.8350952 47.2764785, -52.8353552 47.2763483)"
1098578483,,10,Southern Shore Highway,primary,False,True,71.118,"LINESTRING (-52.8311267 47.2757706, -52.8310728 47.2760792, -52.8310675 47.276408)"
24924149,2,10,Southern Shore Highway,primary,False,False,52.909,"LINESTRING (-52.8317319 47.2712326, -52.8318325 47.2707617)"
24924149,2,10,Southern Shore Highway,primary,False,True,337.584,"LINESTRING (-52.8317319 47.2712326, -52.8312897 47.2742537)"
129753581,2,,Carey's Road,residential,False,True,50.93599999999999,"LINESTRING (-52.8317319 47.2712326, -52.8315285 47.2712079, -52.831076 47.2711256)"
"[832852776, 576920338]",2,,O'Brien's Road,residential,False,False,176.97699999999998,"LINESTRING (-52.831541 47.2692734, -52.8314784 47.2697107, -52.831454 47.2699786, -52.8314565 47.2702373, -52.831509 47.2704286, -52.8315543 47.2705882, -52.8316465 47.2706921, -52.8317387 47.2707422, -52.8318325 47.2707617)"
129753673,2,,,residential,False,False,403.76500000000004,"LINESTRING (-52.8257524 47.2697168, -52.8259473 47.2700016, -52.8261137 47.2706109, -52.8265926 47.2714671, -52.8268951 47.2718042, -52.8274782 47.2722269, -52.8279058 47.272742, -52.8280981 47.2729152)"
"[129753677, 129753590]",2,,Carey's Road,residential,False,False,476.085,"LINESTRING (-52.8257524 47.2697168, -52.825843 47.2696613, -52.8267145 47.2694214, -52.8270056 47.2693592, -52.8273034 47.2693642, -52.827552 47.2694036, -52.8277936 47.2694862, -52.8281833 47.269669, -52.8286601 47.2700753, -52.8289173 47.2702512, -52.8301374 47.2707446, -52.831076 47.2711256)"
24924149,2,10,Southern Shore Highway,primary,False,True,52.909,"LINESTRING (-52.8318325 47.2707617, -52.8317319 47.2712326)"
"[832852776, 576920338]",2,,O'Brien's Road,residential,False,True,176.97699999999998,"LINESTRING (-52.8318325 47.2707617, -52.8317387 47.2707422, -52.8316465 47.2706921, -52.8315543 47.2705882, -52.831509 47.2704286, -52.8314565 47.2702373, -52.831454 47.2699786, -52.8314784 47.2697107, -52.831541 47.2692734)"
129753581,2,,Carey's Road,residential,False,False,50.93599999999999,"LINESTRING (-52.831076 47.2711256, -52.8315285 47.2712079, -52.8317319 47.2712326)"
"[129753677, 129753590]",2,,Carey's Road,residential,False,True,476.085,"LINESTRING (-52.831076 47.2711256, -52.8301374 47.2707446, -52.8289173 47.2702512, -52.8286601 47.2700753, -52.8281833 47.269669, -52.8277936 47.2694862, -52.827552 47.2694036, -52.8273034 47.2693642, -52.8270056 47.2693592, -52.8267145 47.2694214, -52.825843 47.2696613, -52.8257524 47.2697168)"
129753647,2,,Andrew's Lane,residential,False,False,293.019,"LINESTRING (-52.831076 47.2711256, -52.830095 47.2718162, -52.8295779 47.272633, -52.8293727 47.2731055, -52.8291567 47.2733609)"
129753584,2,,,residential,False,False,50.803,"LINESTRING (-52.8280981 47.2729152, -52.8276232 47.2732391)"
129753613,2,,Gallow's Cove Road,residential,False,False,94.196,"LINESTRING (-52.8280981 47.2729152, -52.828487 47.2731107, -52.8291567 47.2733609)"
