osmid,ref,highway,oneway,reversed,length,geometry,bridge,junction
281566946,RN 10,primary,False,True,73.803,"LINESTRING (16.0528142 3.5221821, 16.0534059 3.522485)",,
281180839,,residential,False,False,184.95200000000003,"LINESTRING (16.0528142 3.5221821, 16.0526278 3.5225378, 16.0525975 3.5225909, 16.0524576 3.5230835, 16.0523498 3.5232797, 16.052287 3.5235153, 16.052242 3.5237319)",,
281236943,,residential,False,True,208.605,"LINESTRING (16.0528142 3.5221821, 16.0529313 3.5218763, 16.053097 3.5214439, 16.0534855 3.5204298)",,
"[1028140960, 281566946, 1028140959]",RN 10,primary,False,False,400.06,"LINESTRING (16.0528142 3.5221821, 16.0524673 3.522111, 16.0519872 3.5220173, 16.0510833 3.5218781, 16.0508812 3.5218467, 16.0508249 3.5218387, 16.0505775 3.5218059, 16.0500641 3.5217276, 16.0493297 3.5216191, 16.0492576 3.5216026)",yes,
"[1028140960, 281566946, 1028140959]",RN 10,primary,False,True,400.05999999999995,"LINESTRING (16.0492576 3.5216026, 16.0493297 3.5216191, 16.0500641 3.5217276, 16.0505775 3.5218059, 16.0508249 3.5218387, 16.0508812 3.5218467, 16.0510833 3.5218781, 16.0519872 3.5220173, 16.0524673 3.522111, 16.0528142 3.5221821)",yes,
281566946,RN 10,primary,False,False,73.803,"LINESTRING (16.0534059 3.522485, 16.0528142 3.5221821)",,
281069159,,residential,False,False,181.067,"LINESTRING (16.0534059 3.522485, 16.0535143 3.522216, 16.0536139 3.5220023, 16.0537134 3.5217495, 16.0537635 3.5216226, 16.0538762 3.5213371, 16.054039 3.5209849)",,
281566946,RN 10,primary,False,True,194.795,"LINESTRING (16.0534059 3.522485, 16.0535997 3.5226178, 16.0543668 3.5231953, 16.0548162 3.5235275)",,
281140306,,residential,False,True,126.56700000000001,"LINESTRING (16.0554239 3.5239767, 16.0554095 3.5238724, 16.0553851 3.5237668, 16.0554312 3.5236599, 16.0555831 3.5234732, 16.0559419 3.5230327)",,
281566946,RN 10,primary,False,False,83.928,"LINESTRING (16.0554239 3.5239767, 16.0549188 3.5236034, 16.0548162 3.5235275)",,
281566946,RN 10,primary,False,True,190.594,"LINESTRING (16.0554239 3.5239767, 16.0568207 3.5249348, 16.0568392 3.5249475)",,
281140302,,residential,False,False,51.855000000000004,"LINESTRING (16.0534855 3.5204298, 16.053613 3.520502, 16.0537483 3.5205801, 16.0538703 3.52069)",,
281236943,,residential,False,False,208.60500000000002,"LINESTRING (16.0534855 3.5204298, 16.053097 3.5214439, 16.0529313 3.5218763, 16.0528142 3.5221821)",,
281236943,,residential,False,True,116.864,"LINESTRING (16.0534855 3.5204298, 16.0538058 3.5194931, 16.0538266 3.5194355)",,
280975847,,residential,False,True,105.532,"LINESTRING (16.0549209 3.5181119, 16.05462 3.5190122)",,
361763835,,residential,False,False,103.639,"LINESTRING (16.0549209 3.5181119, 16.0557002 3.5186254)",,
280975848,,residential,False,True,94.508,"LINESTRING (16.0557002 3.5186254, 16.0552231 3.5193294)",,
361763835,,residential,False,True,103.639,"LINESTRING (16.0557002 3.5186254, 16.0549209 3.5181119)",,
361763835,,residential,False,False,192.926,"LINESTRING (16.0557002 3.5186254, 16.0557291 3.5186431, 16.0558129 3.5186978, 16.0566952 3.5192736, 16.0571591 3.5195687)",,
280975847,,residential,False,False,105.532,"LINESTRING (16.05462 3.5190122, 16.0549209 3.5181119)",,
280975847,,residential,False,True,86.147,"LINESTRING (16.05462 3.5190122, 16.0543731 3.5197467)",,
280975850,,residential,False,False,77.195,"LINESTRING (16.05462 3.5190122, 16.0548804 3.5190889, 16.0551019 3.519205, 16.0552231 3.5193294)",,
280975848,,residential,False,False,94.508,"LINESTRING (16.0552231 3.5193294, 16.0557002 3.5186254)",,
280975848,,residential,False,True,90.144,"LINESTRING (16.0552231 3.5193294, 16.0547679 3.5200008)",,
280975850,,residential,False,True,77.195,"LINESTRING (16.0552231 3.5193294, 16.0551019 3.519205, 16.0548804 3.5190889, 16.05462 3.5190122)",,
280975846,,residential,False,False,9.771,"LINESTRING (16.0543731 3.5197467, 16.0544471 3.5197943)",,
280975847,,residential,False,False,86.147,"LINESTRING (16.0543731 3.5197467, 16.05462 3.5190122)",,
280975846,,residential,False,True,63.455,"LINESTRING (16.0543731 3.5197467, 16.053984 3.5195129, 16.0538998 3.519431)",,
280975846,,residential,False,True,42.366,"LINESTRING (16.0547679 3.5200008, 16.0544471 3.5197943)",,
280975848,,residential,False,False,90.144,"LINESTRING (16.0547679 3.5200008, 16.0552231 3.5193294)",,
280975846,,residential,False,False,315.55899999999997,"LINESTRING (16.0547679 3.5200008, 16.0548652 3.5200634, 16.0559237 3.5207977, 16.0560391 3.5208719, 16.0571327 3.5215756)",,
280975846,,residential,False,False,14.003,"LINESTRING (16.0571327 3.5215756, 16.0572416 3.5216392)",,
280975846,,residential,False,True,315.559,"LINESTRING (16.0571327 3.5215756, 16.0560391 3.5208719, 16.0559237 3.5207977, 16.0548652 3.5200634, 16.0547679 3.5200008)",,
281140308,,residential,False,False,209.47400000000002,"LINESTRING (16.0571327 3.5215756, 16.0568692 3.5219635, 16.0567284 3.5221469, 16.0566197 3.5222883, 16.0563784 3.5225508, 16.0561018 3.5228594, 16.0559419 3.5230327)",,
280975846,,residential,False,True,14.003,"LINESTRING (16.0572416 3.5216392, 16.0571327 3.5215756)",,
"[280975849, 361763835]",,residential,False,"[False, True]",323.79800000000006,"LINESTRING (16.0572416 3.5216392, 16.0573083 3.5214608, 16.0577163 3.5209513, 16.0578789 3.5207482, 16.0580074 3.5205676, 16.0581906 3.5203102, 16.0581174 3.5202278, 16.0574862 3.5197769, 16.0571591 3.5195687)",,
280975844,,residential,False,False,121.063,"LINESTRING (16.0572293 3.5252393, 16.057718 3.5245805, 16.0578784 3.5243643)",,
281566946,RN 10,primary,False,False,54.113,"LINESTRING (16.0572293 3.5252393, 16.0572123 3.5252264, 16.0569033 3.5249914, 16.0568392 3.5249475)",,
281140302,,residential,False,True,37.76,"LINESTRING (16.054039 3.5209849, 16.0538703 3.52069)",,
281069159,,residential,False,True,181.067,"LINESTRING (16.054039 3.5209849, 16.0538762 3.5213371, 16.0537635 3.5216226, 16.0537134 3.5217495, 16.0536139 3.5220023, 16.0535143 3.522216, 16.0534059 3.522485)",,
281140302,,residential,False,False,312.894,"LINESTRING (16.054039 3.5209849, 16.0542204 3.5211837, 16.054349 3.5213624, 16.0545188 3.5215675, 16.0546686 3.5217118, 16.0548065 3.5218865, 16.0549638 3.5220496, 16.0550108 3.5220983, 16.0551452 3.522238, 16.0552375 3.5223339, 16.0552812 3.5223935, 16.0554033 3.5225603, 16.0554399 3.5226065, 16.0555426 3.5227363, 16.0556407 3.5228475, 16.0557256 3.5229177, 16.0558714 3.5229865, 16.0559419 3.5230327)",,
281140303,,residential,False,False,115.59100000000001,"LINESTRING (16.0571591 3.5195687, 16.0569769 3.5198752, 16.0567833 3.5201316, 16.0564803 3.5203307)",,
"[280975849, 361763835]",,residential,False,"[False, True]",323.798,"LINESTRING (16.0571591 3.5195687, 16.0574862 3.5197769, 16.0581174 3.5202278, 16.0581906 3.5203102, 16.0580074 3.5205676, 16.0578789 3.5207482, 16.0577163 3.5209513, 16.0573083 3.5214608, 16.0572416 3.5216392)",,
361763835,,residential,False,True,192.92600000000002,"LINESTRING (16.0571591 3.5195687, 16.0566952 3.5192736, 16.0558129 3.5186978, 16.0557291 3.5186431, 16.0557002 3.5186254)",,
280975846,,residential,False,False,42.366,"LINESTRING (16.0544471 3.5197943, 16.0547679 3.5200008)",,
280975846,,residential,False,True,9.771,"LINESTRING (16.0544471 3.5197943, 16.0543731 3.5197467)",,
281140305,,residential,False,True,118.63600000000001,"LINESTRING (16.0544471 3.5197943, 16.0543554 3.5199659, 16.0541684 3.5202756, 16.0540026 3.5205284, 16.0538703 3.52069)",,
281140303,,residential,False,True,115.59100000000001,"LINESTRING (16.0564803 3.5203307, 16.0567833 3.5201316, 16.0569769 3.5198752, 16.0571591 3.5195687)",,
281140302,,residential,False,False,37.76,"LINESTRING (16.0538703 3.52069, 16.054039 3.5209849)",,
281140302,,residential,False,True,51.855,"LINESTRING (16.0538703 3.52069, 16.0537483 3.5205801, 16.053613 3.520502, 16.0534855 3.5204298)",,
281140305,,residential,False,False,118.636,"LINESTRING (16.0538703 3.52069, 16.0540026 3.5205284, 16.0541684 3.5202756, 16.0543554 3.5199659, 16.0544471 3.5197943)",,
281140302,,residential,False,False,263.334,"LINESTRING (16.0559419 3.5230327, 16.0560611 3.5231109, 16.056199 3.5232314, 16.056435 3.5234431, 16.0566194 3.5235742, 16.0568767 3.523778, 16.057161 3.5239641, 16.0574951 3.5241649, 16.057628 3.5242607, 16.057772 3.5243584, 16.0578784 3.5243643)",,
281140302,,residential,False,True,312.89399999999995,"LINESTRING (16.0559419 3.5230327, 16.0558714 3.5229865, 16.0557256 3.5229177, 16.0556407 3.5228475, 16.0555426 3.5227363, 16.0554399 3.5226065, 16.0554033 3.5225603, 16.0552812 3.5223935, 16.0552375 3.5223339, 16.0551452 3.522238, 16.0550108 3.5220983, 16.0549638 3.5220496, 16.0548065 3.5218865, 16.0546686 3.5217118, 16.0545188 3.5215675, 16.054349 3.5213624, 16.0542204 3.5211837, 16.054039 3.5209849)",,
281140306,,residential,False,False,126.56700000000001,"LINESTRING (16.0559419 3.5230327, 16.0555831 3.5234732, 16.0554312 3.5236599, 16.0553851 3.5237668, 16.0554095 3.5238724, 16.0554239 3.5239767)",,
281140308,,residential,False,True,209.47400000000002,"LINESTRING (16.0559419 3.5230327, 16.0561018 3.5228594, 16.0563784 3.5225508, 16.0566197 3.5222883, 16.0567284 3.5221469, 16.0568692 3.5219635, 16.0571327 3.5215756)",,
281180825,,residential,False,False,185.46600000000004,"LINESTRING (16.0530721 3.5233541, 16.0532905 3.523562, 16.0535028 3.5237681, 16.0536571 3.5239242, 16.0540161 3.5242092, 16.0541222 3.5243055, 16.0542052 3.5244019, 16.054314 3.5244612)",,
281180834,,residential,False,False,118.225,"LINESTRING (16.0548162 3.5235275, 16.0547043 3.5238183, 16.054314 3.5244612)",,
281566946,RN 10,primary,False,False,194.795,"LINESTRING (16.0548162 3.5235275, 16.0543668 3.5231953, 16.0535997 3.5226178, 16.0534059 3.522485)",,
281566946,RN 10,primary,False,True,83.928,"LINESTRING (16.0548162 3.5235275, 16.0549188 3.5236034, 16.0554239 3.5239767)",,
281180839,,residential,False,True,184.952,"LINESTRING (16.052242 3.5237319, 16.052287 3.5235153, 16.0523498 3.5232797, 16.0524576 3.5230835, 16.0525975 3.5225909, 16.0526278 3.5225378, 16.0528142 3.5221821)",,
281180834,,residential,False,False,65.776,"LINESTRING (16.054314 3.5244612, 16.0540462 3.5249889)",,
"[281180825, 281408364]",,residential,False,False,254.147,"LINESTRING (16.054314 3.5244612, 16.0544908 3.5246234, 16.0547687 3.5248237, 16.0549907 3.5249893, 16.0553535 3.5252378, 16.0556027 3.5254277, 16.0556719 3.5254805, 16.0557085 3.5255038, 16.0558391 3.5255868, 16.0559877 3.5256814, 16.0561829 3.5257707)",,
281180825,,residential,False,True,185.46599999999998,"LINESTRING (16.054314 3.5244612, 16.0542052 3.5244019, 16.0541222 3.5243055, 16.0540161 3.5242092, 16.0536571 3.5239242, 16.0535028 3.5237681, 16.0532905 3.523562, 16.0530721 3.5233541)",,
281180834,,residential,False,True,118.225,"LINESTRING (16.054314 3.5244612, 16.0547043 3.5238183, 16.0548162 3.5235275)",,
281180841,,residential,False,False,91.26299999999999,"LINESTRING (16.0533744 3.5245162, 16.0538002 3.5248294, 16.0540144 3.524967, 16.0540462 3.5249889)",,
281180834,,residential,False,True,65.776,"LINESTRING (16.0540462 3.5249889, 16.054314 3.5244612)",,
"[281408360, 281180841]",,residential,False,False,243.60699999999997,"LINESTRING (16.0540462 3.5249889, 16.0542409 3.5251318, 16.0543597 3.5251836, 16.0545166 3.525313, 16.0548673 3.5255663, 16.0551525 3.5257706, 16.0554031 3.5259451, 16.0558383 3.5262481)",,
281180841,,residential,False,True,91.263,"LINESTRING (16.0540462 3.5249889, 16.0540144 3.524967, 16.0538002 3.5248294, 16.0533744 3.5245162)",,
281236940,,residential,False,False,67.07900000000001,"LINESTRING (16.0532487 3.5191754, 16.0533315 3.5192008, 16.0535548 3.5192592, 16.0538223 3.5193628)",,
281236940,,residential,False,True,67.07900000000001,"LINESTRING (16.0538223 3.5193628, 16.0535548 3.5192592, 16.0533315 3.5192008, 16.0532487 3.5191754)",,
281236944,,residential,True,False,6.920999999999999,"LINESTRING (16.0538223 3.5193628, 16.053839 3.5193503, 16.0538591 3.5193454, 16.0538796 3.5193489)",,roundabout
281236944,,residential,True,False,10.956,"LINESTRING (16.0538796 3.5193489, 16.0538963 3.5193594, 16.0539079 3.5193754, 16.0539126 3.5193945, 16.0539098 3.519414, 16.0538998 3.519431)",,roundabout
281236943,,residential,False,False,116.864,"LINESTRING (16.0538266 3.5194355, 16.0538058 3.5194931, 16.0534855 3.5204298)",,
281236944,,residential,True,False,8.93,"LINESTRING (16.0538266 3.5194355, 16.0538145 3.5194195, 16.0538094 3.5194, 16.0538122 3.5193801, 16.0538223 3.5193628)",,roundabout
280975846,,residential,False,False,63.455,"LINESTRING (16.0538998 3.519431, 16.053984 3.5195129, 16.0543731 3.5197467)",,
281236944,,residential,True,False,8.991,"LINESTRING (16.0538998 3.519431, 16.0538837 3.5194433, 16.0538641 3.5194485, 16.0538441 3.5194457, 16.0538266 3.5194355)",,roundabout
281236938,RN 10,primary,True,False,1.815,"LINESTRING (16.0490819 3.5215466, 16.0490911 3.5215601)",,roundabout
281236919,RN 10,primary,True,False,19.346,"LINESTRING (16.0490911 3.5215601, 16.0491648 3.5215641, 16.0492576 3.5216026)",,
"[281317384, 281408361]",,residential,False,"[False, True]",110.71000000000001,"LINESTRING (16.0568392 3.5249475, 16.0566423 3.5251731, 16.0564859 3.5253509, 16.0562166 3.525724)",,
281566946,RN 10,primary,False,False,190.594,"LINESTRING (16.0568392 3.5249475, 16.0568207 3.5249348, 16.0554239 3.5239767)",,
281566946,RN 10,primary,False,True,54.113,"LINESTRING (16.0568392 3.5249475, 16.0569033 3.5249914, 16.0572123 3.5252264, 16.0572293 3.5252393)",,
"[281408365, 281330230]",,residential,False,"[False, True]",91.209,"LINESTRING (16.0568077 3.5262916, 16.056721 3.5262177, 16.0564798 3.5260119, 16.0562166 3.525724)",,
280975844,,residential,False,True,121.063,"LINESTRING (16.0578784 3.5243643, 16.057718 3.5245805, 16.0572293 3.5252393)",,
281140302,,residential,False,True,263.33400000000006,"LINESTRING (16.0578784 3.5243643, 16.057772 3.5243584, 16.057628 3.5242607, 16.0574951 3.5241649, 16.057161 3.5239641, 16.0568767 3.523778, 16.0566194 3.5235742, 16.056435 3.5234431, 16.056199 3.5232314, 16.0560611 3.5231109, 16.0559419 3.5230327)",,
281408361,,residential,False,True,65.427,"LINESTRING (16.0558383 3.5262481, 16.0561829 3.5257707)",,
"[281408360, 281180841]",,residential,False,True,243.607,"LINESTRING (16.0558383 3.5262481, 16.0554031 3.5259451, 16.0551525 3.5257706, 16.0548673 3.5255663, 16.0545166 3.525313, 16.0543597 3.5251836, 16.0542409 3.5251318, 16.0540462 3.5249889)",,
281408361,,residential,False,False,73.691,"LINESTRING (16.0558383 3.5262481, 16.0556206 3.5264864, 16.0555121 3.5266139, 16.055409 3.5267529)",,
281408361,,residential,False,False,65.427,"LINESTRING (16.0561829 3.5257707, 16.0558383 3.5262481)",,
281408361,,residential,False,True,6.4,"LINESTRING (16.0561829 3.5257707, 16.0562166 3.525724)",,
"[281180825, 281408364]",,residential,False,True,254.147,"LINESTRING (16.0561829 3.5257707, 16.0559877 3.5256814, 16.0558391 3.5255868, 16.0557085 3.5255038, 16.0556719 3.5254805, 16.0556027 3.5254277, 16.0553535 3.5252378, 16.0549907 3.5249893, 16.0547687 3.5248237, 16.0544908 3.5246234, 16.054314 3.5244612)",,
281408361,,residential,False,False,6.4,"LINESTRING (16.0562166 3.525724, 16.0561829 3.5257707)",,
"[281317384, 281408361]",,residential,False,"[False, True]",110.71000000000001,"LINESTRING (16.0562166 3.525724, 16.0564859 3.5253509, 16.0566423 3.5251731, 16.0568392 3.5249475)",,
"[281408365, 281330230]",,residential,False,"[False, True]",91.209,"LINESTRING (16.0562166 3.525724, 16.0564798 3.5260119, 16.056721 3.5262177, 16.0568077 3.5262916)",,
