osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,ref,bridge
65766540,False,2,Vicente Pérez Rosales,primary,False,56.49,"LINESTRING (-73.001672 -41.2617774, -73.0020153 -41.2613398)",,,
65952759,False,2,Presidente Jorge Alessandri,residential,False,32.673,"LINESTRING (-73.001672 -41.2617774, -73.0016258 -41.2616601, -73.0015954 -41.2616029, -73.0015113 -41.261513)",,,
65950269,True,2,San Martín,residential,False,66.237,"LINESTRING (-73.0040281 -41.2588193, -73.0041315 -41.2588668, -73.0046819 -41.2591199, -73.0047041 -41.2591301)",50,,
98679427,True,2,Vicente Pérez Rosales,primary,False,70.007,"LINESTRING (-73.0040281 -41.2588193, -73.0040748 -41.2587598, -73.0043987 -41.2583476, -73.004454 -41.2582772)",,,
260230694,True,2,Erardo Werner,primary,False,73.085,"LINESTRING (-73.0056513 -41.2567533, -73.0056917 -41.2567588, -73.0063397 -41.2567361, -73.0064156 -41.2567181, -73.0065168 -41.2566972)",,,
98679415,False,2,Manuel Antonio Matta,residential,True,97.189,"LINESTRING (-73.0065168 -41.2566972, -73.0069365 -41.2558821)",50,,
178319152,False,2,Erardo Werner,primary,True,140.00799999999998,"LINESTRING (-73.0065168 -41.2566972, -73.0066677 -41.2566672, -73.0081288 -41.2563555)",50,,
528272680,True,2,Manuel Antonio Matta,primary,False,100.60199999999999,"LINESTRING (-73.0065168 -41.2566972, -73.0065101 -41.2568089, -73.0060597 -41.2574322, -73.0060039 -41.2575045)",50,,
65945055,False,2,Manuel Bulnes,residential,True,133.772,"LINESTRING (-73.0084427 -41.2562885, -73.0069365 -41.2558821)",50,,
178319152,False,2,Erardo Werner,primary,False,27.277,"LINESTRING (-73.0084427 -41.2562885, -73.0081288 -41.2563555)",50,,
178319152,False,2,Erardo Werner,primary,True,51.095,"LINESTRING (-73.0084427 -41.2562885, -73.009051 -41.2562435)",50,,
65769868,False,,Sor María Goretti,living_street,True,113.456,"LINESTRING (-73.0103295 -41.2562391, -73.010295 -41.2552191)",,,
178319152,False,2,Erardo Werner,primary,False,45.784,"LINESTRING (-73.0103295 -41.2562391, -73.0097818 -41.2562393)",50,,
65945061,False,2,Luis Modinger,residential,False,73.97,"LINESTRING (-73.0068243 -41.2585929, -73.0063587 -41.2591586)",50,,
65945061,False,2,Luis Modinger,residential,True,68.263,"LINESTRING (-73.0068243 -41.2585929, -73.0071074 -41.2582489, -73.0072539 -41.2580708)",50,,
65950304,False,2,Valdivieso,secondary,True,221.97699999999998,"LINESTRING (-73.0068243 -41.2585929, -73.0069559 -41.2586531, -73.0072977 -41.2588091, -73.0075136 -41.2589238, -73.0089671 -41.2597686)",50,V-401,
275382436,False,2,Valdivieso,secondary,False,120.48499999999999,"LINESTRING (-73.0068243 -41.2585929, -73.0060906 -41.2582672, -73.0055832 -41.2580419)",50,V-401,
65945061,False,2,Luis Modinger,residential,False,69.469,"LINESTRING (-73.0063587 -41.2591586, -73.0059189 -41.2596887)",50,,
65945061,False,2,Luis Modinger,residential,True,73.97,"LINESTRING (-73.0063587 -41.2591586, -73.0068243 -41.2585929)",50,,
1098296833,False,2,O'Higgins,residential,False,119.861,"LINESTRING (-73.0063587 -41.2591586, -73.0051377 -41.2585934)",50,,
"[65950265, 65950259]",False,2,O'Higgins,residential,"[False, True]",292.776,"LINESTRING (-73.0063587 -41.2591586, -73.0072622 -41.2595771, -73.007889 -41.2599281, -73.008325 -41.2602267, -73.008439 -41.2602883, -73.0086064 -41.2602697, -73.0086864 -41.2601941, -73.0089671 -41.2597686)",50,,
1098296833,False,2,O'Higgins,residential,False,67.1,"LINESTRING (-73.0051377 -41.2585934, -73.004454 -41.2582772)",50,,
1098296833,False,2,O'Higgins,residential,True,119.861,"LINESTRING (-73.0051377 -41.2585934, -73.0063587 -41.2591586)",50,,
275382435,True,2,Manuel Antonio Matta,primary,False,69.82300000000001,"LINESTRING (-73.0051377 -41.2585934, -73.0047571 -41.2590646, -73.0047041 -41.2591301)",50,,
65945061,False,2,Luis Modinger,residential,False,69.902,"LINESTRING (-73.0059189 -41.2596887, -73.0054815 -41.2602245)",50,,
65945061,False,2,Luis Modinger,residential,True,69.469,"LINESTRING (-73.0059189 -41.2596887, -73.0063587 -41.2591586)",50,,
98679424,False,2,San Martín,residential,False,166.991,"LINESTRING (-73.0059189 -41.2596887, -73.0076167 -41.2604802)",50,,
65945061,False,2,Luis Modinger,residential,False,87.063,"LINESTRING (-73.0054815 -41.2602245, -73.0049334 -41.2608903)",50,,
65945061,False,2,Luis Modinger,residential,True,69.902,"LINESTRING (-73.0054815 -41.2602245, -73.0059189 -41.2596887)",50,,
1098296832,False,2,Candelaria,residential,True,118.706,"LINESTRING (-73.0054815 -41.2602245, -73.0042759 -41.2596603)",50,,
528272681,False,2,Candelaria,residential,False,160.80100000000002,"LINESTRING (-73.0054815 -41.2602245, -73.0069855 -41.2609276, -73.0071151 -41.2609882)",50,,
528272681,False,2,Candelaria,residential,True,160.80100000000002,"LINESTRING (-73.0071151 -41.2609882, -73.0069855 -41.2609276, -73.0054815 -41.2602245)",50,,
65945039,False,,Río Maullín,residential,True,116.194,"LINESTRING (-73.0046275 -41.2612621, -73.0034632 -41.2606912)",,,
65945061,False,2,Luis Modinger,residential,True,48.61,"LINESTRING (-73.0046275 -41.2612621, -73.0049334 -41.2608903)",50,,
65945039,False,,Río Maullín,residential,False,159.707,"LINESTRING (-73.0046275 -41.2612621, -73.006173 -41.2618978, -73.0062964 -41.2619605)",,,
98679424,False,2,San Martín,residential,True,166.991,"LINESTRING (-73.0076167 -41.2604802, -73.0059189 -41.2596887)",50,,
