osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry
84198425,False,2,Arturo Prat,residential,50,True,10.851,,"LINESTRING (-72.9518422 -39.6623694, -72.9518101 -39.662275)"
337183290,False,2,Ruta T-34,primary,50,True,61.781,T-34,"LINESTRING (-72.9518422 -39.6623694, -72.9515723 -39.6628847)"
337183290,False,2,Ruta T-34,primary,50,False,21.046000000000003,T-34,"LINESTRING (-72.9518422 -39.6623694, -72.9518807 -39.662341, -72.9519225 -39.6623155, -72.9519814 -39.6622869, -72.9520443 -39.662264)"
162097448,False,2,Darío Salas,residential,50,False,72.873,,"LINESTRING (-72.9540343 -39.6685602, -72.9540462 -39.6679049)"
162097448,False,2,Darío Salas,residential,50,True,61.093,,"LINESTRING (-72.9540343 -39.6685602, -72.9540286 -39.6691096)"
84198379,False,2,El Maitén,residential,50,False,118.09199999999998,,"LINESTRING (-72.9540343 -39.6685602, -72.9539891 -39.6685589, -72.9527163 -39.6685233, -72.9526555 -39.6685217)"
84198379,False,2,El Maitén,residential,50,False,42.037,,"LINESTRING (-72.9526555 -39.6685217, -72.9525999 -39.6685201, -72.9521647 -39.6685079)"
84198379,False,2,El Maitén,residential,50,True,118.09199999999998,,"LINESTRING (-72.9526555 -39.6685217, -72.9527163 -39.6685233, -72.9539891 -39.6685589, -72.9540343 -39.6685602)"
162097444,False,2,Chacabuco,residential,50,False,61.718,,"LINESTRING (-72.9526555 -39.6685217, -72.9526528 -39.6685691, -72.9526236 -39.6690762)"
162097444,False,2,Chacabuco,residential,50,True,103.63900000000001,,"LINESTRING (-72.9526555 -39.6685217, -72.9526599 -39.6684834, -72.9527066 -39.6676369, -72.9527092 -39.6675906)"
84198379,False,2,El Maitén,residential,50,True,68.122,,"LINESTRING (-72.9510224 -39.6684539, -72.951136 -39.6684602, -72.9518162 -39.6684982)"
665679911,False,2,General Carol Urzúa,residential,50,False,170.242,,"LINESTRING (-72.9510224 -39.6684539, -72.9509763 -39.6684393, -72.9501911 -39.6681935, -72.9500583 -39.6681512, -72.9499523 -39.6681037, -72.9493579 -39.6677872, -72.9492737 -39.6677424)"
665679911,False,2,General Carol Urzúa,residential,50,True,194.61499999999998,,"LINESTRING (-72.9510224 -39.6684539, -72.9510792 -39.6685069, -72.9515079 -39.6689068, -72.9522319 -39.6695822, -72.9523551 -39.6696273, -72.9525313 -39.6696252, -72.952592 -39.6696245)"
1214649183,False,2,Balmaceda,residential,50,True,99.77499999999999,,"LINESTRING (-72.9510224 -39.6684539, -72.9510306 -39.6683985, -72.9511481 -39.6676071, -72.9511547 -39.6675624)"
25734898,False,1,Arturo Prat,residential,50,True,266.01599999999996,,"LINESTRING (-72.9492737 -39.6677424, -72.9491479 -39.6678602, -72.9490468 -39.6679596, -72.9489411 -39.6680562, -72.948831 -39.6681498, -72.9487165 -39.6682404, -72.9485978 -39.6683277, -72.9483779 -39.6684712, -72.9479739 -39.6687295, -72.9477794 -39.6688486, -72.9477226 -39.6688728, -72.9476628 -39.6688921, -72.9476005 -39.6689063, -72.9475297 -39.6689158, -72.947458 -39.6689186, -72.9473863 -39.6689147, -72.9472879 -39.6688944, -72.9471926 -39.6688665, -72.9471015 -39.6688313, -72.9470156 -39.6687892, -72.9469335 -39.6687391, -72.9468587 -39.6686827)"
337183291,False,2,Arturo Prat,residential,50,False,63.539,,"LINESTRING (-72.9492737 -39.6677424, -72.9493502 -39.6676288, -72.9494217 -39.6674972, -72.9494968 -39.6673583, -72.9495611 -39.6672163)"
665679911,False,2,General Carol Urzúa,residential,50,True,170.24200000000002,,"LINESTRING (-72.9492737 -39.6677424, -72.9493579 -39.6677872, -72.9499523 -39.6681037, -72.9500583 -39.6681512, -72.9501911 -39.6681935, -72.9509763 -39.6684393, -72.9510224 -39.6684539)"
84198380,False,2,Pedro Aguirre Cerda,residential,50,False,93.482,,"LINESTRING (-72.9495611 -39.6672163, -72.9496685 -39.66724, -72.950611 -39.6674479)"
337183291,False,2,Arturo Prat,residential,50,True,63.53900000000001,,"LINESTRING (-72.9495611 -39.6672163, -72.9494968 -39.6673583, -72.9494217 -39.6674972, -72.9493502 -39.6676288, -72.9492737 -39.6677424)"
1214625107,False,2,Arturo Prat,residential,50,False,109.14699999999999,,"LINESTRING (-72.9495611 -39.6672163, -72.9497486 -39.6668118, -72.9499005 -39.6664841, -72.9499736 -39.6663263, -72.9499896 -39.6662918)"
84198380,False,2,Pedro Aguirre Cerda,residential,50,False,48.247,,"LINESTRING (-72.950611 -39.6674479, -72.9510848 -39.6675477, -72.9511547 -39.6675624)"
84198380,False,2,Pedro Aguirre Cerda,residential,50,True,93.482,,"LINESTRING (-72.950611 -39.6674479, -72.9496685 -39.66724, -72.9495611 -39.6672163)"
162097446,False,1,Lautaro,living_street,30,True,41.113,,"LINESTRING (-72.950611 -39.6674479, -72.9505882 -39.6674859, -72.9504097 -39.6677836)"
84198380,False,2,Pedro Aguirre Cerda,residential,50,True,48.247,,"LINESTRING (-72.9511547 -39.6675624, -72.9510848 -39.6675477, -72.950611 -39.6674479)"
1110032633,False,2,Pedro Aguirre Cerda,residential,50,False,133.092,,"LINESTRING (-72.9511547 -39.6675624, -72.9512278 -39.6675637, -72.9526577 -39.6675893, -72.9527092 -39.6675906)"
1214649183,False,2,Balmaceda,residential,50,False,99.77499999999999,,"LINESTRING (-72.9511547 -39.6675624, -72.9511481 -39.6676071, -72.9510306 -39.6683985, -72.9510224 -39.6684539)"
1214649183,False,2,Balmaceda,residential,50,True,140.745,,"LINESTRING (-72.9511547 -39.6675624, -72.9511629 -39.6675199, -72.9513885 -39.6663501, -72.9513992 -39.6663108)"
162097444,False,2,Chacabuco,residential,50,False,103.63900000000001,,"LINESTRING (-72.9527092 -39.6675906, -72.9527066 -39.6676369, -72.9526599 -39.6684834, -72.9526555 -39.6685217)"
162097444,False,2,Chacabuco,residential,50,True,141.09000000000003,,"LINESTRING (-72.9527092 -39.6675906, -72.9527122 -39.6675386, -72.9527793 -39.6663735, -72.9527822 -39.666323)"
1110032633,False,2,Pedro Aguirre Cerda,residential,50,False,115.53899999999999,,"LINESTRING (-72.9527092 -39.6675906, -72.9527659 -39.6675912, -72.9540065 -39.6676135, -72.9540587 -39.6676144)"
