osmid,name,highway,oneway,reversed,length,geometry,ref,bridge
184160162,桦亭路,residential,False,False,278.103,"LINESTRING (88.1297996 47.8260358, 88.1289508 47.8264087, 88.1284793 47.8266158, 88.1283004 47.8266944, 88.1276093 47.8269352, 88.1265842 47.8272925)",,
668538932,银水路,trunk,True,False,519.69,"LINESTRING (88.1297996 47.8260358, 88.1289736 47.825184, 88.1288495 47.825056, 88.1270647 47.8232913, 88.125956 47.8221395)",G217,
184160162,桦亭路,residential,False,True,278.10300000000007,"LINESTRING (88.1265842 47.8272925, 88.1276093 47.8269352, 88.1283004 47.8266944, 88.1284793 47.8266158, 88.1289508 47.8264087, 88.1297996 47.8260358)",,
"[557860573, 1125183318, 1125183319]",团结路,secondary,True,False,316.77599999999995,"LINESTRING (88.1265842 47.8272925, 88.1266794 47.8275293, 88.1267309 47.8276575, 88.1268331 47.8279117, 88.1273659 47.829237, 88.1274593 47.8298011, 88.1274491 47.8300682)",,yes
184160159,,residential,False,True,7.591,"LINESTRING (88.1274491 47.8300682, 88.1273501 47.8300838)",,
668538932,银水路,trunk,True,False,9.033,"LINESTRING (88.125956 47.8221395, 88.1258941 47.8220697)",G217,
518056281,,secondary,True,False,8.247,"LINESTRING (88.1258941 47.8220697, 88.1259682 47.8220147)",,
668538932,银水路,trunk,True,False,5.723,"LINESTRING (88.1334499 47.8295816, 88.133408 47.8295385)",G217,
668538932,银水路,trunk,True,False,473.621,"LINESTRING (88.133408 47.8295385, 88.1321576 47.8283813, 88.1297996 47.8260358)",G217,
554611486,团结西一巷,residential,False,False,106.806,"LINESTRING (88.1240262 47.822538, 88.12268 47.822863)",,
554611486,团结西一巷,residential,False,True,6.726,"LINESTRING (88.1240262 47.822538, 88.1241108 47.8225172)",,
1125183316,团结路,secondary,True,False,126.486,"LINESTRING (88.1240262 47.822538, 88.1235269 47.8216177, 88.1234593 47.8214663)",,
554611486,团结西一巷,residential,False,False,6.726,"LINESTRING (88.1241108 47.8225172, 88.1240262 47.822538)",,
1125183318,团结路,secondary,True,False,183.493,"LINESTRING (88.1241108 47.8225172, 88.1247336 47.8237936, 88.1248917 47.8240817)",,
558216605,,tertiary,False,False,7.803,"LINESTRING (88.1248917 47.8240817, 88.1247923 47.8241034)",,
1125183318,团结路,secondary,True,False,378.78200000000004,"LINESTRING (88.1248917 47.8240817, 88.1255572 47.8252583, 88.1265842 47.8272925)",,
559786105,,residential,False,False,160.853,"LINESTRING (88.1271125 47.8288309, 88.1250393 47.8292251)",,
"[554611488, 1125183316, 1125183317]",团结路,secondary,True,False,553.951,"LINESTRING (88.1271125 47.8288309, 88.1268232 47.8281111, 88.126643 47.8276629, 88.1266036 47.827565, 88.1265521 47.8274368, 88.1265009 47.8273095, 88.1254752 47.8252779, 88.1247923 47.8241034)",,yes
1125183318,团结路,secondary,True,False,127.095,"LINESTRING (88.123535 47.8214431, 88.1236236 47.8216168, 88.1237351 47.8218923, 88.1241108 47.8225172)",,
558216605,,tertiary,False,True,7.803,"LINESTRING (88.1247923 47.8241034, 88.1248917 47.8240817)",,
1125183316,团结路,secondary,True,False,183.221,"LINESTRING (88.1247923 47.8241034, 88.1240262 47.822538)",,
"[559786107, 558216605, 668539207]",,tertiary,False,False,181.182,"LINESTRING (88.1247923 47.8241034, 88.1229821 47.8246391, 88.1227156 47.8247234, 88.122572 47.8247608)",,yes
559786105,,residential,False,True,160.853,"LINESTRING (88.1250393 47.8292251, 88.1271125 47.8288309)",,
"[559786107, 558216605, 668539207]",,tertiary,False,True,181.182,"LINESTRING (88.122572 47.8247608, 88.1227156 47.8247234, 88.1229821 47.8246391, 88.1247923 47.8241034)",,yes
184160159,,residential,False,False,7.591,"LINESTRING (88.1273501 47.8300838, 88.1274491 47.8300682)",,
554611488,团结路,secondary,True,False,141.4,"LINESTRING (88.1273501 47.8300838, 88.127372 47.8298028, 88.1272802 47.8292479, 88.1271125 47.8288309)",,
554611486,团结西一巷,residential,False,True,106.806,"LINESTRING (88.12268 47.822863, 88.1240262 47.822538)",,
784681826,银水路,trunk,True,False,8.836,"LINESTRING (88.1259682 47.8220147, 88.1260292 47.8220828)",G217,
518056279,,secondary,True,False,8.344,"LINESTRING (88.1260292 47.8220828, 88.125956 47.8221395)",,
