osmid,ref,highway,maxspeed,oneway,reversed,length,name,geometry,junction,access,lanes
676119732,490,secondary,50,False,True,37.188,,"LINESTRING (17.6487537 49.0212639, 17.6490326 49.0209839)",,,
9626299,490,secondary,50,False,False,37.37,Předbranská,"LINESTRING (17.6487537 49.0212639, 17.6489034 49.0213608, 17.6491237 49.0214964)",,,
27777523,05019,tertiary,50,False,False,85.977,Pod Valy,"LINESTRING (17.6487537 49.0212639, 17.6486445 49.0212199, 17.6485418 49.0211922, 17.648492 49.0211788, 17.6483406 49.0211551, 17.6481945 49.0211413, 17.6480373 49.0211342, 17.6476126 49.0211476)",,,
9626299,490,secondary,50,False,True,48.733000000000004,Předbranská,"LINESTRING (17.6496216 49.0217881, 17.649453 49.0217014, 17.6492346 49.0215638, 17.6491237 49.0214964)",,,
85526137,490,secondary,50,False,False,68.875,Dolní Valy,"LINESTRING (17.6496216 49.0217881, 17.6500292 49.0219401, 17.6502403 49.0220178, 17.6504338 49.0221036)",,,
34657672,490,secondary,50,True,False,27.692999999999998,,"LINESTRING (17.6517802 49.024043, 17.6517664 49.0240774, 17.651737 49.0241073, 17.6516949 49.0241297, 17.6516443 49.0241426, 17.6515901 49.0241445, 17.6515377 49.0241353, 17.6514922 49.0241159)",roundabout,,
36886586,,residential,50,False,True,189.844,Lidická,"LINESTRING (17.6459747 49.02944, 17.6458851 49.0294456, 17.6455979 49.0294624, 17.6455499 49.0294669, 17.6433823 49.0296)",,,
"[759530608, 607904106]",49714,tertiary,50,False,"[False, True]",99.35600000000001,Prakšická,"LINESTRING (17.6459747 49.02944, 17.6459703 49.0292671, 17.6459509 49.0290873, 17.6459141 49.0289187, 17.6458965 49.0288172, 17.6458427 49.028647, 17.6458136 49.0285549)",,,
36886547,,residential,,False,False,86.862,,"LINESTRING (17.6461643 49.0265226, 17.6473556 49.0265278)",,,
211443930,,residential,50,False,False,65.026,Přemysla Otakara II.,"LINESTRING (17.6461643 49.0265226, 17.6461805 49.0264241, 17.6461816 49.0262996, 17.6461514 49.0260716, 17.6461186 49.025941)",,,
211443930,,residential,50,False,True,34.878,Přemysla Otakara II.,"LINESTRING (17.6461643 49.0265226, 17.646147 49.0265999, 17.6461102 49.0266852, 17.6459992 49.0268128)",,,
36886521,,tertiary,50,False,False,43.628,Mariánské náměstí,"LINESTRING (17.6461186 49.025941, 17.6460466 49.0258675, 17.6459447 49.0257971, 17.6458253 49.0257453, 17.6456726 49.0256907)",,,
211443930,,residential,50,False,True,65.026,Přemysla Otakara II.,"LINESTRING (17.6461186 49.025941, 17.6461514 49.0260716, 17.6461816 49.0262996, 17.6461805 49.0264241, 17.6461643 49.0265226)",,,
48145132,49714,tertiary,50,True,False,11.961,Mariánské náměstí,"LINESTRING (17.6464112 49.0256584, 17.6463293 49.0257516)",,,
"[88680904, 435769518]",49027,tertiary,50,True,False,54.001999999999995,Mariánské náměstí,"LINESTRING (17.6464112 49.0256584, 17.6461981 49.025675, 17.6456726 49.0256907)",,,
48145131,49027,tertiary,50,True,False,46.718,Mariánské náměstí,"LINESTRING (17.6470478 49.0256107, 17.6466603 49.0256398, 17.6465607 49.0256472, 17.6464112 49.0256584)",,,
88416311,,residential,,True,False,58.268,Mariánské náměstí,"LINESTRING (17.6470478 49.0256107, 17.6469722 49.0256925, 17.6468635 49.0257024, 17.6466449 49.0257148, 17.6465478 49.0257191, 17.6464315 49.0257246, 17.6463293 49.0257516)",,no,
36886526,,residential,50,False,False,37.248000000000005,Kaunicova,"LINESTRING (17.6471046 49.0250621, 17.647094 49.0249129, 17.6470984 49.0247273)",,,
48145130,49027,tertiary,50,True,False,61.282,Kaunicova,"LINESTRING (17.6471046 49.0250621, 17.6471132 49.0251428, 17.6471153 49.0251866, 17.6470478 49.0256107)",,,
36886537,,residential,50,False,False,36.563,A. Hrubého,"LINESTRING (17.6505069 49.0250453, 17.6506918 49.0250801, 17.6509889 49.025136)",,,
48145134,49027,tertiary,50,False,False,89.124,Horní Valy,"LINESTRING (17.6505069 49.0250453, 17.6505794 49.0249503, 17.6506922 49.0248026, 17.6508359 49.0246406, 17.6511306 49.0243576)",,,
88738521,49714,tertiary,50,False,True,383.838,Horní Valy,"LINESTRING (17.6505069 49.0250453, 17.6504125 49.025198, 17.6499236 49.0260072, 17.6489436 49.0276404, 17.6488601 49.027734, 17.6487761 49.0278111, 17.6486674 49.0278809, 17.6485704 49.0279203, 17.6483909 49.0279765, 17.6482788 49.0280035, 17.6481673 49.0280211)",,,2
542314672,49027,tertiary,50,False,True,40.331,Moravská,"LINESTRING (17.6505069 49.0250453, 17.6503943 49.0250378, 17.650251 49.0250355, 17.6499544 49.0250371)",,,
36886550,,residential,50,False,False,66.55199999999999,Mariánské nám.,"LINESTRING (17.6450617 49.025673, 17.6450397 49.0257098, 17.6450266 49.0257451, 17.6450224 49.0257853, 17.6450351 49.0260999, 17.6450137 49.0261746, 17.6449889 49.0262019, 17.6449063 49.0262274)",,,
48143354,49027,tertiary,50,False,True,35.28999999999999,Mariánské nám.,"LINESTRING (17.6450617 49.025673, 17.6450344 49.0256541, 17.6450166 49.0256301, 17.6450028 49.0256091, 17.6449962 49.0255867, 17.6449878 49.0254653, 17.6449826 49.0254411, 17.6449698 49.0254172, 17.644952 49.0253938, 17.6449416 49.0253862, 17.6449282 49.0253791)",,,
211443929,49027,tertiary,50,False,False,45.343999999999994,Mariánské náměstí,"LINESTRING (17.6450617 49.025673, 17.6450882 49.0256855, 17.6451203 49.0256941, 17.6451541 49.0257011, 17.6452166 49.0257042, 17.6456726 49.0256907)",,,
36886522,,residential,50,False,False,58.918,Komenského,"LINESTRING (17.6449282 49.0253791, 17.6449416 49.0253589, 17.6449515 49.0253291, 17.6449532 49.0252711, 17.6449286 49.0249393, 17.6449248 49.0248522)",,,
48143340,49027,tertiary,50,False,True,120.61600000000001,Hradišťská,"LINESTRING (17.6449282 49.0253791, 17.6449103 49.0253741, 17.6448883 49.0253699, 17.6448389 49.0253667, 17.6447303 49.0253686, 17.6440077 49.0254278, 17.6432895 49.0254945)",,,
48143354,49027,tertiary,50,False,False,35.29,Mariánské nám.,"LINESTRING (17.6449282 49.0253791, 17.6449416 49.0253862, 17.644952 49.0253938, 17.6449698 49.0254172, 17.6449826 49.0254411, 17.6449878 49.0254653, 17.6449962 49.0255867, 17.6450028 49.0256091, 17.6450166 49.0256301, 17.6450344 49.0256541, 17.6450617 49.025673)",,,
