osmid,ref,name,highway,oneway,reversed,length,geometry,bridge
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,False,23.51,"LINESTRING (-70.7978583 19.4755378, -70.7976343 19.475548)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,True,30.393,"LINESTRING (-70.7978583 19.4755378, -70.7981474 19.4755583)",
"[389275794, 31288950]",,,unclassified,False,False,171.215,"LINESTRING (-70.7978583 19.4755378, -70.7978992 19.4749039, -70.7985441 19.4748954, -70.798856 19.4748564)",
31546791,,Calle 1,residential,False,False,67.815,"LINESTRING (-70.7933513 19.4776981, -70.7936867 19.4771766)",
31546791,,Calle 1,residential,False,False,118.761,"LINESTRING (-70.7941057 19.4765162, -70.7942247 19.4764556, -70.7951956 19.4762394)",
31546791,,Calle 1,residential,False,True,85.831,"LINESTRING (-70.7941057 19.4765162, -70.794043 19.4765782, -70.7936867 19.4771766)",
127927413,,,residential,False,False,17.961,"LINESTRING (-70.7941057 19.4765162, -70.7940362 19.4764281, -70.7940126 19.4763814)",
127927413,,,residential,False,True,61.781,"LINESTRING (-70.7941057 19.4765162, -70.7941687 19.4765757, -70.794377 19.4770044)",
127927518,,Calle 3,residential,False,True,79.08,"LINESTRING (-70.7946984 19.4775466, -70.7954366 19.4774002)",
127927413,,,residential,False,False,70.277,"LINESTRING (-70.7946984 19.4775466, -70.7946116 19.4774867, -70.794377 19.4770044)",
389275793,,,residential,False,False,72.612,"LINESTRING (-70.7946984 19.4775466, -70.7946588 19.4780639, -70.7946132 19.4781912)",
31288890,,Calle 4,residential,False,False,14.644,"LINESTRING (-70.7963375 19.4758352, -70.7963795 19.4759608)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,False,22.855,"LINESTRING (-70.7963375 19.4758352, -70.7961265 19.4758869)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,True,139.696,"LINESTRING (-70.7963375 19.4758352, -70.7973191 19.4756034, -70.7976343 19.475548)",
31288891,,Calle 5,residential,False,False,78.662,"LINESTRING (-70.795957 19.4773115, -70.7958078 19.4766182)",
127927518,,Calle 3,residential,False,False,55.439,"LINESTRING (-70.795957 19.4773115, -70.7954366 19.4774002)",
127927518,,Calle 3,residential,False,True,25.935,"LINESTRING (-70.795957 19.4773115, -70.7961966 19.4772534)",
31288891,,Calle 5,residential,False,True,16.574,"LINESTRING (-70.7956174 19.4760023, -70.7956674 19.4761437)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,False,48.432,"LINESTRING (-70.7956174 19.4760023, -70.795168 19.4761033)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,True,45.459,"LINESTRING (-70.7956174 19.4760023, -70.7960385 19.4759047)",
31546791,,Calle 1,residential,False,True,67.815,"LINESTRING (-70.7936867 19.4771766, -70.7933513 19.4776981)",
31288893,,Calle 2,residential,False,False,75.843,"LINESTRING (-70.7936867 19.4771766, -70.7937514 19.4771862, -70.7940424 19.4771341, -70.794377 19.4770044)",
31546791,,Calle 1,residential,False,False,85.831,"LINESTRING (-70.7936867 19.4771766, -70.794043 19.4765782, -70.7941057 19.4765162)",
31288893,,Calle 2,residential,False,False,101.733,"LINESTRING (-70.794377 19.4770044, -70.794749 19.4768557, -70.7952999 19.4767317)",
31288893,,Calle 2,residential,False,True,75.843,"LINESTRING (-70.794377 19.4770044, -70.7940424 19.4771341, -70.7937514 19.4771862, -70.7936867 19.4771766)",
127927413,,,residential,False,False,61.781,"LINESTRING (-70.794377 19.4770044, -70.7941687 19.4765757, -70.7941057 19.4765162)",
127927413,,,residential,False,True,70.277,"LINESTRING (-70.794377 19.4770044, -70.7946116 19.4774867, -70.7946984 19.4775466)",
31288891,,Calle 5,residential,False,False,54.777,"LINESTRING (-70.7958078 19.4766182, -70.7956674 19.4761437)",
31288891,,Calle 5,residential,False,True,78.662,"LINESTRING (-70.7958078 19.4766182, -70.795957 19.4773115)",
31288893,,Calle 2,residential,False,False,74.847,"LINESTRING (-70.7958078 19.4766182, -70.7965064 19.4764793)",
31288893,,Calle 2,residential,False,True,54.72,"LINESTRING (-70.7958078 19.4766182, -70.7952999 19.4767317)",
31288890,,Calle 4,residential,False,True,59.17,"LINESTRING (-70.7965064 19.4764793, -70.7963795 19.4759608)",
31288893,,Calle 2,residential,False,True,74.847,"LINESTRING (-70.7965064 19.4764793, -70.7958078 19.4766182)",
"[31288890, 127927518]",,"['Calle 4', 'Calle 3']",residential,False,False,122.214,"LINESTRING (-70.7965064 19.4764793, -70.7966522 19.4770015, -70.7966465 19.4770954, -70.7965895 19.4771581, -70.7961966 19.4772534)",
31288890,,Calle 4,residential,False,False,59.17,"LINESTRING (-70.7963795 19.4759608, -70.7965064 19.4764793)",
31288890,,Calle 4,residential,False,True,14.644,"LINESTRING (-70.7963795 19.4759608, -70.7963375 19.4758352)",
31546791,,Calle 1,residential,False,True,77.372,"LINESTRING (-70.7963795 19.4759608, -70.7956674 19.4761437)",
31546791,,Calle 1,residential,False,False,134.01100000000002,"LINESTRING (-70.7963795 19.4759608, -70.7966371 19.4758996, -70.7973106 19.4757286, -70.7976206 19.4756749)",
31288893,,Calle 2,residential,False,False,54.72,"LINESTRING (-70.7952999 19.4767317, -70.7958078 19.4766182)",
31288904,,,residential,False,True,55.823,"LINESTRING (-70.7952999 19.4767317, -70.7951956 19.4762394)",
31288893,,Calle 2,residential,False,True,101.733,"LINESTRING (-70.7952999 19.4767317, -70.794749 19.4768557, -70.794377 19.4770044)",
31288904,,,residential,False,False,55.823,"LINESTRING (-70.7951956 19.4762394, -70.7952999 19.4767317)",
31546791,,Calle 1,residential,False,False,6.365,"LINESTRING (-70.7951956 19.4762394, -70.7952477 19.47621)",
31546791,,Calle 1,residential,False,True,118.761,"LINESTRING (-70.7951956 19.4762394, -70.7942247 19.4764556, -70.7941057 19.4765162)",
31288906,,,residential,False,False,14.511,"LINESTRING (-70.7952477 19.47621, -70.795168 19.4761033)",
31546791,,Calle 1,residential,False,True,6.365,"LINESTRING (-70.7952477 19.47621, -70.7951956 19.4762394)",
31546791,,Calle 1,residential,False,False,44.816,"LINESTRING (-70.7952477 19.47621, -70.7954087 19.4761655, -70.7956674 19.4761437)",
31288906,,,residential,False,True,14.511,"LINESTRING (-70.795168 19.4761033, -70.7952477 19.47621)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,False,75.655,"LINESTRING (-70.795168 19.4761033, -70.7944696 19.4762747)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,True,48.432,"LINESTRING (-70.795168 19.4761033, -70.7956174 19.4760023)",
31288907,,,residential,False,False,58.414,"LINESTRING (-70.7941439 19.475261, -70.7943025 19.4757646)",
31288907,,,residential,False,True,59.364,"LINESTRING (-70.7944696 19.4762747, -70.7943025 19.4757646)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,False,49.356,"LINESTRING (-70.7944696 19.4762747, -70.7940126 19.4763814)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,True,75.655,"LINESTRING (-70.7944696 19.4762747, -70.795168 19.4761033)",
31288907,,,residential,False,False,59.364,"LINESTRING (-70.7943025 19.4757646, -70.7944696 19.4762747)",
31288907,,,residential,False,True,58.414,"LINESTRING (-70.7943025 19.4757646, -70.7941439 19.475261)",
389275790,,,residential,False,False,133.882,"LINESTRING (-70.7943025 19.4757646, -70.7955329 19.475442)",
"[389275794, 31288950]",,,unclassified,False,True,171.21500000000003,"LINESTRING (-70.798856 19.4748564, -70.7985441 19.4748954, -70.7978992 19.4749039, -70.7978583 19.4755378)",
31546791,,Calle 1,residential,False,True,45.869,"LINESTRING (-70.7980579 19.4756887, -70.7976206 19.4756749)",
127927441,,,residential,False,False,17.271,"LINESTRING (-70.7980579 19.4756887, -70.7981474 19.4755583)",
31546791,,Calle 1,residential,False,False,26.281,"LINESTRING (-70.7980579 19.4756887, -70.7980812 19.4758007, -70.7981518 19.4759032)",
389275791,,,residential,False,False,66.883,"LINESTRING (-70.7981518 19.4759032, -70.7978787 19.4764468)",
"[1036781833, 31546791]",,Calle 1,residential,False,"[False, True]",148.78,"LINESTRING (-70.7981518 19.4759032, -70.7985172 19.4761034, -70.7986497 19.4762649, -70.7986745 19.4762788, -70.7986953 19.4762763, -70.7987127 19.4762624, -70.7987218 19.4762194, -70.7987794 19.4755987)",
31546791,,Calle 1,residential,False,True,26.281,"LINESTRING (-70.7981518 19.4759032, -70.7980812 19.4758007, -70.7980579 19.4756887)",
121260225,,,residential,False,True,66.702,"LINESTRING (-70.7966904 19.4724469, -70.7964241 19.4729917)",
121260204,,,residential,False,False,200.029,"LINESTRING (-70.7961324 19.4739138, -70.7944593 19.473049)",
121260225,,,residential,False,False,50.535,"LINESTRING (-70.7961324 19.4739138, -70.7962567 19.4734747)",
121260225,,,residential,False,True,57.318,"LINESTRING (-70.7961324 19.4739138, -70.7960124 19.4744167)",
121260183,,,residential,False,True,48.286,"LINESTRING (-70.7956054 19.4726174, -70.7960193 19.4728079)",
121260225,,,residential,False,False,57.318,"LINESTRING (-70.7960124 19.4744167, -70.7961324 19.4739138)",
121260225,,,residential,False,True,62.525,"LINESTRING (-70.7960124 19.4744167, -70.7960559 19.4749775)",
"[121260258, 389281165]",,,residential,False,True,266.379,"LINESTRING (-70.7960124 19.4744167, -70.794243 19.4734322, -70.7942288 19.4734125, -70.7942224 19.4733892, -70.7942254 19.4733644, -70.7942355 19.4733392, -70.7944593 19.473049)",
"[121260225, 121260162]",,,residential,False,False,39.888000000000005,"LINESTRING (-70.7960595 19.4753362, -70.7960573 19.4751912, -70.7960559 19.4749775)",yes
389281166,,,residential,True,False,64.042,"LINESTRING (-70.7960595 19.4753362, -70.7960185 19.4754385, -70.7960385 19.4759047)",
121260198,,,residential,False,True,80.16300000000001,"LINESTRING (-70.7929754 19.4759644, -70.7928084 19.476541, -70.7927753 19.4766602)",
121260148,,,residential,False,True,186.288,"LINESTRING (-70.7946871 19.4726893, -70.7962567 19.4734747)",
389281165,,,residential,False,False,46.584,"LINESTRING (-70.7946871 19.4726893, -70.7944593 19.473049)",
121260183,,,residential,False,False,47.102,"LINESTRING (-70.7964241 19.4729917, -70.7960193 19.4728079)",
121260183,,,residential,False,True,39.922,"LINESTRING (-70.7964241 19.4729917, -70.7967757 19.4731296)",
121260225,,,residential,False,False,66.702,"LINESTRING (-70.7964241 19.4729917, -70.7966904 19.4724469)",
121260225,,,residential,False,True,56.502,"LINESTRING (-70.7964241 19.4729917, -70.7962567 19.4734747)",
121260183,,,residential,False,False,6.802,"LINESTRING (-70.7979183 19.4736788, -70.7978605 19.473651)",
121260204,,,residential,False,True,200.029,"LINESTRING (-70.7944593 19.473049, -70.7961324 19.4739138)",
389281165,,,residential,False,True,46.584,"LINESTRING (-70.7944593 19.473049, -70.7946871 19.4726893)",
"[121260258, 389281165]",,,residential,False,False,266.379,"LINESTRING (-70.7944593 19.473049, -70.7942355 19.4733392, -70.7942254 19.4733644, -70.7942224 19.4733892, -70.7942288 19.4734125, -70.794243 19.4734322, -70.7960124 19.4744167)",
121260148,,,residential,False,False,186.288,"LINESTRING (-70.7962567 19.4734747, -70.7946871 19.4726893)",
121260225,,,residential,False,False,56.502,"LINESTRING (-70.7962567 19.4734747, -70.7964241 19.4729917)",
121260225,,,residential,False,True,50.535,"LINESTRING (-70.7962567 19.4734747, -70.7961324 19.4739138)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,False,40.659,"LINESTRING (-70.7927753 19.4766602, -70.7923999 19.4767521)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,True,133.362,"LINESTRING (-70.7927753 19.4766602, -70.7940126 19.4763814)",
121260198,,,residential,False,False,80.16300000000001,"LINESTRING (-70.7927753 19.4766602, -70.7928084 19.476541, -70.7929754 19.4759644)",
121260183,,,residential,False,False,48.286,"LINESTRING (-70.7960193 19.4728079, -70.7956054 19.4726174)",
121260183,,,residential,False,True,47.102,"LINESTRING (-70.7960193 19.4728079, -70.7964241 19.4729917)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,False,133.362,"LINESTRING (-70.7940126 19.4763814, -70.7927753 19.4766602)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,True,49.356,"LINESTRING (-70.7940126 19.4763814, -70.7944696 19.4762747)",
127927413,,,residential,False,True,17.961,"LINESTRING (-70.7940126 19.4763814, -70.7940362 19.4764281, -70.7941057 19.4765162)",
31546791,,Calle 1,residential,False,False,45.869,"LINESTRING (-70.7976206 19.4756749, -70.7980579 19.4756887)",
127927394,,,residential,False,False,14.184,"LINESTRING (-70.7976206 19.4756749, -70.7976343 19.475548)",
31546791,,Calle 1,residential,False,True,134.011,"LINESTRING (-70.7976206 19.4756749, -70.7973106 19.4757286, -70.7966371 19.4758996, -70.7963795 19.4759608)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,True,23.51,"LINESTRING (-70.7976343 19.475548, -70.7978583 19.4755378)",
127927394,,,residential,False,True,14.184,"LINESTRING (-70.7976343 19.475548, -70.7976206 19.4756749)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,False,139.696,"LINESTRING (-70.7976343 19.475548, -70.7973191 19.4756034, -70.7963375 19.4758352)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,False,30.393,"LINESTRING (-70.7981474 19.4755583, -70.7978583 19.4755378)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,True,66.407,"LINESTRING (-70.7981474 19.4755583, -70.7987794 19.4755987)",
127927441,,,residential,False,True,17.271,"LINESTRING (-70.7981474 19.4755583, -70.7980579 19.4756887)",
121260183,,,residential,False,False,7.268,"LINESTRING (-70.7968374 19.4731594, -70.7967757 19.4731296)",
121260183,,,residential,False,True,23.239,"LINESTRING (-70.7968374 19.4731594, -70.7970349 19.4732543)",
389275795,,,residential,False,True,229.795,"LINESTRING (-70.7968374 19.4731594, -70.7963314 19.4748685, -70.7962753 19.4749272, -70.7961988 19.47495, -70.7960559 19.4749775)",
121260225,,,residential,False,False,62.525,"LINESTRING (-70.7960559 19.4749775, -70.7960124 19.4744167)",
"[121260225, 121260162]",,,residential,False,True,39.888000000000005,"LINESTRING (-70.7960559 19.4749775, -70.7960573 19.4751912, -70.7960595 19.4753362)",yes
389275795,,,residential,False,False,229.795,"LINESTRING (-70.7960559 19.4749775, -70.7961988 19.47495, -70.7962753 19.4749272, -70.7963314 19.4748685, -70.7968374 19.4731594)",
389275790,,,residential,False,True,133.882,"LINESTRING (-70.7955329 19.475442, -70.7943025 19.4757646)",
31288891,,Calle 5,residential,False,False,16.574,"LINESTRING (-70.7956674 19.4761437, -70.7956174 19.4760023)",
31288891,,Calle 5,residential,False,True,54.777,"LINESTRING (-70.7956674 19.4761437, -70.7958078 19.4766182)",
