osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,junction,tunnel
998224187,True,D 916,Rue Gambetta,secondary,50,False,27.378999999999998,"LINESTRING (2.4689882 49.2721728, 2.4689372 49.2722376, 2.4689084 49.2722748, 2.4688835 49.2723094, 2.4688628 49.2723404, 2.4688304 49.2723962)",,
1067924457,False,D 916,Rue Gambetta,secondary,50,False,183.44199999999998,"LINESTRING (2.4689882 49.2721728, 2.4690297 49.2721309, 2.4690633 49.2720924, 2.4691035 49.2720442, 2.4693924 49.2716963, 2.4697611 49.2712491, 2.4700013 49.270953, 2.4700643 49.2708746, 2.4701174 49.2708109, 2.4701935 49.2707228)",,
34356810,False,,Rue Denis Diderot,residential,30,False,144.41099999999997,"LINESTRING (2.4682103 49.2730299, 2.4682537 49.2730652, 2.4683073 49.2731082, 2.4685851 49.2733363, 2.468619 49.2733577, 2.4686502 49.2733743, 2.4687087 49.2733987, 2.4687613 49.2734191, 2.4688004 49.2734355, 2.4688366 49.2734548, 2.4688813 49.2734825, 2.468915 49.2735055, 2.4691263 49.2734189, 2.4691704 49.2734099, 2.4692041 49.2734154, 2.4692356 49.2734233, 2.4696945 49.2736793)",,
331083982,True,D 916,Rue Gambetta,secondary,50,False,65.366,"LINESTRING (2.4682103 49.2730299, 2.46815 49.273068, 2.4680795 49.2731079, 2.4678738 49.2732169, 2.4675567 49.2733816, 2.4675163 49.2734044)",,
34356807,True,,Rue du Général de Gaulle,living_street,20,False,117.524,"LINESTRING (2.468107 49.2746188, 2.4681446 49.274664, 2.468178 49.2747087, 2.4685799 49.2753404, 2.4686632 49.2754712, 2.4687129 49.2755493, 2.4687397 49.2755914)",,
34356807,True,,Rue du Général de Gaulle,living_street,20,False,109.393,"LINESTRING (2.4668289 49.2738444, 2.4668733 49.2738732, 2.4669946 49.2739429, 2.4670462 49.2739719, 2.4671039 49.2740034, 2.4671975 49.2740527, 2.4673305 49.274125, 2.4674061 49.2741632, 2.4675645 49.2742406, 2.4676229 49.2742729, 2.4676873 49.2743088, 2.4678616 49.2744085, 2.4679121 49.2744418, 2.4679381 49.2744628, 2.4679683 49.2744864)",,
331082639,True,D 916,Avenue du 8 Mai 1945,secondary,50,False,69.38999999999999,"LINESTRING (2.4668289 49.2738444, 2.4667732 49.273885, 2.4667219 49.273925, 2.466491 49.2741224, 2.4664543 49.2741527, 2.4663809 49.2742133, 2.4663161 49.2742635, 2.4663013 49.2742751, 2.46623 49.2743307)",,
34360394,False,,Rue de la Paix,residential,,False,53.522,"LINESTRING (2.4649057 49.2754924, 2.46499 49.2755334, 2.465265 49.2759051)",,
661877712,False,D 916,Avenue du 8 Mai 1945,secondary,50,False,71.78699999999999,"LINESTRING (2.4649057 49.2754924, 2.465004 49.2754022, 2.4652282 49.2751964, 2.4654504 49.2749924, 2.465479 49.2749662)",,
661877712,False,D 916,Avenue du 8 Mai 1945,secondary,50,True,113.215,"LINESTRING (2.4649057 49.2754924, 2.4648947 49.2755026, 2.4648164 49.2755744, 2.4641231 49.2762108, 2.4640624 49.2762666, 2.4640016 49.2763223)",,
34356806,False,,Avenue de la Rotonde,residential,30,False,374.813,"LINESTRING (2.4704469 49.2731207, 2.4705079 49.2731467, 2.4705454 49.2731626, 2.4708843 49.273307, 2.4709243 49.2733262, 2.4709529 49.2733471, 2.4709855 49.2733725, 2.4710119 49.273404, 2.471028 49.2734346, 2.4710374 49.2734609, 2.4710393 49.2734898, 2.4710354 49.273522, 2.4707414 49.2744627, 2.4706639 49.2747052, 2.4706471 49.274748, 2.470627 49.2747874, 2.4706007 49.274822, 2.470568 49.2748583, 2.4705291 49.2748924, 2.4704757 49.274928, 2.4704298 49.2749536, 2.4703789 49.2749764, 2.4702852 49.2750139, 2.4698827 49.2751646, 2.4687397 49.2755914)",,
34356808,False,,Rue Voltaire,residential,30,False,82.714,"LINESTRING (2.4704469 49.2731207, 2.4703681 49.2731853, 2.4703132 49.273229, 2.4701318 49.273365, 2.4699484 49.2735002, 2.4696945 49.2736793)",,
331083984,False,,Rue du Dépôt,residential,30,False,140.06300000000002,"LINESTRING (2.4704469 49.2731207, 2.4703293 49.2730706, 2.4701259 49.2729813, 2.4699888 49.272923, 2.4695733 49.272749, 2.4695064 49.272721, 2.4690426 49.2725198, 2.4689627 49.2724896, 2.468864 49.2724569, 2.4688211 49.2724427)",,
34079080,False,,Rue du Général de Gaulle,residential,,True,43.468,"LINESTRING (2.4687397 49.2755914, 2.4688017 49.2756877, 2.4688527 49.2757708, 2.4688768 49.2758085, 2.4689037 49.275847, 2.4689358 49.2758857, 2.4689654 49.2759161, 2.4689977 49.2759425)",,
