osmid,oneway,lanes,name,highway,maxspeed,access,reversed,length,geometry,junction,bridge
279418543,False,2,თამარ მეფის ქუჩა,tertiary,50,yes,True,49.006,"LINESTRING (43.6045421 42.0009273, 43.6039682 42.0008162)",,
103771339,False,,ლესელიძის ქუჩა,tertiary,,,True,117.312,"LINESTRING (43.604623 41.998425, 43.6032783 41.9980868)",,
103771944,False,,მარკოზაშვილის ქუჩა (Markozashvili St),tertiary,,,True,69.513,"LINESTRING (43.604623 41.998425, 43.604916 41.997839)",,
279418534,True,,მარკოზაშვილის ქუჩა (Markozashvili St),tertiary,,,False,69.216,"LINESTRING (43.604623 41.998425, 43.604339 41.9990106)",,
103771339,False,,ლესელიძის ქუჩა,tertiary,,,False,64.595,"LINESTRING (43.6007673 41.9974772, 43.601521 41.9976312)",,
103771457,False,,ჟორდანიას ქუჩა (Jordania St),residential,,,False,59.872,"LINESTRING (43.6007673 41.9974772, 43.6009311 41.9969527)",,
103771339,False,,ლესელიძის ქუჩა,tertiary,,,True,97.361,"LINESTRING (43.6007673 41.9974772, 43.600734 41.99747, 43.5999523 41.9972998, 43.5996498 41.9972038)",,
103771327,False,,Gogebashvili St,residential,,,True,128.784,"LINESTRING (43.5962488 41.9983348, 43.5960906 41.9983713, 43.596014 41.9984096, 43.5958727 41.9985778, 43.595402 41.9992617)",,
279418532,False,2,,tertiary,50,yes,False,87.013,"LINESTRING (43.5962488 41.9983348, 43.5962415 41.998269, 43.5962595 41.9982103, 43.5963061 41.9981562, 43.5963785 41.998114, 43.5964636 41.9981045, 43.5970684 41.9982011)",,
279418532,False,2,,tertiary,50,yes,True,159.136,"LINESTRING (43.5962488 41.9983348, 43.5962828 41.9983923, 43.5963405 41.9984333, 43.5964093 41.9984561, 43.5968707 41.9985245, 43.5973088 41.9986252, 43.5973654 41.9986552, 43.5974059 41.9986987, 43.597428 41.9987516, 43.5974295 41.9988158, 43.5974056 41.9988662, 43.5973468 41.9989246, 43.5972628 41.9989835, 43.5971262 41.9990585)",,
103771551,False,,,unclassified,,,True,102.676,"LINESTRING (43.6033835 41.9963417, 43.6033562 41.9964159, 43.6032659 41.9966135, 43.6029772 41.9972141)",,
103772263,False,,,residential,,,False,131.62,"LINESTRING (43.6033835 41.9963417, 43.6031283 41.9963445, 43.6025909 41.9962741, 43.6022432 41.9961312, 43.6019965 41.9960863, 43.6018731 41.9960364)",,
103772263,False,,,residential,,,True,81.621,"LINESTRING (43.6033835 41.9963417, 43.6040859 41.9963026, 43.6043581 41.996361)",,
103772342,True,,,secondary,30,yes,False,12.997,"LINESTRING (43.5993118 41.9973948, 43.5992942 41.9974185, 43.5992718 41.9974398, 43.5992451 41.9974582, 43.5992044 41.9974772)",roundabout,
103772342,True,,,secondary,30,yes,False,14.626999999999999,"LINESTRING (43.5993206 41.997266, 43.5993266 41.9972889, 43.5993316 41.9973157, 43.5993307 41.9973428, 43.5993241 41.9973694, 43.5993118 41.9973948)",roundabout,
103771379,False,,,residential,,,False,153.15499999999997,"LINESTRING (43.6024375 41.99522, 43.6020298 41.9951114, 43.6019509 41.9950772, 43.6016916 41.9949556, 43.6016632 41.9949386, 43.6016538 41.9949187, 43.6016572 41.9948031, 43.6016507 41.994767, 43.6016218 41.9947436, 43.6014485 41.9947002, 43.6012716 41.9946591, 43.6012413 41.9946655, 43.6011516 41.9948863)",,
103771441,False,,აღმაშენებლის ქუჩა,secondary,40,,False,99.469,"LINESTRING (43.6024375 41.99522, 43.6025068 41.9949384, 43.6026867 41.994345)",,
103771441,False,,აღმაშენებლის ქუჩა,secondary,40,,True,66.037,"LINESTRING (43.6024375 41.99522, 43.6024068 41.9953617, 43.6023522 41.9954974, 43.6021375 41.9957617)",,
103771593,False,,,living_street,,,False,78.986,"LINESTRING (43.5989192 41.9947169, 43.5992073 41.9953942)",,
220310429,True,,სააკაძის ქუჩა,tertiary,,,False,58.754,"LINESTRING (43.5989192 41.9947169, 43.5996286 41.994682)",,
103771858,False,,წყაროს ქუჩა,residential,,,True,31.468,"LINESTRING (43.6023487 41.9967334, 43.6020128 41.9966001)",,
103771858,False,,წყაროს ქუჩა,residential,,,False,68.477,"LINESTRING (43.6023487 41.9967334, 43.6024906 41.9967795, 43.6025738 41.9968025, 43.602617 41.9968219, 43.6026401 41.9968457, 43.6026348 41.9968907, 43.6025555 41.997208)",,
1224908172,False,,,residential,,,False,49.135,"LINESTRING (43.6023487 41.9967334, 43.6022975 41.9969435, 43.6022848 41.9970437, 43.6022559 41.9971696)",,
103771427,False,,ფალიაშვილის ქუჩა,residential,,,False,122.464,"LINESTRING (43.6010622 41.994158, 43.6015537 41.993119)",,
220310429,True,,სააკაძის ქუჩა,tertiary,,,False,74.99,"LINESTRING (43.6010622 41.994158, 43.6019588 41.9942618)",,
103771593,False,,,living_street,,,True,78.986,"LINESTRING (43.5992073 41.9953942, 43.5989192 41.9947169)",,
122101057,False,2,გაგარინის ქუჩა,tertiary,50,yes,False,78.674,"LINESTRING (43.5954115 42.0011964, 43.594488 42.0010243)",,
122101057,False,2,გაგარინის ქუჩა,tertiary,50,yes,True,42.117,"LINESTRING (43.5954115 42.0011964, 43.5958861 42.0013345)",,
103772449,False,,სოხუმის ქუჩა,residential,,,False,162.871,"LINESTRING (43.5954115 42.0011964, 43.595606 42.0006429, 43.5956371 42.0004432, 43.5957294 42.0000696, 43.5957048 41.9998274, 43.5956638 41.9997656)",,
103771457,False,,ჟორდანიას ქუჩა (Jordania St),residential,,,True,32.631,"LINESTRING (43.601147 41.9958184, 43.6011051 41.9961102)",,
103772263,False,,,residential,,,False,182.80100000000002,"LINESTRING (43.601147 41.9958184, 43.6005423 41.9957837, 43.6000764 41.9957667, 43.5997729 41.9958063, 43.5994875 41.9958583, 43.5992102 41.9959542, 43.5990005 41.9960266)",,
103772263,False,,,residential,,,True,65.674,"LINESTRING (43.601147 41.9958184, 43.6015482 41.9958847, 43.6018731 41.9960364)",,
103772342,True,,,secondary,30,yes,False,7.945,"LINESTRING (43.5992044 41.9974772, 43.5991592 41.9974894, 43.5991116 41.9974943)",roundabout,
103772232,False,,სპორტის ქუჩა (Sport St),residential,,,True,231.184,"LINESTRING (43.5929643 41.9981998, 43.5930228 41.9981921, 43.5934609 41.9980587, 43.5936522 41.9980324, 43.5938683 41.9980393, 43.5951872 41.998259, 43.5956757 41.9983458)",,
103772365,True,2,რუსთაველის ქუჩა,secondary,50,,False,1.349,"LINESTRING (43.5989163 41.9957623, 43.5989229 41.9957734)",,
103771988,False,,სანაპიროს ქუჩა,residential,,,False,198.332,"LINESTRING (43.5989163 41.9957623, 43.5987926 41.9957923, 43.5981837 41.9960634, 43.5980593 41.9962007, 43.5974164 41.9970722)",,
103771988,False,,სანაპიროს ქუჩა,residential,,,True,268.902,"LINESTRING (43.5989163 41.9957623, 43.5993596 41.9956881, 43.5998342 41.9955792, 43.6001394 41.9955431, 43.6007203 41.9955891, 43.6013079 41.9956294, 43.6016326 41.9957211, 43.6020807 41.9958316)",,
279418544,True,2,,tertiary,50,yes,False,34.523,"LINESTRING (43.5971262 41.9990585, 43.5969583 41.9993428)",,
279418532,False,2,,tertiary,50,yes,False,159.136,"LINESTRING (43.5971262 41.9990585, 43.5972628 41.9989835, 43.5973468 41.9989246, 43.5974056 41.9988662, 43.5974295 41.9988158, 43.597428 41.9987516, 43.5974059 41.9986987, 43.5973654 41.9986552, 43.5973088 41.9986252, 43.5968707 41.9985245, 43.5964093 41.9984561, 43.5963405 41.9984333, 43.5962828 41.9983923, 43.5962488 41.9983348)",,
103771534,False,,,residential,,,False,100.32400000000001,"LINESTRING (43.5943398 41.9996349, 43.5946951 41.9995755, 43.59495 41.99953, 43.5951304 41.9994649, 43.59527 41.99938, 43.595402 41.9992617)",,
103772063,False,,აბაიაძის ქუჩა,residential,,,False,65.386,"LINESTRING (43.6017375 41.9970661, 43.6016967 41.9971428, 43.601521 41.9976312)",,
103772063,False,,აბაიაძის ქუჩა,residential,,,True,56.79900000000001,"LINESTRING (43.6017375 41.9970661, 43.6019053 41.9967322, 43.6020128 41.9966001)",,
103772455,False,,9 აპრილის ქუჩა,residential,,,False,44.361000000000004,"LINESTRING (43.6017375 41.9970661, 43.601969 41.9971148, 43.6022559 41.9971696)",,
103772455,False,,9 აპრილის ქუჩა,residential,,,True,67.83500000000001,"LINESTRING (43.6017375 41.9970661, 43.6012783 41.9969953, 43.6009311 41.9969527)",,
