osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,tunnel,access
1153058350,2,L 170,Dittishauser Straße,secondary,30,False,False,24.604,"LINESTRING (8.3510631 47.8864507, 8.3507836 47.8863331)",,,
144672016,,,Hans-Thoma-Weg,residential,,False,False,40.343,"LINESTRING (8.3406804 47.8822096, 8.34052 47.8818631)",,,
55833359,2,K 4992,Rötenbacher Straße,tertiary,,False,False,99.806,"LINESTRING (8.3406804 47.8822096, 8.3410336 47.8821578, 8.3413823 47.8821317, 8.3420062 47.8820978)",,,
55833359,2,K 4992,Rötenbacher Straße,tertiary,,False,True,127.66900000000001,"LINESTRING (8.3406804 47.8822096, 8.3402289 47.8823143, 8.3398049 47.882448, 8.3391343 47.8826959)",,,
144672016,,,Hans-Thoma-Weg,residential,,False,False,31.273,"LINESTRING (8.3402564 47.8813118, 8.3401189 47.8810461)",,,
144672016,,,Hans-Thoma-Weg,residential,,False,True,64.377,"LINESTRING (8.3402564 47.8813118, 8.34052 47.8818631)",,,
226438145,,,Hebelstraße,residential,,False,False,196.695,"LINESTRING (8.3402564 47.8813118, 8.3405962 47.8812339, 8.341108 47.881103, 8.3414135 47.880995, 8.3418003 47.8808528, 8.3419804 47.88079, 8.342095 47.8807786, 8.3425171 47.8809609, 8.3426169 47.8810095)",4,,
163983036,,,Conradin-Kreutzer-Straße,residential,,False,False,188.075,"LINESTRING (8.3426169 47.8810095, 8.3424588 47.8811337, 8.3421481 47.8813776, 8.3417808 47.8815489, 8.3416162 47.8816256, 8.3413196 47.8816988, 8.3412179 47.8817196, 8.34052 47.8818631)",,,
163983036,,,Conradin-Kreutzer-Straße,residential,,False,True,56.572,"LINESTRING (8.3426169 47.8810095, 8.3427414 47.8809109, 8.343054 47.8806432, 8.3430853 47.8806097)",,,
226438145,,,Hebelstraße,residential,,False,True,196.695,"LINESTRING (8.3426169 47.8810095, 8.3425171 47.8809609, 8.342095 47.8807786, 8.3419804 47.88079, 8.3418003 47.8808528, 8.3414135 47.880995, 8.341108 47.881103, 8.3405962 47.8812339, 8.3402564 47.8813118)",4,,
144672016,,,Hans-Thoma-Weg,residential,,False,False,64.377,"LINESTRING (8.34052 47.8818631, 8.3402564 47.8813118)",,,
144672016,,,Hans-Thoma-Weg,residential,,False,True,40.343,"LINESTRING (8.34052 47.8818631, 8.3406804 47.8822096)",,,
