osmid,name,highway,maxspeed,width,oneway,reversed,length,geometry
1034866815,Welschenweg,residential,30,6,False,False,192.98199999999997,"LINESTRING (8.6686843 51.952299, 8.6690424 51.9520963, 8.6693095 51.9519451, 8.6694533 51.9518637, 8.6694971 51.9518389, 8.6699892 51.9515603, 8.6702345 51.9514215, 8.6702665 51.9514034, 8.6704105 51.9513325, 8.6705221 51.9512863, 8.6708194 51.9511737)"
25245899,Am Pferdekamp,residential,30,,False,True,83.64800000000001,"LINESTRING (8.6745046 51.9497384, 8.6744674 51.9496678, 8.6740102 51.9490511)"
39366764,Welschenweg,residential,30,6,False,False,199.4,"LINESTRING (8.6745046 51.9497384, 8.674519 51.9497328, 8.6745614 51.9497132, 8.6748847 51.9495639, 8.6754134 51.949312, 8.6756478 51.9491952, 8.6764918 51.9488218, 8.6765418 51.948798, 8.6768291 51.9486606)"
39366764,Welschenweg,residential,30,6,False,True,254.147,"LINESTRING (8.6745046 51.9497384, 8.6739895 51.9499827, 8.6737449 51.9500869, 8.6731101 51.9503701, 8.6728629 51.9504692, 8.6726267 51.9505559, 8.6724128 51.9506351, 8.6722485 51.9506949, 8.6719572 51.9507897, 8.6717316 51.9508708, 8.6713938 51.9509735)"
25222181,Eggeweg,residential,30,,False,False,109.916,"LINESTRING (8.6768291 51.9486606, 8.676738 51.9485461, 8.6766566 51.9484438, 8.6761229 51.9477731)"
39366764,Welschenweg,residential,30,6,False,True,199.4,"LINESTRING (8.6768291 51.9486606, 8.6765418 51.948798, 8.6764918 51.9488218, 8.6756478 51.9491952, 8.6754134 51.949312, 8.6748847 51.9495639, 8.6745614 51.9497132, 8.674519 51.9497328, 8.6745046 51.9497384)"
25225706,Am Pferdekamp,residential,30,,False,False,155.266,"LINESTRING (8.6740102 51.9490511, 8.6759283 51.9483081)"
25225706,Am Pferdekamp,residential,30,,False,True,64.205,"LINESTRING (8.6740102 51.9490511, 8.6731705 51.9493071)"
25245899,Am Pferdekamp,residential,30,,False,False,83.64800000000001,"LINESTRING (8.6740102 51.9490511, 8.6744674 51.9496678, 8.6745046 51.9497384)"
25225706,Am Pferdekamp,residential,30,,False,True,155.266,"LINESTRING (8.6759283 51.9483081, 8.6740102 51.9490511)"
25225706,Am Pferdekamp,residential,30,,False,False,64.205,"LINESTRING (8.6731705 51.9493071, 8.6740102 51.9490511)"
25281290,Forstweg,residential,30,,False,False,79.898,"LINESTRING (8.6713938 51.9509735, 8.6708938 51.9503244)"
1034866816,Welschenweg,residential,30,6,False,True,45.224,"LINESTRING (8.6713938 51.9509735, 8.6708194 51.9511737)"
39366764,Welschenweg,residential,30,6,False,False,254.147,"LINESTRING (8.6713938 51.9509735, 8.6717316 51.9508708, 8.6719572 51.9507897, 8.6722485 51.9506949, 8.6724128 51.9506351, 8.6726267 51.9505559, 8.6728629 51.9504692, 8.6731101 51.9503701, 8.6737449 51.9500869, 8.6739895 51.9499827, 8.6745046 51.9497384)"
25281290,Forstweg,residential,30,,False,False,6.752,"LINESTRING (8.6708938 51.9503244, 8.67091 51.9502645)"
25281290,Forstweg,residential,30,,False,True,79.898,"LINESTRING (8.6708938 51.9503244, 8.6713938 51.9509735)"
25281289,Am Grund,residential,30,,False,False,217.993,"LINESTRING (8.6708938 51.9503244, 8.670502 51.9503793, 8.6701113 51.9504296, 8.6695625 51.9505633, 8.669267 51.9508307, 8.66907 51.9512317, 8.6688237 51.9513232, 8.6685282 51.9513021)"
25281289,Am Grund,residential,30,,False,True,217.99299999999997,"LINESTRING (8.6685282 51.9513021, 8.6688237 51.9513232, 8.66907 51.9512317, 8.669267 51.9508307, 8.6695625 51.9505633, 8.6701113 51.9504296, 8.670502 51.9503793, 8.6708938 51.9503244)"
