osmid,lanes,highway,maxspeed,oneway,reversed,length,geometry,name,ref
191031376,2,residential,50,False,False,72.536,"LINESTRING (20.8881422 38.9157139, 20.8889802 38.9156938)",,
191031376,2,residential,50,False,True,82.589,"LINESTRING (20.8881422 38.9157139, 20.8880338 38.9157054, 20.8877431 38.9156413, 20.8872233 38.9155178)",,
191031454,2,residential,50,False,True,52.759,"LINESTRING (20.8881422 38.9157139, 20.8880891 38.9157962, 20.8878769 38.9161411)",,
223188923,,residential,,False,False,170.322,"LINESTRING (20.8881422 38.9157139, 20.8882511 38.9154591, 20.8882575 38.9154308, 20.8883245 38.9148096, 20.8884109 38.9142022)",,
364225712,,residential,,False,False,151.257,"LINESTRING (20.8855267 38.9203303, 20.8857855 38.9200622, 20.8858644 38.9199535, 20.885993 38.9197905, 20.8861016 38.9195684, 20.8861248 38.9195226, 20.8862479 38.919363, 20.8863596 38.9192427, 20.8864349 38.9191777)",,
1118295739,2,residential,50,False,True,13.023,"LINESTRING (20.8876069 38.9181958, 20.8877537 38.9182217)",Εθνικού Σταδίου,
364225712,,residential,,False,True,112.667,"LINESTRING (20.8876069 38.9181958, 20.88757 38.9182758, 20.8874073 38.9185209, 20.8872813 38.9186494, 20.8870115 38.9188566, 20.8869904 38.9188728, 20.88681 38.9189735)",,
1118295739,2,residential,50,False,False,97.976,"LINESTRING (20.8876069 38.9181958, 20.8874211 38.9181936, 20.8872975 38.9182015, 20.8870798 38.9182256, 20.8867874 38.9182584, 20.886482 38.9182852)",Εθνικού Σταδίου,
1118295739,2,residential,50,False,False,32.481,"LINESTRING (20.8859312 38.9183966, 20.8855689 38.9184732)",Εθνικού Σταδίου,
1118295739,2,residential,50,False,True,49.236,"LINESTRING (20.8859312 38.9183966, 20.886482 38.9182852)",Εθνικού Σταδίου,
223191763,,residential,,False,True,55.405,"LINESTRING (20.8859312 38.9183966, 20.8860075 38.9185537, 20.8860626 38.9186351, 20.8861181 38.9187015, 20.886257 38.9188183)",,
223191766,,residential,,False,False,33.141999999999996,"LINESTRING (20.8857642 38.919056, 20.8857217 38.9191162, 20.8856073 38.9193276)",,
223191766,,residential,,False,True,36.39,"LINESTRING (20.8857642 38.919056, 20.8857946 38.9190309, 20.8858219 38.9190187, 20.8859615 38.9189934, 20.886023 38.9189797, 20.8860525 38.9189698, 20.8861275 38.9189122)",,
570290033,,residential,,False,False,42.147000000000006,"LINESTRING (20.8857642 38.919056, 20.8856173 38.9190302, 20.8855771 38.9190256, 20.8855482 38.9190183, 20.8854852 38.9189886, 20.8854621 38.9189792, 20.8854369 38.9189717, 20.8852987 38.9189613)",,
223191766,,residential,,False,True,33.141999999999996,"LINESTRING (20.8856073 38.9193276, 20.8857217 38.9191162, 20.8857642 38.919056)",,
992423872,2,primary,50,False,True,11.693,"LINESTRING (20.8889373 38.9184549, 20.8889499 38.9183502)",Ελευθερίου Βενιζέλου,ΕΟ42
191031452,2,residential,50,False,False,42.026,"LINESTRING (20.8889373 38.9184549, 20.8889053 38.9184504, 20.888869 38.9184524, 20.8888248 38.9184622, 20.8886543 38.9185652, 20.888534 38.9186413)",,
992423872,2,primary,50,False,False,70.66,"LINESTRING (20.8889373 38.9184549, 20.8888816 38.918938, 20.8888614 38.9190876)",Ελευθερίου Βενιζέλου,ΕΟ42
570013588,2,primary,50,False,True,8.004,"LINESTRING (20.8946454 38.9194671, 20.8945533 38.9194603)",Νικολάου Στράτου,ΕΟ42
"[191031387, 191031439]",2,tertiary,50,False,False,153.024,"LINESTRING (20.8946454 38.9194671, 20.8945915 38.919579, 20.8945305 38.9197121, 20.8944413 38.9199048, 20.8942777 38.9201739, 20.8941986 38.9203134, 20.8941087 38.920464, 20.8940456 38.9205559, 20.8939855 38.9206298, 20.8939042 38.9207107)",Εμμανουήλ Δεληγιώργη,
191031376,2,residential,50,False,False,44.117,"LINESTRING (20.8889802 38.9156938, 20.8894883 38.9156603)",,
191031376,2,residential,50,False,True,72.536,"LINESTRING (20.8889802 38.9156938, 20.8881422 38.9157139)",,
191031425,2,residential,50,False,True,167.702,"LINESTRING (20.8889802 38.9156938, 20.8887094 38.9159898, 20.8879462 38.9169686)",,
191031380,2,residential,50,False,False,39.135,"LINESTRING (20.8879462 38.9169686, 20.8883984 38.9169596)",,
191031380,2,residential,50,False,True,15.449,"LINESTRING (20.8879462 38.9169686, 20.8877684 38.9169815)",,
191031425,2,residential,50,False,False,167.702,"LINESTRING (20.8879462 38.9169686, 20.8887094 38.9159898, 20.8889802 38.9156938)",,
191031411,2,residential,50,False,False,79.014,"LINESTRING (20.8916205 38.9168903, 20.8917989 38.9161934)",,
570013589,2,tertiary,50,False,False,101.754,"LINESTRING (20.8916205 38.9168903, 20.8926954 38.9172617)",Καποδίστρια,
570013589,2,tertiary,50,False,True,106.66300000000001,"LINESTRING (20.8916205 38.9168903, 20.8915163 38.9168548, 20.8913461 38.9167941, 20.8910793 38.9166864, 20.8907585 38.9165658, 20.8905172 38.9164631)",Καποδίστρια,
191031377,2,residential,50,False,False,151.293,"LINESTRING (20.8916062 38.9193108, 20.8916384 38.9191848, 20.8917188 38.9188426, 20.8917778 38.9185859, 20.8918112 38.9184803, 20.8918355 38.9184241, 20.8918634 38.9183691, 20.8918913 38.9183286, 20.8919135 38.9182964, 20.8920281 38.9181537, 20.8921382 38.918036)",,
191031377,2,residential,50,False,True,78.862,"LINESTRING (20.8916062 38.9193108, 20.891474 38.9197723, 20.8913996 38.9200015)",,
191031379,2,primary,50,False,False,114.12400000000001,"LINESTRING (20.8916062 38.9193108, 20.8921431 38.9193519, 20.8925215 38.9193748, 20.8929214 38.9193853)",Νικολάου Στράτου,ΕΟ42
191031379,2,primary,50,False,True,73.992,"LINESTRING (20.8916062 38.9193108, 20.8909593 38.9192455, 20.8907579 38.9192261)",Νικολάου Στράτου,ΕΟ42
191031457,2,residential,50,False,False,92.595,"LINESTRING (20.8920287 38.9153134, 20.8909866 38.9151237)",,
191031411,2,residential,50,False,False,108.693,"LINESTRING (20.8920287 38.9153134, 20.8920943 38.915059, 20.8922732 38.9143546)",,
191031411,2,residential,50,False,True,99.881,"LINESTRING (20.8920287 38.9153134, 20.8919146 38.9156955, 20.8917989 38.9161934)",,
223188944,,residential,,False,True,99.012,"LINESTRING (20.8920287 38.9153134, 20.8925841 38.9154127, 20.8931518 38.9154815)",,
191031439,2,tertiary,50,False,True,126.717,"LINESTRING (20.8886687 38.9205811, 20.8901238 38.9207116)",Εμμανουήλ Δεληγιώργη,
191031456,2,unclassified,50,False,True,23.514,"LINESTRING (20.8886687 38.9205811, 20.8886428 38.9207916)",,
1264446452,2,tertiary,50,False,False,74.934,"LINESTRING (20.8886687 38.9205811, 20.8887543 38.9199105)",Ελευθερίου Βενιζέλου,
191031458,2,residential,50,False,True,130.78300000000002,"LINESTRING (20.8886687 38.9205811, 20.888447 38.9205512, 20.8883849 38.9205319, 20.8883123 38.9205006, 20.8881798 38.9204319, 20.8881631 38.9204195, 20.8880468 38.9203362, 20.8876864 38.9200339, 20.8876321 38.9199777, 20.8876204 38.9199382, 20.8876191 38.9198975, 20.8876285 38.9198422)",Εμμανουήλ Δεληγιώργη,
191031438,2,residential,50,False,False,48.02,"LINESTRING (20.8890515 38.9176923, 20.8884967 38.9176794)",25ης Μαρτίου,
191031455,2,residential,50,False,True,41.245,"LINESTRING (20.8890515 38.9176923, 20.8895269 38.9176645)",Μητροπόλεως,
992423872,2,primary,50,False,True,101.296,"LINESTRING (20.8890515 38.9176923, 20.8891635 38.9167855)",Ελευθερίου Βενιζέλου,ΕΟ42
992423872,2,primary,50,False,False,30.659000000000002,"LINESTRING (20.8890515 38.9176923, 20.8890455 38.9177474, 20.8890182 38.9179668)",Ελευθερίου Βενιζέλου,ΕΟ42
191031456,2,unclassified,50,False,False,23.514,"LINESTRING (20.8886428 38.9207916, 20.8886687 38.9205811)",,
1270437794,,unclassified,,False,False,40.263,"LINESTRING (20.8886428 38.9207916, 20.8891046 38.9208366)",,
191031407,2,unclassified,50,False,True,110.707,"LINESTRING (20.8886428 38.9207916, 20.8883079 38.9207847, 20.8876645 38.9208168, 20.887365 38.9208294)",Εθνικού Σταδίου,
