osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,maxspeed,tunnel
45467347,residential,False,True,15.088,"LINESTRING (77.7885945 13.0750119, 77.7884552 13.0750123)",,,,,
45467347,residential,False,False,93.002,"LINESTRING (77.7885945 13.0750119, 77.7888519 13.0750173, 77.7894527 13.0750382)",,,,,
45467349,residential,False,True,70.961,"LINESTRING (77.7885945 13.0750119, 77.7885944 13.0754353, 77.7886089 13.0756496)",,,,,
45467347,residential,False,False,67.493,"LINESTRING (77.7894527 13.0750382, 77.790075 13.0750696)",,,,,
133644024,unclassified,False,False,152.59,"LINESTRING (77.7894527 13.0750382, 77.7893483 13.0736697)",,,,,
133644024,unclassified,False,True,41.908,"LINESTRING (77.7894527 13.0750382, 77.7894703 13.0754147)",,,,,
45467347,residential,False,True,93.002,"LINESTRING (77.7894527 13.0750382, 77.7888519 13.0750173, 77.7885945 13.0750119)",,,,,
45467347,residential,False,False,60.023,"LINESTRING (77.790075 13.0750696, 77.7906284 13.0750413)",,,,,
45467347,residential,False,True,67.493,"LINESTRING (77.790075 13.0750696, 77.7894527 13.0750382)",,,,,
133644016,residential,False,True,121.35900000000001,"LINESTRING (77.790075 13.0750696, 77.7899944 13.0755019, 77.7900159 13.0756639, 77.7900159 13.0759513, 77.78999 13.076151)",,,,,
45467347,residential,False,True,108.632,"LINESTRING (77.7925197 13.0774309, 77.7923066 13.0769925, 77.7921593 13.076522)",,,,,
45467348,residential,False,True,128.209,"LINESTRING (77.7925197 13.0774309, 77.7934438 13.077212, 77.7936733 13.0771747)",,,,,
45467351,secondary,False,False,55.177,"LINESTRING (77.7941413 13.0771033, 77.794643 13.0770172)",,,,,
45467348,residential,False,False,51.32,"LINESTRING (77.7941413 13.0771033, 77.7940607 13.0771118, 77.7936733 13.0771747)",,,,,
45467349,residential,False,False,52.551,"LINESTRING (77.7887553 13.0773583, 77.7887222 13.0768868)",,,,,
133644393,residential,False,True,84.235,"LINESTRING (77.7887553 13.0773583, 77.7879786 13.0773969)",,,,,
45467349,residential,False,False,56.044,"LINESTRING (77.788691 13.0765118, 77.7886459 13.0760097)",,,,,
45467349,residential,False,True,41.835,"LINESTRING (77.788691 13.0765118, 77.7887222 13.0768868)",,,,,
133644032,residential,False,False,79.672,"LINESTRING (77.788691 13.0765118, 77.7894219 13.0764311)",,,,,
45467351,secondary,False,False,12.631,"LINESTRING (77.795136 13.0768521, 77.7952058 13.0767611)",,,,,
45467351,secondary,False,True,13.97,"LINESTRING (77.795136 13.0768521, 77.7950363 13.0769318)",,,,,
172886646,trunk,True,False,184.834,"LINESTRING (77.795136 13.0768521, 77.7955164 13.0770537, 77.7958795 13.0771896, 77.7962276 13.0772716, 77.7967466 13.0773569)",3,NH75,Old Madras Road,80,
45467954,residential,False,True,70.568,"LINESTRING (77.796234 13.0766171, 77.7956135 13.0768106)",,,,,
