osmid,ref,highway,oneway,reversed,length,geometry
150289499,SH1,primary,False,False,55.773,"LINESTRING (74.9974176 13.2142422, 74.9970264 13.2145686)"
155770362,,secondary,False,True,17.743,"LINESTRING (74.9974176 13.2142422, 74.9975521 13.214151)"
150289499,SH1,primary,False,True,241.995,"LINESTRING (74.9974176 13.2142422, 74.9974208 13.2136113, 74.997364 13.2129261, 74.997217 13.2121595, 74.9972061 13.2120821)"
173957701,,tertiary,False,False,58.757999999999996,"LINESTRING (74.9975199 13.2166464, 74.9975763 13.2168422, 74.9976058 13.217166)"
173957701,,tertiary,False,True,48.431,"LINESTRING (74.9975199 13.2166464, 74.9975119 13.2164532, 74.9975119 13.216211)"
173960638,,residential,False,True,77.969,"LINESTRING (74.9975199 13.2166464, 74.9969619 13.2166813, 74.9968011 13.2166715)"
1213504532,,residential,False,False,53.144,"LINESTRING (74.9976058 13.217166, 74.9980939 13.2171147)"
173957701,,tertiary,False,False,79.52000000000001,"LINESTRING (74.9976058 13.217166, 74.9976566 13.2175586, 74.9976962 13.2178757)"
173957701,,tertiary,False,True,58.757999999999996,"LINESTRING (74.9976058 13.217166, 74.9975763 13.2168422, 74.9975199 13.2166464)"
173959864,,residential,False,True,220.471,"LINESTRING (74.9996067 13.2177196, 74.9993383 13.2179738, 74.9992552 13.2180156, 74.9991855 13.218026, 74.9988825 13.2179781, 74.9985687 13.2179415, 74.9980938 13.2179007, 74.9976962 13.2178757)"
173957701,,tertiary,False,True,79.52000000000001,"LINESTRING (74.9976962 13.2178757, 74.9976566 13.2175586, 74.9976058 13.217166)"
173959864,,residential,False,False,220.471,"LINESTRING (74.9976962 13.2178757, 74.9980938 13.2179007, 74.9985687 13.2179415, 74.9988825 13.2179781, 74.9991855 13.218026, 74.9992552 13.2180156, 74.9993383 13.2179738, 74.9996067 13.2177196)"
173960626,,residential,False,True,35.022,"LINESTRING (74.9933035 13.216817, 74.9932794 13.2166943, 74.9934671 13.2166421)"
173960637,,residential,False,False,28.118,"LINESTRING (74.9921731 13.2145663, 74.9922783 13.2143351)"
