osmid,highway,oneway,reversed,length,ref,geometry,lanes,name,access
154827621,residential,False,True,151.396,,"LINESTRING (75.6418989 13.1337973, 75.6414937 13.1324942)",,,
164060642,primary,False,False,63.57299999999999,SH27,"LINESTRING (75.6418989 13.1337973, 75.6419608 13.1336386, 75.6421231 13.133427, 75.6422296 13.1333362)",,,
164060642,primary,False,True,243.706,SH27,"LINESTRING (75.6418989 13.1337973, 75.6418669 13.1338828, 75.6414292 13.1359398)",,,
154827628,residential,False,False,109.335,,"LINESTRING (75.6422296 13.1333362, 75.6421525 13.1323558)",,,
164060642,primary,False,False,39.676,SH27,"LINESTRING (75.6422296 13.1333362, 75.6425011 13.1330966)",,,
164060642,primary,False,True,63.57299999999999,SH27,"LINESTRING (75.6422296 13.1333362, 75.6421231 13.133427, 75.6419608 13.1336386, 75.6418989 13.1337973)",,,
154827624,tertiary,False,True,46.372,,"LINESTRING (75.6421525 13.1323558, 75.642579 13.1323183)",,,
154827628,residential,False,True,109.335,,"LINESTRING (75.6421525 13.1323558, 75.6422296 13.1333362)",,,
154827624,tertiary,False,False,73.26599999999999,,"LINESTRING (75.6421525 13.1323558, 75.6419222 13.132376, 75.6414937 13.1324942)",,,
154827628,residential,False,False,137.186,,"LINESTRING (75.6421525 13.1323558, 75.6420992 13.1318379, 75.642137 13.1311256)",,,
154827630,residential,False,False,86.1,,"LINESTRING (75.6413476 13.131033, 75.642137 13.1311256)",,,
154827621,residential,False,False,165.43900000000002,,"LINESTRING (75.6413476 13.131033, 75.6412946 13.1316551, 75.6413804 13.1321566, 75.6414937 13.1324942)",,,
154827621,residential,False,True,245.20999999999998,,"LINESTRING (75.6413476 13.131033, 75.6415252 13.1296281, 75.6423356 13.1296563)",,,
154827630,residential,False,True,151.893,,"LINESTRING (75.6413476 13.131033, 75.640506 13.1309342, 75.6404202 13.1309342, 75.6403665 13.1309759, 75.6402267 13.1313414)",,,
154827628,residential,False,False,164.788,,"LINESTRING (75.642137 13.1311256, 75.6423356 13.1296563)",,,
154827630,residential,False,False,58.441,,"LINESTRING (75.642137 13.1311256, 75.6426728 13.1311885)",,,
154827630,residential,False,True,86.1,,"LINESTRING (75.642137 13.1311256, 75.6413476 13.131033)",,,
154827628,residential,False,True,137.186,,"LINESTRING (75.642137 13.1311256, 75.6420992 13.1318379, 75.6421525 13.1323558)",,,
154827628,residential,False,True,164.788,,"LINESTRING (75.6423356 13.1296563, 75.642137 13.1311256)",,,
154827621,residential,False,False,245.20999999999998,,"LINESTRING (75.6423356 13.1296563, 75.6415252 13.1296281, 75.6413476 13.131033)",,,
154827621,residential,False,True,51.704,,"LINESTRING (75.6423356 13.1296563, 75.6427269 13.1296699, 75.6428126 13.1296639)",,,
154827620,unclassified,False,False,269.738,,"LINESTRING (75.6453044 13.1367683, 75.644642 13.1366075, 75.6444328 13.1366284, 75.6435905 13.1367329, 75.643317 13.1367016, 75.643097 13.1367016, 75.6428449 13.1366754)",,,
164060642,primary,False,True,514.477,SH27,"LINESTRING (75.6453044 13.1367683, 75.6450118 13.1365497, 75.6448938 13.1364217, 75.6447986 13.1362388, 75.6447516 13.1361213, 75.6447114 13.1359489, 75.6447034 13.1358026, 75.6446269 13.135672, 75.6444177 13.1354787, 75.6443332 13.1353573, 75.644305 13.1352554, 75.6443372 13.1349041, 75.6442286 13.1346533, 75.6441533 13.1345351, 75.644128 13.1341453, 75.6439564 13.1338057, 75.6438719 13.1335654, 75.6438169 13.1332232, 75.6438316 13.1329359, 75.6437995 13.1328249, 75.6437257 13.1327374, 75.6436238 13.1326943)",,,
154827623,residential,False,False,170.203,,"LINESTRING (75.6428126 13.1296639, 75.6426728 13.1311885)",,,
154827621,residential,False,False,51.704,,"LINESTRING (75.6428126 13.1296639, 75.6427269 13.1296699, 75.6423356 13.1296563)",,,
154827621,residential,False,True,225.262,,"LINESTRING (75.6428126 13.1296639, 75.6436174 13.1296072, 75.6436442 13.1292624, 75.644524 13.1290064)",,,
154827623,residential,False,False,126.038,,"LINESTRING (75.6426728 13.1311885, 75.642579 13.1323183)",,,
154827623,residential,False,True,170.203,,"LINESTRING (75.6426728 13.1311885, 75.6428126 13.1296639)",,,
154827630,residential,False,True,58.441,,"LINESTRING (75.6426728 13.1311885, 75.642137 13.1311256)",,,
154827630,residential,False,False,123.15100000000001,,"LINESTRING (75.6426728 13.1311885, 75.6432204 13.1312528, 75.6433223 13.1312528, 75.6436227 13.1313103, 75.6437837 13.1312372)",,,
154827624,tertiary,False,False,129.71699999999998,,"LINESTRING (75.6436238 13.1326943, 75.6434511 13.1324805, 75.6433116 13.132376, 75.6431721 13.1323238, 75.642579 13.1323183)",,,
164060642,primary,False,False,514.4770000000001,SH27,"LINESTRING (75.6436238 13.1326943, 75.6437257 13.1327374, 75.6437995 13.1328249, 75.6438316 13.1329359, 75.6438169 13.1332232, 75.6438719 13.1335654, 75.6439564 13.1338057, 75.644128 13.1341453, 75.6441533 13.1345351, 75.6442286 13.1346533, 75.6443372 13.1349041, 75.644305 13.1352554, 75.6443332 13.1353573, 75.6444177 13.1354787, 75.6446269 13.135672, 75.6447034 13.1358026, 75.6447114 13.1359489, 75.6447516 13.1361213, 75.6447986 13.1362388, 75.6448938 13.1364217, 75.6450118 13.1365497, 75.6453044 13.1367683)",,,
164060642,primary,False,True,133.228,SH27,"LINESTRING (75.6436238 13.1326943, 75.643487 13.1326682, 75.6433529 13.1326826, 75.6431169 13.132769, 75.6428365 13.1328876, 75.6425011 13.1330966)",,,
154827624,tertiary,False,True,127.73,,"LINESTRING (75.6404455 13.133021, 75.6414937 13.1324942)",,,
154827624,tertiary,False,False,456.192,,"LINESTRING (75.6404455 13.133021, 75.639814 13.1333373, 75.6396209 13.1336455, 75.6394063 13.1343351, 75.6394063 13.1348366, 75.6394599 13.1353067, 75.6395136 13.1355523, 75.6395726 13.135662, 75.6396692 13.135709, 75.6405599 13.1358231)",,,
370560948,trunk,False,False,314.013,NH173,"LINESTRING (75.6404455 13.133021, 75.6404209 13.1333618, 75.6403719 13.1338806, 75.6403644 13.1340972, 75.6403895 13.1342627, 75.6404957 13.1346102, 75.6405091 13.1347408, 75.6405441 13.1356092, 75.6405599 13.1358231)",2,Mudigere-Kadur Road,yes
370560948,trunk,False,True,190.76200000000003,NH173,"LINESTRING (75.6404455 13.133021, 75.6403101 13.1324303, 75.6402922 13.1323214, 75.640336 13.1316416, 75.6402523 13.1314333, 75.6402267 13.1313414)",2,Mudigere-Kadur Road,yes
154827621,residential,False,False,151.396,,"LINESTRING (75.6414937 13.1324942, 75.6418989 13.1337973)",,,
154827624,tertiary,False,False,127.73,,"LINESTRING (75.6414937 13.1324942, 75.6404455 13.133021)",,,
154827621,residential,False,True,165.43900000000002,,"LINESTRING (75.6414937 13.1324942, 75.6413804 13.1321566, 75.6412946 13.1316551, 75.6413476 13.131033)",,,
154827624,tertiary,False,True,73.26599999999999,,"LINESTRING (75.6414937 13.1324942, 75.6419222 13.132376, 75.6421525 13.1323558)",,,
154827623,residential,False,True,86.953,,"LINESTRING (75.6425011 13.1330966, 75.642579 13.1323183)",,,
164060642,primary,False,True,39.676,SH27,"LINESTRING (75.6425011 13.1330966, 75.6422296 13.1333362)",,,
164060642,primary,False,False,133.228,SH27,"LINESTRING (75.6425011 13.1330966, 75.6428365 13.1328876, 75.6431169 13.132769, 75.6433529 13.1326826, 75.643487 13.1326682, 75.6436238 13.1326943)",,,
154827623,residential,False,False,86.953,,"LINESTRING (75.642579 13.1323183, 75.6425011 13.1330966)",,,
154827623,residential,False,True,126.038,,"LINESTRING (75.642579 13.1323183, 75.6426728 13.1311885)",,,
154827624,tertiary,False,False,46.372,,"LINESTRING (75.642579 13.1323183, 75.6421525 13.1323558)",,,
154827624,tertiary,False,True,129.71699999999998,,"LINESTRING (75.642579 13.1323183, 75.6431721 13.1323238, 75.6433116 13.132376, 75.6434511 13.1324805, 75.6436238 13.1326943)",,,
154827620,unclassified,False,False,180.745,,"LINESTRING (75.6428449 13.1366754, 75.6428245 13.1366071, 75.6428122 13.1365143, 75.6420793 13.1364807, 75.6413171 13.1364034)",,,
154827620,unclassified,False,True,269.738,,"LINESTRING (75.6428449 13.1366754, 75.643097 13.1367016, 75.643317 13.1367016, 75.6435905 13.1367329, 75.6444328 13.1366284, 75.644642 13.1366075, 75.6453044 13.1367683)",,,
164060642,primary,False,False,52.96,SH27,"LINESTRING (75.6413171 13.1364034, 75.6414292 13.1359398)",,,
154827620,unclassified,False,True,180.74499999999998,,"LINESTRING (75.6413171 13.1364034, 75.6420793 13.1364807, 75.6428122 13.1365143, 75.6428245 13.1366071, 75.6428449 13.1366754)",,,
164060642,primary,False,True,102.01,SH27,"LINESTRING (75.6413171 13.1364034, 75.6411776 13.136964, 75.6410944 13.137093, 75.6409573 13.1372257)",,,
154827624,tertiary,False,False,95.023,,"LINESTRING (75.6405599 13.1358231, 75.6414292 13.1359398)",,,
154827624,tertiary,False,True,456.192,,"LINESTRING (75.6405599 13.1358231, 75.6396692 13.135709, 75.6395726 13.135662, 75.6395136 13.1355523, 75.6394599 13.1353067, 75.6394063 13.1348366, 75.6394063 13.1343351, 75.6396209 13.1336455, 75.639814 13.1333373, 75.6404455 13.133021)",,,
