osmid,highway,oneway,reversed,length,geometry,name,junction
396736816,residential,False,True,80.655,"LINESTRING (48.3418673 31.8706239, 48.3421736 31.871301)",,
396736816,residential,False,False,37.275999999999996,"LINESTRING (48.3430791 31.8707853, 48.3431108 31.8710297, 48.3430112 31.8710585)",,
396736781,residential,False,True,55.735,"LINESTRING (48.3430112 31.8710585, 48.3431972 31.8715342)",,
396736816,residential,False,False,83.565,"LINESTRING (48.3430112 31.8710585, 48.3421736 31.871301)",,
396736816,residential,False,True,37.275999999999996,"LINESTRING (48.3430112 31.8710585, 48.3431108 31.8710297, 48.3430791 31.8707853)",,
1106291767,residential,False,False,9.085,"LINESTRING (48.3440955 31.8712808, 48.3441296 31.8713572)",,
396736769,residential,False,False,44.395,"LINESTRING (48.3421736 31.871301, 48.3423537 31.8716698)",حافظ,
396736816,residential,False,False,80.655,"LINESTRING (48.3421736 31.871301, 48.3418673 31.8706239)",,
396736816,residential,False,True,83.565,"LINESTRING (48.3421736 31.871301, 48.3430112 31.8710585)",,
1106292185,residential,False,True,103.535,"LINESTRING (48.3421736 31.871301, 48.3411441 31.8716213)",باهنر,
396736840,residential,True,False,89.321,"LINESTRING (48.3441296 31.8713572, 48.3432356 31.8716196)",انقلاب,
1106291767,residential,False,True,9.085,"LINESTRING (48.3441296 31.8713572, 48.3440955 31.8712808)",,
396736781,residential,False,False,55.735,"LINESTRING (48.3431972 31.8715342, 48.3430112 31.8710585)",,
396736781,residential,False,True,10.165,"LINESTRING (48.3431972 31.8715342, 48.3432356 31.8716196)",,
396736805,residential,True,False,89.384,"LINESTRING (48.3431972 31.8715342, 48.3440955 31.8712808)",انقلاب,
396736781,residential,False,False,10.165,"LINESTRING (48.3432356 31.8716196, 48.3431972 31.8715342)",,
396736776,residential,False,False,144.584,"LINESTRING (48.3432356 31.8716196, 48.3435411 31.872061, 48.343974 31.8727583)",خیبر,
396736840,residential,True,False,81.154,"LINESTRING (48.3432356 31.8716196, 48.3430606 31.8716799, 48.3425273 31.8720251)",انقلاب,
1106292185,residential,False,False,103.535,"LINESTRING (48.3411441 31.8716213, 48.3421736 31.871301)",باهنر,
1106292185,residential,False,True,174.705,"LINESTRING (48.3411441 31.8716213, 48.3393931 31.8721286)",باهنر,
"[1106292616, 396736772]",residential,False,False,327.07900000000006,"LINESTRING (48.3411441 31.8716213, 48.3407142 31.8709859, 48.3405649 31.8709479, 48.3392432 31.871303, 48.3391312 31.8714044, 48.3391536 31.8715471, 48.3393931 31.8721286)",امام خمینی,
1106292616,residential,False,True,38.826,"LINESTRING (48.3411441 31.8716213, 48.3413415 31.8719276)",,
396736769,residential,False,False,10.836,"LINESTRING (48.3423537 31.8716698, 48.3423977 31.8717598)",حافظ,
396736769,residential,False,True,44.395,"LINESTRING (48.3423537 31.8716698, 48.3421736 31.871301)",حافظ,
396736798,residential,False,True,99.946,"LINESTRING (48.3423537 31.8716698, 48.3415916 31.8718864, 48.3414313 31.8719128, 48.3413415 31.8719276)",انقلاب,
396736769,residential,False,False,31.938,"LINESTRING (48.3423977 31.8717598, 48.3425273 31.8720251)",حافظ,
396736769,residential,False,True,10.836,"LINESTRING (48.3423977 31.8717598, 48.3423537 31.8716698)",حافظ,
396736805,residential,True,False,79.556,"LINESTRING (48.3423977 31.8717598, 48.3431972 31.8715342)",انقلاب,
396736798,residential,False,True,59.791,"LINESTRING (48.3413415 31.8719276, 48.3407852 31.8721844)",انقلاب,
1106292616,residential,False,False,38.826,"LINESTRING (48.3413415 31.8719276, 48.3411441 31.8716213)",,
396736798,residential,False,False,99.946,"LINESTRING (48.3413415 31.8719276, 48.3414313 31.8719128, 48.3415916 31.8718864, 48.3423537 31.8716698)",انقلاب,
396736769,residential,False,False,50.693,"LINESTRING (48.3425273 31.8720251, 48.3427456 31.8724416)",حافظ,
396736769,residential,False,True,31.938,"LINESTRING (48.3425273 31.8720251, 48.3423977 31.8717598)",حافظ,
396736791,residential,False,True,20.759,"LINESTRING (48.3425273 31.8720251, 48.3423407 31.8721238)",,
396736791,residential,False,False,20.759,"LINESTRING (48.3423407 31.8721238, 48.3425273 31.8720251)",,
396736791,residential,False,True,48.678,"LINESTRING (48.3423407 31.8721238, 48.3418637 31.8722898)",,
396736789,residential,False,True,69.366,"LINESTRING (48.3423407 31.8721238, 48.3425102 31.8725103, 48.3427456 31.8724416)",,
396736716,residential,False,False,39.754,"LINESTRING (48.3373935 31.8721265, 48.33753 31.8724647)",مدرس,
396736772,residential,False,False,60.559,"LINESTRING (48.3393931 31.8721286, 48.3397211 31.8725966)",امام خمینی,
1106292185,residential,False,False,174.705,"LINESTRING (48.3393931 31.8721286, 48.3411441 31.8716213)",باهنر,
"[1106292616, 396736772]",residential,False,True,327.079,"LINESTRING (48.3393931 31.8721286, 48.3391536 31.8715471, 48.3391312 31.8714044, 48.3392432 31.871303, 48.3405649 31.8709479, 48.3407142 31.8709859, 48.3411441 31.8716213)",امام خمینی,
1106292185,residential,False,True,56.752,"LINESTRING (48.3393931 31.8721286, 48.3388256 31.8722966)",باهنر,
396736798,residential,False,False,59.791,"LINESTRING (48.3407852 31.8721844, 48.3413415 31.8719276)",انقلاب,
396736798,residential,False,True,110.443,"LINESTRING (48.3407852 31.8721844, 48.3397211 31.8725966)",انقلاب,
396736835,residential,False,False,49.863,"LINESTRING (48.3407852 31.8721844, 48.3410017 31.8725934)",نهضت,
396736791,residential,False,False,48.678,"LINESTRING (48.3418637 31.8722898, 48.3423407 31.8721238)",,
396736791,residential,False,True,88.121,"LINESTRING (48.3418637 31.8722898, 48.3410017 31.8725934)",,
396736809,residential,False,False,262.024,"LINESTRING (48.3418637 31.8722898, 48.3421748 31.8730748, 48.3422775 31.8738136, 48.3424918 31.8742231, 48.3425997 31.8745465)",ایثار,
1106292185,residential,False,False,56.752,"LINESTRING (48.3388256 31.8722966, 48.3393931 31.8721286)",باهنر,
396736847,residential,False,True,141.103,"LINESTRING (48.3388256 31.8722966, 48.3389446 31.8730131, 48.338876 31.8731745, 48.3389393 31.8735444)",آزادی,
1106292185,residential,False,True,88.274,"LINESTRING (48.3388256 31.8722966, 48.3384074 31.8723695, 48.3379036 31.8724241)",باهنر,
396736832,residential,False,True,62.324,"LINESTRING (48.3379036 31.8724241, 48.3381 31.8729592)",,
1106292185,residential,False,True,35.567,"LINESTRING (48.3379036 31.8724241, 48.33753 31.8724647)",باهنر,
1106292185,residential,False,False,88.274,"LINESTRING (48.3379036 31.8724241, 48.3384074 31.8723695, 48.3388256 31.8722966)",باهنر,
396736769,residential,False,True,50.693,"LINESTRING (48.3427456 31.8724416, 48.3425273 31.8720251)",حافظ,
396736769,residential,False,False,84.86099999999999,"LINESTRING (48.3427456 31.8724416, 48.3427902 31.8725265, 48.3430594 31.8729054, 48.343202 31.8730982)",حافظ,
396736789,residential,False,False,69.366,"LINESTRING (48.3427456 31.8724416, 48.3425102 31.8725103, 48.3423407 31.8721238)",,
396736716,residential,False,False,67.967,"LINESTRING (48.33753 31.8724647, 48.3376973 31.8730592)",مدرس,
396736716,residential,False,True,39.754,"LINESTRING (48.33753 31.8724647, 48.3373935 31.8721265)",مدرس,
1106292185,residential,False,False,35.567,"LINESTRING (48.33753 31.8724647, 48.3379036 31.8724241)",باهنر,
"[1106292185, 396736811]",residential,False,True,387.15400000000005,"LINESTRING (48.33753 31.8724647, 48.336977 31.8726927, 48.3368841 31.872731, 48.3362718 31.8730702, 48.3357603 31.873438, 48.3353753 31.8737458, 48.3350078 31.8741038, 48.3346752 31.8743347, 48.3346118 31.8744625, 48.3344561 31.87468)",باهنر,
396736791,residential,False,False,88.121,"LINESTRING (48.3410017 31.8725934, 48.3418637 31.8722898)",,
396736835,residential,False,True,49.863,"LINESTRING (48.3410017 31.8725934, 48.3407852 31.8721844)",نهضت,
396736835,residential,False,False,234.094,"LINESTRING (48.3410017 31.8725934, 48.3413079 31.873199, 48.3414535 31.8735414, 48.3414535 31.8736683, 48.3413863 31.8738141, 48.3411996 31.8740836, 48.3410652 31.874556)",نهضت,
396736772,residential,False,False,81.691,"LINESTRING (48.3397211 31.8725966, 48.3401739 31.8732226)",امام خمینی,
396736772,residential,False,True,60.559,"LINESTRING (48.3397211 31.8725966, 48.3393931 31.8721286)",امام خمینی,
396736798,residential,False,False,110.443,"LINESTRING (48.3397211 31.8725966, 48.3407852 31.8721844)",انقلاب,
396736755,residential,False,True,82.363,"LINESTRING (48.343974 31.8727583, 48.3433287 31.8730175, 48.343202 31.8730982)",هجرت,
396736776,residential,False,True,144.584,"LINESTRING (48.343974 31.8727583, 48.3435411 31.872061, 48.3432356 31.8716196)",خیبر,
396736741,residential,False,False,39.619,"LINESTRING (48.3381 31.8729592, 48.3376973 31.8730592)",,
396736832,residential,False,False,62.324,"LINESTRING (48.3381 31.8729592, 48.3379036 31.8724241)",,
396736832,residential,False,True,84.61099999999999,"LINESTRING (48.3381 31.8729592, 48.338167 31.8731421, 48.3382647 31.8731914, 48.3383413 31.8734694, 48.3383835 31.8736533)",,
396736716,residential,False,False,140.449,"LINESTRING (48.3376973 31.8730592, 48.338043 31.8742877)",مدرس,
396736716,residential,False,True,67.967,"LINESTRING (48.3376973 31.8730592, 48.33753 31.8724647)",مدرس,
396736741,residential,False,True,39.619,"LINESTRING (48.3376973 31.8730592, 48.3381 31.8729592)",,
396736755,residential,False,False,82.363,"LINESTRING (48.343202 31.8730982, 48.3433287 31.8730175, 48.343974 31.8727583)",هجرت,
