osmid,oneway,ref,name,highway,junction,reversed,length,geometry,maxspeed,lanes,bridge
53380110,True,18,میدان بسیج,primary,roundabout,False,16.309,"LINESTRING (52.6502018 36.6983869, 52.6501408 36.6983858, 52.6500826 36.6983714, 52.6500314 36.6983448)",,,
54461559,False,,امام خمینی,secondary,,True,214.253,"LINESTRING (52.6502018 36.6983869, 52.650182 36.6985857, 52.6501101 36.6993093, 52.6500396 36.7003092)",,,
23514749,True,18,بلوار شریفی,primary,,False,186.80900000000003,"LINESTRING (52.6516206 36.697931, 52.6531213 36.6978493, 52.6537111 36.6978172)",60,,
23514773,False,,شریفی ۳( شهید کهن),secondary,,False,77.816,"LINESTRING (52.6516206 36.697931, 52.6516545 36.6974884, 52.6516777 36.6972327)",,,
54461558,True,,میدان شهدا (گل),secondary,roundabout,False,36.861,"LINESTRING (52.6500396 36.7003092, 52.6501175 36.7003315, 52.650182 36.7003729, 52.6502262 36.700429, 52.6502451 36.7004935, 52.6502368 36.7005595)",,3,
54461559,False,,امام خمینی,secondary,,False,214.253,"LINESTRING (52.6500396 36.7003092, 52.6501101 36.6993093, 52.650182 36.6985857, 52.6502018 36.6983869)",,,
53380057,True,,خیابان فلسطین,secondary,,False,140.355,"LINESTRING (52.6426276 36.699133, 52.6426629 36.699252, 52.6427419 36.6994076, 52.6433981 36.7002248)",,,
53380057,True,,خیابان فلسطین,secondary,,False,64.306,"LINESTRING (52.6440846 36.7009432, 52.6445502 36.7013849)",,,
53380098,False,,شریعتی ۳,residential,,False,39.218,"LINESTRING (52.6440846 36.7009432, 52.6439564 36.7010178, 52.6437358 36.701158)",,,
53380110,True,18,میدان بسیج,primary,roundabout,False,17.654,"LINESTRING (52.650364 36.6983044, 52.6503212 36.6983447, 52.6502655 36.6983731, 52.6502018 36.6983869)",,,
53380107,False,,شهید منتظری,secondary,,True,101.911,"LINESTRING (52.6504735 36.7020277, 52.649375 36.7022813)",,,
53380103,True,,شهید رجایی,secondary,,False,153.466,"LINESTRING (52.6504735 36.7020277, 52.6507025 36.7028525, 52.6508351 36.703377)",,,
455045078,False,,,residential,,False,55.569,"LINESTRING (52.6472487 36.7040199, 52.6467498 36.7043195)",,,
53380109,False,,,primary,,True,10.205,"LINESTRING (52.6477064 36.7027033, 52.6477969 36.7026471)",,,
53380113,True,,طالقانی,primary,,False,248.87400000000002,"LINESTRING (52.6477064 36.7027033, 52.6474474 36.7024283, 52.647112 36.7020683, 52.6463089 36.7012895, 52.6460426 36.7010313, 52.6459632 36.7009559)",,,
53380107,False,,شهید منتظری,secondary,,False,45.134,"LINESTRING (52.6477969 36.7026471, 52.6482829 36.7025334)",,,
53380109,False,,,primary,,False,10.205,"LINESTRING (52.6477969 36.7026471, 52.6477064 36.7027033)",,,
848945802,True,,طالقانی,primary,,False,113.373,"LINESTRING (52.6477969 36.7026471, 52.6484922 36.7035008)",,,
53380108,False,,,residential,,True,8.519,"LINESTRING (52.6490644 36.704397, 52.6491542 36.7043708)",,,
53380113,True,,طالقانی,primary,,False,223.923,"LINESTRING (52.6490644 36.704397, 52.6482659 36.7033683, 52.6477064 36.7027033)",,,
53380108,False,,,residential,,False,8.519,"LINESTRING (52.6491542 36.7043708, 52.6490644 36.704397)",,,
848945801,True,,طالقانی,primary,,False,80.237,"LINESTRING (52.6491542 36.7043708, 52.6495999 36.7049977)",,,
53380106,False,,طالقانی ۵,residential,,True,169.478,"LINESTRING (52.6491542 36.7043708, 52.6494684 36.7042865, 52.650957 36.7038871)",,,
53380104,False,,,residential,,True,97.733,"LINESTRING (52.650957 36.7038871, 52.6519965 36.7036079)",,,
632498961,True,,رجایی,secondary,,False,76.283,"LINESTRING (52.650957 36.7038871, 52.6511152 36.7045613)",,,
53380106,False,,طالقانی ۵,residential,,False,169.478,"LINESTRING (52.650957 36.7038871, 52.6494684 36.7042865, 52.6491542 36.7043708)",,,
