osmid,highway,oneway,reversed,length,name,geometry,lanes
1016508395,primary_link,False,False,13.799,,"LINESTRING (45.3153977 34.6290946, 45.3152823 34.6290147)",
230469120,primary,True,False,112.19100000000002,شەقامی شەهید سەرکەوت,"LINESTRING (45.3153977 34.6290946, 45.3152187 34.629271, 45.3150347 34.6294438, 45.3148458 34.6296131, 45.314656 34.6297895, 45.3145884 34.6298524)",
230469120,primary,True,False,47.834,شەقامی شەهید سەرکەوت,"LINESTRING (45.3145884 34.6298524, 45.3142233 34.6301603)",
231069985,tertiary,False,True,112.775,,"LINESTRING (45.3145884 34.6298524, 45.3154507 34.6305771)",
230469119,primary,True,False,84.819,شەقامی شەهید سەرکەوت,"LINESTRING (45.3129807 34.6310749, 45.3131626 34.6309255, 45.3133946 34.630735, 45.3134879 34.6306631, 45.3136321 34.6305325)",
1016508395,primary_link,False,True,13.799,,"LINESTRING (45.3152823 34.6290147, 45.3153977 34.6290946)",
230469119,primary,True,False,88.099,شەقامی شەهید سەرکەوت,"LINESTRING (45.3152823 34.6290147, 45.315784 34.6285608, 45.3159302 34.6284286)",
230469122,primary,True,False,63.556,,"LINESTRING (45.3207999 34.6351268, 45.3213474 34.634775)",
231069985,tertiary,False,False,34.762,,"LINESTRING (45.3207999 34.6351268, 45.3206058 34.6349562, 45.3205402 34.6348986)",
230469121,secondary,True,False,10.919,شەقامی شارەوانی,"LINESTRING (45.3169984 34.6274182, 45.3170872 34.6274838)",
230469119,primary,True,False,25.701999999999998,شەقامی شەهید سەرکەوت,"LINESTRING (45.3169984 34.6274182, 45.3171315 34.6272983, 45.3171878 34.6272475)",
230945754,secondary,False,False,58.422,شەقامی سەرسەنگ,"LINESTRING (45.3134319 34.6355033, 45.3138925 34.6351394)",2
230469126,secondary,True,False,23.22,شەقامی شارەوانی,"LINESTRING (45.3166535 34.6273665, 45.3164465 34.6272457)",
230469119,primary,True,False,13.358,شەقامی شەهید سەرکەوت,"LINESTRING (45.3169038 34.6275097, 45.3169984 34.6274182)",
230469126,secondary,True,False,27.942,شەقامی شارەوانی,"LINESTRING (45.3169038 34.6275097, 45.3168357 34.6274626, 45.3167573 34.6274213, 45.3166535 34.6273665)",
230945751,residential,False,False,72.769,,"LINESTRING (45.3135806 34.6347781, 45.3131147 34.6353085)",
