osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge,junction
829650248,2,SS150,Strada Statale Della Valle Del Vomano,primary,False,False,16.673000000000002,"LINESTRING (13.6364656 42.5794906, 13.6363921 42.5793875, 13.6363703 42.5793581)",,
173982135,,,,tertiary,False,False,93.117,"LINESTRING (13.6274213 42.5793176, 13.6271828 42.5784988)",,
173982097,,,Via Ascanio Fioravante,residential,False,True,68.704,"LINESTRING (13.6274213 42.5793176, 13.6277839 42.5792845, 13.6280234 42.5792898, 13.6282575 42.5792875)",,
"[96270376, 471305870, 96270399]",,,,tertiary,False,True,163.481,"LINESTRING (13.6274213 42.5793176, 13.6274443 42.579394, 13.6275006 42.5795814, 13.6277312 42.5803495, 13.6278514 42.5807533)",yes,
"[96355108, 96355109]",2,SS80,Strada Statale 80 del Gran Sasso d'Italia,primary,False,False,177.251,"LINESTRING (13.6327985 42.5811585, 13.6310575 42.580607, 13.6308531 42.5805386, 13.6308148 42.5805211)",viaduct,
1007443552,,SS80,Viale Risorgimento,primary,True,False,23.637,"LINESTRING (13.6327985 42.5811585, 13.6329308 42.5811706, 13.6330816 42.5811982)",,
96355806,,SS150,Strada Statale Della Valle Del Vomano,primary,True,False,32.346000000000004,"LINESTRING (13.6306932 42.5799638, 13.6305986 42.5801315, 13.6305542 42.5802358)",,
829650252,2,SS150,Strada Statale Della Valle Del Vomano,primary,False,True,74.27499999999999,"LINESTRING (13.6306932 42.5799638, 13.6308425 42.5797933, 13.6308955 42.5797307, 13.6309735 42.5796381, 13.6310549 42.5795603, 13.631114 42.5795101, 13.6311658 42.5794726, 13.6312301 42.5794292)",,
1226177346,2,SS80,Strada Statale 80 del Gran Sasso d'Italia,primary,False,False,19.316,"LINESTRING (13.6298594 42.5802126, 13.6296418 42.5801455)",,
96355807,,SS80,Strada Statale 80 del Gran Sasso d'Italia,primary,True,False,35.589,"LINESTRING (13.6298594 42.5802126, 13.6301048 42.5802431, 13.6302084 42.5802344, 13.6302833 42.5802107)",,
"[96355108, 96355109]",2,SS80,Strada Statale 80 del Gran Sasso d'Italia,primary,False,True,177.25099999999998,"LINESTRING (13.6308148 42.5805211, 13.6308531 42.5805386, 13.6310575 42.580607, 13.6327985 42.5811585)",viaduct,
96356058,,SS80,Strada Statale 80 del Gran Sasso d'Italia,primary,True,False,34.715,"LINESTRING (13.6308148 42.5805211, 13.6305563 42.5804166, 13.6304303 42.5803959)",,
"[829650250, 441728741]",,SP491,,primary,True,False,49.019,"LINESTRING (13.6360632 42.5791536, 13.6362207 42.5791499, 13.6363426 42.579203, 13.6365065 42.5792722, 13.6366027 42.5793123)",,
829650246,2,SS150,Strada Statale Della Valle Del Vomano,primary,False,True,34.998999999999995,"LINESTRING (13.6360632 42.5791536, 13.6361192 42.5791666, 13.6361509 42.5791776, 13.6361873 42.5791942, 13.6362109 42.5792076, 13.6362467 42.5792329, 13.6362907 42.5792649, 13.6363302 42.5793077, 13.6363703 42.5793581)",,
829650252,2,SS150,Strada Statale Della Valle Del Vomano,primary,False,False,401.68100000000004,"LINESTRING (13.6360632 42.5791536, 13.6360052 42.5791477, 13.6359054 42.579148, 13.6349496 42.5791588, 13.6345828 42.5791645, 13.6336067 42.5791771, 13.6330035 42.5791846, 13.6326951 42.5791896, 13.632296 42.5791954, 13.6321253 42.5792017, 13.6319713 42.5792089, 13.6318979 42.5792138, 13.6318428 42.5792203, 13.6317558 42.579235, 13.6316636 42.5792546, 13.6315878 42.5792742, 13.6315069 42.5792985, 13.6314314 42.5793269, 13.6313466 42.5793638, 13.631289 42.5793936, 13.6312301 42.5794292)",,
96356542,,SS80,Strada Statale 80 del Gran Sasso d'Italia,primary,True,False,34.267,"LINESTRING (13.6380993 42.5828432, 13.6379559 42.582809, 13.6378339 42.5827584, 13.6377923 42.5827407, 13.6377733 42.5827362, 13.6377164 42.5827227)",,
96356544,,,,tertiary,True,False,27.291999999999998,"LINESTRING (13.637849 42.5823484, 13.6377971 42.5825125, 13.637796 42.5825347, 13.6377932 42.5825894)",,
96356547,,SS80,Strada Statale 80 del Gran Sasso d'Italia,primary,True,False,39.211,"LINESTRING (13.637128 42.5825373, 13.6373671 42.5825816, 13.6375291 42.5825887, 13.6375973 42.5825768)",,
1226176959,2,SS80,Viale Risorgimento,primary,False,False,64.825,"LINESTRING (13.637128 42.5825373, 13.6370769 42.5825202, 13.6364003 42.5823076)",,
96356541,,SS80,Strada Statale 80 del Gran Sasso d'Italia,primary,True,False,33.083,"LINESTRING (13.6378101 42.5826433, 13.6378389 42.5826878, 13.637907 42.5827427, 13.637972 42.5827821, 13.6380993 42.5828432)",,
1122118338,,SS80,,primary,True,False,12.451,"LINESTRING (13.6378101 42.5826433, 13.6378009 42.5826704, 13.6377808 42.5826942, 13.6377517 42.5827122, 13.6377164 42.5827227)",,roundabout
823877460,,,,tertiary,True,False,27.021,"LINESTRING (13.6376617 42.5825483, 13.6377172 42.5824958, 13.637849 42.5823484)",,
1122118338,,SS80,,primary,True,False,12.45,"LINESTRING (13.6376617 42.5825483, 13.6376996 42.5825464, 13.6377365 42.5825531, 13.6377688 42.582568, 13.6377932 42.5825894)",,roundabout
846642147,,,Via Duca degli Abruzzi,tertiary,False,False,4.629,"LINESTRING (13.631297 42.5830063, 13.6313534 42.5830092)",,
140176528,,,Via Camillo Benso Di Cavour,residential,False,False,84.61,"LINESTRING (13.631297 42.5830063, 13.6313376 42.58311, 13.6314601 42.5832699, 13.6315969 42.5834457, 13.6317596 42.5836841)",,
846642147,,,Via Duca degli Abruzzi,tertiary,False,True,43.428999999999995,"LINESTRING (13.631297 42.5830063, 13.6312075 42.5829964, 13.6307969 42.5829521, 13.6307722 42.5829495)",,
617820655,,,Via Della Fontana,residential,False,False,21.284,"LINESTRING (13.6298809 42.5843147, 13.6299265 42.5842437, 13.6299158 42.5841311)",,
