osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge
393546628,2,305;365,国道305号,trunk,False,True,83.551,"LINESTRING (136.3100882 36.303734, 136.3109184 36.303392)",
197601342,,,,residential,False,True,74.292,"LINESTRING (136.3100882 36.303734, 136.3102739 36.3040447, 136.3104491 36.3043355)",
393546628,2,305;365,国道305号,trunk,False,False,83.551,"LINESTRING (136.3109184 36.303392, 136.3100882 36.303734)",
393546628,2,305;365,国道305号,trunk,False,True,66.478,"LINESTRING (136.3109184 36.303392, 136.3115816 36.3031241)",
197602653,,,,residential,False,False,74.612,"LINESTRING (136.3109184 36.303392, 136.3110208 36.3035721, 136.3112034 36.3038628, 136.3112789 36.3039967)",
393546628,2,305;365,国道305号,trunk,False,False,66.478,"LINESTRING (136.3115816 36.3031241, 136.3109184 36.303392)",
51871077,,,,tertiary,False,False,219.183,"LINESTRING (136.3115816 36.3031241, 136.3113737 36.3027124, 136.3113473 36.3026586, 136.3112058 36.302353, 136.3111415 36.3021523, 136.3111357 36.3021213, 136.3111201 36.3020507, 136.3111119 36.3019928, 136.3111089 36.3018994, 136.311109 36.3014643, 136.3111166 36.3012189)",
393546628,2,305;365,国道305号,trunk,False,True,57.453,"LINESTRING (136.3115816 36.3031241, 136.3119431 36.303025, 136.3121973 36.3029838)",
393546628,2,305;365,国道305号,trunk,False,True,22.006,"LINESTRING (136.3121973 36.3029838, 136.3124428 36.3029792)",
393546628,2,305;365,国道305号,trunk,False,False,57.453,"LINESTRING (136.3121973 36.3029838, 136.3119431 36.303025, 136.3115816 36.3031241)",
393604875,,,,residential,False,False,103.473,"LINESTRING (136.3121973 36.3029838, 136.3122288 36.302238, 136.3124574 36.3022438)",
192582638,,118,大聖寺停車場線,secondary,False,False,107.468,"LINESTRING (136.3132304 36.3031239, 136.3135607 36.3021948)",
393604855,,19,橋立港線,primary,False,False,77.934,"LINESTRING (136.3132304 36.3031239, 136.3129884 36.3037971)",
393546628,2,305;365,国道305号,trunk,False,False,72.533,"LINESTRING (136.3132304 36.3031239, 136.3126733 36.3030025, 136.3124428 36.3029792)",
393546628,2,305;365,国道305号,trunk,False,True,137.205,"LINESTRING (136.3132304 36.3031239, 136.3138777 36.3032769, 136.3140233 36.303321, 136.3143555 36.3034279, 136.314638 36.3035851)",
51871083,,,,tertiary,False,True,40.479,"LINESTRING (136.3107732 36.3009824, 136.3111166 36.3012189)",
"[197604153, 197600829]",,,,unclassified,False,False,167.18300000000002,"LINESTRING (136.3107732 36.3009824, 136.3108329 36.3008883, 136.3111319 36.3005381, 136.311368 36.300274, 136.311598 36.299936, 136.311627 36.2998501, 136.3116611 36.2996796)",
"[590898276, 590898277]",,,,tertiary,False,False,18.945,"LINESTRING (136.3107732 36.3009824, 136.3106549 36.3008756, 136.3106352 36.3008535)",yes
"[192583005, 590898278, 590898279]",,,,unclassified,False,True,52.561,"LINESTRING (136.3107732 36.3009824, 136.3105321 36.3012347, 136.3103666 36.3012375, 136.3103408 36.3012389)",yes
51871083,,,,tertiary,False,False,40.479,"LINESTRING (136.3111166 36.3012189, 136.3107732 36.3009824)",
192633634,,,,tertiary,False,True,12.759,"LINESTRING (136.3111166 36.3012189, 136.3112393 36.3012771)",
51871077,,,,tertiary,False,True,219.183,"LINESTRING (136.3111166 36.3012189, 136.311109 36.3014643, 136.3111089 36.3018994, 136.3111119 36.3019928, 136.3111201 36.3020507, 136.3111357 36.3021213, 136.3111415 36.3021523, 136.3112058 36.302353, 136.3113473 36.3026586, 136.3113737 36.3027124, 136.3115816 36.3031241)",
588274170,,19,橋立港線,primary,False,True,59.594,"LINESTRING (136.3148705 36.3071797, 136.3144774 36.3067474)",
197606090,,,,residential,False,True,132.933,"LINESTRING (136.3148705 36.3071797, 136.3149092 36.307105, 136.3149785 36.3070509, 136.3151206 36.3068763, 136.3155465 36.3063754, 136.3156492 36.3062438, 136.3157015 36.3061939)",
393546628,2,305;365,国道305号,trunk,False,False,22.355,"LINESTRING (136.3204867 36.3070762, 136.3202377 36.3070638)",
1183812017,2,305;365,国道305号,trunk,False,True,3.978,"LINESTRING (136.3204867 36.3070762, 136.3204823 36.3070406)",
197601787,,,,unclassified,False,True,70.015,"LINESTRING (136.314638 36.3035851, 136.3148506 36.3029792)",
393546628,2,305;365,国道305号,trunk,False,True,32.297,"LINESTRING (136.314638 36.3035851, 136.3148922 36.303791)",
393546628,2,305;365,国道305号,trunk,False,False,137.20499999999998,"LINESTRING (136.314638 36.3035851, 136.3143555 36.3034279, 136.3140233 36.303321, 136.3138777 36.3032769, 136.3132304 36.3031239)",
393546628,2,305;365,国道305号,trunk,False,False,32.297,"LINESTRING (136.3148922 36.303791, 136.314638 36.3035851)",
393546628,2,305;365,国道305号,trunk,False,True,11.328,"LINESTRING (136.3148922 36.303791, 136.3149754 36.3038677)",
1112813726,,142,荒木田原町線,secondary,False,True,95.313,"LINESTRING (136.3148922 36.303791, 136.3151395 36.303585, 136.3152544 36.3034893, 136.3153768 36.3033873, 136.3156124 36.3031609)",
393546628,2,305;365,国道305号,trunk,False,False,37.599999999999994,"LINESTRING (136.3160135 36.3052273, 136.3159719 36.3051379, 136.315883 36.3049566, 136.3158509 36.3049165)",
393546628,2,305;365,国道305号,trunk,False,True,26.740000000000002,"LINESTRING (136.3160135 36.3052273, 136.3161045 36.3053137, 136.3162321 36.3053885)",
588274164,,,,residential,False,True,73.231,"LINESTRING (136.3160135 36.3052273, 136.3159056 36.3052399, 136.3151992 36.3051993)",
393546628,2,305;365,国道305号,trunk,False,True,27.307,"LINESTRING (136.3157308 36.3046908, 136.3158509 36.3049165)",
197601792,,,,residential,False,False,71.412,"LINESTRING (136.3157308 36.3046908, 136.3156188 36.3047004, 136.3152742 36.3046856, 136.3149371 36.3046552)",
393546628,2,305;365,国道305号,trunk,False,False,114.48599999999999,"LINESTRING (136.3157308 36.3046908, 136.3155836 36.3044535, 136.315432 36.3042885, 136.3149754 36.3038677)",
1183812017,2,305;365,国道305号,trunk,False,False,47.632,"LINESTRING (136.3204675 36.3066124, 136.3204823 36.3070406)",
1183812017,2,305;365,国道305号,trunk,False,True,4.065,"LINESTRING (136.3204675 36.3066124, 136.3204649 36.3065759)",
192582638,,118,大聖寺停車場線,secondary,False,True,51.668,"LINESTRING (136.313839 36.3014312, 136.3136739 36.3018764)",
192582641,,,,tertiary,True,False,25.735,"LINESTRING (136.313839 36.3014312, 136.3139556 36.3012197)",
192582646,,,,tertiary,True,False,87.113,"LINESTRING (136.31377 36.3005538, 136.3137192 36.3005721, 136.3136131 36.3006641, 136.3136021 36.3007212, 136.3136065 36.3007612, 136.3136856 36.3009915, 136.3138008 36.3012515)",
197605276,,,,unclassified,False,True,112.97,"LINESTRING (136.31377 36.3005538, 136.3137262 36.3004405, 136.3134231 36.3002513, 136.3132951 36.300148, 136.3130403 36.2998465, 136.3129555 36.2998099)",
192633634,,,,tertiary,False,False,83.68900000000001,"LINESTRING (136.3127806 36.3016871, 136.312079 36.3015378, 136.3118792 36.3014905)",
192633634,,,,tertiary,False,True,43.074999999999996,"LINESTRING (136.3127806 36.3016871, 136.3128097 36.3016949, 136.3132446 36.3017881)",
197603985,,,,residential,False,False,43.223,"LINESTRING (136.3127806 36.3016871, 136.3127542 36.301765, 136.312708 36.3018172, 136.3126141 36.3018529, 136.3125337 36.3019074, 136.3124751 36.3019663)",
192582638,,118,大聖寺停車場線,secondary,False,False,51.668,"LINESTRING (136.3136739 36.3018764, 136.313839 36.3014312)",
192582638,,118,大聖寺停車場線,secondary,False,True,36.829,"LINESTRING (136.3136739 36.3018764, 136.3135607 36.3021948)",
192633634,,,,tertiary,False,False,39.704,"LINESTRING (136.3136739 36.3018764, 136.3132446 36.3017881)",
192633634,,,,tertiary,False,True,44.868,"LINESTRING (136.3136739 36.3018764, 136.3141543 36.3019901)",
192633634,,,,tertiary,False,False,64.081,"LINESTRING (136.3206237 36.3057934, 136.3200634 36.3054353)",
1183812017,2,305;365,国道305号,trunk,False,False,11.659,"LINESTRING (136.3206237 36.3057934, 136.3205522 36.305881)",
192633634,,,,tertiary,False,False,8.642,"LINESTRING (136.3159518 36.3027871, 136.3158905 36.3027271)",
192633634,,,,tertiary,False,True,128.391,"LINESTRING (136.3159518 36.3027871, 136.316256 36.3030097, 136.3169859 36.3035142, 136.3170325 36.303545)",
1112813726,,142,荒木田原町線,secondary,False,False,51.504000000000005,"LINESTRING (136.3159518 36.3027871, 136.3157912 36.302965, 136.3156124 36.3031609)",
1112813726,,142,荒木田原町線,secondary,False,True,186.66799999999998,"LINESTRING (136.3159518 36.3027871, 136.3166134 36.3022167, 136.3168671 36.3019581, 136.3169955 36.3018237, 136.3171228 36.301692, 136.3172603 36.3014885)",
192582837,,,,unclassified,False,False,57.167,"LINESTRING (136.3124785 36.3062271, 136.3122854 36.3057371)",
192582837,,,,unclassified,False,True,68.173,"LINESTRING (136.3124785 36.3062271, 136.3127283 36.3068062)",
