osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref
124077193,False,2,ぶどう園通り,tertiary,40,False,68.55,"LINESTRING (140.1516434 35.9785403, 140.1514993 35.9785237, 140.1514149 35.978514, 140.1508892 35.9784534)",
646000429,False,2,ぶどう園通り,tertiary,40,True,17.23,"LINESTRING (140.1516434 35.9785403, 140.1517893 35.9785571, 140.1518328 35.978563)",
"[648211806, 648212558]",False,"['4', '5']",ふれあい通り,secondary,60,True,244.24200000000002,"LINESTRING (140.1516434 35.9785403, 140.1516301 35.9784462, 140.1515541 35.9779094, 140.1514024 35.9768145, 140.1513341 35.9763581)",272
"[648212748, 648212559]",False,"['4', '5']",ふれあい通り,secondary,60,False,106.816,"LINESTRING (140.1516434 35.9785403, 140.1516535 35.978622, 140.1516612 35.9786836, 140.1517037 35.9790265, 140.1517657 35.9794958)",272
198861148,False,,,unclassified,,False,42.32899999999999,"LINESTRING (140.1513341 35.9763581, 140.1514576 35.9763701, 140.1515334 35.9763775, 140.1518025 35.9763916)",
198861148,False,,,unclassified,,True,34.828,"LINESTRING (140.1513341 35.9763581, 140.1512155 35.9763484, 140.1509488 35.9763285)",
"[648212558, 648211806]",False,"['4', '5']",ふれあい通り,secondary,60,False,244.242,"LINESTRING (140.1513341 35.9763581, 140.1514024 35.9768145, 140.1515541 35.9779094, 140.1516301 35.9784462, 140.1516434 35.9785403)",272
"[56987766, 648211806]",False,"['4', '5']",ふれあい通り,secondary,60,True,81.02199999999999,"LINESTRING (140.1513341 35.9763581, 140.1513264 35.9763147, 140.1512611 35.9760346, 140.1511642 35.9756426)",272
56987766,False,5,ふれあい通り,secondary,60,False,14.765,"LINESTRING (140.1511009 35.9753867, 140.151128 35.9754963, 140.1511331 35.9755169)",272
1214085337,False,2,けやき通り,secondary,60,True,52.14,"LINESTRING (140.1511009 35.9753867, 140.1509575 35.9753906, 140.1508964 35.9753923, 140.1505218 35.9754026)",272
1214085338,False,4,都市計画道貝塚中根線,tertiary,60,False,47.001999999999995,"LINESTRING (140.1511009 35.9753867, 140.1510892 35.9753318, 140.1510627 35.9752077, 140.1510532 35.9751629, 140.1510467 35.9751236, 140.1510172 35.9749695)",
111792301,False,,,residential,,True,31.318,"LINESTRING (140.152669 35.9828428, 140.1530045 35.9827678)",
111792301,False,,,residential,,False,40.247,"LINESTRING (140.152669 35.9828428, 140.1524216 35.9829072, 140.1522703 35.9829967)",
312049228,False,2,中央通り,tertiary,,False,93.516,"LINESTRING (140.1501948 35.9810533, 140.1512336 35.9810274)",
312049228,False,2,中央通り,tertiary,,True,124.9,"LINESTRING (140.1501948 35.9810533, 140.1488074 35.9810886)",
123986277,False,2,,tertiary,,False,48.543000000000006,"LINESTRING (140.1501948 35.9810533, 140.1502214 35.9809396, 140.1502705 35.9807725, 140.1502989 35.9806252)",
123986277,False,2,,tertiary,,True,59.591,"LINESTRING (140.1501948 35.9810533, 140.1501645 35.9811534, 140.1499978 35.9815647)",
123986274,False,,,unclassified,,True,39.664,"LINESTRING (140.1512336 35.9810274, 140.1511905 35.9806724)",
123986280,False,,,unclassified,,False,57.963,"LINESTRING (140.1512336 35.9810274, 140.1513486 35.9815403)",
312049228,False,2,中央通り,tertiary,,False,20.437,"LINESTRING (140.1512336 35.9810274, 140.1514606 35.9810213)",
312049228,False,2,中央通り,tertiary,,True,93.516,"LINESTRING (140.1512336 35.9810274, 140.1501948 35.9810533)",
123986277,False,2,,tertiary,,False,40.097,"LINESTRING (140.1494513 35.9828707, 140.1496022 35.9825314)",
123986277,False,2,,tertiary,,True,43.656,"LINESTRING (140.1494513 35.9828707, 140.1492922 35.9832416)",
398172451,False,,,residential,,True,131.918,"LINESTRING (140.1494513 35.9828707, 140.1479855 35.9828953)",
123986277,False,2,,tertiary,,False,43.656,"LINESTRING (140.1492922 35.9832416, 140.1494513 35.9828707)",
198859752,False,,,unclassified,,False,33.217,"LINESTRING (140.1492922 35.9832416, 140.1489231 35.9832474)",
124077193,False,2,ぶどう園通り,tertiary,40,False,6.287,"LINESTRING (140.146265 35.9767213, 140.1462057 35.9766914)",
124077193,False,2,ぶどう園通り,tertiary,40,True,224.088,"LINESTRING (140.146265 35.9767213, 140.1473282 35.9772792, 140.1483434 35.9778313)",
198861232,False,,,unclassified,,True,132.53699999999998,"LINESTRING (140.146265 35.9767213, 140.1462733 35.9766765, 140.1462821 35.9766289, 140.1463843 35.9760722, 140.146413 35.9759803, 140.1464711 35.9758953, 140.1467044 35.9756346, 140.1467203 35.9756169)",
198859893,False,,,unclassified,,True,69.04,"LINESTRING (140.1467999 35.9834241, 140.1475499 35.983293)",
264453116,False,,,residential,,True,46.113,"LINESTRING (140.1467999 35.9834241, 140.1465665 35.9830549)",
198860498,False,,,unclassified,,False,104.787,"LINESTRING (140.1457699 35.9816292, 140.146934 35.9816025)",
198860503,False,,,unclassified,,True,10.026,"LINESTRING (140.1457699 35.9816292, 140.1456592 35.9816395)",
601296755,False,,,unclassified,,False,49.865,"LINESTRING (140.1457699 35.9816292, 140.1457557 35.9811809)",
124077193,False,2,ぶどう園通り,tertiary,40,False,54.042,"LINESTRING (140.1488531 35.9780881, 140.1487671 35.9780496, 140.1483434 35.9778313)",
124077193,False,2,ぶどう園通り,tertiary,40,True,44.402,"LINESTRING (140.1488531 35.9780881, 140.1489754 35.9781288, 140.149317 35.9782238)",
264447445,False,,,residential,,False,25.732,"LINESTRING (140.1488531 35.9780881, 140.1488589 35.9780411, 140.148861 35.9780246, 140.148969 35.9778816)",
387444249,False,,,unclassified,,True,106.582,"LINESTRING (140.1488531 35.9780881, 140.1488502 35.978169, 140.148854 35.9781891, 140.1488685 35.9782067, 140.1495931 35.9787139, 140.1496499 35.9787537)",
109740110,False,2,,tertiary,,True,72.093,"LINESTRING (140.1496499 35.9787537, 140.1497815 35.9787702, 140.1503204 35.978838, 140.150381 35.9788456, 140.1504416 35.9788532)",
123986276,False,2,,tertiary,,True,49.918000000000006,"LINESTRING (140.1496499 35.9787537, 140.1496998 35.9783951, 140.149712 35.9783076)",
387444249,False,,,unclassified,,False,106.582,"LINESTRING (140.1496499 35.9787537, 140.1495931 35.9787139, 140.1488685 35.9782067, 140.148854 35.9781891, 140.1488502 35.978169, 140.1488531 35.9780881)",
109088466,False,,,unclassified,,False,70.263,"LINESTRING (140.1452241 35.9779943, 140.1453695 35.9783417, 140.1454405 35.9786005)",
109088466,False,,,unclassified,,True,79.098,"LINESTRING (140.1452241 35.9779943, 140.1450783 35.9776796, 140.1451636 35.9776302, 140.1454053 35.9774156)",
264447454,False,,,residential,,True,39.300000000000004,"LINESTRING (140.1452241 35.9779943, 140.1450194 35.9780947, 140.1449493 35.9781989, 140.144928 35.9782362)",
109088466,False,,,unclassified,,False,19.765,"LINESTRING (140.1452233 35.9764529, 140.1451407 35.9766176)",
124077193,False,2,ぶどう園通り,tertiary,40,False,35.266000000000005,"LINESTRING (140.1452233 35.9764529, 140.1450147 35.9764531, 140.1448322 35.976467)",
124077193,False,2,ぶどう園通り,tertiary,40,True,22.309,"LINESTRING (140.1452233 35.9764529, 140.1453006 35.9764563, 140.1453391 35.9764583, 140.1454708 35.9764645)",
398161462,False,2,女化街道,tertiary,40,False,11.687999999999999,"LINESTRING (140.1462389 35.9755212, 140.1462965 35.9754454, 140.1463072 35.9754318)",
"[1214085358, 1214085359]",False,2,けやき通り,secondary,60,True,170.82,"LINESTRING (140.1462389 35.9755212, 140.1461213 35.9755239, 140.1460201 35.9755266, 140.1456545 35.9755366, 140.1443417 35.9755728)",272
1214085360,False,2,女化街道,tertiary,40,True,116.881,"LINESTRING (140.1462389 35.9755212, 140.146186 35.9755974, 140.1461447 35.9756519, 140.1458717 35.9759935, 140.1455688 35.9763231, 140.1455082 35.9763891)",
1214085361,False,2,けやき通り,secondary,60,False,43.393,"LINESTRING (140.1462389 35.9755212, 140.1463839 35.9755176, 140.1464728 35.975514, 140.1467208 35.9755073)",272
312049228,False,2,中央通り,tertiary,,False,147.874,"LINESTRING (140.1457557 35.9811809, 140.1473979 35.9811299)",
312049228,False,2,中央通り,tertiary,,True,92.621,"LINESTRING (140.1457557 35.9811809, 140.1447268 35.9812055)",
601296755,False,,,unclassified,,False,51.402,"LINESTRING (140.1457557 35.9811809, 140.145733 35.980719)",
601296755,False,,,unclassified,,True,49.865,"LINESTRING (140.1457557 35.9811809, 140.1457699 35.9816292)",
601296755,False,,,unclassified,,True,51.402,"LINESTRING (140.145733 35.980719, 140.1457557 35.9811809)",
"[264447459, 198860629]",False,,,"['residential', 'unclassified']",,True,112.749,"LINESTRING (140.145733 35.980719, 140.1450667 35.9807412, 140.1448094 35.980315)",
601296755,False,,,unclassified,,False,48.846000000000004,"LINESTRING (140.145733 35.980719, 140.1457275 35.9805047, 140.1457177 35.9802799)",
312049228,False,2,中央通り,tertiary,,False,92.621,"LINESTRING (140.1447268 35.9812055, 140.1457557 35.9811809)",
645962012,False,2,花水木通り,tertiary,50,True,66.939,"LINESTRING (140.1447268 35.9812055, 140.1450657 35.9817414)",
601302012,False,,中央通り,tertiary,,True,61.387,"LINESTRING (140.1447268 35.9812055, 140.1441242 35.9812164, 140.1440448 35.9812192)",
109088464,False,,,residential,,True,20.078,"LINESTRING (140.1526588 35.9810037, 140.152683 35.9811832)",
547223339,False,,中央通り,tertiary,,True,62.882,"LINESTRING (140.1526588 35.9810037, 140.15196 35.9810102)",
198860234,False,,,unclassified,,True,85.059,"LINESTRING (140.1526588 35.9810037, 140.1525839 35.980446, 140.1524802 35.9802601)",
"[547223339, 111792301]",False,,中央通り,"['residential', 'tertiary']",,False,213.953,"LINESTRING (140.1526588 35.9810037, 140.1529393 35.9809852, 140.1530653 35.9809689, 140.1531807 35.9809396, 140.1533161 35.9809006, 140.1534373 35.9808887, 140.1535615 35.9808973, 140.1536822 35.9809299, 140.153786 35.9809727, 140.1539183 35.981059, 140.1540229 35.98111, 140.1541315 35.9811437, 140.1542173 35.9811621, 140.154307 35.9811804, 140.1542777 35.98125, 140.1542535 35.981301, 140.154012 35.9816231)",
109088464,False,,,residential,,False,117.99,"LINESTRING (140.1530045 35.9827678, 140.1527884 35.9817212)",
111792301,False,,,residential,,False,31.318,"LINESTRING (140.1530045 35.9827678, 140.152669 35.9828428)",
111792301,False,,,residential,,True,110.034,"LINESTRING (140.1530045 35.9827678, 140.1532809 35.9827358, 140.1537165 35.9820584)",
111792301,False,,,residential,,False,51.99,"LINESTRING (140.1522703 35.9829967, 140.1517111 35.9831144)",
111792301,False,,,residential,,True,40.247,"LINESTRING (140.1522703 35.9829967, 140.1524216 35.9829072, 140.152669 35.9828428)",
