osmid,highway,oneway,reversed,length,geometry,junction
241560445,secondary,False,False,444.261,"LINESTRING (127.4238499 39.1762554, 127.4241827 39.1761819, 127.4244282 39.1760679, 127.4253696 39.1756063, 127.4255708 39.1755312, 127.4260589 39.1753765, 127.4277542 39.174839, 127.4279013 39.1747921, 127.4282389 39.1747693, 127.4283998 39.1747501, 127.4285629 39.1747322)",
241560445,secondary,False,True,74.441,"LINESTRING (127.4238499 39.1762554, 127.4235565 39.1762803, 127.4232187 39.1762929, 127.4230745 39.1762986, 127.4229898 39.1763095)",
573552635,unclassified,False,True,102.58099999999999,"LINESTRING (127.4238499 39.1762554, 127.4238072 39.1761452, 127.4237482 39.1760803, 127.4236777 39.1760457, 127.4235272 39.1760163, 127.4233093 39.1760199, 127.4231864 39.1760369, 127.4230513 39.176073, 127.4228646 39.1761554)",
1079886267,secondary,True,False,10.924,"LINESTRING (127.429551 39.1728225, 127.4295818 39.1728168, 127.4296134 39.1728183, 127.4296431 39.1728269, 127.4296682 39.1728419)",roundabout
"[1079887350, 1079887351]",secondary,False,False,220.589,"LINESTRING (127.429551 39.1728225, 127.429487 39.1725802, 127.4294547 39.1723979, 127.4293597 39.171438, 127.4292897 39.1710769, 127.4292476 39.1708547)",
133132376,residential,False,True,35.367,"LINESTRING (127.4269566 39.1689436, 127.4273183 39.1690937)",
133132376,residential,False,False,58.375,"LINESTRING (127.4269566 39.1689436, 127.4269454 39.1687654, 127.4269295 39.1686365, 127.4269037 39.1685659, 127.4268087 39.1684425)",
179253005,residential,False,False,20.66,"LINESTRING (127.4269566 39.1689436, 127.4268277 39.168943, 127.4267186 39.1689282)",
242092510,secondary,False,True,11.215,"LINESTRING (127.429598 39.1697118, 127.4295657 39.1698095)",
133132376,residential,False,False,155.50199999999998,"LINESTRING (127.429598 39.1697118, 127.4294855 39.1696883, 127.4282453 39.1694331, 127.4279998 39.169359, 127.4278707 39.1693156)",
148256087,unclassified,False,True,63.134,"LINESTRING (127.42433 39.1743973, 127.4238671 39.1748373)",
1080220389,residential,False,True,491.816,"LINESTRING (127.42433 39.1743973, 127.424611 39.1741422, 127.4248543 39.1740061, 127.4252301 39.1738444, 127.4254256 39.1737878, 127.4257127 39.1737059, 127.4261588 39.1736154, 127.4264887 39.173595, 127.426848 39.1735681, 127.4276177 39.173566, 127.4280596 39.1735595, 127.4282822 39.1735112, 127.4284925 39.1734619, 127.4286296 39.1734099, 127.4289187 39.1732868, 127.4294247 39.1730111, 127.4295074 39.1729529)",
148256104,unclassified,False,True,26.028,"LINESTRING (127.4227092 39.1759547, 127.4228646 39.1761554)",
148256087,unclassified,False,False,159.813,"LINESTRING (127.4227092 39.1759547, 127.4227969 39.1758383, 127.4233704 39.1752444, 127.4236217 39.1750273, 127.4238671 39.1748373)",
148256104,unclassified,False,False,20.251,"LINESTRING (127.4229898 39.1763095, 127.4228646 39.1761554)",
241560445,secondary,False,False,74.441,"LINESTRING (127.4229898 39.1763095, 127.4230745 39.1762986, 127.4232187 39.1762929, 127.4235565 39.1762803, 127.4238499 39.1762554)",
179253005,residential,False,True,21.629,"LINESTRING (127.4248592 39.1687498, 127.4251065 39.1687826)",
179253005,residential,False,False,140.099,"LINESTRING (127.4267186 39.1689282, 127.426474 39.1689174, 127.4263039 39.1688888, 127.426153 39.1688761, 127.4259818 39.168873, 127.4251065 39.1687826)",
179253005,residential,False,True,20.66,"LINESTRING (127.4267186 39.1689282, 127.4268277 39.168943, 127.4269566 39.1689436)",
179253006,residential,False,False,149.263,"LINESTRING (127.4267186 39.1689282, 127.4265456 39.1691165, 127.4264546 39.1692438, 127.4264304 39.169299, 127.4264402 39.1693638, 127.4265146 39.1694434, 127.4265462 39.1695003, 127.42657 39.1696223, 127.4265868 39.1696714, 127.4266277 39.1697169, 127.4268791 39.169899, 127.4269167 39.1699797, 127.427009 39.170049)",
179253006,residential,False,True,149.263,"LINESTRING (127.427009 39.170049, 127.4269167 39.1699797, 127.4268791 39.169899, 127.4266277 39.1697169, 127.4265868 39.1696714, 127.42657 39.1696223, 127.4265462 39.1695003, 127.4265146 39.1694434, 127.4264402 39.1693638, 127.4264304 39.169299, 127.4264546 39.1692438, 127.4265456 39.1691165, 127.4267186 39.1689282)",
227771035,residential,False,False,184.71899999999997,"LINESTRING (127.4288776 39.1717739, 127.4288957 39.171888, 127.4289045 39.1723776, 127.4288164 39.1723237, 127.4286766 39.1722728, 127.4285772 39.1722262, 127.4284512 39.1721815, 127.4283635 39.1721139, 127.4284552 39.1719641, 127.4285216 39.171895, 127.4286392 39.1718421, 127.4287828 39.1717861, 127.4288776 39.1717739)",
227771035,residential,False,True,184.71899999999997,"LINESTRING (127.4288776 39.1717739, 127.4287828 39.1717861, 127.4286392 39.1718421, 127.4285216 39.171895, 127.4284552 39.1719641, 127.4283635 39.1721139, 127.4284512 39.1721815, 127.4285772 39.1722262, 127.4286766 39.1722728, 127.4288164 39.1723237, 127.4289045 39.1723776, 127.4288957 39.171888, 127.4288776 39.1717739)",
227771035,residential,False,True,107.506,"LINESTRING (127.4288776 39.1717739, 127.4290992 39.1710935, 127.4292476 39.1708547)",
1182349433,residential,False,False,110.51,"LINESTRING (127.4288776 39.1717739, 127.4290242 39.1718569, 127.4290575 39.1719171, 127.4291218 39.1722354, 127.4291596 39.1726999)",
100616960,secondary,False,True,33.457,"LINESTRING (127.4332921 39.1688479, 127.4330594 39.1686071)",
242095505,residential,False,False,178.748,"LINESTRING (127.4332921 39.1688479, 127.4331719 39.1689184, 127.4316541 39.1698335)",
242095505,residential,False,False,76.683,"LINESTRING (127.4316541 39.1698335, 127.4309665 39.170271)",
242095505,residential,False,True,178.748,"LINESTRING (127.4316541 39.1698335, 127.4331719 39.1689184, 127.4332921 39.1688479)",
100616960,secondary,False,False,33.457,"LINESTRING (127.4330594 39.1686071, 127.4332921 39.1688479)",
242095480,secondary,False,True,33.861,"LINESTRING (127.4330594 39.1686071, 127.4333744 39.1684252)",
242095505,residential,False,True,39.593,"LINESTRING (127.4292476 39.1708547, 127.4296916 39.1709458)",
227771035,residential,False,False,107.506,"LINESTRING (127.4292476 39.1708547, 127.4290992 39.1710935, 127.4288776 39.1717739)",
