osmid,oneway,name,highway,reversed,length,geometry
676984177,True,اوباري-غات,trunk,False,9.22,"LINESTRING (12.7730253 26.5881391, 12.7731152 26.5881188)"
193610427,True,اوباري-غات,trunk,False,136.26100000000002,"LINESTRING (12.7730253 26.5881391, 12.7731037 26.5878721, 12.7732053 26.5875721, 12.7732188 26.5875354, 12.7734201 26.5869659)"
194836111,False,,residential,False,119.872,"LINESTRING (12.771191 26.5869818, 12.7723661 26.5867412)"
194836111,False,,residential,True,58.933,"LINESTRING (12.771191 26.5869818, 12.7706175 26.5871155)"
345706138,False,,residential,True,161.098,"LINESTRING (12.771191 26.5869818, 12.7712931 26.587646, 12.7714116 26.5884171)"
193413741,True,اوباري-غات,trunk,False,111.476,"LINESTRING (12.7731152 26.5881188, 12.7742178 26.5879375)"
217694301,True,اوباري-غات,trunk,False,7.673,"LINESTRING (12.7731152 26.5881188, 12.7731235 26.5881874)"
193413743,True,اوباري-غات,trunk,False,9.714,"LINESTRING (12.7731235 26.5881874, 12.773028 26.5882058)"
677796118,True,,residential,False,9.237,"LINESTRING (12.7731235 26.5881874, 12.7731061 26.588269)"
345706135,True,,tertiary,False,108.415,"LINESTRING (12.773028 26.5882058, 12.7719559 26.5883832)"
345706136,True,اوباري-غات ubary-ghat,trunk,False,7.422,"LINESTRING (12.773028 26.5882058, 12.7730253 26.5881391)"
24039813,True,,tertiary,False,55.12,"LINESTRING (12.7714116 26.5884171, 12.771956 26.5883237)"
345706137,False,,tertiary,True,3.835,"LINESTRING (12.7714116 26.5884171, 12.7714181 26.5884511)"
345706138,False,,residential,False,161.098,"LINESTRING (12.7714116 26.5884171, 12.7712931 26.587646, 12.771191 26.5869818)"
345706137,False,,tertiary,False,2.665,"LINESTRING (12.7714239 26.5884745, 12.7714181 26.5884511)"
345706137,False,,tertiary,True,67.2,"LINESTRING (12.7714239 26.5884745, 12.7715378 26.5890702)"
345706137,False,,tertiary,False,67.2,"LINESTRING (12.7715378 26.5890702, 12.7714239 26.5884745)"
345706137,False,,tertiary,True,10.175,"LINESTRING (12.7715378 26.5890702, 12.771555 26.5891604)"
193413744,True,,unclassified,False,204.877,"LINESTRING (12.7656598 26.5893397, 12.7677202 26.5893334)"
194836070,False,,residential,False,64.263,"LINESTRING (12.7656598 26.5893397, 12.7656668 26.5887618)"
345706139,True,,tertiary,False,9.0,"LINESTRING (12.7677202 26.5893334, 12.7678107 26.5893324)"
24039814,False,,residential,True,66.351,"LINESTRING (12.7677202 26.5893334, 12.7677807 26.5889812, 12.7677875 26.5887409)"
193413733,False,,residential,False,74.421,"LINESTRING (12.7735098 26.5899196, 12.7733659 26.5892628)"
