osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,bridge
25205789,24,Jalan Bakri,primary,False,False,7.012,"LINESTRING (102.6572746 2.0415979, 102.657215 2.0416186)",,
553994309,,,tertiary,False,False,102.07600000000001,"LINESTRING (102.6572746 2.0415979, 102.6573671 2.0416073, 102.6574557 2.0416073, 102.6575469 2.0415948, 102.6579213 2.0415434, 102.6580001 2.0415326, 102.6581852 2.0415028)",,
1203010755,24,Jalan Muar-Yong Peng,primary,False,False,345.67199999999997,"LINESTRING (102.6572746 2.0415979, 102.657398 2.0415135, 102.6574838 2.0414116, 102.6574964 2.0413897, 102.6576005 2.0411841, 102.6576843 2.0409754, 102.6576917 2.0409519, 102.6577534 2.0407201, 102.6578848 2.0401786, 102.6581275 2.0391077, 102.6581919 2.0388759, 102.6582469 2.038699)",,
25205789,24,Jalan Bakri,primary,False,False,8.065,"LINESTRING (102.6566564 2.0417253, 102.6565846 2.0417359)",,
25205789,24,Jalan Bakri,primary,False,True,63.30500000000001,"LINESTRING (102.6566564 2.0417253, 102.656887 2.0416931, 102.6569782 2.0416771, 102.6570627 2.0416623, 102.657215 2.0416186)",,
1057739054,,,tertiary,False,True,75.061,"LINESTRING (102.6566564 2.0417253, 102.6567198 2.0420799, 102.6567753 2.0423898)",,
602841913,,,residential,False,False,66.295,"LINESTRING (102.6569009 2.0430918, 102.6574883 2.0429876)",,
1057739054,,,tertiary,False,True,80.843,"LINESTRING (102.6569009 2.0430918, 102.6570289 2.0438075)",,
1057739054,,,tertiary,False,False,79.297,"LINESTRING (102.6569009 2.0430918, 102.656845 2.0427794, 102.6567753 2.0423898)",,
602841907,,,residential,False,False,87.477,"LINESTRING (102.6571855 2.0446832, 102.6579612 2.0445492)",,
1057739054,,,tertiary,False,False,98.916,"LINESTRING (102.6571855 2.0446832, 102.6570289 2.0438075)",,
752101305,,,tertiary,False,True,86.479,"LINESTRING (102.6571855 2.0446832, 102.6572779 2.0452034, 102.6573309 2.0454471)",,
553994308,,,tertiary,False,True,87.741,"LINESTRING (102.6573309 2.0454471, 102.6565504 2.0455664)",2,
752101305,,,tertiary,False,False,86.479,"LINESTRING (102.6573309 2.0454471, 102.6572779 2.0452034, 102.6571855 2.0446832)",,
752101305,,,tertiary,False,True,144.53,"LINESTRING (102.6573309 2.0454471, 102.6574248 2.0456053, 102.657523 2.0457583, 102.6576434 2.0459176, 102.6578631 2.0461968, 102.6580752 2.0465113)",,
752101305,,,tertiary,False,True,3.073,"LINESTRING (102.6580752 2.0465113, 102.6580918 2.0465334)",,
752101305,,,tertiary,False,False,144.53,"LINESTRING (102.6580752 2.0465113, 102.6578631 2.0461968, 102.6576434 2.0459176, 102.657523 2.0457583, 102.6574248 2.0456053, 102.6573309 2.0454471)",,
602841895,,,residential,False,False,140.8,"LINESTRING (102.6561561 2.0469294, 102.6559483 2.0456803)",,
553994312,,,unclassified,False,True,58.176,"LINESTRING (102.6561561 2.0469294, 102.6564217 2.0468732, 102.6566698 2.0468289)",,
553994308,,,tertiary,False,False,52.634,"LINESTRING (102.6515897 2.0464577, 102.652055 2.0463692)",2,
553994308,,,tertiary,False,True,60.641,"LINESTRING (102.6515897 2.0464577, 102.6510519 2.0465502)",2,
25205789,24,Jalan Bakri,primary,False,True,8.065,"LINESTRING (102.6565846 2.0417359, 102.6566564 2.0417253)",,
602841942,,,unclassified,False,True,12.012,"LINESTRING (102.6565846 2.0417359, 102.6565705 2.0416288)",,
25205789,24,Jalan Bakri,primary,False,False,70.496,"LINESTRING (102.6565846 2.0417359, 102.6562165 2.0417976, 102.6559599 2.0418461)",,
602841942,,,unclassified,False,False,95.65,"LINESTRING (102.6562836 2.0396189, 102.6563224 2.0398945, 102.6564029 2.0404708)",,
751524316,,,unclassified,False,True,66.029,"LINESTRING (102.6562836 2.0396189, 102.6559503 2.0396693, 102.6556961 2.0397078)",,
553994308,,,tertiary,False,False,5.845,"LINESTRING (102.6564988 2.0455766, 102.6565504 2.0455664)",2,
553994308,,,tertiary,False,True,62.251,"LINESTRING (102.6564988 2.0455766, 102.6559483 2.0456803)",2,
"[751524308, 751524309, 602841894]",,,residential,False,True,140.54100000000003,"LINESTRING (102.6564988 2.0455766, 102.6565046 2.0456204, 102.6565113 2.045672, 102.6566698 2.0468289)",,yes
553994312,,,unclassified,False,False,58.176,"LINESTRING (102.6566698 2.0468289, 102.6564217 2.0468732, 102.6561561 2.0469294)",,
553994312,,,unclassified,False,True,161.48499999999999,"LINESTRING (102.6566698 2.0468289, 102.6572169 2.0467257, 102.6577681 2.0466199, 102.6578902 2.0465904, 102.6580055 2.0465595, 102.6580918 2.0465334)",,
"[751524308, 751524309, 602841894]",,,residential,False,False,140.54100000000003,"LINESTRING (102.6566698 2.0468289, 102.6565113 2.045672, 102.6565046 2.0456204, 102.6564988 2.0455766)",,yes
553994308,,,tertiary,False,False,62.251,"LINESTRING (102.6559483 2.0456803, 102.6564988 2.0455766)",2,
602841895,,,residential,False,True,140.8,"LINESTRING (102.6559483 2.0456803, 102.6561561 2.0469294)",,
553994308,,,tertiary,False,True,141.511,"LINESTRING (102.6559483 2.0456803, 102.6553836 2.0457795, 102.6546933 2.0458961)",2,
602841940,,Jalan Ng Hoe Liat,residential,False,False,81.031,"LINESTRING (102.6545331 2.0427569, 102.6552527 2.0426391)",,
602841940,,Jalan Ng Hoe Liat,residential,False,True,87.869,"LINESTRING (102.6545331 2.0427569, 102.6537511 2.042874)",,
1088095421,,Jalan Lintas,residential,False,True,88.823,"LINESTRING (102.6545331 2.0427569, 102.6546641 2.0435449)",,
602841899,,,residential,False,False,74.765,"LINESTRING (102.6547743 2.0442082, 102.6546641 2.0435449)",,
602841901,,,residential,False,False,86.299,"LINESTRING (102.6547743 2.0442082, 102.6540097 2.0443441)",,
602841901,,,residential,False,True,87.834,"LINESTRING (102.6547743 2.0442082, 102.6555525 2.0440699)",,
602841900,,Jalan Lembah,residential,False,True,84.638,"LINESTRING (102.6554081 2.043382, 102.6546641 2.0435449)",,
602841904,,Jalan Sembahyang,residential,False,False,84.393,"LINESTRING (102.6554081 2.043382, 102.6552527 2.0426391)",,
602841904,,Jalan Sembahyang,residential,False,True,78.156,"LINESTRING (102.6554081 2.043382, 102.6555525 2.0440699)",,
602841899,,,residential,False,True,74.765,"LINESTRING (102.6546641 2.0435449, 102.6547743 2.0442082)",,
602841900,,Jalan Lembah,residential,False,False,84.638,"LINESTRING (102.6546641 2.0435449, 102.6554081 2.043382)",,
1088095421,,Jalan Lintas,residential,False,False,88.823,"LINESTRING (102.6546641 2.0435449, 102.6545331 2.0427569)",,
602841901,,,residential,False,False,44.628,"LINESTRING (102.6517584 2.0447442, 102.651363 2.0448145)",,
602841901,,,residential,False,True,254.099,"LINESTRING (102.6517584 2.0447442, 102.6540097 2.0443441)",,
651522458,,,unclassified,False,True,41.834,"LINESTRING (102.6517584 2.0447442, 102.6516897 2.0443743)",,
651522458,,,unclassified,False,False,95.612,"LINESTRING (102.6517584 2.0447442, 102.6518206 2.0451484, 102.6519156 2.0455892)",,
602841901,,,residential,False,False,87.326,"LINESTRING (102.6570289 2.0438075, 102.6562552 2.043945)",,
1057739054,,,tertiary,False,False,80.843,"LINESTRING (102.6570289 2.0438075, 102.6569009 2.0430918)",,
1057739054,,,tertiary,False,True,98.916,"LINESTRING (102.6570289 2.0438075, 102.6571855 2.0446832)",,
553994308,,,tertiary,False,False,87.741,"LINESTRING (102.6565504 2.0455664, 102.6573309 2.0454471)",2,
553994308,,,tertiary,False,True,5.845,"LINESTRING (102.6565504 2.0455664, 102.6564988 2.0455766)",2,
1088108987,,,residential,False,False,90.055,"LINESTRING (102.6565504 2.0455664, 102.6564053 2.0447696)",,
602841904,,Jalan Sembahyang,residential,False,True,84.393,"LINESTRING (102.6552527 2.0426391, 102.6554081 2.043382)",,
602841940,,Jalan Ng Hoe Liat,residential,False,True,81.031,"LINESTRING (102.6552527 2.0426391, 102.6545331 2.0427569)",,
602841940,,Jalan Ng Hoe Liat,residential,False,False,83.605,"LINESTRING (102.6552527 2.0426391, 102.6554878 2.0426006, 102.6559952 2.0425178)",,
"[751524312, 751524310, 751524311]",,,residential,False,False,73.251,"LINESTRING (102.6552527 2.0426391, 102.6552482 2.0426197, 102.6552402 2.0425752, 102.6551369 2.0419906)",,yes
602841901,,,residential,False,False,87.834,"LINESTRING (102.6555525 2.0440699, 102.6547743 2.0442082)",,
602841901,,,residential,False,True,79.313,"LINESTRING (102.6555525 2.0440699, 102.6562552 2.043945)",,
602841904,,Jalan Sembahyang,residential,False,False,78.156,"LINESTRING (102.6555525 2.0440699, 102.6554081 2.043382)",,
602841901,,,residential,False,False,79.313,"LINESTRING (102.6562552 2.043945, 102.6555525 2.0440699)",,
602841901,,,residential,False,True,87.326,"LINESTRING (102.6562552 2.043945, 102.6570289 2.0438075)",,
602841903,,Jalan Aman,residential,False,False,161.306,"LINESTRING (102.6562552 2.043945, 102.6559952 2.0425178)",,
1088108987,,,residential,False,True,93.196,"LINESTRING (102.6562552 2.043945, 102.6564053 2.0447696)",,
602841908,,,residential,False,True,180.159,"LINESTRING (102.6576758 2.0429543, 102.6579612 2.0445492)",,
602841913,,,residential,False,True,21.162,"LINESTRING (102.6576758 2.0429543, 102.6574883 2.0429876)",,
602841913,,,residential,False,False,85.493,"LINESTRING (102.6576758 2.0429543, 102.6578123 2.0429301, 102.6584333 2.0428199)",,
602841907,,,residential,False,True,87.477,"LINESTRING (102.6579612 2.0445492, 102.6571855 2.0446832)",,
602841908,,,residential,False,False,180.159,"LINESTRING (102.6579612 2.0445492, 102.6576758 2.0429543)",,
762777323,,Jalan Ng Hoe Liat,residential,False,True,65.559,"LINESTRING (102.6573575 2.0422945, 102.6567753 2.0423898)",,
"[759003906, 759003907, 602841911]",,,unclassified,False,False,76.904,"LINESTRING (102.6573575 2.0422945, 102.6572988 2.0419807, 102.6572526 2.0417339, 102.6572385 2.0416862, 102.657215 2.0416186)",,yes
602841911,,,unclassified,False,True,78.428,"LINESTRING (102.6573575 2.0422945, 102.6574283 2.0426729, 102.6574883 2.0429876)",,
762777323,,Jalan Ng Hoe Liat,residential,False,False,106.9,"LINESTRING (102.6573575 2.0422945, 102.6576825 2.0422412, 102.6583068 2.0421389)",,
602841913,,,residential,False,False,21.162,"LINESTRING (102.6574883 2.0429876, 102.6576758 2.0429543)",,
602841913,,,residential,False,True,66.295,"LINESTRING (102.6574883 2.0429876, 102.6569009 2.0430918)",,
602841911,,,unclassified,False,False,78.428,"LINESTRING (102.6574883 2.0429876, 102.6574283 2.0426729, 102.6573575 2.0422945)",,
602841936,,,residential,False,False,77.018,"LINESTRING (102.6584333 2.0428199, 102.6583068 2.0421389)",2,
602841913,,,residential,False,True,85.493,"LINESTRING (102.6584333 2.0428199, 102.6578123 2.0429301, 102.6576758 2.0429543)",,
553994309,,,tertiary,False,True,102.07600000000002,"LINESTRING (102.6581852 2.0415028, 102.6580001 2.0415326, 102.6579213 2.0415434, 102.6575469 2.0415948, 102.6574557 2.0416073, 102.6573671 2.0416073, 102.6572746 2.0415979)",,
"[759003904, 759003905, 602841936]",,,residential,False,True,72.023,"LINESTRING (102.6581852 2.0415028, 102.6582042 2.0415811, 102.6582157 2.0416436, 102.6583068 2.0421389)",2,yes
602841936,,,residential,False,True,77.018,"LINESTRING (102.6583068 2.0421389, 102.6584333 2.0428199)",2,
"[602841936, 759003905, 759003904]",,,residential,False,False,72.023,"LINESTRING (102.6583068 2.0421389, 102.6582157 2.0416436, 102.6582042 2.0415811, 102.6581852 2.0415028)",2,yes
762777323,,Jalan Ng Hoe Liat,residential,False,True,106.9,"LINESTRING (102.6583068 2.0421389, 102.6576825 2.0422412, 102.6573575 2.0422945)",,
25205789,24,Jalan Bakri,primary,False,True,9.511,"LINESTRING (102.6558758 2.041862, 102.6559599 2.0418461)",,
25205789,24,Jalan Bakri,primary,False,False,58.185,"LINESTRING (102.6558758 2.041862, 102.6555047 2.041925, 102.6553595 2.0419491)",,
602841903,,Jalan Aman,residential,False,True,74.119,"LINESTRING (102.6558758 2.041862, 102.6559418 2.0422242, 102.6559952 2.0425178)",,
602841903,,Jalan Aman,residential,False,True,161.306,"LINESTRING (102.6559952 2.0425178, 102.6562552 2.043945)",,
602841940,,Jalan Ng Hoe Liat,residential,False,False,87.849,"LINESTRING (102.6559952 2.0425178, 102.6567753 2.0423898)",,
602841903,,Jalan Aman,residential,False,False,74.119,"LINESTRING (102.6559952 2.0425178, 102.6559418 2.0422242, 102.6558758 2.041862)",,
602841940,,Jalan Ng Hoe Liat,residential,False,True,83.605,"LINESTRING (102.6559952 2.0425178, 102.6554878 2.0426006, 102.6552527 2.0426391)",,
602841940,,Jalan Ng Hoe Liat,residential,False,True,87.849,"LINESTRING (102.6567753 2.0423898, 102.6559952 2.0425178)",,
762777323,,Jalan Ng Hoe Liat,residential,False,False,65.559,"LINESTRING (102.6567753 2.0423898, 102.6573575 2.0422945)",,
1057739054,,,tertiary,False,False,75.061,"LINESTRING (102.6567753 2.0423898, 102.6567198 2.0420799, 102.6566564 2.0417253)",,
1057739054,,,tertiary,False,True,79.297,"LINESTRING (102.6567753 2.0423898, 102.656845 2.0427794, 102.6569009 2.0430918)",,
