osmid,highway,oneway,reversed,length,geometry
457283573,unclassified,False,False,80.715,"LINESTRING (-11.6186959 20.9307221, -11.619394 20.9310411)"
457283569,unclassified,False,True,72.934,"LINESTRING (-11.6186959 20.9307221, -11.618478 20.9310853, -11.6183526 20.9312943)"
457283573,unclassified,False,True,80.715,"LINESTRING (-11.619394 20.9310411, -11.6186959 20.9307221)"
457283574,unclassified,False,False,16.073,"LINESTRING (-11.619394 20.9310411, -11.6193387 20.9311761)"
457283573,unclassified,False,False,55.473,"LINESTRING (-11.619394 20.9310411, -11.6195386 20.9310387, -11.6196714 20.931075, -11.6199074 20.9311552)"
776346416,residential,False,True,110.324,"LINESTRING (-11.619394 20.9310411, -11.6195289 20.9306596, -11.6195695 20.9306358, -11.6196178 20.9306242, -11.6196872 20.9306325, -11.6201192 20.9307915)"
457283569,unclassified,False,False,32.413,"LINESTRING (-11.6172438 20.9331266, -11.6174034 20.9328761)"
457283572,residential,False,False,58.128,"LINESTRING (-11.6172438 20.9331266, -11.6177472 20.9333551)"
457283572,residential,False,True,41.223,"LINESTRING (-11.6172438 20.9331266, -11.6169002 20.932941)"
457283574,unclassified,False,False,33.679,"LINESTRING (-11.620154 20.9330627, -11.6202837 20.9333403)"
457283574,unclassified,False,True,34.597,"LINESTRING (-11.620154 20.9330627, -11.6200144 20.9327802)"
776346408,residential,False,True,112.45,"LINESTRING (-11.620154 20.9330627, -11.6205715 20.9332059, -11.6206424 20.9332302, -11.6211399 20.9334753)"
449572156,residential,False,False,30.947,"LINESTRING (-11.6194258 20.9317511, -11.6197138 20.9318225)"
457283574,unclassified,False,False,31.27,"LINESTRING (-11.6194258 20.9317511, -11.6193026 20.9320077)"
449572156,residential,False,True,122.493,"LINESTRING (-11.6194258 20.9317511, -11.6187037 20.9314386, -11.6186672 20.9314236, -11.6183526 20.9312943)"
457283574,unclassified,False,True,71.488,"LINESTRING (-11.6194258 20.9317511, -11.6192999 20.9316432, -11.6192718 20.9316119, -11.6192643 20.9315678, -11.6193026 20.931366, -11.6193387 20.9311761)"
