osmid,name,highway,oneway,reversed,length,ref,geometry
879915227,Serafín Olarte,residential,False,True,35.963,,"LINESTRING (-97.2927976 20.4792961, -97.2927136 20.4789824)"
1008719559,Constitución,secondary,False,False,202.23299999999998,VER,"LINESTRING (-97.2927976 20.4792961, -97.2928593 20.4792121, -97.2929406 20.4791531, -97.2931429 20.4790547, -97.2933126 20.4789745, -97.2934102 20.4789379, -97.2935272 20.4789242, -97.2936765 20.4789398, -97.2938248 20.4789626, -97.294146 20.4790255, -97.2942883 20.479035, -97.2944387 20.4790369, -97.2946055 20.4790302)"
1008719559,Constitución,secondary,False,True,32.589,VER,"LINESTRING (-97.2927976 20.4792961, -97.2927475 20.4793987, -97.2927048 20.4795149, -97.2926878 20.47957)"
326416624,Francisco I. Madero,residential,False,False,73.601,,"LINESTRING (-97.2946055 20.4790302, -97.2941828 20.4795606)"
1008719559,Constitución,secondary,False,True,202.233,VER,"LINESTRING (-97.2946055 20.4790302, -97.2944387 20.4790369, -97.2942883 20.479035, -97.294146 20.4790255, -97.2938248 20.4789626, -97.2936765 20.4789398, -97.2935272 20.4789242, -97.2934102 20.4789379, -97.2933126 20.4789745, -97.2931429 20.4790547, -97.2929406 20.4791531, -97.2928593 20.4792121, -97.2927976 20.4792961)"
"[326416625, 879923837]","['Eduardo Salazar', 'Nicolás Bravo']",residential,False,False,150.25799999999998,,"LINESTRING (-97.2926878 20.47957, -97.2921714 20.4792096, -97.2921406 20.4791692, -97.2918974 20.478509)"
"[326416625, 879915229]",Eduardo Salazar,residential,False,True,140.108,,"LINESTRING (-97.2926878 20.47957, -97.2932894 20.4799678, -97.2933479 20.4799909, -97.2934142 20.4799592, -97.2934712 20.4798596, -97.2935128 20.4797225, -97.293559 20.4796229, -97.2936052 20.4795594)"
1008719559,Constitución,secondary,False,False,32.589,VER,"LINESTRING (-97.2926878 20.47957, -97.2927048 20.4795149, -97.2927475 20.4793987, -97.2927976 20.4792961)"
1008719559,Constitución,secondary,False,True,117.19,VER,"LINESTRING (-97.2926878 20.47957, -97.292652 20.4796863, -97.2926276 20.4797586, -97.2925964 20.4798422, -97.2925374 20.4799503, -97.2924355 20.4801324, -97.2922725 20.480358, -97.2921639 20.480493)"
326416632,Benito Juárez,residential,False,False,91.061,,"LINESTRING (-97.2918974 20.478509, -97.2917837 20.4787932, -97.2917126 20.4789037, -97.2916456 20.4789841, -97.2915611 20.4790633, -97.291435 20.4791889)"
