osmid,highway,oneway,reversed,length,name,geometry
"[665347854, 665347879]",residential,False,False,489.684,Calle Buena Vista,"LINESTRING (-96.2389556 16.772899, -96.2388664 16.7729882, -96.2387538 16.7730588, -96.2384614 16.7732566, -96.2382133 16.7734415, -96.2374502 16.7742581, -96.2373979 16.7743647, -96.2374134 16.7744379, -96.2374543 16.7744931, -96.2375562 16.7746023, -96.2377922 16.7747255, -96.2381101 16.774773, -96.2382187 16.7747949, -96.238735 16.7751428, -96.238855 16.7751589, -96.2389268 16.7750863, -96.2389523 16.7747872, -96.2389818 16.7746909, -96.2390609 16.7746074)"
"[665347882, 938655989]",unclassified,False,True,217.427,,"LINESTRING (-96.2389556 16.772899, -96.2391625 16.772938, -96.2392835 16.7731487, -96.2393175 16.7732453, -96.2393734 16.7734042, -96.2393332 16.7737278, -96.2391964 16.7741939, -96.2390609 16.7746074)"
665208947,unclassified,False,False,39.405,Calle Independencia,"LINESTRING (-96.2395102 16.7759762, -96.2393343 16.7756644)"
665347843,unclassified,False,True,59.369,,"LINESTRING (-96.2395102 16.7759762, -96.239301 16.7757861, -96.239191 16.7756692, -96.2390909 16.7756392)"
665347844,residential,False,False,30.473,,"LINESTRING (-96.2383193 16.7772204, -96.2380417 16.7772872)"
665347859,residential,False,False,627.966,Calle Corregidora,"LINESTRING (-96.2383193 16.7772204, -96.2384011 16.7776107, -96.2384185 16.7778123, -96.2384212 16.7779279, -96.2383327 16.7780499, -96.2380859 16.7781179, -96.238047 16.7781552, -96.238039 16.7782206, -96.2381691 16.7784556, -96.2382697 16.7787111, -96.2382469 16.779045, -96.2383193 16.7796356, -96.2383273 16.7801672, -96.2382764 16.7803521, -96.2380055 16.7808374, -96.2377936 16.7809915, -96.2374234 16.7810686, -96.237056 16.7813228, -96.2367918 16.7813844, -96.2364122 16.7813485)"
665347859,residential,False,True,305.493,Calle Corregidora,"LINESTRING (-96.2383193 16.7772204, -96.2385204 16.7771857, -96.2387793 16.7773308, -96.2389597 16.7774258, -96.2389928 16.7774191, -96.2389959 16.7773921, -96.2388638 16.7772294, -96.238853 16.77716, -96.2389147 16.7770791, -96.2391414 16.7769251, -96.2391762 16.776884, -96.23925 16.7765232, -96.239311 16.7761012, -96.239242 16.7758336, -96.2391561 16.7757078, -96.2390909 16.7756392)"
665347844,residential,False,True,30.473,,"LINESTRING (-96.2380417 16.7772872, -96.2383193 16.7772204)"
665347848,unclassified,False,False,131.874,Calle Vásquez Colmenares,"LINESTRING (-96.2380417 16.7772872, -96.2377918 16.7775288, -96.2376045 16.7779715, -96.2375609 16.7780133, -96.2372621 16.7781307)"
665347848,unclassified,False,True,48.377,Calle Vásquez Colmenares,"LINESTRING (-96.2380417 16.7772872, -96.2379196 16.7769546, -96.237915 16.7768722)"
665347855,unclassified,False,False,71.179,Calle Chilpancingo,"LINESTRING (-96.2344891 16.7778932, -96.2345072 16.7780223, -96.2344663 16.778082, -96.234066 16.7781815, -96.2340271 16.778202)"
665347855,unclassified,False,True,242.726,Calle Chilpancingo,"LINESTRING (-96.2344891 16.7778932, -96.2344623 16.7775298, -96.2345827 16.7772842, -96.2351509 16.7767229, -96.2355427 16.7765436, -96.2358932 16.7764448)"
665347885,residential,False,False,92.949,Calle Niños Héroes,"LINESTRING (-96.2344891 16.7778932, -96.2346156 16.7778216, -96.2347654 16.7777032, -96.2350953 16.7775761, -96.2351972 16.7775748, -96.2352549 16.7776197)"
665347873,unclassified,False,False,59.878,Calle Los Pinos,"LINESTRING (-96.2363572 16.7769264, -96.2363712 16.7770078, -96.236553 16.7772182, -96.2366543 16.7773733)"
665347881,residential,False,False,69.182,Calle Morelos,"LINESTRING (-96.2363572 16.7769264, -96.236254 16.7769751, -96.2361883 16.7771498, -96.2360984 16.7771793, -96.2358552 16.7771451)"
938655988,unclassified,False,False,68.737,Calle Pino Suárez,"LINESTRING (-96.2363572 16.7769264, -96.2363637 16.7767716, -96.2363443 16.7767247, -96.2359705 16.776519)"
665347858,residential,False,False,43.1,,"LINESTRING (-96.2356746 16.7781269, -96.2357926 16.7782271, -96.2360019 16.7783529)"
665347858,residential,False,True,43.433,,"LINESTRING (-96.2356746 16.7781269, -96.2356713 16.778064, -96.2356867 16.7779985, -96.2359113 16.7778515)"
938692118,residential,False,False,55.173,,"LINESTRING (-96.2356746 16.7781269, -96.2356049 16.7783131, -96.2355123 16.7783555, -96.2353072 16.778394)"
"[665347849, 665347881]",residential,False,True,55.477,Calle Morelos,"LINESTRING (-96.2353475 16.7772572, -96.2354718 16.7772332, -96.2358552 16.7771451)"
665347871,residential,False,True,22.196,Calle Hidalgo,"LINESTRING (-96.2363083 16.7782412, -96.2361031 16.7782765)"
665347847,residential,False,True,103.898,,"LINESTRING (-96.2363083 16.7782412, -96.2363532 16.778186, -96.236354 16.7781336, -96.2363236 16.7777958, -96.2363599 16.7776737, -96.2363603 16.7773277)"
665347871,residential,False,False,136.92,Calle Hidalgo,"LINESTRING (-96.2363083 16.7782412, -96.2363472 16.7782444, -96.2363981 16.7782669, -96.2364464 16.7783792, -96.2364793 16.7784023, -96.236604 16.7784312, -96.2367556 16.7784851, -96.236899 16.7785205, -96.2369487 16.7785102, -96.2369742 16.7784807, -96.2370466 16.7782688, -96.2370741 16.7782367, -96.2372621 16.7781307)"
665347860,unclassified,False,False,89.72399999999999,Calle Independencia,"LINESTRING (-96.2374006 16.7765578, -96.237296 16.7767594, -96.2372718 16.777044, -96.2370811 16.7772773)"
665347860,unclassified,False,True,172.09799999999998,Calle Independencia,"LINESTRING (-96.2374006 16.7765578, -96.2377741 16.7762664, -96.2380873 16.7759104, -96.2383528 16.775582, -96.2385431 16.7754866)"
938688754,residential,False,True,114.844,,"LINESTRING (-96.2374006 16.7765578, -96.2375119 16.7762009, -96.2375119 16.7761303, -96.2374502 16.7759787, -96.2374663 16.7758709, -96.2376447 16.7756025)"
665347885,residential,False,True,66.643,Calle Niños Héroes,"LINESTRING (-96.2358808 16.77761, -96.2352549 16.7776197)"
938655987,residential,False,True,59.927,Calle Independencia,"LINESTRING (-96.2358808 16.77761, -96.2363603 16.7773277)"
665347861,residential,False,False,32.245000000000005,Calle Morelos,"LINESTRING (-96.2358808 16.77761, -96.2359771 16.7776498, -96.2360153 16.7776955, -96.2360119 16.7777401, -96.2359599 16.7778106)"
938688750,residential,False,True,22.027,Calle Pino Suárez,"LINESTRING (-96.2368641 16.7771769, -96.2370203 16.7773068)"
665347885,residential,False,False,66.643,Calle Niños Héroes,"LINESTRING (-96.2352549 16.7776197, -96.2358808 16.77761)"
665347872,residential,False,False,87.49799999999999,Calle Morelos,"LINESTRING (-96.2352549 16.7776197, -96.2352298 16.7777742, -96.2352156 16.777881, -96.2352561 16.7780549, -96.2352991 16.7782078, -96.2353072 16.778394)"
665347885,residential,False,True,92.949,Calle Niños Héroes,"LINESTRING (-96.2352549 16.7776197, -96.2351972 16.7775748, -96.2350953 16.7775761, -96.2347654 16.7777032, -96.2346156 16.7778216, -96.2344891 16.7778932)"
665347871,residential,False,False,3.608,Calle Hidalgo,"LINESTRING (-96.2360019 16.7783529, -96.2360285 16.7783328)"
665347858,residential,False,True,43.1,,"LINESTRING (-96.2360019 16.7783529, -96.2357926 16.7782271, -96.2356746 16.7781269)"
665347871,residential,False,True,190.23899999999998,Calle Hidalgo,"LINESTRING (-96.2360019 16.7783529, -96.2359214 16.778464, -96.2358863 16.7785641, -96.2357477 16.7787907, -96.2356706 16.7788312, -96.2355251 16.778839, -96.2353018 16.7788781, -96.2350903 16.778945, -96.2346056 16.7789735, -96.2345155 16.7789551)"
665347888,residential,False,True,5.871,Calle Independencia,"LINESTRING (-96.2385431 16.7754866, -96.2385057 16.7754478)"
665347860,unclassified,False,False,172.098,Calle Independencia,"LINESTRING (-96.2385431 16.7754866, -96.2383528 16.775582, -96.2380873 16.7759104, -96.2377741 16.7762664, -96.2374006 16.7765578)"
