osmid,highway,oneway,reversed,length,lanes,ref,name,maxspeed,geometry,junction
404680651,residential,False,False,15.348,,,,,"LINESTRING (-14.483993 26.1266702, -14.4838519 26.1266154)",
491058819,primary,True,False,33.534,2,RN1,Avenida Hasán II,60,"LINESTRING (-14.483993 26.1266702, -14.4841657 26.126507, -14.4842251 26.1264522)",
198933749,tertiary,False,False,159.493,,,,,"LINESTRING (-14.4860678 26.1220242, -14.4861665 26.1220572, -14.486467 26.1221576, -14.4874564 26.1224882, -14.487565 26.1225245)",
348787815,tertiary,False,False,72.706,,,,,"LINESTRING (-14.4860678 26.1220242, -14.4860289 26.1221717, -14.4859511 26.1224016, -14.4858693 26.1226003, -14.4858446 26.1226453)",
198933749,tertiary,False,False,95.545,,,,,"LINESTRING (-14.487565 26.1225245, -14.4877177 26.1225755, -14.4883883 26.1227996, -14.4884619 26.1228242)",
198933749,tertiary,False,True,159.493,,,,,"LINESTRING (-14.487565 26.1225245, -14.4874564 26.1224882, -14.486467 26.1221576, -14.4861665 26.1220572, -14.4860678 26.1220242)",
198933785,residential,False,False,147.96,,,,,"LINESTRING (-14.487565 26.1225245, -14.4875427 26.1226712, -14.4874384 26.1232301, -14.4873263 26.1238377)",
732327317,tertiary,True,False,7.127,,,,,"LINESTRING (-14.4853914 26.1234696, -14.4853351 26.123509)",
348787815,tertiary,False,True,102.218,,,,,"LINESTRING (-14.4853914 26.1234696, -14.4857794 26.1227641, -14.4858446 26.1226453)",
198933726,primary,True,False,44.836,2,RN1;RP1402,Avenida Hasán II,60,"LINESTRING (-14.4850585 26.1235384, -14.4847732 26.123227)",
198933726,primary,True,False,15.197,2,RN1;RP1402,Avenida Hasán II,60,"LINESTRING (-14.4851397 26.123654, -14.4850585 26.1235384)",
198933724,primary,True,False,22.692999999999998,2,RN1;RP1402,,,"LINESTRING (-14.4851397 26.123654, -14.4851022 26.1236587, -14.4850678 26.1236731, -14.4850396 26.1236957, -14.4850199 26.1237248, -14.4850104 26.1237577, -14.485012 26.1237917)",roundabout
198933792,tertiary,True,False,31.199,,,,,"LINESTRING (-14.485257 26.1237229, -14.4853914 26.1234696)",
198933724,primary,True,False,12.649000000000001,2,RN1;RP1402,,,"LINESTRING (-14.485257 26.1237229, -14.4852407 26.1236985, -14.4852183 26.1236784, -14.4851911 26.1236638, -14.4851608 26.1236556)",roundabout
198933724,primary,True,False,8.146,2,RN1;RP1402,,,"LINESTRING (-14.485012 26.1237917, -14.4850259 26.1238262, -14.485051 26.123855)",roundabout
764103160,residential,False,True,46.212,,,,,"LINESTRING (-14.4788905 26.1238241, -14.478758 26.1242223)",
198933781,tertiary,True,False,83.627,,,Avenida Lalla Meryem,,"LINESTRING (-14.4788905 26.1238241, -14.4795582 26.123994, -14.479697 26.1240272)",
198933724,primary,True,False,15.749,2,RN1;RP1402,,,"LINESTRING (-14.485051 26.123855, -14.4850837 26.1238748, -14.4851215 26.1238849, -14.4851609 26.1238843, -14.4851983 26.123873)",roundabout
198933728,primary,True,False,34.03,2,RN1;RP1402,Avenida Hasán II,60,"LINESTRING (-14.485051 26.123855, -14.4850362 26.1239399, -14.4850156 26.1240537, -14.4849848 26.1241548)",
198933724,primary,True,False,19.436,2,RN1;RP1402,,,"LINESTRING (-14.4851983 26.123873, -14.4852265 26.1238552, -14.4852485 26.1238314, -14.4852627 26.1238033, -14.4852681 26.1237727, -14.4852643 26.123742, -14.485257 26.1237229)",roundabout
764103155,residential,False,False,11.365,,,,,"LINESTRING (-14.4797278 26.1239288, -14.479697 26.1240272)",
764103155,residential,False,False,46.648,,,,,"LINESTRING (-14.479697 26.1240272, -14.4795707 26.1244311)",
764103155,residential,False,True,11.365,,,,,"LINESTRING (-14.479697 26.1240272, -14.4797278 26.1239288)",
198933781,tertiary,True,False,92.18900000000001,,,Avenida Lalla Meryem,,"LINESTRING (-14.479697 26.1240272, -14.4798803 26.1240736, -14.4805848 26.1242552)",
710056389,residential,False,False,10.901,,,,,"LINESTRING (-14.480619 26.1241621, -14.4805848 26.1242552)",
198933770,tertiary,True,False,92.67800000000001,1,,Avenida Lalla Meryem,,"LINESTRING (-14.480619 26.1241621, -14.4799023 26.1239741, -14.4797278 26.1239288)",
710056389,residential,False,False,44.731,,,,,"LINESTRING (-14.4805848 26.1242552, -14.4804447 26.1246373)",
710056389,residential,False,True,10.901,,,,,"LINESTRING (-14.4805848 26.1242552, -14.480619 26.1241621)",
198933781,tertiary,True,False,126.374,,,Avenida Lalla Meryem,,"LINESTRING (-14.4805848 26.1242552, -14.4807113 26.1242865, -14.4818035 26.1245624)",
198933798,residential,False,False,12.532,,,,,"LINESTRING (-14.4818557 26.1244599, -14.4818035 26.1245624)",
198933770,tertiary,True,False,127.83,1,,Avenida Lalla Meryem,,"LINESTRING (-14.4818557 26.1244599, -14.4807359 26.124191, -14.480619 26.1241621)",
198933798,residential,False,False,43.341,,,,,"LINESTRING (-14.4818035 26.1245624, -14.4816228 26.1249168)",
198933798,residential,False,True,12.532,,,,,"LINESTRING (-14.4818035 26.1245624, -14.4818557 26.1244599)",
198933781,tertiary,True,False,155.5,,,Avenida Lalla Meryem,,"LINESTRING (-14.4818035 26.1245624, -14.4819316 26.1245962, -14.4828769 26.1248422, -14.483302 26.1249436)",
198933787,residential,False,False,12.371,,,,,"LINESTRING (-14.4833463 26.1248397, -14.483302 26.1249436)",
198933770,tertiary,True,False,154.71699999999998,1,,Avenida Lalla Meryem,,"LINESTRING (-14.4833463 26.1248397, -14.4829118 26.1247215, -14.4819903 26.124499, -14.4818557 26.1244599)",
198933781,tertiary,True,False,63.281,,,Avenida Lalla Meryem,,"LINESTRING (-14.483302 26.1249436, -14.4839154 26.125087)",
198933787,residential,False,False,38.2,,,,,"LINESTRING (-14.483302 26.1249436, -14.4831941 26.1252732)",
198933787,residential,False,True,12.371,,,,,"LINESTRING (-14.483302 26.1249436, -14.4833463 26.1248397)",
764103155,residential,False,False,34.892,,,,,"LINESTRING (-14.4793952 26.1249921, -14.4793007 26.1252942)",
764103155,residential,False,True,64.794,,,,,"LINESTRING (-14.4793952 26.1249921, -14.4795707 26.1244311)",
764103164,residential,False,True,51.584,,,Calle Omar Almujtar,,"LINESTRING (-14.4793952 26.1249921, -14.479865 26.1251852)",
198933785,residential,False,True,20.003,,,,,"LINESTRING (-14.487142 26.1250085, -14.4871717 26.1248306)",
198933814,residential,False,True,48.087,,,,,"LINESTRING (-14.487142 26.1250085, -14.4876095 26.1249044)",
198933785,residential,False,False,40.995,,,,,"LINESTRING (-14.487142 26.1250085, -14.4870885 26.1253172, -14.4870789 26.1253728)",
411022525,primary,True,False,115.37400000000001,2,RN1;RP1402,Avenida Hasán II,60,"LINESTRING (-14.4847982 26.1250975, -14.4848359 26.1250013, -14.485141 26.1241067)",
736383657,tertiary,True,False,12.257000000000001,1,RP1402,Avenida Abdelaziz Edaouari,,"LINESTRING (-14.4847982 26.1250975, -14.4847555 26.1251, -14.4846757 26.1251049)",
198933728,primary,True,False,16.969,2,RN1;RP1402,Avenida Hasán II,60,"LINESTRING (-14.4846757 26.1251049, -14.4846227 26.1252499)",
198933770,tertiary,True,False,41.832,1,,Avenida Lalla Meryem,,"LINESTRING (-14.4846757 26.1251049, -14.4846126 26.1251109, -14.4845385 26.1251097, -14.4842628 26.1250589)",
491058819,primary,True,False,6.865,2,RN1,Avenida Hasán II,60,"LINESTRING (-14.4847783 26.1251566, -14.4847982 26.1250975)",
404871555,tertiary,True,False,43.646,,RP1402,Avenida Abdelaziz Edaouari,,"LINESTRING (-14.4847783 26.1251566, -14.4848091 26.1251458, -14.4848554 26.1251428, -14.4849224 26.1251458, -14.4852061 26.1252024)",
404871555,tertiary,True,False,18.902,,RP1402,Avenida Abdelaziz Edaouari,,"LINESTRING (-14.4846227 26.1252499, -14.4846603 26.1252397, -14.4846924 26.1252198, -14.4847783 26.1251566)",
491058815,primary,True,False,54.855000000000004,2,RN1,Avenida Hasán II,60,"LINESTRING (-14.4846227 26.1252499, -14.4844906 26.125622, -14.4844544 26.1257195)",
404871555,tertiary,True,False,56.992,,RP1402,Avenida Abdelaziz Edaouari,,"LINESTRING (-14.4852061 26.1252024, -14.4857673 26.1252963)",
404871556,residential,False,False,42.466,,,,,"LINESTRING (-14.4852061 26.1252024, -14.4850553 26.1255595)",
404871556,residential,False,True,5.448,,,,,"LINESTRING (-14.4852061 26.1252024, -14.4852215 26.1251554)",
710056389,residential,False,True,80.124,,,,,"LINESTRING (-14.4801936 26.1253217, -14.4804447 26.1246373)",
764103164,residential,False,False,36.147,,,Calle Omar Almujtar,,"LINESTRING (-14.4801936 26.1253217, -14.479865 26.1251852)",
764103164,residential,False,True,6.763,,,Calle Omar Almujtar,,"LINESTRING (-14.4801936 26.1253217, -14.4802551 26.1253472)",
404871562,tertiary,True,False,39.844,,RP1402,Avenida Abdelaziz Edaouari,,"LINESTRING (-14.4870789 26.1253728, -14.4866847 26.1253168)",
198933785,residential,False,True,40.995,,,,,"LINESTRING (-14.4870789 26.1253728, -14.4870885 26.1253172, -14.487142 26.1250085)",
198933833,tertiary,True,False,9.176,2,,,,"LINESTRING (-14.4875155 26.1254379, -14.4875034 26.1255197)",
404871562,tertiary,True,False,44.185,,RP1402,Avenida Abdelaziz Edaouari,,"LINESTRING (-14.4875155 26.1254379, -14.4870789 26.1253728)",
581802549,residential,False,True,60.06,,,,,"LINESTRING (-14.4875155 26.1254379, -14.4876095 26.1249044)",
404871562,tertiary,True,False,22.805,,RP1402,Avenida Abdelaziz Edaouari,,"LINESTRING (-14.4877415 26.1254677, -14.4875155 26.1254379)",
404871568,tertiary,True,False,9.524,2,,,,"LINESTRING (-14.4875034 26.1255197, -14.4875738 26.1255775)",
404871569,tertiary,True,False,10.886,,RP1402,Avenida Abdelaziz Edaouari,,"LINESTRING (-14.4875034 26.1255197, -14.4876107 26.1255371)",
404871570,tertiary,True,False,9.558,2,,,,"LINESTRING (-14.487728 26.1255528, -14.4877415 26.1254677)",
404871571,tertiary,True,False,47.968,,RP1402,Avenida Abdelaziz Edaouari,,"LINESTRING (-14.487728 26.1255528, -14.4882037 26.1256135)",
732310220,tertiary,True,False,14.011,,,,,"LINESTRING (-14.4845871 26.1257605, -14.4844544 26.1257195)",
491058819,primary,True,False,69.817,2,RN1,Avenida Hasán II,60,"LINESTRING (-14.4845871 26.1257605, -14.4846227 26.1256593, -14.4847783 26.1251566)",
198933798,residential,False,False,45.451,,,,,"LINESTRING (-14.4812027 26.125741, -14.4810133 26.1261127)",
198933798,residential,False,True,100.788,,,,,"LINESTRING (-14.4812027 26.125741, -14.4816228 26.1249168)",
764103164,residential,False,False,28.359,,,Calle Omar Almujtar,,"LINESTRING (-14.4812027 26.125741, -14.480945 26.1256337)",
198933815,residential,False,True,182.364,,,Calle Omar Almujtar,,"LINESTRING (-14.4812027 26.125741, -14.4820324 26.1260862, -14.4822899 26.1262174, -14.4824347 26.1262873, -14.482546 26.1263812, -14.4826251 26.1264691, -14.4827304 26.1265925)",
