osmid,ref,name,highway,oneway,reversed,length,lanes,geometry,bridge,junction,width
353722692,NH05,Parikrama Road,primary,False,True,113.936,,"LINESTRING (85.9338267 26.7269837, 85.9337211 26.7259634)",,,
356824737,,Factory Road,secondary,False,True,18.998,2,"LINESTRING (85.9338267 26.7269837, 85.9337986 26.7271527)",,,
312802662,,,unclassified,False,True,135.981,,"LINESTRING (85.9338267 26.7269837, 85.9333456 26.7270953, 85.9329876 26.7271681, 85.9325035 26.7272964)",,,
401717426,NH05,,primary,False,False,310.85200000000003,,"LINESTRING (85.9338267 26.7269837, 85.9341196 26.7268728, 85.9343025 26.7268244, 85.9353762 26.7265638, 85.9357079 26.7265026, 85.9362371 26.726418, 85.9368484 26.7262743)",,,
356824737,,Factory Road,secondary,False,False,18.998,2,"LINESTRING (85.9337986 26.7271527, 85.9338267 26.7269837)",,,
312802663,,,residential,False,True,232.238,,"LINESTRING (85.9337986 26.7271527, 85.9334266 26.7273683, 85.933109 26.7276102, 85.9327634 26.7279022, 85.9323058 26.7282776, 85.9320105 26.7284919)",,,
356824737,,Factory Road,secondary,False,True,76.279,2,"LINESTRING (85.9337986 26.7271527, 85.9337881 26.7275719, 85.9337771 26.7278384)",,,
341500648,,,unclassified,False,False,225.20799999999997,,"LINESTRING (85.9316225 26.7241747, 85.9319405 26.7253794, 85.9321703 26.7261398)",,,
353722692,NH05,Parikrama Road,primary,False,False,113.936,,"LINESTRING (85.9337211 26.7259634, 85.9338267 26.7269837)",,,
341500635,,,unclassified,False,True,150.766,,"LINESTRING (85.9337211 26.7259634, 85.9330125 26.7261223, 85.9328848 26.7261794, 85.9322699 26.7263523)",,,
341500648,,,unclassified,False,False,25.616,,"LINESTRING (85.9321703 26.7261398, 85.9322699 26.7263523)",,,
341500648,,,unclassified,False,True,225.20799999999997,,"LINESTRING (85.9321703 26.7261398, 85.9319405 26.7253794, 85.9316225 26.7241747)",,,
401717426,NH05,,primary,False,False,48.607,,"LINESTRING (85.9368484 26.7262743, 85.9373261 26.7261792)",,,
341500595,,,unclassified,False,True,161.464,,"LINESTRING (85.9368484 26.7262743, 85.9368983 26.7266541, 85.9371403 26.7274137, 85.9371749 26.7276919)",,,
401717426,NH05,,primary,False,True,310.852,,"LINESTRING (85.9368484 26.7262743, 85.9362371 26.726418, 85.9357079 26.7265026, 85.9353762 26.7265638, 85.9343025 26.7268244, 85.9341196 26.7268728, 85.9338267 26.7269837)",,,
341500648,,,unclassified,False,False,13.768,,"LINESTRING (85.9322699 26.7263523, 85.9323248 26.726466)",,,
341500648,,,unclassified,False,True,25.616,,"LINESTRING (85.9322699 26.7263523, 85.9321703 26.7261398)",,,
341500635,,,unclassified,False,False,150.766,,"LINESTRING (85.9322699 26.7263523, 85.9328848 26.7261794, 85.9330125 26.7261223, 85.9337211 26.7259634)",,,
312802662,,,unclassified,False,False,135.981,,"LINESTRING (85.9325035 26.7272964, 85.9329876 26.7271681, 85.9333456 26.7270953, 85.9338267 26.7269837)",,,
