osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,bridge,access
38103697,2,Pegasus Main Street,residential,50,False,False,71.035,"LINESTRING (172.6985666 -43.3172609, 172.6985223 -43.3166957, 172.6985168 -43.3166231)",,,
38103702,2,Pipi-Wai Street,residential,50,False,True,166.472,"LINESTRING (172.6985666 -43.3172609, 172.6984803 -43.3172646, 172.6975843 -43.3172965, 172.6966009 -43.3173351, 172.6965117 -43.3173389)",,,
34696198,2,Whakatipu Street,residential,50,False,False,51.713,"LINESTRING (172.6901451 -43.3163656, 172.6901366 -43.3162943, 172.6900746 -43.3159034)",,,
34696206,2,Kessen Street,residential,50,False,False,82.395,"LINESTRING (172.6901451 -43.3163656, 172.690159 -43.3164417, 172.6902666 -43.3171013)",,,
188153720,2,Pegasus Boulevard,tertiary,50,False,False,167.515,"LINESTRING (172.6901451 -43.3163656, 172.6903143 -43.3163595, 172.6904302 -43.3163552, 172.6922034 -43.3162055)",,,
34696189,2,Pegasus Boulevard,tertiary,50,False,False,161.264,"LINESTRING (172.693763 -43.316025, 172.6938182 -43.3159987, 172.6938443 -43.3159856, 172.6940161 -43.3159183, 172.6941788 -43.315851, 172.6944764 -43.3157253, 172.6954866 -43.315297)",,,
"[34696181, 1251094621]",,,tertiary,50,True,False,21.722,"LINESTRING (172.693763 -43.316025, 172.693781 -43.3160548, 172.6937871 -43.3160871, 172.6937809 -43.3161193, 172.6937627 -43.3161491, 172.6937341 -43.3161741, 172.6936971 -43.3161924)",roundabout,,
34696181,,,tertiary,50,True,False,24.258,"LINESTRING (172.6936971 -43.3161924, 172.6936495 -43.3162034, 172.6935995 -43.3162032, 172.693552 -43.316192, 172.6935114 -43.3161708, 172.6934817 -43.3161415, 172.6934656 -43.3161071)",roundabout,,
188148999,2,Murfitt Street,residential,50,False,False,65.136,"LINESTRING (172.6936971 -43.3161924, 172.6937266 -43.3162222, 172.6937549 -43.3162518, 172.6938401 -43.3163519, 172.6939188 -43.3164557, 172.6941093 -43.3166952)",,,
58938883,2,Mary Ellen Street,residential,50,False,False,41.355000000000004,"LINESTRING (172.6931212 -43.3154574, 172.6931959 -43.3154288, 172.6935644 -43.3152722)",,,
188149007,2,Solander Road,residential,50,False,False,67.93,"LINESTRING (172.6931212 -43.3154574, 172.6932338 -43.3155977, 172.6933782 -43.3157796, 172.6934711 -43.3159035, 172.6935147 -43.3159545, 172.6935447 -43.3159846)",,,
188149007,2,Solander Road,residential,50,False,True,158.056,"LINESTRING (172.6931212 -43.3154574, 172.6928356 -43.3150961, 172.6927345 -43.3149681, 172.692602 -43.3148004, 172.6921611 -43.3142426, 172.6921473 -43.3142252)",,,
34696189,2,Pegasus Boulevard,tertiary,50,False,True,177.825,"LINESTRING (172.6973789 -43.3144842, 172.6973145 -43.3145191, 172.6972973 -43.3145272, 172.6971061 -43.3146076, 172.6965743 -43.3148346, 172.6954866 -43.315297)",,,
1251094619,,,tertiary,50,True,False,20.217,"LINESTRING (172.6973789 -43.3144842, 172.6973633 -43.3144497, 172.6973627 -43.3144133, 172.6973772 -43.3143785, 172.6974054 -43.3143485, 172.6974448 -43.3143261)",roundabout,,
34696190,,,tertiary,50,True,False,22.772,"LINESTRING (172.697662 -43.3143647, 172.6976843 -43.3144023, 172.6976879 -43.3144432, 172.6976722 -43.3144825, 172.6976391 -43.3145157, 172.6975926 -43.3145387)",roundabout,,
188036742,2,Te Kohanga Drive,tertiary,50,False,False,110.55399999999999,"LINESTRING (172.697662 -43.3143647, 172.6977225 -43.3143389, 172.6977477 -43.3143288, 172.6980301 -43.3142156, 172.698124 -43.3141748, 172.698218 -43.3141332, 172.6982838 -43.3140994, 172.6983969 -43.3140398, 172.6985104 -43.3139771, 172.6986518 -43.313886, 172.6987806 -43.3138007)",,,
38103697,2,Pegasus Main Street,residential,50,False,True,61.858,"LINESTRING (172.698016 -43.3150302, 172.6983922 -43.3155145)",,,
38103696,2,Tahuna Street,residential,50,False,False,52.775,"LINESTRING (172.698016 -43.3150302, 172.6985545 -43.3148022, 172.6985798 -43.3147915)",,,
38103696,2,Tahuna Street,residential,50,False,True,41.594,"LINESTRING (172.698016 -43.3150302, 172.6979389 -43.315064, 172.6975718 -43.3152185)",,,
38103697,2,Pegasus Main Street,residential,50,False,False,64.804,"LINESTRING (172.698016 -43.3150302, 172.6979016 -43.3148872, 172.697816 -43.3147802, 172.6977099 -43.3146476, 172.6976798 -43.3146059, 172.6976397 -43.3145674, 172.6975926 -43.3145387)",,,
188151983,2,Eyrewell Road,residential,50,False,False,35.943,"LINESTRING (172.6913376 -43.317011, 172.6908965 -43.3170496)",,,
188151983,2,Eyrewell Road,residential,50,False,True,75.07900000000001,"LINESTRING (172.6913376 -43.317011, 172.6921841 -43.3169392, 172.6922598 -43.3169364)",,,
38103716,2,Waireka Street,residential,50,False,True,36.242000000000004,"LINESTRING (172.6922598 -43.3169364, 172.6922573 -43.3169004, 172.6922367 -43.3166109)",,,
188151983,2,Eyrewell Road,residential,50,False,False,75.07900000000001,"LINESTRING (172.6922598 -43.3169364, 172.6921841 -43.3169392, 172.6913376 -43.317011)",,,
188151983,2,Eyrewell Road,residential,50,False,True,86.134,"LINESTRING (172.6922598 -43.3169364, 172.6923608 -43.316939, 172.6931771 -43.3170054, 172.6932579 -43.3170146, 172.6933151 -43.3170288)",,,
34696198,2,Whakatipu Street,residential,50,False,True,29.615,"LINESTRING (172.6900341 -43.3156387, 172.6900746 -43.3159034)",,,
34696198,2,Whakatipu Street,residential,50,False,False,98.23500000000001,"LINESTRING (172.6900341 -43.3156387, 172.6899285 -43.3149964, 172.6899024 -43.3148264, 172.6899064 -43.3147992, 172.6899202 -43.3147624)",,,
34696205,2,Hikuraki Street,residential,50,False,True,28.451,"LINESTRING (172.6900341 -43.3156387, 172.6899512 -43.3156316, 172.689686 -43.3156025)",,,
34742535,2,Blackadder Road,residential,50,False,True,32.399,"LINESTRING (172.6894079 -43.3170601, 172.6898072 -43.3170824)",,,
38103697,2,Pegasus Main Street,residential,50,False,False,61.858,"LINESTRING (172.6983922 -43.3155145, 172.698016 -43.3150302)",,,
38103697,2,Pegasus Main Street,residential,50,False,True,124.29400000000001,"LINESTRING (172.6983922 -43.3155145, 172.6984219 -43.3155552, 172.6984426 -43.3156038, 172.6984498 -43.3156458, 172.6985126 -43.3165779, 172.6985168 -43.3166231)",,,
58928142,,Tuatua Lane,living_street,,False,True,91.074,"LINESTRING (172.6983922 -43.3155145, 172.6985118 -43.315467, 172.6985541 -43.3154448, 172.6985691 -43.3154272, 172.6985835 -43.3153975, 172.6986624 -43.3149643, 172.6986706 -43.3149188, 172.698668 -43.3148918, 172.6986555 -43.3148675, 172.6986231 -43.3148349, 172.6985798 -43.3147915)",,,
38103700,2,Hodgkinson Road,residential,50,False,False,37.519,"LINESTRING (172.6949874 -43.3146672, 172.69522 -43.3149591)",,,
38103700,2,Hodgkinson Road,residential,50,False,True,36.83,"LINESTRING (172.6949874 -43.3146672, 172.6947616 -43.3143796)",,,
58938883,2,Mary Ellen Street,residential,50,False,False,108.955,"LINESTRING (172.6949874 -43.3146672, 172.6950477 -43.3146428, 172.6961434 -43.3141646)",,,
58938883,2,Mary Ellen Street,residential,50,False,True,45.666,"LINESTRING (172.6949874 -43.3146672, 172.6949156 -43.3146972, 172.6945012 -43.3148758)",,,
188149003,2,Turvey Street,residential,50,False,False,71.128,"LINESTRING (172.6964687 -43.3167, 172.6965117 -43.3173389)",,,
38103704,2,Kuta Street,residential,50,False,False,66.408,"LINESTRING (172.6964687 -43.3167, 172.6965213 -43.3166976, 172.6972885 -43.3166701)",,,
188149003,2,Turvey Street,residential,50,False,True,98.941,"LINESTRING (172.6964687 -43.3167, 172.696457 -43.3165574, 172.6964437 -43.3165188, 172.6964288 -43.3164874, 172.696395 -43.316441, 172.6959921 -43.3159416, 172.6959651 -43.3159041)",,,
188149003,2,Turvey Street,residential,50,False,True,71.128,"LINESTRING (172.6965117 -43.3173389, 172.6964687 -43.3167)",,,
38103702,2,Pipi-Wai Street,residential,50,False,False,166.472,"LINESTRING (172.6965117 -43.3173389, 172.6966009 -43.3173351, 172.6975843 -43.3172965, 172.6984803 -43.3172646, 172.6985666 -43.3172609)",,,
38103697,2,Pegasus Main Street,residential,50,False,False,124.29400000000001,"LINESTRING (172.6985168 -43.3166231, 172.6985126 -43.3165779, 172.6984498 -43.3156458, 172.6984426 -43.3156038, 172.6984219 -43.3155552, 172.6983922 -43.3155145)",,,
38103697,2,Pegasus Main Street,residential,50,False,True,71.035,"LINESTRING (172.6985168 -43.3166231, 172.6985223 -43.3166957, 172.6985666 -43.3172609)",,,
38103704,2,Kuta Street,residential,50,False,True,54.013999999999996,"LINESTRING (172.6985168 -43.3166231, 172.698433 -43.3166244, 172.69785 -43.3166469)",,,
38103696,2,Tahuna Street,residential,50,False,False,38.271,"LINESTRING (172.6955568 -43.3160779, 172.6959651 -43.3159041)",,,
38103696,2,Tahuna Street,residential,50,False,True,45.122,"LINESTRING (172.6955568 -43.3160779, 172.6950742 -43.3162813)",,,
38103705,,Pegler Court,living_street,,False,False,158.975,"LINESTRING (172.6955568 -43.3160779, 172.6953856 -43.3158581, 172.6953639 -43.3158402, 172.6953316 -43.3158295, 172.6953008 -43.3158298, 172.6952664 -43.315837, 172.6943952 -43.3162037, 172.6943718 -43.3162217, 172.6943602 -43.3162419, 172.69436 -43.3162649, 172.6943732 -43.3162963, 172.6945445 -43.3165062)",,,
38103696,2,Tahuna Street,residential,50,False,False,77.216,"LINESTRING (172.6963872 -43.3157223, 172.6972116 -43.3153724)",,,
38103696,2,Tahuna Street,residential,50,False,True,39.684,"LINESTRING (172.6963872 -43.3157223, 172.6959651 -43.3159041)",,,
38103707,,Tata Lane,living_street,,False,False,170.424,"LINESTRING (172.6963872 -43.3157223, 172.6962287 -43.3155263, 172.6962119 -43.3154945, 172.6962077 -43.315464, 172.6962192 -43.3154426, 172.6962488 -43.3154238, 172.6972522 -43.3149967, 172.69728 -43.3149878, 172.697315 -43.3149919, 172.6973536 -43.3150066, 172.6973801 -43.3150341, 172.6975349 -43.3152346)",,,
38103696,2,Tahuna Street,residential,50,False,True,3.481,"LINESTRING (172.6975718 -43.3152185, 172.6975349 -43.3152346)",,,
38103696,2,Tahuna Street,residential,50,False,False,41.594,"LINESTRING (172.6975718 -43.3152185, 172.6979389 -43.315064, 172.698016 -43.3150302)",,,
38103710,,Raupo Lane,living_street,,False,True,107.77899999999998,"LINESTRING (172.6975718 -43.3152185, 172.6979991 -43.3157549, 172.6980144 -43.3157795, 172.6980152 -43.3157998, 172.6980055 -43.3158203, 172.697992 -43.3158369, 172.6979702 -43.3158532, 172.6976884 -43.3159746)",,,
38103696,2,Tahuna Street,residential,50,False,False,30.314,"LINESTRING (172.6972116 -43.3153724, 172.6975349 -43.3152346)",,,
38103696,2,Tahuna Street,residential,50,False,True,77.216,"LINESTRING (172.6972116 -43.3153724, 172.6963872 -43.3157223)",,,
38103708,2,Pakura Street,residential,50,False,False,77.278,"LINESTRING (172.6972116 -43.3153724, 172.6972459 -43.3154157, 172.6976884 -43.3159746)",,,
38103704,2,Kuta Street,residential,50,False,True,45.5,"LINESTRING (172.69785 -43.3166469, 172.6972885 -43.3166701)",,,
38103704,2,Kuta Street,residential,50,False,False,54.013999999999996,"LINESTRING (172.69785 -43.3166469, 172.698433 -43.3166244, 172.6985168 -43.3166231)",,,
38103708,2,Pakura Street,residential,50,False,True,77.39699999999999,"LINESTRING (172.69785 -43.3166469, 172.697847 -43.3166114, 172.6978166 -43.316175, 172.6978061 -43.3161298, 172.6977792 -43.316083, 172.6976884 -43.3159746)",,,
38103704,2,Kuta Street,residential,50,False,False,45.5,"LINESTRING (172.6972885 -43.3166701, 172.69785 -43.3166469)",,,
38103704,2,Kuta Street,residential,50,False,True,66.408,"LINESTRING (172.6972885 -43.3166701, 172.6965213 -43.3166976, 172.6964687 -43.3167)",,,
38103709,,Kanakana Place,living_street,,False,False,96.878,"LINESTRING (172.6972885 -43.3166701, 172.6972862 -43.3166217, 172.6972544 -43.3162108, 172.6972575 -43.316178, 172.697272 -43.316156, 172.6972973 -43.3161375, 172.6976575 -43.3159879, 172.6976884 -43.3159746)",,,
38103708,2,Pakura Street,residential,50,False,False,77.397,"LINESTRING (172.6976884 -43.3159746, 172.6977792 -43.316083, 172.6978061 -43.3161298, 172.6978166 -43.316175, 172.697847 -43.3166114, 172.69785 -43.3166469)",,,
38103708,2,Pakura Street,residential,50,False,True,77.278,"LINESTRING (172.6976884 -43.3159746, 172.6972459 -43.3154157, 172.6972116 -43.3153724)",,,
38103709,,Kanakana Place,living_street,,False,True,96.878,"LINESTRING (172.6976884 -43.3159746, 172.6976575 -43.3159879, 172.6972973 -43.3161375, 172.697272 -43.316156, 172.6972575 -43.316178, 172.6972544 -43.3162108, 172.6972862 -43.3166217, 172.6972885 -43.3166701)",,,
38103710,,Raupo Lane,living_street,,False,False,107.779,"LINESTRING (172.6976884 -43.3159746, 172.6979702 -43.3158532, 172.697992 -43.3158369, 172.6980055 -43.3158203, 172.6980152 -43.3157998, 172.6980144 -43.3157795, 172.6979991 -43.3157549, 172.6975718 -43.3152185)",,,
38103716,2,Waireka Street,residential,50,False,False,45.159,"LINESTRING (172.6922034 -43.3162055, 172.6922367 -43.3166109)",,,
188153720,2,Pegasus Boulevard,tertiary,50,False,False,102.74400000000001,"LINESTRING (172.6922034 -43.3162055, 172.6930626 -43.3161338, 172.6933519 -43.3161208, 172.6934163 -43.3161139, 172.6934656 -43.3161071)",,,
188153720,2,Pegasus Boulevard,tertiary,50,False,True,167.515,"LINESTRING (172.6922034 -43.3162055, 172.6904302 -43.3163552, 172.6903143 -43.3163595, 172.6901451 -43.3163656)",,,
38103716,2,Waireka Street,residential,50,False,True,45.159,"LINESTRING (172.6922367 -43.3166109, 172.6922034 -43.3162055)",,,
38103716,2,Waireka Street,residential,50,False,False,36.242000000000004,"LINESTRING (172.6922367 -43.3166109, 172.6922573 -43.3169004, 172.6922598 -43.3169364)",,,
38103717,,Deans Lane,living_street,,False,True,163.98900000000003,"LINESTRING (172.6922367 -43.3166109, 172.6907031 -43.3167486, 172.690666 -43.3167554, 172.6906426 -43.3167751, 172.6906332 -43.3168, 172.6906764 -43.317069)",,,
38103718,,Kotuku Lane,living_street,,False,True,131.766,"LINESTRING (172.6922367 -43.3166109, 172.6930354 -43.3165417, 172.6931147 -43.3165411, 172.6931722 -43.3165521, 172.693237 -43.3165725, 172.6933923 -43.316633, 172.6934259 -43.3166542, 172.6934676 -43.3166958, 172.6936315 -43.3168988)",,,
38103696,2,Tahuna Street,residential,50,False,False,39.684,"LINESTRING (172.6959651 -43.3159041, 172.6963872 -43.3157223)",,,
38103696,2,Tahuna Street,residential,50,False,True,38.271,"LINESTRING (172.6959651 -43.3159041, 172.6955568 -43.3160779)",,,
188149003,2,Turvey Street,residential,50,False,False,98.941,"LINESTRING (172.6959651 -43.3159041, 172.6959921 -43.3159416, 172.696395 -43.316441, 172.6964288 -43.3164874, 172.6964437 -43.3165188, 172.696457 -43.3165574, 172.6964687 -43.3167)",,,
188149003,2,Turvey Street,residential,50,False,True,77.845,"LINESTRING (172.6959651 -43.3159041, 172.6959411 -43.3158721, 172.6955273 -43.315359, 172.6954866 -43.315297)",,,
34696189,2,Pegasus Boulevard,tertiary,50,False,False,177.825,"LINESTRING (172.6954866 -43.315297, 172.6965743 -43.3148346, 172.6971061 -43.3146076, 172.6972973 -43.3145272, 172.6973145 -43.3145191, 172.6973789 -43.3144842)",,,
34696189,2,Pegasus Boulevard,tertiary,50,False,True,161.264,"LINESTRING (172.6954866 -43.315297, 172.6944764 -43.3157253, 172.6941788 -43.315851, 172.6940161 -43.3159183, 172.6938443 -43.3159856, 172.6938182 -43.3159987, 172.693763 -43.316025)",,,
38103700,2,Hodgkinson Road,residential,50,False,True,43.325,"LINESTRING (172.6954866 -43.315297, 172.6954383 -43.3152338, 172.69522 -43.3149591)",,,
188149003,2,Turvey Street,residential,50,False,False,77.845,"LINESTRING (172.6954866 -43.315297, 172.6955273 -43.315359, 172.6959411 -43.3158721, 172.6959651 -43.3159041)",,,
38103696,2,Tahuna Street,residential,50,False,True,42.961999999999996,"LINESTRING (172.6987806 -43.3138007, 172.698819 -43.3138548, 172.6988424 -43.3138846, 172.6988955 -43.313952, 172.6989503 -43.3140232, 172.6989917 -43.3140811, 172.6990082 -43.3141466)",,,
58938897,2,Matamata Quay,residential,50,False,False,49.399,"LINESTRING (172.6987806 -43.3138007, 172.6987346 -43.3137439, 172.698471 -43.3134178)",,,
188036742,2,Te Kohanga Drive,tertiary,50,False,False,51.076,"LINESTRING (172.6987806 -43.3138007, 172.6989351 -43.313684, 172.6990581 -43.313579, 172.6991996 -43.3134574)",,,
188036742,2,Te Kohanga Drive,tertiary,50,False,True,110.55400000000002,"LINESTRING (172.6987806 -43.3138007, 172.6986518 -43.313886, 172.6985104 -43.3139771, 172.6983969 -43.3140398, 172.6982838 -43.3140994, 172.698218 -43.3141332, 172.698124 -43.3141748, 172.6980301 -43.3142156, 172.6977477 -43.3143288, 172.6977225 -43.3143389, 172.697662 -43.3143647)",,,
