osmid,highway,oneway,reversed,length,geometry,name,junction
79900283,trunk,False,False,19.157,"LINESTRING (7.9934031 13.7557002, 7.9935708 13.7557563)",,
284313531,trunk,False,True,378.04900000000004,"LINESTRING (7.9934031 13.7557002, 7.9931583 13.7555677, 7.9928633 13.7553906, 7.9924743 13.7550883, 7.99202 13.754649, 7.9912976 13.7539886, 7.9909222 13.7536265, 7.9907684 13.7534835)",,
246814314,residential,False,False,52.674,"LINESTRING (7.986076 13.7512246, 7.9859768 13.7516884)",,
254800707,residential,False,False,214.674,"LINESTRING (7.986076 13.7512246, 7.9880186 13.751633)",,
284299108,residential,False,False,59.277,"LINESTRING (7.986076 13.7512246, 7.9861927 13.7517455)",,
246814314,residential,False,True,5.986,"LINESTRING (7.9859655 13.7517411, 7.9859768 13.7516884)",,
284305527,residential,False,False,61.453,"LINESTRING (7.9859297 13.7527965, 7.9864627 13.7529899)",,
1198269366,residential,False,True,58.037,"LINESTRING (7.9859297 13.7527965, 7.9859419 13.7533183)",,
284299108,residential,False,True,69.507,"LINESTRING (7.9864627 13.7529899, 7.9863342 13.7523774)",,
284305527,residential,False,False,61.165,"LINESTRING (7.9864627 13.7529899, 7.9869932 13.7531824)",,
284305527,residential,False,True,61.453,"LINESTRING (7.9864627 13.7529899, 7.9859297 13.7527965)",,
246814298,residential,False,False,66.425,"LINESTRING (7.9859709 13.754392, 7.9859894 13.7549891)",,
374266804,residential,False,True,161.006,"LINESTRING (7.9859709 13.754392, 7.9874206 13.7547293)",,
1198269366,residential,False,False,73.074,"LINESTRING (7.9859709 13.754392, 7.9859516 13.7537351)",,
246814282,residential,False,False,59.237,"LINESTRING (7.986047 13.7567015, 7.9865885 13.7567861)",,
246814298,residential,False,True,64.928,"LINESTRING (7.986047 13.7567015, 7.9860274 13.7561179)",,
246814298,residential,False,False,110.167,"LINESTRING (7.986047 13.7567015, 7.9860721 13.7576191, 7.9860741 13.7576919)",,
246814282,residential,False,False,58.674,"LINESTRING (7.9871261 13.7568702, 7.9876618 13.7569579)",,
246814282,residential,False,True,58.812,"LINESTRING (7.9871261 13.7568702, 7.9865885 13.7567861)",,
374266614,residential,False,True,87.442,"LINESTRING (7.9871261 13.7568702, 7.9871146 13.7576565)",,
246814282,residential,False,True,58.674,"LINESTRING (7.9876618 13.7569579, 7.9871261 13.7568702)",,
374266669,residential,False,False,17.833,"LINESTRING (7.9876618 13.7569579, 7.9876809 13.7567986)",,
374266669,residential,False,True,76.461,"LINESTRING (7.9876618 13.7569579, 7.9875798 13.7576409)",,
246814281,residential,False,True,154.81,"LINESTRING (7.98752 13.758139, 7.9860879 13.7581974)",,
374266515,unclassified,False,True,70.797,"LINESTRING (7.98752 13.758139, 7.9875457 13.7587752)",,
374266669,residential,False,False,55.762,"LINESTRING (7.98752 13.758139, 7.9875798 13.7576409)",,
246814281,residential,False,False,324.002,"LINESTRING (7.98752 13.758139, 7.9892863 13.758075, 7.9905144 13.7579755)",,
246814281,residential,False,False,154.81,"LINESTRING (7.9860879 13.7581974, 7.98752 13.758139)",,
246814298,residential,False,True,56.229,"LINESTRING (7.9860879 13.7581974, 7.9860741 13.7576919)",,
983659203,residential,False,False,68.08,"LINESTRING (7.9860879 13.7581974, 7.9861249 13.7588086)",,
983659203,residential,False,True,53.299,"LINESTRING (7.9861857 13.7598144, 7.9861567 13.7593359)",,
246814280,residential,False,False,151.302,"LINESTRING (7.9861857 13.7598144, 7.9873744 13.7597758, 7.9875858 13.7597687)",,
254800725,residential,False,True,128.419,"LINESTRING (7.9886832 13.7512405, 7.988373 13.7523554)",,
284308376,trunk,False,False,83.718,"LINESTRING (7.9886832 13.7512405, 7.989203 13.751799)",,
284313538,residential,False,True,54.915,"LINESTRING (7.988148 13.7511554, 7.9880186 13.751633)",,
