osmid,name,highway,oneway,reversed,length,geometry,maxspeed,ref,bridge
33282807,Fiskerkroken,residential,False,False,52.86200000000001,"LINESTRING (10.6295148 59.6629414, 10.6292767 59.6629182, 10.6290803 59.6628874, 10.6289418 59.6628617, 10.6289189 59.662849, 10.6288702 59.6628218, 10.6288046 59.6627755, 10.6287271 59.6627252)",,,
279669526,Storgata,tertiary,False,False,163.27800000000002,"LINESTRING (10.6295148 59.6629414, 10.6295177 59.6629154, 10.6295284 59.6628391, 10.6295762 59.6625001, 10.6295826 59.6624283, 10.6295822 59.6623454, 10.6295692 59.6621934, 10.6295147 59.6617788, 10.6295197 59.6616723, 10.6295406 59.6615465, 10.6295602 59.6614764)",30,,
279669526,Storgata,tertiary,False,True,21.445,"LINESTRING (10.6295148 59.6629414, 10.6295197 59.6630173, 10.6295375 59.6630724, 10.6295703 59.6631312)",30,,
253713452,Osloveien,primary,False,False,8.943,"LINESTRING (10.6357064 59.6658194, 10.6356494 59.6657443)",40,152,
32545675,Grandeveien,tertiary,True,False,37.32899999999999,"LINESTRING (10.6357064 59.6658194, 10.6355249 59.6658435, 10.6353555 59.6658659, 10.6350609 59.6658993)",40,,
"[253115741, 254390415]",Osloveien,primary,False,True,205.796,"LINESTRING (10.6357064 59.6658194, 10.6357822 59.665922, 10.6358606 59.6660118, 10.6359424 59.6660995, 10.6360417 59.6662014, 10.636147 59.6662952, 10.6362408 59.6663741, 10.6363475 59.6664541, 10.6364668 59.6665377, 10.6365788 59.6666044, 10.6367069 59.6666728, 10.6368182 59.6667277, 10.636916 59.6667721, 10.6369456 59.6667856, 10.6371012 59.6668489, 10.6372614 59.6669065, 10.6373975 59.6669519, 10.6375732 59.667004, 10.637781 59.6670631, 10.6379259 59.6670965, 10.6381097 59.667134)",40,152,
4233069,Torget,tertiary,False,True,25.737,"LINESTRING (10.6295703 59.6631312, 10.6296274 59.6631963, 10.6296946 59.6632552, 10.6298113 59.6633262)",30,,
253713446,Osloveien,unclassified,False,True,80.767,"LINESTRING (10.6295703 59.6631312, 10.6299393 59.6629637, 10.6303106 59.662784, 10.6305657 59.6626106)",,,
279669526,Storgata,tertiary,False,False,21.445,"LINESTRING (10.6295703 59.6631312, 10.6295375 59.6630724, 10.6295197 59.6630173, 10.6295148 59.6629414)",30,,
32525182,Niels Carlsens gate,tertiary,False,False,34.578,"LINESTRING (10.6307758 59.6637807, 10.6307679 59.6638075, 10.6307484 59.6638329, 10.6307102 59.6638704, 10.6304542 59.6640415)",30,,
164424612,Torggata,tertiary,False,False,74.839,"LINESTRING (10.6307758 59.6637807, 10.6306979 59.6637694, 10.6306057 59.6637389, 10.6304958 59.6636953, 10.6303775 59.6636366, 10.630183 59.6635317, 10.6299773 59.6634153, 10.6298113 59.6633262)",30,,
