osmid,highway,oneway,reversed,length,name,geometry
154876484,residential,False,True,96.972,,"LINESTRING (125.0089546 10.7511897, 125.0082242 10.7506941)"
154878210,residential,False,False,51.917,,"LINESTRING (125.0089546 10.7511897, 125.0091987 10.7507891)"
154876479,residential,False,False,96.444,,"LINESTRING (125.0084388 10.7503476, 125.0091987 10.7507891)"
197880872,tertiary,True,False,143.58,Real Street,"LINESTRING (125.0084388 10.7503476, 125.0091268 10.7492474)"
154878221,residential,False,True,35.651,,"LINESTRING (125.012773 10.7431274, 125.0124833 10.7429798)"
165939934,unclassified,False,False,62.059,,"LINESTRING (125.012773 10.7431274, 125.0132891 10.7433606)"
165939938,tertiary,True,False,54.75,Real Street,"LINESTRING (125.012773 10.7431274, 125.0130155 10.7426965)"
165939941,tertiary,True,False,63.493,Real Street,"LINESTRING (125.0124985 10.7436307, 125.012773 10.7431274)"
910472854,residential,False,False,73.541,,"LINESTRING (125.0124985 10.7436307, 125.0131087 10.74391)"
910472854,residential,False,True,36.129,,"LINESTRING (125.0124985 10.7436307, 125.0122068 10.7434776)"
154876479,residential,False,False,62.368,,"LINESTRING (125.0091987 10.7507891, 125.0096922 10.7510711)"
154876479,residential,False,True,96.444,,"LINESTRING (125.0091987 10.7507891, 125.0084388 10.7503476)"
154878210,residential,False,False,138.026,,"LINESTRING (125.0091987 10.7507891, 125.0098445 10.7497222)"
154878210,residential,False,True,51.917,,"LINESTRING (125.0091987 10.7507891, 125.0089546 10.7511897)"
154878219,residential,False,True,59.184,,"LINESTRING (125.011176 10.7459297, 125.0106986 10.7456781)"
711332878,tertiary,True,False,84.307,Real Street,"LINESTRING (125.011176 10.7459297, 125.0115435 10.745263)"
154878219,residential,False,False,157.95,,"LINESTRING (125.011176 10.7459297, 125.0120541 10.746389, 125.0124608 10.7465806)"
197880872,tertiary,True,False,65.257,Real Street,"LINESTRING (125.0079146 10.751196, 125.0082242 10.7506941)"
165939923,tertiary,False,False,53.867,P. Burgos,"LINESTRING (125.0121631 10.7442222, 125.0125995 10.7444477)"
165939941,tertiary,True,False,75.29,Real Street,"LINESTRING (125.0121631 10.7442222, 125.0124985 10.7436307)"
154878186,unclassified,False,True,173.32799999999997,P. Burgos,"LINESTRING (125.0121631 10.7442222, 125.0114217 10.7439109, 125.0106736 10.7436929)"
154878223,residential,False,True,61.12,President M. Quezon,"LINESTRING (125.0106168 10.7468745, 125.010149 10.746573)"
711332877,residential,False,False,60.76,President M. Quezon,"LINESTRING (125.0106168 10.7468745, 125.0111008 10.7471437)"
711332878,tertiary,True,False,70.749,Real Street,"LINESTRING (125.0106168 10.7468745, 125.0109498 10.7463288)"
154878201,residential,False,True,56.319,La Revolućion,"LINESTRING (125.0115435 10.745263, 125.0110886 10.7450247)"
711332878,tertiary,True,False,134.073,Real Street,"LINESTRING (125.0115435 10.745263, 125.0121631 10.7442222)"
820845122,residential,True,False,71.976,La Revolućion,"LINESTRING (125.0115435 10.745263, 125.0121485 10.7455193)"
154878209,residential,False,False,156.376,,"LINESTRING (125.0101444 10.7476388, 125.0113329 10.7484226)"
154878209,residential,False,True,65.049,,"LINESTRING (125.0101444 10.7476388, 125.0096533 10.747308)"
197880872,tertiary,True,False,99.428,Real Street,"LINESTRING (125.0101444 10.7476388, 125.0106168 10.7468745)"
154876479,residential,False,True,62.368,,"LINESTRING (125.0096922 10.7510711, 125.0091987 10.7507891)"
820845125,tertiary,False,False,134.711,,"LINESTRING (125.0096922 10.7510711, 125.0103351 10.7500373)"
154878217,residential,False,False,53.018,,"LINESTRING (125.0130155 10.7426965, 125.0134607 10.7428863)"
154878217,residential,False,True,36.415,,"LINESTRING (125.0130155 10.7426965, 125.0127086 10.7425687)"
154878202,residential,False,False,70.945,,"LINESTRING (125.0096361 10.7484675, 125.0090824 10.7481341)"
197880872,tertiary,True,False,107.585,Real Street,"LINESTRING (125.0096361 10.7484675, 125.0101444 10.7476388)"
154878189,unclassified,False,True,75.961,,"LINESTRING (125.0091268 10.7492474, 125.0085513 10.748864)"
914905471,tertiary,False,False,94.523,,"LINESTRING (125.0091268 10.7492474, 125.0098445 10.7497222)"
197880872,tertiary,True,False,103.03399999999999,Real Street,"LINESTRING (125.0091268 10.7492474, 125.0093563 10.7488959, 125.0096361 10.7484675)"
154876484,residential,False,False,96.972,,"LINESTRING (125.0082242 10.7506941, 125.0089546 10.7511897)"
197880872,tertiary,True,False,45.101,Real Street,"LINESTRING (125.0082242 10.7506941, 125.0084388 10.7503476)"
910472854,residential,False,True,55.838,,"LINESTRING (125.0135688 10.7441287, 125.0131087 10.74391)"
1035038302,residential,False,False,66.337,,"LINESTRING (125.0135688 10.7441287, 125.0138114 10.7435818)"
1035038302,residential,False,True,69.733,,"LINESTRING (125.0135688 10.7441287, 125.0133159 10.7447045)"
154878208,unclassified,False,False,76.1,General Juan Luna Street,"LINESTRING (125.0091563 10.7448796, 125.0093022 10.7442104)"
154878208,unclassified,False,True,115.238,General Juan Luna Street,"LINESTRING (125.0091563 10.7448796, 125.0089696 10.7458996)"
154878219,residential,False,False,190.46699999999998,,"LINESTRING (125.0091563 10.7448796, 125.0098899 10.7452472, 125.0106986 10.7456781)"
154878192,unclassified,False,False,81.213,,"LINESTRING (125.0102779 10.7430879, 125.0110175 10.7431616)"
154878192,unclassified,False,True,30.1,,"LINESTRING (125.0102779 10.7430879, 125.0100034 10.7430646)"
1035038301,tertiary,False,True,62.135,,"LINESTRING (125.0138114 10.7435818, 125.0132891 10.7433606)"
1035038302,residential,False,True,66.337,,"LINESTRING (125.0138114 10.7435818, 125.0135688 10.7441287)"
1035038303,tertiary,False,False,83.728,,"LINESTRING (125.0138114 10.7435818, 125.0145184 10.7438725)"
245593474,residential,False,False,149.70600000000002,,"LINESTRING (125.0138114 10.7435818, 125.0139823 10.743225, 125.0143823 10.7423579)"
154878184,residential,False,False,56.559,,"LINESTRING (125.0085513 10.748864, 125.0088479 10.7484471)"
