osmid,highway,oneway,reversed,length,geometry,name,lanes,ref,maxspeed,bridge,junction
171045948,residential,False,True,100.926,"LINESTRING (122.585024 10.7851389, 122.5847288 10.78535, 122.5842624 10.7856524)",,,,,,
171045943,residential,False,False,72.435,"LINESTRING (122.5850279 10.785584, 122.5844947 10.7859713)",,,,,,
171045956,residential,False,True,43.604,"LINESTRING (122.5842624 10.7856524, 122.5844947 10.7859713)",,,,,,
171045948,residential,False,False,100.926,"LINESTRING (122.5842624 10.7856524, 122.5847288 10.78535, 122.585024 10.7851389)",,,,,,
171045943,residential,False,True,72.435,"LINESTRING (122.5844947 10.7859713, 122.5850279 10.785584)",,,,,,
171045956,residential,False,False,43.604,"LINESTRING (122.5844947 10.7859713, 122.5842624 10.7856524)",,,,,,
171045956,residential,False,True,18.69,"LINESTRING (122.5844947 10.7859713, 122.5845944 10.7861079)",,,,,,
171045947,residential,False,True,49.292,"LINESTRING (122.5851023 10.7860437, 122.5847451 10.7863146)",,,,,,
171045956,residential,False,False,18.69,"LINESTRING (122.5845944 10.7861079, 122.5844947 10.7859713)",,,,,,
171045956,residential,False,True,28.271,"LINESTRING (122.5845944 10.7861079, 122.5847451 10.7863146)",,,,,,
171045947,residential,False,False,49.292,"LINESTRING (122.5847451 10.7863146, 122.5851023 10.7860437)",,,,,,
171045956,residential,False,False,28.271,"LINESTRING (122.5847451 10.7863146, 122.5845944 10.7861079)",,,,,,
171045956,residential,False,True,20.195,"LINESTRING (122.5847451 10.7863146, 122.5848563 10.7864597)",,,,,,
171045956,residential,False,False,20.195,"LINESTRING (122.5848563 10.7864597, 122.5847451 10.7863146)",,,,,,
171045956,residential,False,True,27.095,"LINESTRING (122.5848563 10.7864597, 122.5850045 10.7866551)",,,,,,
171045956,residential,False,False,27.095,"LINESTRING (122.5850045 10.7866551, 122.5848563 10.7864597)",,,,,,
171045956,residential,False,True,48.45,"LINESTRING (122.5850045 10.7866551, 122.5852648 10.7870079)",,,,,,
"[171045944, 171045941]",residential,False,"[False, True]",306.566,"LINESTRING (122.5850045 10.7866551, 122.5855331 10.7862717, 122.5859374 10.7859903, 122.5859548 10.7859857, 122.5859682 10.7859903, 122.5859823 10.7859988, 122.5861023 10.7861339, 122.5862324 10.7863124, 122.5859052 10.7865628, 122.5852648 10.7870079)",,,,,,
171045956,residential,False,False,48.45,"LINESTRING (122.5852648 10.7870079, 122.5850045 10.7866551)",,,,,,
"[171045944, 171045941]",residential,False,"[False, True]",306.566,"LINESTRING (122.5852648 10.7870079, 122.5859052 10.7865628, 122.5862324 10.7863124, 122.5861023 10.7861339, 122.5859823 10.7859988, 122.5859682 10.7859903, 122.5859548 10.7859857, 122.5859374 10.7859903, 122.5855331 10.7862717, 122.5850045 10.7866551)",,,,,,
171045956,residential,False,True,47.554,"LINESTRING (122.5852648 10.7870079, 122.585517 10.7873565)",,,,,,
171045956,residential,False,False,47.554,"LINESTRING (122.585517 10.7873565, 122.5852648 10.7870079)",,,,,,
247467067,secondary,False,False,141.524,"LINESTRING (122.585517 10.7873565, 122.58673 10.7869092)",Leganes - Santa Barbara Road,,,,,
247467067,secondary,False,True,142.152,"LINESTRING (122.585517 10.7873565, 122.5843178 10.7878531)",Leganes - Santa Barbara Road,,,,,
247467067,secondary,False,False,142.152,"LINESTRING (122.5843178 10.7878531, 122.585517 10.7873565)",Leganes - Santa Barbara Road,,,,,
171225234,residential,False,False,28.385,"LINESTRING (122.5865507 10.781205, 122.5866788 10.7814271)",,,,,,
1214763905,trunk,False,True,81.481,"LINESTRING (122.5857817 10.7812337, 122.5859867 10.7815675, 122.586106 10.7817619, 122.5861659 10.7818618)",Iloilo-Capiz Road,4,5,,,
171225231,residential,False,True,73.995,"LINESTRING (122.5866788 10.7814271, 122.5861659 10.7818618)",,,,,,
171225234,residential,False,True,28.385,"LINESTRING (122.5866788 10.7814271, 122.5865507 10.781205)",,,,,,
"[247185098, 171225231]",residential,False,False,123.24399999999999,"LINESTRING (122.5866788 10.7814271, 122.5871634 10.7810043, 122.5872195 10.7809979, 122.587261 10.7810124, 122.5875235 10.7812818)",,,,,,
171225231,residential,False,False,73.995,"LINESTRING (122.5861659 10.7818618, 122.5866788 10.7814271)",,,,,,
1214763905,trunk,False,False,81.481,"LINESTRING (122.5861659 10.7818618, 122.586106 10.7817619, 122.5859867 10.7815675, 122.5857817 10.7812337)",Iloilo-Capiz Road,4,5,,,
