osmid,lanes,ref,name,highway,oneway,reversed,length,geometry
199295106,2,461,Quezon Street,primary,False,True,56.976,"LINESTRING (121.8621938 13.4742089, 121.8618969 13.4746322)"
534745263,2,,Quezon Street,tertiary,False,True,62.126,"LINESTRING (121.8621938 13.4742089, 121.8625038 13.4737385)"
534745303,2,460,Rizal Street,primary,False,False,50.959,"LINESTRING (121.8621938 13.4742089, 121.8617825 13.4739852)"
534745305,2,460,Marinduque Circumferential Road,primary,False,False,38.616,"LINESTRING (121.8621938 13.4742089, 121.8625022 13.474384)"
123164466,,,Olaveria Street,residential,False,False,41.736,"LINESTRING (121.861185 13.4763799, 121.860866 13.4761686)"
534745313,,,Del Carmen Street,residential,False,False,74.222,"LINESTRING (121.861185 13.4763799, 121.8615462 13.4758123)"
"[534745313, 165402553]",,,"['Villaster Street', 'Del Carmen Street']",residential,False,True,141.267,"LINESTRING (121.861185 13.4763799, 121.8607392 13.4770788, 121.860384 13.4767935)"
165402556,,,Bonifacio Street,residential,False,False,46.622,"LINESTRING (121.8598134 13.4739443, 121.8595987 13.4743079)"
165402556,,,Bonifacio Street,residential,False,True,11.488,"LINESTRING (121.8598134 13.4739443, 121.8598694 13.4738565)"
199417424,,,Malvar Street,residential,False,True,81.29599999999999,"LINESTRING (121.8598134 13.4739443, 121.8599337 13.4740081, 121.8601277 13.474111, 121.8603156 13.4742106, 121.8604726 13.4742958)"
123165325,,,Monserrat Street,residential,False,True,52.562,"LINESTRING (121.8615191 13.4738404, 121.8612705 13.4742466)"
534745303,2,460,Rizal Street,primary,False,False,69.085,"LINESTRING (121.8615191 13.4738404, 121.8609741 13.4735162)"
534745303,2,460,Rizal Street,primary,False,True,32.719,"LINESTRING (121.8615191 13.4738404, 121.8617825 13.4739852)"
123165326,,,Del Pilar Street,residential,False,True,52.908,"LINESTRING (121.8617825 13.4739852, 121.8615351 13.4743957)"
534745303,2,460,Rizal Street,primary,False,False,32.719,"LINESTRING (121.8617825 13.4739852, 121.8615191 13.4738404)"
534745303,2,460,Rizal Street,primary,False,True,50.959,"LINESTRING (121.8617825 13.4739852, 121.8621938 13.4742089)"
123164465,,,Paras Street,residential,False,True,69.998,"LINESTRING (121.8607163 13.4739213, 121.8612705 13.4742466)"
123165328,2,,Doña Aurora Street,tertiary,False,False,49.28,"LINESTRING (121.8607163 13.4739213, 121.8604726 13.4742958)"
123165328,2,,Doña Aurora Street,tertiary,False,True,52.973,"LINESTRING (121.8607163 13.4739213, 121.8607945 13.4737985, 121.8609741 13.4735162)"
123166005,,,,residential,False,True,86.822,"LINESTRING (121.8642749 13.4746526, 121.8635782 13.4742645)"
165402555,,,,residential,False,False,66.234,"LINESTRING (121.8642749 13.4746526, 121.8640363 13.4752012)"
165402555,,,,residential,False,True,61.753,"LINESTRING (121.8642749 13.4746526, 121.8644845 13.474136)"
165384131,,,Mendez Street,residential,False,False,42.518,"LINESTRING (121.8615462 13.4758123, 121.8612288 13.4755866)"
534745313,,,Del Carmen Street,residential,False,False,80.787,"LINESTRING (121.8615462 13.4758123, 121.8619631 13.4752094)"
534745313,,,Del Carmen Street,residential,False,True,74.222,"LINESTRING (121.8615462 13.4758123, 121.861185 13.4763799)"
534745302,,,,residential,False,True,234.2,"LINESTRING (121.8615462 13.4758123, 121.862327 13.4763554, 121.8620414 13.4769292, 121.8619824 13.4774613)"
123165328,2,,Doña Aurora Street,tertiary,False,True,64.107,"LINESTRING (121.8594611 13.4759637, 121.8597473 13.4754588)"
"[165384132, 534745286]",2,,Doña Aurora Street,tertiary,False,True,338.005,"LINESTRING (121.8594611 13.4759637, 121.8591368 13.476499, 121.8590424 13.4766597, 121.8589594 13.4767295, 121.858874 13.4767588, 121.8581073 13.4768473, 121.8579454 13.4768909, 121.857777 13.4769801, 121.8576381 13.4771331, 121.8575403 13.4772641, 121.8572487 13.4777608)"
165402553,,,Villaster Street,residential,False,False,78.751,"LINESTRING (121.8594611 13.4759637, 121.8598614 13.4762537, 121.8599686 13.4764506)"
123165328,2,,Doña Aurora Street,tertiary,False,False,39.57,"LINESTRING (121.8599488 13.4751281, 121.8597613 13.4754337)"
123165328,2,,Doña Aurora Street,tertiary,False,True,34.685,"LINESTRING (121.8599488 13.4751281, 121.8601155 13.4748616)"
165397985,,,Yakal Street,residential,False,False,75.706,"LINESTRING (121.8599488 13.4751281, 121.8605367 13.4754978)"
165397985,,,Yakal Street,residential,False,True,42.328,"LINESTRING (121.8599488 13.4751281, 121.859616 13.4749277)"
123165325,,,Monserrat Street,residential,False,False,37.454,"LINESTRING (121.8605367 13.4754978, 121.8607035 13.4752026)"
123165325,,,Monserrat Street,residential,False,True,40.341,"LINESTRING (121.8605367 13.4754978, 121.8603575 13.475816)"
165397985,,,Yakal Street,residential,False,True,75.706,"LINESTRING (121.8605367 13.4754978, 121.8599488 13.4751281)"
534745303,2,460,Rizal Street,primary,False,True,69.085,"LINESTRING (121.8609741 13.4735162, 121.8615191 13.4738404)"
123165328,2,,Doña Aurora Street,tertiary,False,False,52.973,"LINESTRING (121.8609741 13.4735162, 121.8607945 13.4737985, 121.8607163 13.4739213)"
534745303,2,460,Rizal Street,primary,False,False,82.292,"LINESTRING (121.8609741 13.4735162, 121.8609145 13.4734808, 121.8605981 13.4732926, 121.860497 13.4732324, 121.8603294 13.4731232)"
165402551,,,Del Rosario Street,residential,False,True,89.103,"LINESTRING (121.8644845 13.474136, 121.863751 13.4737709)"
165402555,,,,residential,False,False,61.753,"LINESTRING (121.8644845 13.474136, 121.8642749 13.4746526)"
"[165402555, 909499572]",,,,residential,False,True,89.487,"LINESTRING (121.8644845 13.474136, 121.86462 13.4738227, 121.8650039 13.4737783, 121.865095 13.4737705)"
165402548,,,,residential,False,True,66.966,"LINESTRING (121.863378 13.4748344, 121.8635782 13.4742645)"
534745305,2,460,Marinduque Circumferential Road,primary,False,False,82.041,"LINESTRING (121.863378 13.4748344, 121.8640363 13.4752012)"
534745305,2,460,Marinduque Circumferential Road,primary,False,True,107.131,"LINESTRING (121.863378 13.4748344, 121.8625022 13.474384)"
165503111,,,Magsaysay Street,residential,False,False,55.051,"LINESTRING (121.8593136 13.4741199, 121.8595709 13.4736927)"
165503111,,,Magsaysay Street,residential,False,True,21.766,"LINESTRING (121.8593136 13.4741199, 121.8592115 13.4742886)"
165503112,,,Malvar Extension,residential,False,False,37.248,"LINESTRING (121.8593136 13.4741199, 121.8595987 13.4743079)"
165397985,,,Yakal Street,residential,False,False,36.827,"LINESTRING (121.8593146 13.4747735, 121.859616 13.4749277)"
165402556,,,Bonifacio Street,residential,False,False,16.572,"LINESTRING (121.8593146 13.4747735, 121.8592375 13.4749023)"
165402556,,,Bonifacio Street,residential,False,True,36.873000000000005,"LINESTRING (121.8593146 13.4747735, 121.8593934 13.4746421, 121.8594863 13.474487)"
165503111,,,Magsaysay Street,residential,False,False,37.876,"LINESTRING (121.8590161 13.4745713, 121.8592115 13.4742886)"
165402556,,,Bonifacio Street,residential,False,False,95.525,"LINESTRING (121.8603294 13.4731232, 121.8600681 13.4735276, 121.8598694 13.4738565)"
534745303,2,460,Rizal Street,primary,False,False,60.848,"LINESTRING (121.8603294 13.4731232, 121.8600705 13.4729655, 121.8598505 13.4728359)"
534745303,2,460,Rizal Street,primary,False,True,82.292,"LINESTRING (121.8603294 13.4731232, 121.860497 13.4732324, 121.8605981 13.4732926, 121.8609145 13.4734808, 121.8609741 13.4735162)"
165402551,,,Del Rosario Street,residential,False,False,37.957,"LINESTRING (121.8627865 13.4732682, 121.8631034 13.473415)"
534745263,2,,Quezon Street,tertiary,False,False,60.575,"LINESTRING (121.8627865 13.4732682, 121.8625038 13.4737385)"
534745263,2,,Quezon Street,tertiary,False,True,188.649,"LINESTRING (121.8627865 13.4732682, 121.8629592 13.4728396, 121.863353 13.4719627, 121.8634554 13.4717017)"
165402551,,,Del Rosario Street,residential,False,False,80.437,"LINESTRING (121.8631034 13.473415, 121.863751 13.4737709)"
165402551,,,Del Rosario Street,residential,False,True,37.957,"LINESTRING (121.8631034 13.473415, 121.8627865 13.4732682)"
165402557,,,Del Carmen,residential,False,True,64.634,"LINESTRING (121.8631034 13.473415, 121.8627899 13.4739099)"
