osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge
102308856,2,77,Iligan-Marawi Road,trunk,False,False,153.339,"LINESTRING (124.2697417 8.0325414, 124.2698859 8.032487, 124.2701434 8.0324538, 124.2702869 8.0324418, 124.2704357 8.0324126, 124.2705618 8.0323622, 124.2706852 8.0322758, 124.270771 8.0321895, 124.2708595 8.03207, 124.2709125 8.0319591)",
558025969,,,,residential,False,False,476.868,"LINESTRING (124.2697417 8.0325414, 124.2696565 8.0323967, 124.2695888 8.0323044, 124.2695037 8.03223, 124.2692582 8.0320508, 124.2691295 8.0320063, 124.2690463 8.032001, 124.2689686 8.0320215, 124.2688794 8.0320494, 124.2688002 8.0320939, 124.2686507 8.0322061, 124.2684583 8.0323542, 124.2683624 8.0324372, 124.2682853 8.0325428, 124.2680446 8.0329113, 124.2678943 8.0332227, 124.2675859 8.0338375, 124.2673767 8.0342359, 124.2672519 8.0345307, 124.2672157 8.0347173)",
1052171244,2,77,Iligan-Marawi Road,trunk,False,True,144.013,"LINESTRING (124.2697417 8.0325414, 124.2695855 8.0326477, 124.2694487 8.0327844, 124.2692596 8.0330142, 124.2690611 8.0332811, 124.2689055 8.0335234)",
88790020,,,,secondary,False,False,227.80400000000003,"LINESTRING (124.2711981 8.0315189, 124.2710526 8.0314253, 124.2709239 8.0313589, 124.2707985 8.0312892, 124.2704277 8.0310833, 124.2703499 8.0310316, 124.2702962 8.0309652, 124.2701823 8.0307932, 124.2698949 8.0300602)",
102308856,2,77,Iligan-Marawi Road,trunk,False,True,58.298,"LINESTRING (124.2711981 8.0315189, 124.2711478 8.0315827, 124.2710634 8.0316962, 124.2709125 8.0319591)",
88790020,,,,secondary,False,True,227.80399999999997,"LINESTRING (124.2698949 8.0300602, 124.2701823 8.0307932, 124.2702962 8.0309652, 124.2703499 8.0310316, 124.2704277 8.0310833, 124.2707985 8.0312892, 124.2709239 8.0313589, 124.2710526 8.0314253, 124.2711981 8.0315189)",
102308856,2,77,Iligan-Marawi Road,trunk,False,False,58.298,"LINESTRING (124.2709125 8.0319591, 124.2710634 8.0316962, 124.2711478 8.0315827, 124.2711981 8.0315189)",
102308856,2,77,Iligan-Marawi Road,trunk,False,True,153.339,"LINESTRING (124.2709125 8.0319591, 124.2708595 8.03207, 124.270771 8.0321895, 124.2706852 8.0322758, 124.2705618 8.0323622, 124.2704357 8.0324126, 124.2702869 8.0324418, 124.2701434 8.0324538, 124.2698859 8.032487, 124.2697417 8.0325414)",
135407111,,,,residential,False,False,290.953,"LINESTRING (124.2709125 8.0319591, 124.2709178 8.0321118, 124.2709038 8.0322778, 124.270889 8.0323927, 124.2708622 8.0324784, 124.270779 8.0327127, 124.2706677 8.0329611, 124.2705671 8.033147, 124.2705014 8.0332731, 124.2703754 8.0334444, 124.2701447 8.0336689, 124.2699838 8.0338402, 124.269731 8.0342173)",
135407122,,,,residential,False,False,119.381,"LINESTRING (124.2689055 8.0335234, 124.2692386 8.0337705, 124.269357 8.0338693, 124.269731 8.0342173)",
1052171244,2,77,Iligan-Marawi Road,trunk,False,False,144.013,"LINESTRING (124.2689055 8.0335234, 124.2690611 8.0332811, 124.2692596 8.0330142, 124.2694487 8.0327844, 124.2695855 8.0326477, 124.2697417 8.0325414)",
1052171244,2,77,Iligan-Marawi Road,trunk,False,True,147.268,"LINESTRING (124.2689055 8.0335234, 124.2686536 8.0340265, 124.2683114 8.03471)",
135407111,,,,residential,False,False,36.433,"LINESTRING (124.269731 8.0342173, 124.2696636 8.034361, 124.2695953 8.0345161)",
135407111,,,,residential,False,True,290.953,"LINESTRING (124.269731 8.0342173, 124.2699838 8.0338402, 124.2701447 8.0336689, 124.2703754 8.0334444, 124.2705014 8.0332731, 124.2705671 8.033147, 124.2706677 8.0329611, 124.270779 8.0327127, 124.2708622 8.0324784, 124.270889 8.0323927, 124.2709038 8.0322778, 124.2709178 8.0321118, 124.2709125 8.0319591)",
135407122,,,,residential,False,True,119.381,"LINESTRING (124.269731 8.0342173, 124.269357 8.0338693, 124.2692386 8.0337705, 124.2689055 8.0335234)",
135407120,,,,residential,False,False,46.736,"LINESTRING (124.270307 8.0345852, 124.2701034 8.034954)",
1198722497,,,,residential,False,True,24.661,"LINESTRING (124.270307 8.0345852, 124.2704974 8.034702)",
135407114,,,,residential,False,True,144.04500000000002,"LINESTRING (124.270307 8.0345852, 124.2704471 8.0343322, 124.2704713 8.0343209, 124.2705283 8.0343235, 124.2707267 8.0343946, 124.2707958 8.0344105, 124.2708609 8.0344112, 124.270999 8.0343833, 124.2710774 8.0343667, 124.2711143 8.0343527, 124.2711371 8.0343242, 124.2711666 8.0342717, 124.2712042 8.0341456, 124.271229 8.0340546)",
135407111,,,,residential,False,False,80.275,"LINESTRING (124.2695953 8.0345161, 124.2693253 8.0351867)",
558026121,,,,residential,False,False,74.166,"LINESTRING (124.2695953 8.0345161, 124.2701034 8.034954)",
135407111,,,,residential,False,True,36.433,"LINESTRING (124.2695953 8.0345161, 124.2696636 8.034361, 124.269731 8.0342173)",
135407116,,,,residential,False,False,123.579,"LINESTRING (124.2683114 8.03471, 124.2693253 8.0351867)",
855304115,,,,secondary,False,False,121.965,"LINESTRING (124.2683114 8.03471, 124.2682484 8.0346814, 124.2681954 8.0346668, 124.2681371 8.0346562, 124.2680512 8.0346558, 124.2677991 8.0346861, 124.2675067 8.0347047, 124.2672157 8.0347173)",
1052171244,2,77,Iligan-Marawi Road,trunk,False,False,147.268,"LINESTRING (124.2683114 8.03471, 124.2686536 8.0340265, 124.2689055 8.0335234)",
1052171244,2,77,Iligan-Marawi Road,trunk,False,True,370.894,"LINESTRING (124.2683114 8.03471, 124.268015 8.0353992, 124.2678876 8.0357099, 124.2678018 8.0360884, 124.2677924 8.0362809, 124.2678118 8.0366049, 124.2678313 8.0367417, 124.2678655 8.0368851, 124.2679319 8.0371374, 124.268174 8.0379003)",
135407120,,,,residential,False,True,46.736,"LINESTRING (124.2701034 8.034954, 124.270307 8.0345852)",
558026121,,,,residential,False,False,81.468,"LINESTRING (124.2701034 8.034954, 124.27061 8.035488)",
558026121,,,,residential,False,True,74.166,"LINESTRING (124.2701034 8.034954, 124.2695953 8.0345161)",
135407111,,,,residential,False,False,85.473,"LINESTRING (124.2693253 8.0351867, 124.2690077 8.0358881)",
135407111,,,,residential,False,True,80.275,"LINESTRING (124.2693253 8.0351867, 124.2695953 8.0345161)",
135407116,,,,residential,False,True,123.579,"LINESTRING (124.2693253 8.0351867, 124.2683114 8.03471)",
558026121,,,,residential,False,True,81.468,"LINESTRING (124.27061 8.035488, 124.2701034 8.034954)",
135407109,,,,residential,False,False,107.04100000000001,"LINESTRING (124.27061 8.035488, 124.270535 8.035595, 124.2701854 8.036352)",
135407111,,,,residential,False,True,85.473,"LINESTRING (124.2690077 8.0358881, 124.2693253 8.0351867)",
135407123,,,,residential,False,False,139.563,"LINESTRING (124.2690077 8.0358881, 124.2694493 8.0360704, 124.2701854 8.036352)",
135407125,2,,,residential,False,True,216.075,"LINESTRING (124.2690077 8.0358881, 124.2687482 8.0364657, 124.268659 8.0366476, 124.2685245 8.0370476, 124.2684392 8.0373674, 124.2683173 8.0377028)",
135407109,,,,residential,False,False,54.327,"LINESTRING (124.2701854 8.036352, 124.269986 8.0367989)",
135407109,,,,residential,False,True,107.04100000000001,"LINESTRING (124.2701854 8.036352, 124.270535 8.035595, 124.27061 8.035488)",
135407123,,,,residential,False,True,139.563,"LINESTRING (124.2701854 8.036352, 124.2694493 8.0360704, 124.2690077 8.0358881)",
135407125,2,,,residential,False,False,216.075,"LINESTRING (124.2683173 8.0377028, 124.2684392 8.0373674, 124.2685245 8.0370476, 124.268659 8.0366476, 124.2687482 8.0364657, 124.2690077 8.0358881)",
135407125,2,,,residential,False,True,27.153,"LINESTRING (124.2683173 8.0377028, 124.2682309 8.0378398, 124.268174 8.0379003)",
1052170800,,,,residential,False,True,125.966,"LINESTRING (124.2683173 8.0377028, 124.2692528 8.0380802, 124.2693855 8.0380624)",
135407109,,,,residential,False,True,67.459,"LINESTRING (124.2697381 8.0373537, 124.269986 8.0367989)",
135407109,,,,residential,False,False,88.112,"LINESTRING (124.2697381 8.0373537, 124.269467 8.037951, 124.2693855 8.0380624)",
1052027657,,,,residential,False,False,126.16399999999999,"LINESTRING (124.2697381 8.0373537, 124.2692364 8.0371528, 124.269227 8.0370924, 124.2694289 8.0365933)",
135407125,2,,,residential,False,False,27.153,"LINESTRING (124.268174 8.0379003, 124.2682309 8.0378398, 124.2683173 8.0377028)",
1052170791,2,77,Iligan-Marawi Road,trunk,False,True,57.962,"LINESTRING (124.268174 8.0379003, 124.2682902 8.0382914, 124.2683225 8.0384004)",
1052171244,2,77,Iligan-Marawi Road,trunk,False,False,370.894,"LINESTRING (124.268174 8.0379003, 124.2679319 8.0371374, 124.2678655 8.0368851, 124.2678313 8.0367417, 124.2678118 8.0366049, 124.2677924 8.0362809, 124.2678018 8.0360884, 124.2678876 8.0357099, 124.268015 8.0353992, 124.2683114 8.03471)",
135407114,,,,residential,False,False,144.04500000000002,"LINESTRING (124.271229 8.0340546, 124.2712042 8.0341456, 124.2711666 8.0342717, 124.2711371 8.0343242, 124.2711143 8.0343527, 124.2710774 8.0343667, 124.270999 8.0343833, 124.2708609 8.0344112, 124.2707958 8.0344105, 124.2707267 8.0343946, 124.2705283 8.0343235, 124.2704713 8.0343209, 124.2704471 8.0343322, 124.270307 8.0345852)",
855269606,,,,residential,False,False,69.456,"LINESTRING (124.2656842 8.0354045, 124.2658149 8.0352026, 124.2660114 8.0348706)",
1123541224,,,,secondary,False,False,120.242,"LINESTRING (124.2656842 8.0354045, 124.2655098 8.035362, 124.2653677 8.0353142, 124.2652751 8.0352876, 124.2651826 8.0352889, 124.2650954 8.0352943, 124.2649291 8.0353474, 124.2647307 8.0354257, 124.2646435 8.0354695)",
"[1123541224, 855304114, 855304115]",,,,secondary,False,True,210.694,"LINESTRING (124.2656842 8.0354045, 124.2659806 8.0354749, 124.266167 8.0355054, 124.2662971 8.0355174, 124.2663883 8.0355041, 124.2664647 8.0354762, 124.2665666 8.0353885, 124.2668939 8.0349025, 124.2669784 8.0348052, 124.2670196 8.0347667, 124.2670528 8.0347475, 124.267089 8.0347372, 124.2672157 8.0347173)",yes
1123541224,,,,secondary,False,True,120.24199999999999,"LINESTRING (124.2646435 8.0354695, 124.2647307 8.0354257, 124.2649291 8.0353474, 124.2650954 8.0352943, 124.2651826 8.0352889, 124.2652751 8.0352876, 124.2653677 8.0353142, 124.2655098 8.035362, 124.2656842 8.0354045)",
558025969,,,,residential,False,True,476.868,"LINESTRING (124.2672157 8.0347173, 124.2672519 8.0345307, 124.2673767 8.0342359, 124.2675859 8.0338375, 124.2678943 8.0332227, 124.2680446 8.0329113, 124.2682853 8.0325428, 124.2683624 8.0324372, 124.2684583 8.0323542, 124.2686507 8.0322061, 124.2688002 8.0320939, 124.2688794 8.0320494, 124.2689686 8.0320215, 124.2690463 8.032001, 124.2691295 8.0320063, 124.2692582 8.0320508, 124.2695037 8.03223, 124.2695888 8.0323044, 124.2696565 8.0323967, 124.2697417 8.0325414)",
"[1123541224, 855304114, 855304115]",,,,secondary,False,False,210.694,"LINESTRING (124.2672157 8.0347173, 124.267089 8.0347372, 124.2670528 8.0347475, 124.2670196 8.0347667, 124.2669784 8.0348052, 124.2668939 8.0349025, 124.2665666 8.0353885, 124.2664647 8.0354762, 124.2663883 8.0355041, 124.2662971 8.0355174, 124.266167 8.0355054, 124.2659806 8.0354749, 124.2656842 8.0354045)",yes
855304115,,,,secondary,False,True,121.96499999999999,"LINESTRING (124.2672157 8.0347173, 124.2675067 8.0347047, 124.2677991 8.0346861, 124.2680512 8.0346558, 124.2681371 8.0346562, 124.2681954 8.0346668, 124.2682484 8.0346814, 124.2683114 8.03471)",
855269606,,,,residential,False,True,69.456,"LINESTRING (124.2660114 8.0348706, 124.2658149 8.0352026, 124.2656842 8.0354045)",
858512505,,,,residential,False,True,192.77499999999998,"LINESTRING (124.2683225 8.0384004, 124.2680553 8.0383976, 124.2676046 8.0383777, 124.2673218 8.0383437, 124.2672275 8.0382757, 124.2666015 8.0381975)",
1052170791,2,77,Iligan-Marawi Road,trunk,False,False,57.962,"LINESTRING (124.2683225 8.0384004, 124.2682902 8.0382914, 124.268174 8.0379003)",
135407109,,,,residential,False,True,88.112,"LINESTRING (124.2693855 8.0380624, 124.269467 8.037951, 124.2697381 8.0373537)",
1052170800,,,,residential,False,False,125.966,"LINESTRING (124.2693855 8.0380624, 124.2692528 8.0380802, 124.2683173 8.0377028)",
1052027656,,,,residential,False,True,34.944,"LINESTRING (124.2691316 8.0364833, 124.2694289 8.0365933)",
135407109,,,,residential,False,False,67.459,"LINESTRING (124.269986 8.0367989, 124.2697381 8.0373537)",
135407109,,,,residential,False,True,54.327,"LINESTRING (124.269986 8.0367989, 124.2701854 8.036352)",
1052027656,,,,residential,False,False,65.46,"LINESTRING (124.269986 8.0367989, 124.2694289 8.0365933)",
1052027656,,,,residential,False,False,34.944,"LINESTRING (124.2694289 8.0365933, 124.2691316 8.0364833)",
1052027656,,,,residential,False,True,65.46,"LINESTRING (124.2694289 8.0365933, 124.269986 8.0367989)",
1052027657,,,,residential,False,True,126.16399999999999,"LINESTRING (124.2694289 8.0365933, 124.269227 8.0370924, 124.2692364 8.0371528, 124.2697381 8.0373537)",
858512505,,,,residential,False,False,192.77499999999998,"LINESTRING (124.2666015 8.0381975, 124.2672275 8.0382757, 124.2673218 8.0383437, 124.2676046 8.0383777, 124.2680553 8.0383976, 124.2683225 8.0384004)",
1198722497,,,,residential,False,False,24.661,"LINESTRING (124.2704974 8.034702, 124.270307 8.0345852)",
