osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,bridge
165831122,residential,False,False,37.49,"LINESTRING (124.3933377 11.2137611, 124.3932852 11.2140943)",,,,
335899839,tertiary,False,False,52.183,"LINESTRING (124.3933377 11.2137611, 124.3928769 11.2136349)",,,,
165831122,residential,False,True,126.04899999999999,"LINESTRING (124.3933377 11.2137611, 124.3934024 11.2134652, 124.393513 11.2127703, 124.3935403 11.2126455)",,,,
335899839,tertiary,False,True,43.009,"LINESTRING (124.3933377 11.2137611, 124.3935797 11.2139342, 124.3936478 11.2139989)",,,,
165831079,residential,False,False,43.921,"LINESTRING (124.3928769 11.2136349, 124.3928499 11.214029)",,,,
165831079,residential,False,True,113.681,"LINESTRING (124.3928769 11.2136349, 124.3929547 11.2126154)",,,,
335899839,tertiary,False,False,66.107,"LINESTRING (124.3928769 11.2136349, 124.3922845 11.2135093)",,,,
335899839,tertiary,False,True,52.183,"LINESTRING (124.3928769 11.2136349, 124.3933377 11.2137611)",,,,
165831083,tertiary,False,False,53.066,"LINESTRING (124.391731 11.2133919, 124.3916421 11.2138611)",,,,
335899839,tertiary,False,True,61.767,"LINESTRING (124.391731 11.2133919, 124.3922845 11.2135093)",,,,
906003488,residential,False,True,103.446,"LINESTRING (124.391731 11.2133919, 124.3919051 11.2124774)",,,,
"[165831102, 335899839]",tertiary,False,"[False, True]",139.443,"LINESTRING (124.391731 11.2133919, 124.3913811 11.2133108, 124.3914659 11.2129911, 124.3916024 11.2124563, 124.3916065 11.212437)",,,,
165831102,tertiary,False,False,44.666,"LINESTRING (124.3917098 11.2120483, 124.3916065 11.212437)",,,,
906003487,residential,False,False,28.83,"LINESTRING (124.3917098 11.2120483, 124.3919722 11.2120795)",,,,
335899837,tertiary,False,True,46.341,"LINESTRING (124.3917098 11.2120483, 124.3917187 11.2119554, 124.391702 11.2118768, 124.3915993 11.2116555)",,,,
165831124,residential,False,False,114.627,"LINESTRING (124.3919722 11.2120795, 124.3930137 11.2122172)",,,,
906003487,residential,False,True,28.83,"LINESTRING (124.3919722 11.2120795, 124.3917098 11.2120483)",,,,
906003488,residential,False,False,44.846,"LINESTRING (124.3919722 11.2120795, 124.3919051 11.2124774)",,,,
906003488,residential,False,True,66.127,"LINESTRING (124.3919722 11.2120795, 124.3920068 11.2118888, 124.392086 11.2114954)",,,,
165831103,residential,False,False,115.506,"LINESTRING (124.3919051 11.2124774, 124.3929547 11.2126154)",,,,
165831103,residential,False,True,32.877,"LINESTRING (124.3919051 11.2124774, 124.3916065 11.212437)",,,,
906003488,residential,False,False,103.446,"LINESTRING (124.3919051 11.2124774, 124.391731 11.2133919)",,,,
906003488,residential,False,True,44.846,"LINESTRING (124.3919051 11.2124774, 124.3919722 11.2120795)",,,,
335899837,tertiary,False,False,32.396,"LINESTRING (124.3897059 11.2095773, 124.3898824 11.2097522, 124.3899148 11.2097844)",,,,
335899837,tertiary,False,False,121.628,"LINESTRING (124.3899148 11.2097844, 124.3906976 11.2105634)",,,,
"[165831106, 165831108]",residential,False,True,364.35900000000004,"LINESTRING (124.3899148 11.2097844, 124.3902157 11.2095164, 124.390915 11.2089196, 124.3910572 11.2087884, 124.3912758 11.2090675, 124.3906819 11.2098438, 124.3910283 11.2101461)",,,,
335899837,tertiary,False,True,32.396,"LINESTRING (124.3899148 11.2097844, 124.3898824 11.2097522, 124.3897059 11.2095773)",,,,
165831084,unclassified,False,False,27.766,"LINESTRING (124.391183 11.2099478, 124.3910283 11.2101461)",,,,
165831084,unclassified,False,True,27.766,"LINESTRING (124.3910283 11.2101461, 124.391183 11.2099478)",,,,
165831084,unclassified,False,False,58.819,"LINESTRING (124.3910283 11.2101461, 124.3908399 11.2104006, 124.3906976 11.2105634)",,,,
"[165831106, 165831108]",residential,False,False,364.35900000000004,"LINESTRING (124.3910283 11.2101461, 124.3906819 11.2098438, 124.3912758 11.2090675, 124.3910572 11.2087884, 124.390915 11.2089196, 124.3902157 11.2095164, 124.3899148 11.2097844)",,,,
165831079,residential,False,False,86.488,"LINESTRING (124.3932199 11.2104999, 124.3931936 11.2109933, 124.3931791 11.2112246, 124.3931735 11.2112763)",,,,
"[247049793, 165831081]",primary,False,False,215.28699999999998,"LINESTRING (124.3936216 11.2105212, 124.3938835 11.2114729, 124.3939618 11.2117744, 124.3939841 11.2119351, 124.3939841 11.2120703, 124.393932 11.2124083)",2,684,Villaba-Palompon Road,
247049771,unclassified,False,False,225.113,"LINESTRING (124.3936216 11.2105212, 124.3938321 11.2105235, 124.394297 11.2105183, 124.3949462 11.2105106, 124.3950713 11.2105041, 124.3954822 11.210455, 124.3956271 11.2104098, 124.3956691 11.2103872)",,,,
335899837,tertiary,False,True,121.628,"LINESTRING (124.3906976 11.2105634, 124.3899148 11.2097844)",,,,
165831084,unclassified,False,True,58.819,"LINESTRING (124.3906976 11.2105634, 124.3908399 11.2104006, 124.3910283 11.2101461)",,,,
335899837,tertiary,False,False,27.415,"LINESTRING (124.3906976 11.2105634, 124.3907782 11.2106437, 124.3908842 11.210728)",,,,
"[165831115, 165831092]",unclassified,False,False,184.13400000000001,"LINESTRING (124.3908842 11.210728, 124.3907873 11.2107727, 124.3904776 11.2108513, 124.3902413 11.2109113, 124.3897136 11.211085, 124.3895955 11.2111192, 124.3895671 11.2111305, 124.3892717 11.2112114)",,,,
335899837,tertiary,False,False,130.54999999999998,"LINESTRING (124.3908842 11.210728, 124.391363 11.2112283, 124.3914673 11.2113744, 124.3915604 11.2115717, 124.3915993 11.2116555)",,,,
335899837,tertiary,False,True,27.415,"LINESTRING (124.3908842 11.210728, 124.3907782 11.2106437, 124.3906976 11.2105634)",,,,
"[165831115, 165831092]",unclassified,False,True,184.13400000000001,"LINESTRING (124.3892717 11.2112114, 124.3895671 11.2111305, 124.3895955 11.2111192, 124.3897136 11.211085, 124.3902413 11.2109113, 124.3904776 11.2108513, 124.3907873 11.2107727, 124.3908842 11.210728)",,,,
165831095,residential,False,False,121.093,"LINESTRING (124.392086 11.2114954, 124.3931735 11.2112763)",,,,
165831095,residential,False,True,55.991,"LINESTRING (124.392086 11.2114954, 124.3915993 11.2116555)",,,,
906003488,residential,False,False,66.127,"LINESTRING (124.392086 11.2114954, 124.3920068 11.2118888, 124.3919722 11.2120795)",,,,
906003488,residential,False,True,74.961,"LINESTRING (124.392086 11.2114954, 124.3921369 11.2111784, 124.3922576 11.2108456)",,,,
165831082,residential,False,False,165.09000000000003,"LINESTRING (124.3948223 11.211633, 124.3947767 11.211675, 124.3945541 11.2117636, 124.3945253 11.2117983, 124.394516 11.2118422, 124.3945327 11.2120203, 124.3945355 11.2121619, 124.3945271 11.2122971, 124.3945141 11.2123427, 124.394488 11.2123747, 124.3944424 11.2124012, 124.3944107 11.2124094, 124.3942474 11.2124118, 124.3940941 11.212414, 124.393932 11.2124083)",,,,
165831095,residential,False,False,55.991,"LINESTRING (124.3915993 11.2116555, 124.392086 11.2114954)",,,,
335899837,tertiary,False,False,46.341,"LINESTRING (124.3915993 11.2116555, 124.391702 11.2118768, 124.3917187 11.2119554, 124.3917098 11.2120483)",,,,
335899837,tertiary,False,True,130.55,"LINESTRING (124.3915993 11.2116555, 124.3915604 11.2115717, 124.3914673 11.2113744, 124.391363 11.2112283, 124.3908842 11.210728)",,,,
165831079,residential,False,False,44.743,"LINESTRING (124.3930137 11.2122172, 124.3929547 11.2126154)",,,,
165831124,residential,False,True,114.627,"LINESTRING (124.3930137 11.2122172, 124.3919722 11.2120795)",,,,
165831079,residential,False,True,106.119,"LINESTRING (124.3930137 11.2122172, 124.393079 11.2117426, 124.3931218 11.2115229, 124.3931735 11.2112763)",,,,
165831124,residential,False,False,66.53699999999999,"LINESTRING (124.3930137 11.2122172, 124.3934728 11.2122386, 124.393536 11.2122606, 124.3936088 11.2123004)",,,,
165831122,residential,False,False,39.094,"LINESTRING (124.3936088 11.2123004, 124.3935403 11.2126455)",,,,
165831124,residential,False,False,37.44,"LINESTRING (124.3936088 11.2123004, 124.3936611 11.212329, 124.393777 11.2123729, 124.393932 11.2124083)",,,,
165831124,residential,False,True,66.537,"LINESTRING (124.3936088 11.2123004, 124.393536 11.2122606, 124.3934728 11.2122386, 124.3930137 11.2122172)",,,,
247049793,primary,False,False,31.721,"LINESTRING (124.393932 11.2124083, 124.3938743 11.2126879)",2,684,Villaba-Palompon Road,
165831082,residential,False,True,165.09,"LINESTRING (124.393932 11.2124083, 124.3940941 11.212414, 124.3942474 11.2124118, 124.3944107 11.2124094, 124.3944424 11.2124012, 124.394488 11.2123747, 124.3945141 11.2123427, 124.3945271 11.2122971, 124.3945355 11.2121619, 124.3945327 11.2120203, 124.394516 11.2118422, 124.3945253 11.2117983, 124.3945541 11.2117636, 124.3947767 11.211675, 124.3948223 11.211633)",,,,
165831124,residential,False,True,37.44,"LINESTRING (124.393932 11.2124083, 124.393777 11.2123729, 124.3936611 11.212329, 124.3936088 11.2123004)",,,,
"[247049793, 165831081]",primary,False,True,215.287,"LINESTRING (124.393932 11.2124083, 124.3939841 11.2120703, 124.3939841 11.2119351, 124.3939618 11.2117744, 124.3938835 11.2114729, 124.3936216 11.2105212)",2,684,Villaba-Palompon Road,
165831102,tertiary,False,True,44.666,"LINESTRING (124.3916065 11.212437, 124.3917098 11.2120483)",,,,
165831103,residential,False,False,32.877,"LINESTRING (124.3916065 11.212437, 124.3919051 11.2124774)",,,,
