osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,junction,access,bridge
160538167,True,1,Aleja Wolności,tertiary,40,False,123.19700000000002,"LINESTRING (16.0863699 51.6648705, 16.0865676 51.664823, 16.0876239 51.6645692, 16.0876609 51.6645542, 16.0876925 51.6645364, 16.0877196 51.6645128, 16.0877427 51.6644824, 16.0877545 51.6644517, 16.0877562 51.6644258, 16.0877542 51.6643851, 16.0877393 51.6643267)",,,,
160905812,False,,Plac Jana z Głogowa,residential,,True,14.471,"LINESTRING (16.0863699 51.6648705, 16.0864132 51.6649273, 16.0864539 51.6649897)",,,,
175757626,True,3,Konstytucji 3 Maja,primary,50,False,119.988,"LINESTRING (16.0878506 51.6620823, 16.0878596 51.6623146, 16.0878475 51.6625326, 16.087822 51.6627671, 16.08781 51.6629377, 16.0877939 51.6630675, 16.087763 51.6631581)",12,roundabout,,
93542638,False,,Smolna,living_street,,True,85.82000000000001,"LINESTRING (16.0937606 51.6622708, 16.093968 51.6626726, 16.094119 51.6629662, 16.0941243 51.6630078)",,,,
"[136163941, 163732206]",False,,"['Plac Solny', 'Świętego Mikołaja']",living_street,,False,172.28300000000004,"LINESTRING (16.0937606 51.6622708, 16.0937204 51.6622798, 16.0932944 51.6623842, 16.0928657 51.6624944, 16.0926926 51.6625389, 16.0926457 51.6625911, 16.0926541 51.6626365, 16.092802 51.6629283, 16.0928231 51.6629705, 16.092965 51.663254, 16.0930043 51.6633326)",,,,
599175020,False,,Smolna,living_street,,False,76.804,"LINESTRING (16.0937606 51.6622708, 16.0936893 51.6621154, 16.0936473 51.6620056, 16.0936534 51.6619509, 16.0936923 51.6618558, 16.0937899 51.6617585, 16.0939359 51.6616405)",,,,
"[96132982, 142479878]",False,,Starowałowa,living_street,,False,87.626,"LINESTRING (16.089684 51.6649488, 16.0897171 51.6649774, 16.0901745 51.6653635, 16.09035 51.6655078, 16.0904381 51.665583)",,,,
"[1106448494, 96132982]",False,,Starowałowa,"['living_street', 'residential']",,True,85.292,"LINESTRING (16.089684 51.6649488, 16.0894423 51.6647435, 16.0893282 51.6646466, 16.0891052 51.6643462, 16.0890639 51.6642896)",,,,
326202261,False,,Słodowa,living_street,,True,129.711,"LINESTRING (16.089684 51.6649488, 16.0897569 51.6649297, 16.091421 51.6645016)",,,,
327228544,True,,Wita Stwosza,tertiary,,False,37.653999999999996,"LINESTRING (16.0937571 51.6591928, 16.093615 51.6592508, 16.0935469 51.6592662, 16.0934995 51.659271, 16.0934324 51.6592672, 16.093344 51.6592483, 16.0932623 51.659219)",,,,
1068326973,True,1,Budowlanych,tertiary,,False,36.26500000000001,"LINESTRING (16.0937571 51.6591928, 16.0936755 51.6592603, 16.0936499 51.6592961, 16.0936378 51.6593319, 16.0936368 51.6593403, 16.0936357 51.6593498, 16.0936312 51.6593881, 16.0936331 51.6594242, 16.0936658 51.6594949)",,,,
96132989,False,,Parafialna,living_street,,True,36.985,"LINESTRING (16.0913929 51.6624474, 16.0915969 51.662755)",,,,
136163940,False,,Starowałowa,living_street,,False,81.217,"LINESTRING (16.0913929 51.6624474, 16.0913545 51.6624579, 16.0903126 51.662738)",,,,
1180237674,False,,Staromiejska,living_street,,False,25.479999999999997,"LINESTRING (16.0913929 51.6624474, 16.0913097 51.6623131, 16.0912604 51.6622335)",,,,
136163940,False,,Starowałowa,living_street,,True,67.256,"LINESTRING (16.0894205 51.6629822, 16.0903126 51.662738)",,,,
329262764,False,,Stanisława Kutrzeby,living_street,,True,68.84,"LINESTRING (16.0894205 51.6629822, 16.089394 51.66294, 16.0893345 51.6628577, 16.0893341 51.6628533, 16.0890368 51.662411)",,,,
599175046,False,,Stanisława Kutrzeby,living_street,,False,56.357,"LINESTRING (16.0894205 51.6629822, 16.0893922 51.6630083, 16.0890296 51.6634271)",,,,
136163940,False,,Starowałowa,living_street,,False,67.256,"LINESTRING (16.0903126 51.662738, 16.0894205 51.6629822)",,,,
136163940,False,,Starowałowa,living_street,,True,81.217,"LINESTRING (16.0903126 51.662738, 16.0913545 51.6624579, 16.0913929 51.6624474)",,,,
599175046,False,,Stanisława Kutrzeby,living_street,,True,10.276,"LINESTRING (16.0889628 51.6635097, 16.0890296 51.6634271)",,,,
"[1106448496, 1184608936, 96139038]",False,2,Koszarowa,"['living_street', 'residential']",,True,91.526,"LINESTRING (16.0889628 51.6635097, 16.0888906 51.6634871, 16.088092 51.663254, 16.0880104 51.6632302, 16.0879751 51.6632199, 16.087763 51.6631581)",,,,
"[1180237673, 1106448495]",False,,Stanisława Kutrzeby,"['living_street', 'residential']",,False,54.085,"LINESTRING (16.0889628 51.6635097, 16.0888792 51.6636384, 16.088807 51.6637886, 16.0887872 51.6638393, 16.0887957 51.6638968, 16.0888357 51.6639739)",,,,
163731591,False,,Piaskowa,residential,,False,79.14,"LINESTRING (16.0968461 51.6623677, 16.096982 51.6623302, 16.0979002 51.6620866)",,,,
163731594,False,,Piekarska,residential,,True,81.158,"LINESTRING (16.0968461 51.6623677, 16.0966752 51.6624098, 16.0959896 51.6625845, 16.0957569 51.6626438)",,,,
733977203,False,,Piotra Skargi,residential,,False,37.844,"LINESTRING (16.0968461 51.6623677, 16.0968878 51.6624274, 16.0969139 51.6624702, 16.0970509 51.6626834)",,,,
733977203,False,,Piotra Skargi,residential,,True,170.271,"LINESTRING (16.0968461 51.6623677, 16.096806 51.6623052, 16.0967674 51.6622523, 16.0961725 51.6613995, 16.0958672 51.660962)",,,,
550008660,True,,,residential,,False,145.625,"LINESTRING (16.0888357 51.6639739, 16.0889153 51.6639528, 16.0906903 51.6634403, 16.090751 51.6634228)",,,permissive,
599175045,False,,Skwer Zygmunta Starego,residential,,False,38.471000000000004,"LINESTRING (16.0888357 51.6639739, 16.0889684 51.6641575, 16.0890639 51.6642896)",,,,
"[1180237673, 1106448495]",False,,Stanisława Kutrzeby,"['residential', 'living_street']",,True,54.08500000000001,"LINESTRING (16.0888357 51.6639739, 16.0887957 51.6638968, 16.0887872 51.6638393, 16.088807 51.6637886, 16.0888792 51.6636384, 16.0889628 51.6635097)",,,,
550008659,True,,Garncarska,living_street,,False,47.124,"LINESTRING (16.090751 51.6634228, 16.0905416 51.6630852, 16.0905039 51.6630277)",,,,
289807522,False,,Rynek,living_street,,True,10.746,"LINESTRING (16.0925579 51.6641966, 16.0926014 51.6641038)",,,,
"[1086522705, 96132977]",True,,Słodowa,living_street,,False,85.437,"LINESTRING (16.0925579 51.6641966, 16.0921599 51.6642995, 16.091421 51.6645016)",,,,
289807522,False,,Rynek,living_street,,False,10.746,"LINESTRING (16.0926014 51.6641038, 16.0925579 51.6641966)",,,,
"[96132984, 772993445, 772993446]",False,,Rynek,living_street,,False,132.869,"LINESTRING (16.0926014 51.6641038, 16.0932967 51.6639647, 16.0938188 51.6638602, 16.0940002 51.6638239, 16.0944348 51.6637369)",,,,
96132989,False,,Parafialna,living_street,,False,36.985,"LINESTRING (16.0915969 51.662755, 16.0913929 51.6624474)",,,,
"[326202042, 96132979, 96132988]",True,,"['Parafialna', 'Rynek']",living_street,,False,168.59900000000002,"LINESTRING (16.0915969 51.662755, 16.0920581 51.6634513, 16.0920924 51.66347, 16.0922018 51.6634946, 16.0922231 51.6635017, 16.0922424 51.6635132, 16.0922565 51.6635293, 16.0926014 51.6641038)",,,,
163731596,True,,Balwierska,living_street,,False,81.26,"LINESTRING (16.0915969 51.662755, 16.0915547 51.6627649, 16.0913489 51.6628173, 16.0911838 51.6628596, 16.0910626 51.6628898, 16.0906826 51.6629847, 16.0905554 51.6630156, 16.0905039 51.6630277)",,,,
693743528,False,,Grodzka,residential,,True,22.848,"LINESTRING (16.0890639 51.6642896, 16.0887553 51.6643643)",,,,
599175045,False,,Skwer Zygmunta Starego,residential,,True,38.471000000000004,"LINESTRING (16.0890639 51.6642896, 16.0889684 51.6641575, 16.0888357 51.6639739)",,,,
"[96132982, 1106448494]",False,,Starowałowa,"['residential', 'living_street']",,False,85.292,"LINESTRING (16.0890639 51.6642896, 16.0891052 51.6643462, 16.0893282 51.6646466, 16.0894423 51.6647435, 16.089684 51.6649488)",,,,
329262764,False,,Stanisława Kutrzeby,living_street,,False,68.84,"LINESTRING (16.0890368 51.662411, 16.0893341 51.6628533, 16.0893345 51.6628577, 16.089394 51.66294, 16.0894205 51.6629822)",,,,
329262763,False,,Staromiejska,living_street,,True,41.386,"LINESTRING (16.0910455 51.661886, 16.0912604 51.6622335)",,,,
"[784077561, 784077562, 96139029]",True,,Stanisława Kutrzeby,living_street,,False,150.347,"LINESTRING (16.0910455 51.661886, 16.0909856 51.6619002, 16.0902359 51.6620962, 16.0899814 51.6621637, 16.0895235 51.6622825, 16.0890368 51.662411)",,,,
329262763,False,,Staromiejska,living_street,,False,73.458,"LINESTRING (16.0910455 51.661886, 16.0908735 51.6615963, 16.0908657 51.6615704, 16.0908647 51.6615445, 16.0908928 51.6614721, 16.0910096 51.6612589)",,,,
93542646,False,,Stanisława Staszica,residential,,True,231.204,"LINESTRING (16.0979002 51.6620866, 16.0978426 51.6620318, 16.0977014 51.6618301, 16.0975524 51.6616176, 16.0974089 51.6614126, 16.0973561 51.6613309, 16.0971908 51.6610972, 16.0970122 51.6608448, 16.0959532 51.6609531, 16.0958672 51.660962)",,,,
96139036,False,,Karola Miarki,residential,,False,99.96600000000001,"LINESTRING (16.0979002 51.6620866, 16.0979611 51.6621564, 16.0985032 51.6629039)",,,,
163731591,False,,Piaskowa,residential,,False,81.623,"LINESTRING (16.0979002 51.6620866, 16.0988547 51.6618458, 16.0988692 51.6618421, 16.0989128 51.6618251, 16.0989402 51.6618105, 16.0989699 51.6617858)",,,,
163731591,False,,Piaskowa,residential,,True,79.14,"LINESTRING (16.0979002 51.6620866, 16.096982 51.6623302, 16.0968461 51.6623677)",,,,
163731594,False,,Piekarska,residential,,False,81.15799999999999,"LINESTRING (16.0957569 51.6626438, 16.0959896 51.6625845, 16.0966752 51.6624098, 16.0968461 51.6623677)",,,,
404592940,False,,Hugona Kołłątaja,residential,30,False,187.01099999999997,"LINESTRING (16.0957569 51.6626438, 16.095723 51.6625932, 16.0956788 51.6625246, 16.095533 51.6622983, 16.0954224 51.6621297, 16.0952844 51.6619192, 16.0949386 51.6613902, 16.0948317 51.6612318, 16.0947935 51.6611726, 16.0947293 51.6610876)",,,,
1106448491,False,,Hugona Kołłątaja,living_street,,True,39.052,"LINESTRING (16.0957569 51.6626438, 16.095838 51.6627633, 16.0959836 51.6629656)",,,,
812830818,False,,Młyńska,living_street,,True,18.727,"LINESTRING (16.0944348 51.6637369, 16.0946511 51.6638387)",,,,
1086522704,False,,Rynek,living_street,,False,72.783,"LINESTRING (16.0944348 51.6637369, 16.0940687 51.663123)",,,,
"[96132984, 772993445, 772993446]",False,,Rynek,living_street,,True,132.869,"LINESTRING (16.0944348 51.6637369, 16.0940002 51.6638239, 16.0938188 51.6638602, 16.0932967 51.6639647, 16.0926014 51.6641038)",,,,
"[966413592, 160531625, 96139039]",True,2,Bolesława Krzywoustego,secondary,50,False,502.04699999999985,"LINESTRING (16.0873205 51.6615434, 16.0875994 51.661634, 16.087754 51.6616757, 16.0878663 51.6616884, 16.0879762 51.66169, 16.0881536 51.6616666, 16.0883881 51.6616084, 16.0895084 51.6612472, 16.0906349 51.6608772, 16.0908213 51.6608315, 16.0911191 51.6607666, 16.0912545 51.660747, 16.0912971 51.6607416, 16.0913428 51.6607359, 16.0916506 51.6606981, 16.0918401 51.6606828, 16.0924796 51.6606255, 16.0927941 51.6606001, 16.0929474 51.6605932, 16.093088 51.6605855, 16.0932499 51.6605813, 16.0934146 51.6605818, 16.0935424 51.6605781, 16.0936201 51.6605675, 16.0936937 51.6605483, 16.0937428 51.6605324, 16.0937838 51.660519, 16.0938404 51.6604947, 16.0938744 51.6604799, 16.0938991 51.6604616, 16.0939319 51.6604333, 16.093993 51.6603694, 16.0940192 51.6603422)",,,,
175757627,True,2,Konstytucji 3 Maja,primary,50,False,71.353,"LINESTRING (16.0873205 51.6615434, 16.0875149 51.6616499, 16.0876072 51.6617461, 16.0877017 51.6618609, 16.0877739 51.6619604, 16.0878506 51.6620823)",12,roundabout,,
404592940,False,,Hugona Kołłątaja,residential,30,False,27.81,"LINESTRING (16.0947293 51.6610876, 16.0946635 51.6609978, 16.0945625 51.6608599)",,,,
404592940,False,,Hugona Kołłątaja,residential,30,True,187.011,"LINESTRING (16.0947293 51.6610876, 16.0947935 51.6611726, 16.0948317 51.6612318, 16.0949386 51.6613902, 16.0952844 51.6619192, 16.0954224 51.6621297, 16.095533 51.6622983, 16.0956788 51.6625246, 16.095723 51.6625932, 16.0957569 51.6626438)",,,,
1180237675,False,,Stanisława Staszica,residential,30,False,79.72,"LINESTRING (16.0947293 51.6610876, 16.0949284 51.6610651, 16.0952685 51.6610272, 16.0958672 51.660962)",,,,
"[1106448492, 1180237677]",False,,Stanisława Staszica,"['residential', 'living_street']",30,True,82.568,"LINESTRING (16.0947293 51.6610876, 16.094674 51.6611128, 16.0945978 51.6611505, 16.0944862 51.6612246, 16.0944026 51.6612902, 16.094105 51.661516, 16.0939843 51.6616075, 16.0939712 51.6616164, 16.0939359 51.6616405)",,,,
96139036,False,,Karola Miarki,residential,,True,99.96600000000001,"LINESTRING (16.0985032 51.6629039, 16.0979611 51.6621564, 16.0979002 51.6620866)",,,,
97025888,False,,Strzelecka,residential,,False,167.08100000000002,"LINESTRING (16.0873818 51.6664378, 16.0873632 51.6664921, 16.0873526 51.6665414, 16.0873564 51.6665808, 16.0874023 51.6670599, 16.0874048 51.667086, 16.0874341 51.6674646, 16.0874707 51.6679368)",,,,
97025911,False,,Poczdamska,residential,,True,77.46900000000001,"LINESTRING (16.0873818 51.6664378, 16.0869041 51.6665879, 16.0865295 51.6667145, 16.0863875 51.6667618)",,,,
1131621656,False,,Poczdamska,residential,,False,63.206,"LINESTRING (16.0873818 51.6664378, 16.0874346 51.6664196, 16.0878829 51.6662608, 16.0881863 51.6661659)",,,,
160905814,False,,Nadbrzeżna,residential,,True,10.266,"LINESTRING (16.0874707 51.6679368, 16.0873234 51.6679501)",,,,
97025888,False,,Strzelecka,residential,,True,167.08100000000002,"LINESTRING (16.0874707 51.6679368, 16.0874341 51.6674646, 16.0874048 51.667086, 16.0874023 51.6670599, 16.0873564 51.6665808, 16.0873526 51.6665414, 16.0873632 51.6664921, 16.0873818 51.6664378)",,,,
96126798,True,,Plac Jana z Głogowa,residential,,False,99.185,"LINESTRING (16.0868449 51.6656103, 16.087303 51.6663164, 16.0873818 51.6664378)",,,,
"[97025866, 772796486, 772796487]",False,,Gołębia,residential,,False,149.726,"LINESTRING (16.0868449 51.6656103, 16.0869214 51.6655907, 16.0872746 51.6654987, 16.0873249 51.6654877, 16.0873574 51.6654794, 16.0879581 51.6653258, 16.088024 51.665309, 16.0881629 51.665274, 16.0882931 51.6648186)",,,,
