osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,service,junction,bridge
32555072,2,42,Konecka,primary,50,False,True,79.21000000000001,"LINESTRING (19.8768281 51.0890965, 19.8770912 51.0891523, 19.8773812 51.0892064, 19.8776098 51.0892456, 19.8777612 51.0892717, 19.8779154 51.0892984)",,,
696091290,2,42,Konecka,primary,50,False,False,116.56900000000002,"LINESTRING (19.8768281 51.0890965, 19.8758518 51.0888378, 19.8757256 51.0888115, 19.8756937 51.0888049, 19.8752707 51.0887226)",,,
188809061,2,,Mostowa,residential,30,False,False,35.563,"LINESTRING (19.8806907 51.085829, 19.8811298 51.0856671)",,,
188809061,2,,Mostowa,residential,30,False,True,96.418,"LINESTRING (19.8806907 51.085829, 19.8794928 51.0862599)",,,
28742337,2,,,living_street,20,False,False,62.956,"LINESTRING (19.8806907 51.085829, 19.8803863 51.0855833, 19.8801367 51.0853824)",,,
35716461,2,,Pocztowa,residential,50,False,True,242.57600000000002,"LINESTRING (19.8764305 51.0873422, 19.8764788 51.0874024, 19.8779282 51.0892093, 19.8779333 51.0892216, 19.8779336 51.0892497, 19.8779154 51.0892984)",,,
123814658,2,,Mostowa,tertiary,50,False,True,63.574000000000005,"LINESTRING (19.8764305 51.0873422, 19.8762665 51.0873992, 19.8758704 51.0875369, 19.8758129 51.0875537, 19.8757157 51.0875807, 19.8756223 51.0876038)",,,
123814660,2,,Pocztowa,tertiary,50,False,False,66.285,"LINESTRING (19.8764305 51.0873422, 19.876398 51.0873031, 19.8763743 51.087276, 19.8761926 51.0870686, 19.8759575 51.0868256)",,,
188809061,2,,Mostowa,residential,30,False,False,93.97500000000001,"LINESTRING (19.8764305 51.0873422, 19.8765287 51.0873081, 19.877608 51.0869333)",,,
28742337,2,,,living_street,20,False,True,31.018,"LINESTRING (19.8794385 51.0847827, 19.8794934 51.0848492, 19.8795383 51.0848943, 19.8796838 51.0850143)",,,
314046926,,,,living_street,20,False,False,101.53200000000001,"LINESTRING (19.8794385 51.0847827, 19.8794159 51.084735, 19.8793976 51.0846828, 19.8793834 51.084617, 19.8793826 51.0845849, 19.8793913 51.084561, 19.879412 51.0845414, 19.8795747 51.0844519, 19.8796043 51.0844415, 19.8796325 51.0844414, 19.8796613 51.0844464, 19.879716 51.0844725, 19.8797661 51.0845066, 19.8797885 51.0845262, 19.879797 51.0845427, 19.8798013 51.0845552, 19.8797967 51.0845707, 19.8797814 51.0845879, 19.8794385 51.0847827)",living_street,,
314046926,,,,living_street,20,False,True,101.53199999999998,"LINESTRING (19.8794385 51.0847827, 19.8797814 51.0845879, 19.8797967 51.0845707, 19.8798013 51.0845552, 19.879797 51.0845427, 19.8797885 51.0845262, 19.8797661 51.0845066, 19.879716 51.0844725, 19.8796613 51.0844464, 19.8796325 51.0844414, 19.8796043 51.0844415, 19.8795747 51.0844519, 19.879412 51.0845414, 19.8793913 51.084561, 19.8793826 51.0845849, 19.8793834 51.084617, 19.8793976 51.0846828, 19.8794159 51.084735, 19.8794385 51.0847827)",living_street,,
188809061,2,,Mostowa,residential,30,False,False,96.418,"LINESTRING (19.8794928 51.0862599, 19.8806907 51.085829)",,,
