osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction
587057836,2,728,Konecka,secondary,50,False,False,68.73800000000001,"LINESTRING (20.2519563 50.9517928, 20.2519575 50.9517266, 20.2519516 50.9516697, 20.2519397 50.9516038, 20.2519243 50.9515372, 20.2519048 50.9514809, 20.251888 50.9514395, 20.2518518 50.9513646, 20.2518179 50.9513048, 20.2517839 50.9512493, 20.2517495 50.9511937)",
343539388,1,728,Rynek,secondary,40,True,False,30.890000000000004,"LINESTRING (20.25057 50.9489745, 20.2505512 50.9488731, 20.2505459 50.9487934, 20.2505438 50.9487401, 20.2505387 50.9486976)",
"[219908448, 1265186532]",2,728,Rynek,secondary,50,False,True,35.588,"LINESTRING (20.25057 50.9489745, 20.2505493 50.9491802, 20.2505378 50.9492939)",
219908446,2,786,Rynek,secondary,50,False,True,6.473,"LINESTRING (20.2511583 50.9486961, 20.2512477 50.9487108)",
343539389,1,786,Rynek,secondary,40,True,False,30.317999999999998,"LINESTRING (20.2511583 50.9486961, 20.2509952 50.9486839, 20.2508271 50.9486623, 20.2507821 50.9486574, 20.2507313 50.9486529)",
"[1137856530, 35715054]",,,Strażacka,tertiary,,False,False,254.082,"LINESTRING (20.2511583 50.9486961, 20.2511776 50.9486546, 20.2511977 50.9485972, 20.2514737 50.9477996, 20.2516084 50.947541, 20.2517679 50.9472824, 20.2518764 50.947126, 20.2522429 50.9465223)",
165138399,,,Szkolna,residential,,False,True,247.419,"LINESTRING (20.2541214 50.9493277, 20.2540811 50.9493529, 20.2540607 50.9493641, 20.2540409 50.9493727, 20.2540137 50.9493832, 20.2539543 50.949405, 20.2510364 50.9502705, 20.2509476 50.9502969)",
"[1137842680, 219908443, 1137843557, 1137842679]",2,786,Kielecka,secondary,50,False,False,216.847,"LINESTRING (20.2541214 50.9493277, 20.2539743 50.9492424, 20.253917 50.9492095, 20.2538706 50.9491843, 20.2538288 50.9491635, 20.2537873 50.9491438, 20.2537458 50.949126, 20.2536979 50.9491075, 20.2536461 50.9490881, 20.2535923 50.9490686, 20.2535352 50.949049, 20.2534789 50.9490318, 20.2534258 50.9490183, 20.2533762 50.9490063, 20.2532922 50.9489873, 20.2532255 50.948974, 20.2531586 50.9489634, 20.2530994 50.948956, 20.2530259 50.9489483, 20.2529392 50.9489402, 20.2528561 50.9489327, 20.2527406 50.948924, 20.2525747 50.9489117, 20.2524919 50.9489047, 20.2524193 50.9488977, 20.2523352 50.9488899, 20.2522552 50.948881, 20.2521982 50.9488736, 20.2521379 50.948865, 20.2520672 50.9488548, 20.2520131 50.9488472, 20.2519608 50.9488398, 20.2518911 50.948828, 20.2518237 50.9488166, 20.2517395 50.9488016, 20.2514169 50.9487418, 20.2512477 50.9487108)",
587057836,2,728,Konecka,secondary,50,False,True,57.325,"LINESTRING (20.2509476 50.9502969, 20.2513575 50.9507431)",
165138399,,,Szkolna,residential,,False,False,247.419,"LINESTRING (20.2509476 50.9502969, 20.2510364 50.9502705, 20.2539543 50.949405, 20.2540137 50.9493832, 20.2540409 50.9493727, 20.2540607 50.9493641, 20.2540811 50.9493529, 20.2541214 50.9493277)",
587057836,2,728,Konecka,secondary,50,False,False,117.466,"LINESTRING (20.2509476 50.9502969, 20.2508688 50.9502101, 20.2508482 50.9501874, 20.2508089 50.9501398, 20.2507721 50.9500915, 20.2507069 50.9499971, 20.2506384 50.9498901, 20.2506158 50.9498504, 20.250593 50.9498045, 20.250579 50.9497688, 20.2505683 50.9497374, 20.2505528 50.9496898, 20.2505422 50.949649, 20.2505335 50.9496016, 20.2505291 50.9495495, 20.2505279 50.9495019, 20.2505291 50.9494424, 20.2505326 50.9493803, 20.2505378 50.9492939)",
165138402,,,,residential,,False,True,511.066,"LINESTRING (20.2438466 50.951784, 20.2442139 50.9517027, 20.2466933 50.9510159, 20.247491 50.9508202, 20.2478341 50.9507855, 20.2483207 50.9506654, 20.2487408 50.9505506, 20.2488861 50.9505478, 20.2490534 50.9506203, 20.2491315 50.9506574, 20.2492951 50.9507672, 20.249557 50.9510074, 20.2497201 50.9511775, 20.250228 50.9510438)",
196556667,,,Spacerowa,residential,,False,False,53.041,"LINESTRING (20.2508523 50.944373, 20.2515349 50.9441667)",
196556667,,,Spacerowa,residential,,False,True,69.371,"LINESTRING (20.2508523 50.944373, 20.2499616 50.9446455)",
196556654,,,Natalii Żurowskiej-Machałowej,residential,,False,False,234.71200000000002,"LINESTRING (20.2508523 50.944373, 20.2513807 50.9450813, 20.2515101 50.9452547, 20.2516241 50.9454019, 20.2518493 50.9457019, 20.2518628 50.9457381, 20.2518575 50.9457692, 20.2518245 50.9457852, 20.251575 50.9458696, 20.2515347 50.9458915, 20.2511028 50.9460182, 20.2510558 50.9460351)",
196556667,,,Spacerowa,residential,,False,False,69.371,"LINESTRING (20.2499616 50.9446455, 20.2508523 50.944373)",
