osmid,name,highway,oneway,reversed,length,geometry,ref,junction
154250300,Rua do Passal,tertiary,False,False,326.09400000000005,"LINESTRING (-8.440113 40.6255254, -8.4402221 40.6255318, -8.4411481 40.625594, -8.4415552 40.6256479, -8.4419089 40.6257391, -8.4422349 40.6258661, -8.4425614 40.6260033, -8.443685 40.6264972)",,
154250302,Rua do Passal,tertiary,True,False,45.832,"LINESTRING (-8.440113 40.6255254, -8.4399558 40.6254836, -8.439621 40.6253529)",,
154250300,Rua do Passal,tertiary,False,False,51.707,"LINESTRING (-8.443685 40.6264972, -8.444213 40.6267331)",,
98513755,Praça de São Pedro,residential,True,False,73.457,"LINESTRING (-8.443685 40.6264972, -8.4434441 40.6265896, -8.4429303 40.6268255)",,
154250300,Rua do Passal,tertiary,False,True,326.09400000000005,"LINESTRING (-8.443685 40.6264972, -8.4425614 40.6260033, -8.4422349 40.6258661, -8.4419089 40.6257391, -8.4415552 40.6256479, -8.4411481 40.625594, -8.4402221 40.6255318, -8.440113 40.6255254)",,
154250300,Rua do Passal,tertiary,False,False,188.724,"LINESTRING (-8.4453127 40.6269065, -8.4454425 40.6269167, -8.4455513 40.6269347, -8.4457363 40.6270014, -8.4459081 40.6270924, -8.4460605 40.6272311, -8.4462044 40.6273885, -8.4467979 40.6280821)",,
154250300,Rua do Passal,tertiary,False,True,95.437,"LINESTRING (-8.4453127 40.6269065, -8.4450024 40.6268984, -8.4448179 40.6268748, -8.4446122 40.6268324, -8.4443249 40.6267624, -8.444213 40.6267331)",,
363221962,,residential,False,True,86.184,"LINESTRING (-8.4453127 40.6269065, -8.4454607 40.6268722, -8.4457785 40.6267696, -8.446261 40.6266202)",,
154250300,Rua do Passal,tertiary,False,False,5.295,"LINESTRING (-8.4473949 40.6287772, -8.4474189 40.6288212)",,
154250300,Rua do Passal,tertiary,False,True,92.262,"LINESTRING (-8.4473949 40.6287772, -8.4467979 40.6280821)",,
"[994108669, 1182108054]","['Rua da Codiceira', 'Travessa da Codiceira']",residential,False,False,132.82,"LINESTRING (-8.4473949 40.6287772, -8.4468543 40.6291372, -8.4468242 40.6291513, -8.4467506 40.6291541, -8.4466163 40.6291206, -8.4465518 40.6290815, -8.4463954 40.6288245, -8.4462979 40.6287393)",,
390499116,Viela do Cruzeiro,residential,False,False,89.281,"LINESTRING (-8.4419523 40.6272681, -8.4414942 40.6266162, -8.4414202 40.6265853)",,
