osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry
79224857,4,Московская улица,primary,60,False,False,11.744,"LINESTRING (36.2612197 54.5137861, 36.2612403 54.5138377, 36.2612607 54.513889)"
183054659,4,Московская улица,secondary,,False,True,186.703,"LINESTRING (36.2612197 54.5137861, 36.2612005 54.5137378, 36.2611825 54.5136926, 36.2611395 54.5136049, 36.2608106 54.5129506, 36.2607665 54.5128589, 36.2606675 54.5126512, 36.2604918 54.5122839, 36.2604379 54.5121697)"
305473348,3,улица Кирова,primary,60,True,False,167.667,"LINESTRING (36.2612197 54.5137861, 36.2614093 54.5137647, 36.2616327 54.5137366, 36.2623911 54.5136463, 36.2635397 54.5135186, 36.2637663 54.5134895)"
"[396964105, 396964106, 396964098, 396964102]",2,улица Луначарского,secondary,,False,False,127.606,"LINESTRING (36.2628052 54.5106371, 36.2628208 54.5107157, 36.2628373 54.5108294, 36.2628517 54.5110397, 36.2628573 54.5111551, 36.2629047 54.5116644, 36.262903 54.5117828)"
"[396964106, 396964107, 144188786]",2,улица Луначарского,secondary,,False,True,166.774,"LINESTRING (36.2628052 54.5106371, 36.2627845 54.5105498, 36.2627523 54.5103329, 36.2627227 54.5100745, 36.2626778 54.5095744, 36.2626465 54.5092266, 36.2626293 54.5091412)"
131586989,3,улица Дзержинского,secondary,,False,True,36.098,"LINESTRING (36.262903 54.5117828, 36.262383 54.5119022)"
131586990,3,улица Луначарского,secondary,,False,True,49.354,"LINESTRING (36.262903 54.5117828, 36.2628794 54.5119928, 36.2628815 54.5122262)"
"[396964105, 396964098, 396964106, 396964102]",2,улица Луначарского,secondary,,False,True,127.60600000000001,"LINESTRING (36.262903 54.5117828, 36.2629047 54.5116644, 36.2628573 54.5111551, 36.2628517 54.5110397, 36.2628373 54.5108294, 36.2628208 54.5107157, 36.2628052 54.5106371)"
131648958,4,площадь Старый Торг,secondary,,False,True,41.485,"LINESTRING (36.2529201 54.5068907, 36.2527558 54.506939, 36.2525922 54.5069553, 36.2523036 54.5069827)"
132857092,1,Гостинорядский переулок,tertiary,,True,False,45.409,"LINESTRING (36.2529201 54.5068907, 36.2527994 54.5070036, 36.2527468 54.5070595, 36.252733 54.5070963, 36.2527437 54.5071372, 36.2528103 54.5072642)"
163559373,5,площадь Старый Торг,secondary,,False,False,80.56,"LINESTRING (36.2529201 54.5068907, 36.2535986 54.5065094, 36.2538348 54.5063987)"
79224857,4,Московская улица,primary,60,False,True,11.744,"LINESTRING (36.2612607 54.513889, 36.2612403 54.5138377, 36.2612197 54.5137861)"
145012011,2,улица Кирова,primary,60,True,False,163.476,"LINESTRING (36.2612607 54.513889, 36.2610493 54.513914, 36.2587766 54.5141753)"
131586988,3,улица Дзержинского,residential,,False,True,129.053,"LINESTRING (36.2604379 54.5121697, 36.2605797 54.5121481, 36.2621692 54.5119259, 36.262383 54.5119022)"
136968469,3,улица Дзержинского,residential,,True,False,209.50799999999998,"LINESTRING (36.2604379 54.5121697, 36.2603276 54.5121828, 36.259963 54.5122266, 36.259827 54.5122429, 36.2594925 54.5122829, 36.2590692 54.5123336, 36.2587872 54.5123674, 36.2582429 54.5124325, 36.2577614 54.5124902, 36.2576916 54.5124986, 36.2573922 54.512535, 36.2572595 54.5125511)"
183054659,4,Московская улица,secondary,,False,False,186.703,"LINESTRING (36.2604379 54.5121697, 36.2604918 54.5122839, 36.2606675 54.5126512, 36.2607665 54.5128589, 36.2608106 54.5129506, 36.2611395 54.5136049, 36.2611825 54.5136926, 36.2612005 54.5137378, 36.2612197 54.5137861)"
183054659,4,Московская улица,secondary,,False,True,155.779,"LINESTRING (36.2604379 54.5121697, 36.2604084 54.5121017, 36.2602482 54.511654, 36.2601819 54.5114688, 36.2601622 54.5114151, 36.2600928 54.511225, 36.2600166 54.5110165, 36.25996 54.5108784, 36.2599302 54.5108002)"
131586989,3,улица Дзержинского,secondary,,False,False,36.098,"LINESTRING (36.262383 54.5119022, 36.262903 54.5117828)"
131586988,3,улица Дзержинского,residential,,False,False,129.053,"LINESTRING (36.262383 54.5119022, 36.2621692 54.5119259, 36.2605797 54.5121481, 36.2604379 54.5121697)"
132885585,4,улица Ленина,secondary,,False,True,219.24599999999998,"LINESTRING (36.262383 54.5119022, 36.2622352 54.5118125, 36.2610277 54.5110223, 36.2609146 54.5109517, 36.2608367 54.5109021, 36.2606811 54.5107997, 36.2601382 54.5104507, 36.2601142 54.5104351)"
396961178,3,улица Ленина,secondary,,False,True,48.346999999999994,"LINESTRING (36.262383 54.5119022, 36.2626145 54.5120393, 36.2628815 54.5122262)"
